,소속회사명1,소속회사명2,동일인과의 관계1,동일인과의 관계2,동일인과의 관계3,성명,보통주 주식수,보통주 지분율,우선주 주식수,우선주 지분율,합계 주식수,합계 지분율,divisor,shares,type,type2
0,비금융회사,지에스,동일인측,동일인,동일인,허창수,4417695,4.75%,,0.00%,4417695,4.66%,94700204,0.04664926592977561,0,0
1,비금융회사,지에스,동일인측,친족,배우자/혈족 1촌,허윤영,323917,0.35%,,0.00%,323917,0.34%,94700204,0.003420446697242595,50,50
2,비금융회사,지에스,동일인측,친족,배우자/혈족 1촌,허윤홍,494888,0.53%,,0.00%,494888,0.52%,94700204,0.005225838795447579,50,50
3,비금융회사,지에스,동일인측,친족,혈족 2~4촌,허광수,2033983,2.19%,,0.00%,2033983,2.15%,94700204,0.021478126910898735,50,50
4,비금융회사,지에스,동일인측,친족,혈족 2~4촌,허남각,2110670,2.27%,,0.00%,2110670,2.23%,94700204,0.02228791397323706,50,50
5,비금융회사,지에스,동일인측,친족,혈족 2~4촌,허동수,1626720,1.75%,,0.00%,1626720,1.72%,94700204,0.017177576512929157,50,50
6,비금융회사,지에스,동일인측,친족,혈족 2~4촌,허두홍,581968,0.63%,,0.00%,581968,0.61%,94700204,0.006145372189483351,50,50
7,비금융회사,지에스,동일인측,친족,혈족 2~4촌,허명수,1810693,1.95%,,0.00%,1810693,1.91%,94700204,0.019120265041878897,50,50
8,비금융회사,지에스,동일인측,친족,혈족 2~4촌,허민경,232513,0.25%,,0.00%,232513,0.25%,94700204,0.002455253422685341,50,50
9,비금융회사,지에스,동일인측,친족,혈족 2~4촌,허승조,2007549,2.16%,,0.00%,2007549,2.12%,94700204,0.021198993404491506,50,50
10,비금융회사,지에스,동일인측,친족,혈족 2~4촌,허연수,2095518,2.26%,,0.00%,2095518,2.21%,94700204,0.022127914317903688,50,50
11,비금융회사,지에스,동일인측,친족,혈족 2~4촌,허연숙,468517,0.50%,,0.00%,468517,0.49%,94700204,0.004947370546318992,50,50
12,비금융회사,지에스,동일인측,친족,혈족 2~4촌,허연호,382974,0.41%,,0.00%,382974,0.40%,94700204,0.004044067317954246,50,50
13,비금융회사,지에스,동일인측,친족,혈족 2~4촌,허용수,4889718,5.26%,,0.00%,4889718,5.16%,94700204,0.051633658571633066,50,50
14,비금융회사,지에스,동일인측,친족,혈족 2~4촌,허인영,1532886,1.65%,,0.00%,1532886,1.62%,94700204,0.016186723314767094,50,50
15,비금융회사,지에스,동일인측,친족,혈족 2~4촌,허정수,107732,0.12%,,0.00%,107732,0.11%,94700204,0.0011376110657586335,50,50
16,비금융회사,지에스,동일인측,친족,혈족 2~4촌,허정현,195916,0.21%,,0.00%,195916,0.21%,94700204,0.0020688023016296776,50,50
17,비금융회사,지에스,동일인측,친족,혈족 2~4촌,허주홍,399462,0.43%,,0.00%,399462,0.42%,94700204,0.004218174651450592,50,50
18,비금융회사,지에스,동일인측,친족,혈족 2~4촌,허지안,250911,0.27%,,0.00%,250911,0.26%,94700204,0.002649529667327855,50,50
19,비금융회사,지에스,동일인측,친족,혈족 2~4촌,허진수,1873276,2.02%,,0.00%,1873276,1.98%,94700204,0.01978111895091588,50,50
20,비금융회사,지에스,동일인측,친족,혈족 2~4촌,허진홍,341644,0.37%,,0.00%,341644,0.36%,94700204,0.0036076374238855915,50,50
21,비금융회사,지에스,동일인측,친족,혈족 2~4촌,허철홍,1270325,1.37%,,0.00%,1270325,1.34%,94700204,0.013414173849086957,50,50
22,비금융회사,지에스,동일인측,친족,혈족 2~4촌,허치홍,420129,0.45%,,0.00%,420129,0.44%,94700204,0.004436410717763607,50,50
23,비금융회사,지에스,동일인측,친족,혈족 2~4촌,허태수,1923210,2.07%,,0.00%,1923210,2.03%,94700204,0.020308403981896386,50,50
24,비금융회사,지에스,동일인측,친족,혈족 2~4촌,허태홍,336590,0.36%,,0.00%,336590,0.36%,94700204,0.0035542690066433227,50,50
25,비금융회사,지에스,동일인측,친족,혈족 5~6촌,최가현,12866,0.01%,,0.00%,12866,0.01%,94700204,0.00013586031979403128,50,50
26,비금융회사,지에스,동일인측,친족,혈족 5~6촌,최영민,35379,0.04%,,0.00%,35379,0.04%,94700204,0.0003735894803352272,50,50
27,비금융회사,지에스,동일인측,친족,혈족 5~6촌,최일현,12872,0.01%,,0.00%,12872,0.01%,94700204,0.00013592367763009253,50,50
28,비금융회사,지에스,동일인측,친족,혈족 5~6촌,허서홍,1677600,1.81%,,0.00%,1677600,1.77%,94700204,0.017714850962728654,50,50
