,소속회사명1,소속회사명2,동일인과의 관계1,동일인과의 관계2,동일인과의 관계3,성명,보통주 주식수,보통주 지분율,우선주 주식수,우선주 지분율,합계 주식수,합계 지분율,divisor,shares,type,type2
0,비금융회사,네이버,동일인측,동일인,동일인,이해진,6129725,3.73,-,-,6129725.0,3.73,164263395.0,0.03731643924685716,0,0
1,비금융회사,네이버,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,,-,164263395.0,,50,50
2,비금융회사,네이버,동일인측,친족,혈족2~4촌,-,-,-,-,-,,-,164263395.0,,50,50
3,비금융회사,네이버,동일인측,친족,혈족5~6촌,-,-,-,-,-,,-,164263395.0,,50,50
4,비금융회사,네이버,동일인측,친족,인척 4촌 이내,이상림,150,0.00,-,-,150.0,0.00,164263395.0,9.13167538026351e-07,50,50
5,비금융회사,네이버,동일인측,친족,인척 4촌 이내,남서연,170,0.00,-,-,170.0,0.00,164263395.0,1.0349232097631977e-06,50,50
6,비금융회사,네이버,동일인측,친족,인척 4촌 이내,남현선,170,0.00,-,-,170.0,0.00,164263395.0,1.0349232097631977e-06,50,50
7,비금융회사,네이버,동일인측,친족,친족 합계,-,490,0.00,-,-,490.0,0.00,164263395.0,2.9830139575527464e-06,0,0
8,비금융회사,네이버,동일인측,비영리법인,비영리법인,-,-,-,-,-,,-,164263395.0,,50,0
9,비금융회사,네이버,동일인측,등기된 임원,등기된 임원,김광현,5000,0.00,-,-,5000.0,0.00,164263395.0,3.0438917934211697e-05,50,0
10,비금융회사,네이버,동일인측,등기된 임원,등기된 임원,김영은,5230,0.00,-,-,5230.0,0.00,164263395.0,3.1839108159185436e-05,50,0
11,비금융회사,네이버,동일인측,등기된 임원,등기된 임원,박희은,81,0.00,-,-,81.0,0.00,164263395.0,4.931104705342295e-07,50,0
12,비금융회사,네이버,동일인측,등기된 임원,등기된 임원,이인희,5360,0.00,-,-,5360.0,0.00,164263395.0,3.2630520025474936e-05,50,0
13,비금융회사,네이버,동일인측,등기된 임원,등기된 임원,이정화,5150,0.00,-,-,5150.0,0.00,164263395.0,3.1352085472238046e-05,50,0
14,비금융회사,네이버,동일인측,등기된 임원,등기된 임원,이지호,5,0.00,-,-,5.0,0.00,164263395.0,3.04389179342117e-08,50,0
