,소속회사명1,소속회사명2,동일인과의 관계1,동일인과의 관계2,동일인과의 관계3,성명,보통주 주식수,보통주 지분율,우선주 주식수,우선주 지분율,합계 주식수,합계 지분율,divisor,shares,type,type2
0,비금융회사,에스케이,동일인측,동일인,동일인,최태원,12975472,18.44%,-,-,12975472.0,18.29%,70926432.0,0.1829426863034644,0,0
1,비금융회사,에스케이,동일인측,친족,배우자/혈족1촌,노소영,8616,0.01%,-,-,8616.0,0.01%,70926432.0,0.00012147798439938442,50,50
2,비금융회사,에스케이,동일인측,친족,혈족2~4촌,최기원,4820000,6.85%,-,-,4820000.0,6.80%,70926432.0,0.06795773964775219,50,50
3,비금융회사,에스케이,동일인측,친족,혈족2~4촌,최재원,1660000,2.36%,-,-,1660000.0,2.34%,70926432.0,0.02340453274175698,50,50
4,비금융회사,에스케이,동일인측,친족,혈족2~4촌,최신원,59825,0.09%,-,-,59825.0,0.08%,70926432.0,0.0008434796212503683,50,50
5,비금융회사,에스케이,동일인측,친족,혈족5~6촌,박민선,21425,0.03%,-,-,21425.0,0.03%,70926432.0,0.00030207356264586944,50,50
6,비금융회사,에스케이,동일인측,친족,혈족5~6촌,박현선,21425,0.03%,-,-,21425.0,0.03%,70926432.0,0.00030207356264586944,50,50
7,비금융회사,에스케이,동일인측,친족,혈족5~6촌,최성환,490837,0.70%,-,-,490837.0,0.69%,70926432.0,0.006920367853834802,50,50
8,비금융회사,에스케이,동일인측,친족,혈족5~6촌,최영진,95579,0.14%,-,-,95579.0,0.13%,70926432.0,0.0013475794186291509,50,50
9,비금융회사,에스케이,동일인측,친족,혈족5~6촌,최유진,121445,0.17%,-,-,121445.0,0.17%,70926432.0,0.001712267155917275,50,50
10,비금융회사,에스케이,동일인측,친족,인척 4촌 이내,,-,-,-,-,,-,70926432.0,,50,50
11,비금융회사,에스케이,동일인측,친족,친족 합계,/,7299152,10.38%,-,-,7299152.0,10.28%,70926432.0,0.1029115915488319,0,0
12,비금융회사,에스케이,동일인측,비영리법인,비영리법인,최종현학술원,185000,0.26%,-,-,185000.0,0.26%,70926432.0,0.002608336480256049,50,0
13,비금융회사,에스케이,동일인측,등기된임원,등기된임원,김양택,600,-,-,-,600.0,-,70926432.0,8.459469665695293e-06,50,0
14,비금융회사,에스케이,동일인측,등기된임원,등기된임원,박경일,1000,-,-,-,1000.0,-,70926432.0,1.4099116109492157e-05,50,0
15,비금융회사,에스케이,동일인측,등기된임원,등기된임원,박성하,1700,-,-,-,1700.0,-,70926432.0,2.3968497386136667e-05,50,0
16,비금융회사,에스케이,동일인측,등기된임원,등기된임원,박정호,280,-,-,-,280.0,-,70926432.0,3.947752510657804e-06,50,0
17,비금융회사,에스케이,동일인측,등기된임원,등기된임원,이동훈,1000,-,-,-,1000.0,-,70926432.0,1.4099116109492157e-05,50,0
18,비금융회사,에스케이,동일인측,등기된임원,등기된임원,이성형,1000,-,-,-,1000.0,-,70926432.0,1.4099116109492157e-05,50,0
19,비금융회사,에스케이,동일인측,등기된임원,등기된임원,채준식,500,-,-,-,500.0,-,70926432.0,7.049558054746078e-06,50,0
20,비금융회사,에스케이,동일인측,등기된임원,등기된임원,추형욱,1000,-,-,-,1000.0,-,70926432.0,1.4099116109492157e-05,50,0
21,비금융회사,에스케이,동일인측,자기주식,자기주식,에스케이,18055950,25.66%,1818,0.32%,18057768.0,25.46%,70926432.0,0.25459856771027195,50,0
22,비금융회사,에스케이,동일인측,계열회사 (국내+해외),계열회사 (국내+해외),,-,-,-,-,,-,70926432.0,,1,1
23,비금융회사,에스케이,동일인측,기타 동일인관련자,기타 동일인관련자,,-,-,-,-,,-,70926432.0,,-1,-1
24,비금융회사,에스케이,동일인측,동일인측 합계,동일인측 합계,/,38522654,54.75%,1818,0.32%,38524472.0,54.32%,70926432.0,0.5431610037848795,50,50
25,비금융회사,에스케이,기타주주,동일인측이 아닌 최대주주,동일인측이 아닌 최대주주,,-,-,-,-,,-,70926432.0,,99,99
26,비금융회사,에스케이,기타주주,기타,기타,/,31837643,45.25%,564317,99.68%,32401960.0,45.68%,70926432.0,0.4568389962151205,99,99
27,비금융회사,에스케이,총계,총계,총계,/,70360297,100.00%,566135,100.00%,70926432.0,100.00%,70926432.0,1.0,50,50
28,비금융회사,나노엔텍,동일인측,동일인,동일인,,-,-,-,-,,-,26631627.0,,0,0
29,비금융회사,나노엔텍,동일인측,친족,배우자/혈족1촌,,-,-,-,-,,-,26631627.0,,50,50
30,비금융회사,나노엔텍,동일인측,친족,혈족2~4촌,,-,-,-,-,,-,26631627.0,,50,50
31,비금융회사,나노엔텍,동일인측,친족,혈족5~6촌,,-,-,-,-,,-,26631627.0,,50,50
32,비금융회사,나노엔텍,동일인측,친족,인척 4촌 이내,,-,-,-,-,,-,26631627.0,,50,50
33,비금융회사,나노엔텍,동일인측,친족,친족 합계,/,-,-,-,-,,-,26631627.0,,0,0
34,비금융회사,나노엔텍,동일인측,비영리법인,비영리법인,,-,-,-,-,,-,26631627.0,,50,0
35,비금융회사,나노엔텍,동일인측,등기된임원,등기된임원,정찬일,300000,1.13%,-,-,300000.0,1.13%,26631627.0,0.011264801808766697,50,0
36,비금융회사,나노엔텍,동일인측,자기주식,자기주식,,-,-,-,-,,-,26631627.0,,50,0
37,비금융회사,나노엔텍,동일인측,계열회사 (국내+해외),계열회사 (국내+해외),에스케이텔레콤,7600649,28.54%,-,-,7600649.0,28.54%,26631627.0,0.2853993486766693,1,1
38,비금융회사,나노엔텍,동일인측,기타 동일인관련자,기타 동일인관련자,,-,-,-,-,,-,26631627.0,,-1,-1
39,비금융회사,나노엔텍,동일인측,동일인측 합계,동일인측 합계,/,7900649,29.67%,-,-,7900649.0,29.67%,26631627.0,0.296664150485436,50,50
40,비금융회사,나노엔텍,기타주주,동일인측이 아닌 최대주주,동일인측이 아닌 최대주주,,-,-,-,-,,-,26631627.0,,99,99
41,비금융회사,나노엔텍,기타주주,기타,기타,/,18730978,70.33%,-,-,18730978.0,70.33%,26631627.0,0.7033358495145641,99,99
42,비금융회사,나노엔텍,총계,총계,총계,/,26631627,100.00%,-,-,26631627.0,100.00%,26631627.0,1.0,50,50
43,비금융회사,대한송유관공사,동일인측,동일인,동일인,,-,-,-,-,,-,22495560.0,,0,0
44,비금융회사,대한송유관공사,동일인측,친족,배우자/혈족1촌,,-,-,-,-,,-,22495560.0,,50,50
45,비금융회사,대한송유관공사,동일인측,친족,혈족2~4촌,,-,-,-,-,,-,22495560.0,,50,50
46,비금융회사,대한송유관공사,동일인측,친족,혈족5~6촌,,-,-,-,-,,-,22495560.0,,50,50
47,비금융회사,대한송유관공사,동일인측,친족,인척 4촌 이내,,-,-,-,-,,-,22495560.0,,50,50
48,비금융회사,대한송유관공사,동일인측,친족,친족 합계,/,-,-,-,-,,-,22495560.0,,0,0
49,비금융회사,대한송유관공사,동일인측,비영리법인,비영리법인,,-,-,-,-,,-,22495560.0,,50,0
50,비금융회사,대한송유관공사,동일인측,등기된임원,등기된임원,,-,-,-,-,,-,22495560.0,,50,0
51,비금융회사,대한송유관공사,동일인측,자기주식,자기주식,,-,-,-,-,,-,22495560.0,,50,0
52,비금융회사,대한송유관공사,동일인측,계열회사 (국내+해외),계열회사 (국내+해외),에스케이이노베이션,9223552,41.00%,-,-,9223552.0,41.00%,22495560.0,0.4100165543778417,1,1
53,비금융회사,대한송유관공사,동일인측,기타 동일인관련자,기타 동일인관련자,,-,-,-,-,,-,22495560.0,,-1,-1
54,비금융회사,대한송유관공사,동일인측,동일인측 합계,동일인측 합계,/,9223552,41.00%,-,-,9223552.0,41.00%,22495560.0,0.4100165543778417,50,50
55,비금융회사,대한송유관공사,기타주주,동일인측이 아닌 최대주주,동일인측이 아닌 최대주주,,-,-,-,-,,-,22495560.0,,99,99
56,비금융회사,대한송유관공사,기타주주,기타,기타,/,13272008,59.00%,-,-,13272008.0,59.00%,22495560.0,0.5899834456221583,99,99
57,비금융회사,대한송유관공사,총계,총계,총계,/,22495560,100.00%,-,-,22495560.0,100.00%,22495560.0,1.0,50,50
58,비금융회사,드림어스컴퍼니(舊 아이리버),동일인측,동일인,동일인,,-,-,-,-,,-,56859847.0,,0,0
59,비금융회사,드림어스컴퍼니(舊 아이리버),동일인측,친족,배우자/혈족1촌,,-,-,-,-,,-,56859847.0,,50,50
60,비금융회사,드림어스컴퍼니(舊 아이리버),동일인측,친족,혈족2~4촌,,-,-,-,-,,-,56859847.0,,50,50
61,비금융회사,드림어스컴퍼니(舊 아이리버),동일인측,친족,혈족5~6촌,,-,-,-,-,,-,56859847.0,,50,50
62,비금융회사,드림어스컴퍼니(舊 아이리버),동일인측,친족,인척 4촌 이내,,-,-,-,-,,-,56859847.0,,50,50
63,비금융회사,드림어스컴퍼니(舊 아이리버),동일인측,친족,친족 합계,/,-,-,-,-,,-,56859847.0,,0,0
64,비금융회사,드림어스컴퍼니(舊 아이리버),동일인측,비영리법인,비영리법인,,-,-,-,-,,-,56859847.0,,50,0
65,비금융회사,드림어스컴퍼니(舊 아이리버),동일인측,등기된임원,등기된임원,,-,-,-,-,,-,56859847.0,,50,0
66,비금융회사,드림어스컴퍼니(舊 아이리버),동일인측,자기주식,자기주식,드림어스컴퍼니,800,-,-,-,800.0,-,56859847.0,1.4069682600447378e-05,50,0
67,비금융회사,드림어스컴퍼니(舊 아이리버),동일인측,계열회사 (국내+해외),계열회사 (국내+해외),에스케이텔레콤,29246387,51.44%,-,-,29246387.0,51.44%,56859847.0,0.5143592278748129,1,1
68,비금융회사,드림어스컴퍼니(舊 아이리버),동일인측,기타 동일인관련자,기타 동일인관련자,,-,-,-,-,,-,56859847.0,,-1,-1
69,비금융회사,드림어스컴퍼니(舊 아이리버),동일인측,동일인측 합계,동일인측 합계,/,29247187,51.44%,-,-,29247187.0,51.44%,56859847.0,0.5143732975574135,50,50
70,비금융회사,드림어스컴퍼니(舊 아이리버),기타주주,동일인측이 아닌 최대주주,동일인측이 아닌 최대주주,,-,-,-,-,,-,56859847.0,,99,99
71,비금융회사,드림어스컴퍼니(舊 아이리버),기타주주,기타,기타,/,27612660,48.56%,-,-,27612660.0,48.56%,56859847.0,0.4856267024425866,99,99
72,비금융회사,드림어스컴퍼니(舊 아이리버),총계,총계,총계,/,56859847,100.00%,-,-,56859847.0,100.00%,56859847.0,1.0,50,50
73,비금융회사,디디아이에스에스280위탁관리부동산투자회사,동일인측,동일인,동일인,,-,-,-,-,,-,640000.0,,0,0
74,비금융회사,디디아이에스에스280위탁관리부동산투자회사,동일인측,친족,배우자/혈족1촌,,-,-,-,-,,-,640000.0,,50,50
75,비금융회사,디디아이에스에스280위탁관리부동산투자회사,동일인측,친족,혈족2~4촌,,-,-,-,-,,-,640000.0,,50,50
76,비금융회사,디디아이에스에스280위탁관리부동산투자회사,동일인측,친족,혈족5~6촌,,-,-,-,-,,-,640000.0,,50,50
77,비금융회사,디디아이에스에스280위탁관리부동산투자회사,동일인측,친족,인척 4촌 이내,,-,-,-,-,,-,640000.0,,50,50
78,비금융회사,디디아이에스에스280위탁관리부동산투자회사,동일인측,친족,친족 합계,/,-,-,-,-,,-,640000.0,,0,0
79,비금융회사,디디아이에스에스280위탁관리부동산투자회사,동일인측,비영리법인,비영리법인,,-,-,-,-,,-,640000.0,,50,0
80,비금융회사,디디아이에스에스280위탁관리부동산투자회사,동일인측,등기된임원,등기된임원,,-,-,-,-,,-,640000.0,,50,0
81,비금융회사,디디아이에스에스280위탁관리부동산투자회사,동일인측,자기주식,자기주식,,-,-,-,-,,-,640000.0,,50,0
82,비금융회사,디디아이에스에스280위탁관리부동산투자회사,동일인측,계열회사 (국내+해외),계열회사 (국내+해외),에스케이디앤디,186000,100.00%,-,-,186000.0,29.06%,640000.0,0.290625,1,1
83,비금융회사,디디아이에스에스280위탁관리부동산투자회사,동일인측,기타 동일인관련자,기타 동일인관련자,,-,-,-,-,,-,640000.0,,-1,-1
84,비금융회사,디디아이에스에스280위탁관리부동산투자회사,동일인측,동일인측 합계,동일인측 합계,/,186000,100.00%,-,-,186000.0,29.06%,640000.0,0.290625,50,50
85,비금융회사,디디아이에스에스280위탁관리부동산투자회사,기타주주,동일인측이 아닌 최대주주,동일인측이 아닌 최대주주,농협은행 주식회사,-,-,227000,50.00%,227000.0,35.47%,640000.0,0.3546875,99,99
