,소속회사명1,소속회사명2,동일인과의 관계1,동일인과의 관계2,동일인과의 관계3,성명,보통주 주식수,보통주 지분율,우선주 주식수,우선주 지분율,합계 주식수,합계 지분율,divisor,shares,type,type2
0,금융회사,교보생명보험,동일인측,동일인,동일인,신창재,34627370,33.78,-,-,34627370.0,33.78,102500000.0,0.337828,0,0
1,금융회사,교보생명보험,동일인측,친족,배우자/ 혈족1촌,-,,-,-,-,,-,102500000.0,,50,50
2,금융회사,교보생명보험,동일인측,친족,배우자/ 혈족1촌,-,,-,-,-,,-,102500000.0,,50,50
3,금융회사,교보생명보험,동일인측,친족,혈족2~4촌,신경애,1750010,1.71,,,1750010.0,1.71,102500000.0,0.017073268292682926,50,50
4,금융회사,교보생명보험,동일인측,친족,혈족2~4촌,신영애,1449960,1.41,,,1449960.0,1.41,102500000.0,0.014145951219512195,50,50
5,금융회사,교보생명보험,동일인측,친족,혈족5~6촌,-,,-,-,-,,-,102500000.0,,50,50
6,금융회사,교보생명보험,동일인측,친족,혈족5~6촌,-,,-,-,-,,-,102500000.0,,50,50
7,금융회사,교보생명보험,동일인측,친족,인척 4촌 이내,-,,-,-,-,,-,102500000.0,,50,50
8,금융회사,교보생명보험,동일인측,친족,인척 4촌 이내,-,,-,-,-,,-,102500000.0,,50,50
9,금융회사,교보생명보험,동일인측,친족,친족 합계,,3199970,3.12,,,3199970.0,3.12,102500000.0,0.031219219512195123,0,0
10,금융회사,교보생명보험,동일인측,비영리법인,비영리법인,-,,-,-,-,,-,102500000.0,,50,0
11,금융회사,교보생명보험,동일인측,비영리법인,비영리법인,-,,-,-,-,,-,102500000.0,,50,0
12,금융회사,교보생명보험,동일인측,등기된 임원,등기된 임원,김상진,500,0.0005,-,-,500.0,0.0005,102500000.0,4.878048780487805e-06,50,0
13,금융회사,교보생명보험,동일인측,등기된 임원,등기된 임원,박영규,650,0.0006,-,-,650.0,0.0006,102500000.0,6.341463414634146e-06,50,0
14,금융회사,교보생명보험,동일인측,자기주식,자기주식,-,,-,-,-,,-,102500000.0,,50,0
15,금융회사,교보생명보험,동일인측,계열회사 (국내+해외),계열회사 (국내+해외),-,,-,-,-,,-,102500000.0,,1,1
16,금융회사,교보생명보험,동일인측,계열회사 (국내+해외),계열회사 (국내+해외),-,,-,-,-,,-,102500000.0,,1,1
17,금융회사,교보생명보험,동일인측,기타 동일인관련자,기타 동일인관련자,-,,-,-,-,,-,102500000.0,,-1,-1
18,금융회사,교보생명보험,동일인측,동일인측 합계,동일인측 합계,-,37828490,36.91,,,37828490.0,36.91,102500000.0,0.36905843902439023,50,50
19,금융회사,교보생명보험,기타주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,-,,-,-,-,,-,102500000.0,,99,99
20,금융회사,교보생명보험,기타주주,기타,기타,-,64671510,63.09,-,-,64671510.0,63.09,102500000.0,0.6309415609756097,99,99
