,소속회사명1,소속회사명2,동일인과의 관계1,동일인과의 관계2,동일인과의 관계3,성명,보통주 주식수,보통주 지분율,우선주 주식수,우선주 지분율,합계 주식수,합계 지분율,divisor,shares,type,type2
0,비금융회사,농협경제지주,동일인측,동일인,동일인,농업협동조합중앙회,731488091,100.00,-,-,731488091.0,100.00,731488091.0,1.0,0,0
1,비금융회사,농협경제지주,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,,-,731488091.0,,50,50
2,비금융회사,농협경제지주,동일인측,친족,혈족2~4촌,-,-,-,-,-,,-,731488091.0,,50,50
3,비금융회사,농협경제지주,동일인측,친족,혈족5~6촌,-,-,-,-,-,,-,731488091.0,,50,50
4,비금융회사,농협경제지주,동일인측,친족,인척 4촌 이내,-,-,-,-,-,,-,731488091.0,,50,50
5,비금융회사,농협경제지주,동일인측,친족,친족합계,-,-,-,-,-,,-,731488091.0,,0,0
6,비금융회사,농협경제지주,동일인측,비영리법인,비영리법인,-,-,-,-,-,,-,731488091.0,,50,0
7,비금융회사,농협경제지주,동일인측,등기된 임원,등기된 임원,-,-,-,-,-,,-,731488091.0,,50,0
8,비금융회사,농협경제지주,동일인측,자기주식,자기주식,-,-,-,-,-,,-,731488091.0,,50,0
9,비금융회사,농협경제지주,동일인측,계열회사(국내+해외),계열회사(국내+해외),-,-,-,-,-,,-,731488091.0,,1,1
10,비금융회사,농협경제지주,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,,-,731488091.0,,-1,-1
11,비금융회사,농협경제지주,동일인측,동일인측합계,동일인측합계,-,731488091,100.00,-,-,731488091.0,100.00,731488091.0,1.0,50,50
12,비금융회사,농협경제지주,기타주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,-,-,-,-,-,,-,731488091.0,,99,99
13,비금융회사,농협경제지주,기타주주,기타,기타,-,-,-,-,-,,-,731488091.0,,99,99
14,비금융회사,농협경제지주,총계,총계,총계,-,731488091,100.00,-,-,731488091.0,100.00,731488091.0,1.0,50,50
15,비금융회사,농협하나로유통,동일인측,동일인,동일인,-,-,-,-,-,,-,100000000.0,,0,0
16,비금융회사,농협하나로유통,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,,-,100000000.0,,50,50
17,비금융회사,농협하나로유통,동일인측,친족,혈족2~4촌,-,-,-,-,-,,-,100000000.0,,50,50
18,비금융회사,농협하나로유통,동일인측,친족,혈족5~6촌,-,-,-,-,-,,-,100000000.0,,50,50
19,비금융회사,농협하나로유통,동일인측,친족,인척 4촌 이내,-,-,-,-,-,,-,100000000.0,,50,50
20,비금융회사,농협하나로유통,동일인측,친족,친족합계,-,-,-,-,-,,-,100000000.0,,0,0
21,비금융회사,농협하나로유통,동일인측,비영리법인,비영리법인,-,-,-,-,-,,-,100000000.0,,50,0
22,비금융회사,농협하나로유통,동일인측,등기된 임원,등기된 임원,-,-,-,-,-,,-,100000000.0,,50,0
23,비금융회사,농협하나로유통,동일인측,자기주식,자기주식,-,-,-,-,-,,-,100000000.0,,50,0
24,비금융회사,농협하나로유통,동일인측,계열회사(국내+해외),계열회사(국내+해외),농협경제지주,100000000,100.00,-,-,100000000.0,100.00,100000000.0,1.0,1,1
25,비금융회사,농협하나로유통,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,,-,100000000.0,,-1,-1
26,비금융회사,농협하나로유통,동일인측,동일인측합계,동일인측합계,-,100000000,100.00,-,-,100000000.0,100.00,100000000.0,1.0,50,50
27,비금융회사,농협하나로유통,기타주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,-,-,-,-,-,,-,100000000.0,,99,99
28,비금융회사,농협하나로유통,기타주주,기타,기타,-,-,-,-,-,,-,100000000.0,,99,99
29,비금융회사,농협하나로유통,총계,총계,총계,-,100000000,100.00,-,-,100000000.0,100.00,100000000.0,1.0,50,50
30,비금융회사,농협유통,동일인측,동일인,동일인,-,-,-,-,-,,-,11404000.0,,0,0
31,비금융회사,농협유통,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,,-,11404000.0,,50,50
32,비금융회사,농협유통,동일인측,친족,혈족2~4촌,-,-,-,-,-,,-,11404000.0,,50,50
33,비금융회사,농협유통,동일인측,친족,혈족5~6촌,-,-,-,-,-,,-,11404000.0,,50,50
