,소속회사명1,소속회사명2,동일인과의 관계1,동일인과의 관계2,동일인과의 관계3,성명,보통주 주식수,보통주 지분율,우선주 주식수,우선주 지분율,합계 주식수,합계 지분율,divisor,shares,type,type2
0,비금융회사,두산,동일인측,동일인,동일인,박정원,1224400,7.41,20070,0.41,1244470.0,5.81,21413335.0,0.05811658949902012,0,0
1,비금융회사,두산,동일인측,친족,배우자/혈족1촌,김소영,0,0.00,121221,2.48,121221.0,0.57,21413335.0,0.005661005163371329,50,50
2,비금융회사,두산,동일인측,친족,배우자/혈족1촌,박상민,16241,0.10,0,0.00,16241.0,0.08,21413335.0,0.0007584526184267887,50,50
3,비금융회사,두산,동일인측,친족,배우자/혈족1촌,박상수,19506,0.12,0,0.00,19506.0,0.09,21413335.0,0.0009109276999589275,50,50
4,비금융회사,두산,동일인측,친족,혈족2~4촌,박혜원,407247,2.46,52199,1.07,459446.0,2.15,21413335.0,0.021456069313817768,50,50
5,비금융회사,두산,동일인측,친족,혈족2~4촌,박지원,816247,4.94,10109,0.21,826356.0,3.86,21413335.0,0.038590719287770914,50,50
6,비금융회사,두산,동일인측,친족,혈족2~4촌,박용성,574913,3.48,0,0.00,574913.0,2.68,21413335.0,0.02684836341466661,50,50
7,비금융회사,두산,동일인측,친족,혈족2~4촌,박용현,567860,3.44,4881,0.10,572741.0,2.67,21413335.0,0.026746931293047067,50,50
8,비금융회사,두산,동일인측,친족,혈족2~4촌,박용만,703201,4.26,16328,0.33,719529.0,3.36,21413335.0,0.0336019120795523,50,50
9,비금융회사,두산,동일인측,친족,혈족2~4촌,서주원,6048,0.04,1509,0.03,7557.0,0.04,21413335.0,0.00035291093143594867,50,50
10,비금융회사,두산,동일인측,친족,혈족2~4촌,서장원,6048,0.04,1508,0.03,7556.0,0.04,21413335.0,0.00035286423156411645,50,50
11,비금융회사,두산,동일인측,친족,혈족2~4촌,박상우,6361,0.04,0,0.00,6361.0,0.03,21413335.0,0.0002970578847246354,50,50
12,비금융회사,두산,동일인측,친족,혈족2~4촌,박상진,6361,0.04,0,0.00,6361.0,0.03,21413335.0,0.0002970578847246354,50,50
13,비금융회사,두산,동일인측,친족,혈족2~4촌,박진원,602148,3.64,95537,1.95,697685.0,3.26,21413335.0,0.032581800079249684,50,50
14,비금융회사,두산,동일인측,친족,혈족2~4촌,박석원,492638,2.98,5433,0.11,498071.0,2.33,21413335.0,0.02325985186333656,50,50
15,비금융회사,두산,동일인측,친족,혈족2~4촌,박태원,445965,2.70,4830,0.10,450795.0,2.11,21413335.0,0.021052068722597392,50,50
16,비금융회사,두산,동일인측,친족,혈족2~4촌,박형원,328479,1.99,3621,0.07,332100.0,1.55,21413335.0,0.015509027435474203,50,50
17,비금융회사,두산,동일인측,친족,혈족2~4촌,박인원,328479,1.99,3621,0.07,332100.0,1.55,21413335.0,0.015509027435474203,50,50
18,비금융회사,두산,동일인측,친족,혈족2~4촌,박서원,324422,1.96,57303,1.17,381725.0,1.78,21413335.0,0.017826508575147216,50,50
19,비금융회사,두산,동일인측,친족,혈족2~4촌,박재원,268540,1.63,46883,0.96,315423.0,1.47,21413335.0,0.014730213672928575,50,50
20,비금융회사,두산,동일인측,친족,혈족5~6촌,박상효,1778,0.01,446,0.01,2224.0,0.01,21413335.0,0.0001038605149548167,50,50
21,비금융회사,두산,동일인측,친족,혈족5~6촌,박상인,1779,0.01,446,0.01,2225.0,0.01,21413335.0,0.00010390721482664891,50,50
22,비금융회사,두산,동일인측,친족,혈족5~6촌,박상현,1779,0.01,446,0.01,2225.0,0.01,21413335.0,0.00010390721482664891,50,50
23,비금융회사,두산,동일인측,친족,혈족5~6촌,박상은,1780,0.01,446,0.01,2226.0,0.01,21413335.0,0.00010395391469848111,50,50
24,비금융회사,두산,동일인측,친족,혈족5~6촌,박윤서,8099,0.05,0,0.00,8099.0,0.04,21413335.0,0.00037822226196900204,50,50
25,비금융회사,두산,동일인측,친족,혈족5~6촌,박상아,6060,0.04,0,0.00,6060.0,0.03,21413335.0,0.00028300122330314264,50,50
26,비금융회사,두산,동일인측,친족,혈족5~6촌,박상정,6056,0.04,0,0.00,6056.0,0.03,21413335.0,0.0002828144238158138,50,50
27,비금융회사,두산,동일인측,친족,인척 4촌 이내,서지원,0,0.00,80814,1.65,80814.0,0.38,21413335.0,0.0037740034422475525,50,50
28,비금융회사,두산,동일인측,친족,인척 4촌 이내,강신애,35982,0.22,0,0.00,35982.0,0.17,21413335.0,0.0016803547882662836,50,50
29,비금융회사,두산,동일인측,친족,인척 4촌 이내,정현주,0,0.00,72733,1.49,72733.0,0.34,21413335.0,0.0033966217779715304,50,50
30,비금융회사,두산,동일인측,친족,인척 4촌 이내,원보연,0,0.00,64651,1.32,64651.0,0.30,21413335.0,0.0030191934138236757,50,50
31,비금융회사,두산,동일인측,친족,인척 4촌 이내,최윤희,0,0.00,48488,0.99,48488.0,0.23,21413335.0,0.002264383385399799,50,50
32,비금융회사,두산,동일인측,친족,친족 합계,/,5984017,36.21,693453,14.18,6677470.0,31.18,21413335.0,0.31183699316337227,0,0
33,비금융회사,두산,동일인측,비영리법인,비영리법인,두산연강재단,510231,3.09,1040413,21.28,1550644.0,7.24,21413335.0,0.07241487605737267,50,0
34,비금융회사,두산,동일인측,비영리법인,비영리법인,동대문미래재단,85164,0.52,0,0.00,85164.0,0.40,21413335.0,0.00397714788471763,50,0
35,비금융회사,두산,동일인측,등기된 임원,등기된 임원,동현수,1087,0.01,0,0.00,1087.0,0.01,21413335.0,5.076276068160331e-05,50,0
36,비금융회사,두산,동일인측,등기된 임원,등기된 임원,김민철,724,0.00,0,0.00,724.0,0.00,21413335.0,3.381070720651407e-05,50,0
37,비금융회사,두산,동일인측,자기주식,자기주식,두산,3000866,18.16,612104,12.52,3612970.0,16.87,21413335.0,0.16872523593358998,50,0
38,비금융회사,두산,동일인측,계열회사(국내+해외),계열회사(국내+해외),-,0,0.00,0,0.00,0.0,0.00,21413335.0,0.0,1,1
39,비금융회사,두산,동일인측,기타 동일인관련자,기타 동일인관련자,-,0,0.00,0,0.00,0.0,0.00,21413335.0,0.0,-1,-1
40,비금융회사,두산,동일인측,동일인측 합계,동일인측 합계,/,10806489,65.40,2366040,48.39,13172529.0,61.52,21413335.0,0.6151554160059608,50,50
41,비금융회사,두산,기타주주,동일인측이 아닌최다주주,동일인측이 아닌최다주주,-,0,0.00,0,0.00,0.0,0.00,21413335.0,0.0,99,99
42,비금융회사,두산,기타주주,기타,기타,/,5717346,34.60,2523460,51.61,8240806.0,38.48,21413335.0,0.3848445839940392,99,99
43,비금융회사,두산,총 계,총 계,총 계,/,16523835,100.00,4889500,100.00,21413335.0,100.00,21413335.0,1.0,50,50
44,비금융회사,두산퓨얼셀,동일인측,동일인,동일인,박정원,4094415,7.38%,67116,0.41%,4161531.0,5.79%,71844226.0,0.05792436263423591,0,0
45,비금융회사,두산퓨얼셀,동일인측,친족,배우자/혈족1촌,김소영,-,-,405367,2.48%,405367.0,0.56%,71844226.0,0.0056423045047489274,50,50
46,비금융회사,두산퓨얼셀,동일인측,친족,배우자/혈족1촌,박상민,54310,0.10%,-,-,54310.0,0.08%,71844226.0,0.000755941055026468,50,50
47,비금융회사,두산퓨얼셀,동일인측,친족,배우자/혈족1촌,박상수,65229,0.12%,-,-,65229.0,0.09%,71844226.0,0.0009079226492049618,50,50
48,비금융회사,두산퓨얼셀,동일인측,친족,혈족2~4촌,박지원,2729544,4.92%,33805,0.21%,2763349.0,3.85%,71844226.0,0.03846306312771746,50,50
49,비금융회사,두산퓨얼셀,동일인측,친족,혈족2~4촌,박혜원,1361841,2.45%,174555,1.07%,1536396.0,2.14%,71844226.0,0.02138510059249577,50,50
50,비금융회사,두산퓨얼셀,동일인측,친족,혈족2~4촌,박상우,21274,0.04%,-,-,21274.0,0.03%,71844226.0,0.00029611287064321634,50,50
51,비금융회사,두산퓨얼셀,동일인측,친족,혈족2~4촌,박상진,21274,0.04%,-,-,21274.0,0.03%,71844226.0,0.00029611287064321634,50,50
52,비금융회사,두산퓨얼셀,동일인측,친족,혈족2~4촌,박용만,2351516,4.24%,54606,0.33%,2406122.0,3.35%,71844226.0,0.033490819429246824,50,50
53,비금융회사,두산퓨얼셀,동일인측,친족,혈족2~4촌,박용성,1922520,3.46%,-,-,1922520.0,2.68%,71844226.0,0.026759561721772882,50,50
54,비금융회사,두산퓨얼셀,동일인측,친족,혈족2~4촌,박용현,1898934,3.42%,16326,0.10%,1915260.0,2.67%,71844226.0,0.02665850975971263,50,50
55,비금융회사,두산퓨얼셀,동일인측,친족,혈족2~4촌,서장원,20226,0.04%,5044,0.03%,25270.0,0.04%,71844226.0,0.00035173320678546946,50,50
56,비금융회사,두산퓨얼셀,동일인측,친족,혈족2~4촌,서주원,20226,0.04%,5047,0.03%,25273.0,0.04%,71844226.0,0.0003517749637945852,50,50
57,비금융회사,두산퓨얼셀,동일인측,친족,혈족2~4촌,박서원,1084874,1.95%,191625,1.17%,1276499.0,1.78%,71844226.0,0.017767593459772257,50,50
58,비금융회사,두산퓨얼셀,동일인측,친족,혈족2~4촌,박석원,1647390,2.97%,18171,0.11%,1665561.0,2.32%,71844226.0,0.02318294861997678,50,50
59,비금융회사,두산퓨얼셀,동일인측,친족,혈족2~4촌,박인원,1098441,1.98%,12111,0.07%,1110552.0,1.55%,71844226.0,0.015457776662525392,50,50
60,비금융회사,두산퓨얼셀,동일인측,친족,혈족2~4촌,박재원,898003,1.62%,156780,0.96%,1054783.0,1.47%,71844226.0,0.014681527782065605,50,50
61,비금융회사,두산퓨얼셀,동일인측,친족,혈족2~4촌,박진원,2013593,3.63%,319481,1.95%,2333074.0,3.25%,71844226.0,0.032474064095283035,50,50
62,비금융회사,두산퓨얼셀,동일인측,친족,혈족2~4촌,박태원,1491315,2.69%,16154,0.10%,1507469.0,2.10%,71844226.0,0.020982465591598134,50,50
63,비금융회사,두산퓨얼셀,동일인측,친족,혈족2~4촌,박형원,1098441,1.98%,12111,0.07%,1110552.0,1.55%,71844226.0,0.015457776662525392,50,50
64,비금융회사,두산퓨얼셀,동일인측,친족,혈족5~6촌,박상아,20265,0.04%,-,-,20265.0,0.03%,71844226.0,0.00028206859657726704,50,50
65,비금융회사,두산퓨얼셀,동일인측,친족,혈족5~6촌,박상은,5953,0.01%,1493,0.01%,7446.0,0.01%,71844226.0,0.00010364089662542957,50,50
66,비금융회사,두산퓨얼셀,동일인측,친족,혈족5~6촌,박상인,5950,0.01%,1493,0.01%,7443.0,0.01%,71844226.0,0.00010359913961631377,50,50
67,비금융회사,두산퓨얼셀,동일인측,친족,혈족5~6촌,박상정,20253,0.04%,-,-,20253.0,0.03%,71844226.0,0.00028190156854080383,50,50
68,비금융회사,두산퓨얼셀,동일인측,친족,혈족5~6촌,박상현,5950,0.01%,1493,0.01%,7443.0,0.01%,71844226.0,0.00010359913961631377,50,50
69,비금융회사,두산퓨얼셀,동일인측,친족,혈족5~6촌,박상효,5947,0.01%,1493,0.01%,7440.0,0.01%,71844226.0,0.00010355738260719797,50,50
70,비금융회사,두산퓨얼셀,동일인측,친족,혈족5~6촌,박윤서,27085,0.05%,-,-,27085.0,0.04%,71844226.0,0.00037699619730053186,50,50
71,비금융회사,두산퓨얼셀,동일인측,친족,인척 4촌 이내,서지원,-,-,270246,1.65%,270246.0,0.38%,71844226.0,0.003761554895170003,50,50
72,비금융회사,두산퓨얼셀,동일인측,친족,인척 4촌 이내,강신애,120327,0.22%,-,-,120327.0,0.17%,71844226.0,0.0016748318786258482,50,50
73,비금융회사,두산퓨얼셀,동일인측,친족,인척 4촌 이내,원보연,-,-,216196,1.32%,216196.0,0.30%,71844226.0,0.0030092327809335714,50,50
74,비금융회사,두산퓨얼셀,동일인측,친족,인척 4촌 이내,정현주,-,-,243221,1.49%,243221.0,0.34%,71844226.0,0.0033853938380517873,50,50
75,비금융회사,두산퓨얼셀,동일인측,친족,인척 4촌 이내,최윤희,-,-,162146,0.99%,162146.0,0.23%,71844226.0,0.00225691066669714,50,50
76,비금융회사,두산퓨얼셀,동일인측,친족,친족 합계,/,20010681,36.06%,2318964,14.18%,22329645.0,31.08%,71844226.0,0.3108063966059012,0,0
77,비금융회사,두산퓨얼셀,동일인측,비영리법인,비영리법인,두산연강재단,1706224,3.07%,3479161,21.28%,5185385.0,7.22%,71844226.0,0.0721753895713206,50,0
78,비금융회사,두산퓨얼셀,동일인측,비영리법인,비영리법인,동대문미래재단,284791,0.51%,-,-,284791.0,0.40%,71844226.0,0.0039640067943664675,50,0
79,비금융회사,두산퓨얼셀,동일인측,등기된 임원,등기된 임원,-,-,-,-,-,,-,71844226.0,,50,0
80,비금융회사,두산퓨얼셀,동일인측,자기주식,자기주식,두산퓨얼셀,3915,0.01%,1517,0.01%,5432.0,0.01%,71844226.0,7.56080245056854e-05,50,0
81,비금융회사,두산퓨얼셀,동일인측,계열회사(국내+해외),계열회사(국내+해외),두산,10016672,18.05%,2039091,12.47%,12055763.0,16.78%,71844226.0,0.16780420182966407,1,1
82,비금융회사,두산퓨얼셀,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,,-,71844226.0,,-1,-1
83,비금융회사,두산퓨얼셀,동일인측,동일인측 합계,동일인측 합계,/,36116698,65.08%,7905849,48.35%,44022547.0,61.27%,71844226.0,0.6127499654599939,50,50
84,비금융회사,두산퓨얼셀,기타주주,동일인측이 아닌최다주주,동일인측이 아닌최다주주,-,-,-,-,-,,-,71844226.0,,99,99
85,비금융회사,두산퓨얼셀,기타주주,기타,기타,/,19377028,34.92%,8444651,51.65%,27821679.0,38.73%,71844226.0,0.38725003454000606,99,99
86,비금융회사,두산퓨얼셀,총 계,총 계,총 계,/,55493726,100.00%,16350500,100.00%,71844226.0,100.00%,71844226.0,1.0,50,50
87,비금융회사,두산솔루스,동일인측,동일인,동일인,박정원,2256867,7.38%,36994,0.41%,2293861.0,5.79%,39602208.0,0.05792255320713431,0,0
88,비금융회사,두산솔루스,동일인측,친족,배우자/혈족1촌,김소영,-,0.00%,223441,2.48%,223441.0,0.56%,39602208.0,0.005642134903185196,50,50
89,비금융회사,두산솔루스,동일인측,친족,배우자/혈족1촌,박상민,29936,0.10%,-,0.00%,29936.0,0.08%,39602208.0,0.0007559174478352318,50,50
90,비금융회사,두산솔루스,동일인측,친족,배우자/혈족1촌,박상수,35954,0.12%,-,0.00%,35954.0,0.09%,39602208.0,0.0009078786718154705,50,50
91,비금융회사,두산솔루스,동일인측,친족,혈족2~4촌,박지원,1504542,4.92%,18633,0.21%,1523175.0,3.85%,39602208.0,0.03846187061085079,50,50
92,비금융회사,두산솔루스,동일인측,친족,혈족2~4촌,박혜원,750655,2.45%,96215,1.07%,846870.0,2.14%,39602208.0,0.021384413717538173,50,50
93,비금융회사,두산솔루스,동일인측,친족,혈족2~4촌,박상우,11726,0.04%,-,0.00%,11726.0,0.03%,39602208.0,0.0002960946015939313,50,50
94,비금융회사,두산솔루스,동일인측,친족,혈족2~4촌,박상진,11726,0.04%,-,0.00%,11726.0,0.03%,39602208.0,0.0002960946015939313,50,50
95,비금융회사,두산솔루스,동일인측,친족,혈족2~4촌,박용만,1296171,4.24%,30099,0.33%,1326270.0,3.35%,39602208.0,0.03348979935664193,50,50
96,비금융회사,두산솔루스,동일인측,친족,혈족2~4촌,박용성,1059705,3.46%,-,0.00%,1059705.0,2.68%,39602208.0,0.02675873527051825,50,50
97,비금융회사,두산솔루스,동일인측,친족,혈족2~4촌,박용현,1046704,3.42%,8998,0.10%,1055702.0,2.67%,39602208.0,0.02665765504792056,50,50
98,비금융회사,두산솔루스,동일인측,친족,혈족2~4촌,서장원,11148,0.04%,2779,0.03%,13927.0,0.04%,39602208.0,0.0003516723107964081,50,50
99,비금융회사,두산솔루스,동일인측,친족,혈족2~4촌,서주원,11148,0.04%,2781,0.03%,13929.0,0.04%,39602208.0,0.000351722813031031,50,50
100,비금융회사,두산솔루스,동일인측,친족,혈족2~4촌,박서원,597990,1.95%,105624,1.17%,703614.0,1.78%,39602208.0,0.017767039655970696,50,50
101,비금융회사,두산솔루스,동일인측,친족,혈족2~4촌,박석원,908052,2.97%,10016,0.11%,918068.0,2.32%,39602208.0,0.023182242767877993,50,50
102,비금융회사,두산솔루스,동일인측,친족,혈족2~4촌,박인원,605468,1.98%,6676,0.07%,612144.0,1.55%,39602208.0,0.01545731995549339,50,50
103,비금융회사,두산솔루스,동일인측,친족,혈족2~4촌,박재원,494985,1.62%,86418,0.96%,581403.0,1.47%,39602208.0,0.01468107535822245,50,50
104,비금융회사,두산솔루스,동일인측,친족,혈족2~4촌,박진원,1109905,3.63%,176099,1.95%,1286004.0,3.25%,39602208.0,0.03247303786697954,50,50
105,비금융회사,두산솔루스,동일인측,친족,혈족2~4촌,박태원,822022,2.69%,8904,0.10%,830926.0,2.10%,39602208.0,0.020981809903124593,50,50
106,비금융회사,두산솔루스,동일인측,친족,혈족2~4촌,박형원,605468,1.98%,6676,0.07%,612144.0,1.55%,39602208.0,0.01545731995549339,50,50
107,비금융회사,두산솔루스,동일인측,친족,혈족5~6촌,박상아,11170,0.04%,-,0.00%,11170.0,0.03%,39602208.0,0.00028205498036877136,50,50
108,비금융회사,두산솔루스,동일인측,친족,혈족5~6촌,박상은,3281,0.01%,823,0.01%,4104.0,0.01%,39602208.0,0.00010363058544614482,50,50
109,비금융회사,두산솔루스,동일인측,친족,혈족5~6촌,박상인,3279,0.01%,823,0.01%,4102.0,0.01%,39602208.0,0.00010358008321152195,50,50
110,비금융회사,두산솔루스,동일인측,친족,혈족5~6촌,박상정,11163,0.04%,-,0.00%,11163.0,0.03%,39602208.0,0.0002818782225475913,50,50
111,비금융회사,두산솔루스,동일인측,친족,혈족5~6촌,박상현,3279,0.01%,823,0.01%,4102.0,0.01%,39602208.0,0.00010358008321152195,50,50
112,비금융회사,두산솔루스,동일인측,친족,혈족5~6촌,박상효,3278,0.01%,823,0.01%,4101.0,0.01%,39602208.0,0.0001035548320942105,50,50
113,비금융회사,두산솔루스,동일인측,친족,혈족5~6촌,박윤서,14929,0.05%,-,0.00%,14929.0,0.04%,39602208.0,0.0003769739303424698,50,50
114,비금융회사,두산솔루스,동일인측,친족,인척 4촌 이내,서지원,-,0.00%,148961,1.65%,148961.0,0.38%,39602208.0,0.0037614316858292345,50,50
115,비금융회사,두산솔루스,동일인측,친족,인척 4촌 이내,강신애,66325,0.22%,-,0.00%,66325.0,0.17%,39602208.0,0.0016747803556811781,50,50
116,비금융회사,두산솔루스,동일인측,친족,인척 4촌 이내,원보연,-,0.00%,119168,1.32%,119168.0,0.30%,39602208.0,0.0030091251477695384,50,50
117,비금융회사,두산솔루스,동일인측,친족,인척 4촌 이내,정현주,-,0.00%,134065,1.49%,134065.0,0.34%,39602208.0,0.0033852910423580423,50,50
118,비금융회사,두산솔루스,동일인측,친족,인척 4촌 이내,최윤희,-,0.00%,89376,0.99%,89376.0,0.23%,39602208.0,0.002256843860827154,50,50
119,비금융회사,두산솔루스,동일인측,친족,친족 합계,/,11030009,36.06%,1278221,14.18%,12308230.0,31.08%,39602208.0,0.31079655962617037,0,0
120,비금융회사,두산솔루스,동일인측,비영리법인,비영리법인,(재)두산연강재단,940481,3.07%,1917735,21.28%,2858216.0,7.22%,39602208.0,0.07217314751743135,50,0
121,비금융회사,두산솔루스,동일인측,비영리법인,비영리법인,(재)동대문미래재단,156979,0.51%,-,0.00%,156979.0,0.40%,39602208.0,0.003963895144432351,50,0
122,비금융회사,두산솔루스,동일인측,등기된 임원,등기된 임원,이윤석,21212,0.07%,-,0.00%,21212.0,0.05%,39602208.0,0.0005356267004102398,50,0
123,비금융회사,두산솔루스,동일인측,등기된 임원,등기된 임원,서정호,5729,0.02%,-,0.00%,5729.0,0.01%,39602208.0,0.00014466365107723288,50,0
124,비금융회사,두산솔루스,동일인측,등기된 임원,등기된 임원,곽근만,1500,0.00%,-,0.00%,1500.0,0.00%,39602208.0,3.787667596715819e-05,50,0
125,비금융회사,두산솔루스,동일인측,자기주식,자기주식,두산솔루스,5046,0.02%,2076,0.02%,7122.0,0.02%,39602208.0,0.0001798384574920671,50,0
126,비금융회사,두산솔루스,동일인측,계열회사(국내+해외),계열회사(국내+해외),두산,5521220,18.05%,1123910,12.47%,6645130.0,16.78%,39602208.0,0.16779695717976129,1,1
127,비금융회사,두산솔루스,동일인측,기타 동일인관련자,기타 동일인관련자,,,,,,,,39602208.0,,-1,-1
128,비금융회사,두산솔루스,동일인측,동일인측 합계,동일인측 합계,/,19939043,65.18%,4358936,48.37%,24297979.0,61.36%,39602208.0,0.6135511181598763,50,50
129,비금융회사,두산솔루스,기타주주,동일인측이 아닌최다주주,동일인측이 아닌최다주주,,,,,,,,39602208.0,,99,99
130,비금융회사,두산솔루스,기타주주,기타,기타,/,10650715,34.82%,4653514,51.63%,15304229.0,38.64%,39602208.0,0.38644888184012366,99,99
131,비금융회사,두산솔루스,총 계,총 계,총 계,/,30589758,100.00%,9012450,100.00%,39602208.0,100.00%,39602208.0,1.0,50,50
132,비금융회사,두산중공업,동일인측,동일인,동일인,박정원,272938,0.11%,0,0.00%,272938.0,0.11%,253140778.0,0.001078206372582137,0,0
133,비금융회사,두산중공업,동일인측,친족,배우자/혈족1촌,김소영,3718,0.00%,0,0.00%,3718.0,0.00%,253140778.0,1.468747954942289e-05,50,50
134,비금융회사,두산중공업,동일인측,친족,혈족2~4촌,박혜원,99260,0.04%,0,0.00%,99260.0,0.04%,253140778.0,0.00039211383003650245,50,50
135,비금융회사,두산중공업,동일인측,친족,혈족2~4촌,박지원,182806,0.07%,0,0.00%,182806.0,0.07%,253140778.0,0.0007221515294544919,50,50
136,비금융회사,두산중공업,동일인측,친족,혈족2~4촌,박용성,8219,0.00%,0,0.00%,8219.0,0.00%,253140778.0,3.2468099627946946e-05,50,50
137,비금융회사,두산중공업,동일인측,친족,혈족2~4촌,박용현,11781,0.00%,0,0.00%,11781.0,0.00%,253140778.0,4.653932129417727e-05,50,50
138,비금융회사,두산중공업,동일인측,친족,혈족2~4촌,박용만,31231,0.01%,0,0.00%,31231.0,0.01%,253140778.0,0.00012337403814094306,50,50
139,비금융회사,두산중공업,동일인측,친족,혈족2~4촌,박상우,2513,0.00%,0,0.00%,2513.0,0.00%,253140778.0,9.927282438864907e-06,50,50
140,비금융회사,두산중공업,동일인측,친족,혈족2~4촌,박상진,2506,0.00%,0,0.00%,2506.0,0.00%,253140778.0,9.899629841542163e-06,50,50
141,비금융회사,두산중공업,동일인측,친족,혈족2~4촌,박진원,206037,0.08%,0,0.00%,206037.0,0.08%,253140778.0,0.0008139225992265853,50,50
142,비금융회사,두산중공업,동일인측,친족,혈족2~4촌,박석원,158748,0.06%,0,0.00%,158748.0,0.06%,253140778.0,0.0006271135028272688,50,50
143,비금융회사,두산중공업,동일인측,친족,혈족2~4촌,박태원,141112,0.06%,0,0.00%,141112.0,0.06%,253140778.0,0.0005574447590581396,50,50
144,비금융회사,두산중공업,동일인측,친족,혈족2~4촌,박형원,105840,0.04%,0,0.00%,105840.0,0.04%,253140778.0,0.0004181072715198813,50,50
145,비금융회사,두산중공업,동일인측,친족,혈족2~4촌,박인원,105840,0.04%,0,0.00%,105840.0,0.04%,253140778.0,0.0004181072715198813,50,50
146,비금융회사,두산중공업,동일인측,친족,혈족2~4촌,박서원,109939,0.04%,0,0.00%,109939.0,0.04%,253140778.0,0.0004342998424378707,50,50
147,비금융회사,두산중공업,동일인측,친족,혈족2~4촌,박재원,90201,0.04%,0,0.00%,90201.0,0.04%,253140778.0,0.0003563274187298263,50,50
148,비금융회사,두산중공업,동일인측,친족,혈족5~6촌,박상효,131,0.00%,0,0.00%,131.0,0.00%,253140778.0,5.174986070399136e-07,50,50
149,비금융회사,두산중공업,동일인측,친족,혈족5~6촌,박상인,131,0.00%,0,0.00%,131.0,0.00%,253140778.0,5.174986070399136e-07,50,50
150,비금융회사,두산중공업,동일인측,친족,혈족5~6촌,박상현,131,0.00%,0,0.00%,131.0,0.00%,253140778.0,5.174986070399136e-07,50,50
