,소속회사명1,소속회사명2,동일인과의 관계1,동일인과의 관계2,동일인과의 관계3,성명,보통주 주식수,보통주 지분율,우선주 주식수,우선주 지분율,합계 주식수,합계 지분율,divisor,shares,type,type2
0,비금융회사,삼양홀딩스,동일인측,동일인,동일인,김윤,412390,4.82,0,0.00,412390.0,4.65,8868329.0,0.046501432231483515,0,0
1,비금융회사,삼양홀딩스,동일인측,친족,배우자/혈족1촌,김유희,26244,0.31,0,0.00,26244.0,0.30,8868329.0,0.0029592948119087597,50,50
2,비금융회사,삼양홀딩스,동일인측,친족,배우자/혈족1촌,김건호,191080,2.23,0,0.00,191080.0,2.15,8868329.0,0.021546336406779675,50,50
3,비금융회사,삼양홀딩스,동일인측,친족,배우자/혈족1촌,김남호,127993,1.49,0,0.00,127993.0,1.44,8868329.0,0.014432594911623148,50,50
4,비금융회사,삼양홀딩스,동일인측,친족,혈족2~4촌,김량,325350,3.80,0,0.00,325350.0,3.67,8868329.0,0.036686730950103455,50,50
5,비금융회사,삼양홀딩스,동일인측,친족,혈족2~4촌,김민지,64620,0.75,0,0.00,64620.0,0.73,8868329.0,0.007286603823561349,50,50
6,비금융회사,삼양홀딩스,동일인측,친족,혈족2~4촌,김태호,148464,1.73,0,0.00,148464.0,1.67,8868329.0,0.01674092154226574,50,50
7,비금융회사,삼양홀딩스,동일인측,친족,혈족2~4촌,김유주,99662,1.16,0,0.00,99662.0,1.12,8868329.0,0.0112379682801574,50,50
8,비금융회사,삼양홀딩스,동일인측,친족,혈족2~4촌,윤혜연,5105,0.06,0,0.00,5105.0,0.06,8868329.0,0.0005756439572776337,50,50
9,비금융회사,삼양홀딩스,동일인측,친족,혈족2~4촌,김영주,192543,2.25,0,0.00,192543.0,2.17,8868329.0,0.02171130547817971,50,50
10,비금융회사,삼양홀딩스,동일인측,친족,혈족2~4촌,김상하,88559,1.03,0,0.00,88559.0,1.00,8868329.0,0.00998598495838393,50,50
11,비금융회사,삼양홀딩스,동일인측,친족,혈족2~4촌,김원,497525,5.81,0,0.00,497525.0,5.61,8868329.0,0.05610132416151904,50,50
12,비금융회사,삼양홀딩스,동일인측,친족,혈족2~4촌,김정,451766,5.28,0,0.00,451766.0,5.09,8868329.0,0.0509415020574902,50,50
13,비금융회사,삼양홀딩스,동일인측,친족,혈족5~6촌,김남희,56283,0.66,0,0.00,56283.0,0.63,8868329.0,0.0063465169142912945,50,50
14,비금융회사,삼양홀딩스,동일인측,친족,혈족5~6촌,김주희,56376,0.66,0,0.00,56376.0,0.64,8868329.0,0.0063570036700262246,50,50
15,비금융회사,삼양홀딩스,동일인측,친족,혈족5~6촌,김율희,25191,0.29,0,0.00,25191.0,0.28,8868329.0,0.0028405576743939023,50,50
16,비금융회사,삼양홀딩스,동일인측,친족,혈족5~6촌,김주형,44551,0.52,0,0.00,44551.0,0.50,8868329.0,0.0050236070402891,50,50
17,비금융회사,삼양홀딩스,동일인측,친족,혈족5~6촌,김희원,80736,0.94,0,0.00,80736.0,0.91,8868329.0,0.009103857107691878,50,50
18,비금융회사,삼양홀딩스,동일인측,친족,혈족5~6촌,김주성,44358,0.52,0,0.00,44358.0,0.50,8868329.0,0.0050018442031187615,50,50
19,비금융회사,삼양홀딩스,동일인측,친족,혈족5~6촌,송근화,61998,0.72,0,0.00,61998.0,0.70,8868329.0,0.0069909449683249235,50,50
20,비금융회사,삼양홀딩스,동일인측,친족,혈족5~6촌,송지영,61991,0.72,0,0.00,61991.0,0.70,8868329.0,0.006990155642624445,50,50
21,비금융회사,삼양홀딩스,동일인측,친족,인척 4촌 이내,윤영섭,12904,0.15,0,0.00,12904.0,0.15,8868329.0,0.001455065548425188,50,50
22,비금융회사,삼양홀딩스,동일인측,친족,인척 4촌 이내,장영은,26244,0.31,0,0.00,26244.0,0.30,8868329.0,0.0029592948119087597,50,50
23,비금융회사,삼양홀딩스,동일인측,친족,인척 4촌 이내,박상례,25258,0.29,0,0.00,25258.0,0.28,8868329.0,0.002848112648955626,50,50
24,비금융회사,삼양홀딩스,동일인측,친족,인척 4촌 이내,배주연,109623,1.28,0,0.00,109623.0,1.24,8868329.0,0.0123611787519385,50,50
25,비금융회사,삼양홀딩스,동일인측,친족,인척 4촌 이내,송하철,61999,0.72,0,0.00,61999.0,0.70,8868329.0,0.006991057729139278,50,50
26,비금융회사,삼양홀딩스,동일인측,친족,인척 4촌 이내,최윤아,20000,0.23,0,0.00,20000.0,0.23,8868329.0,0.0022552162870818166,50,50
27,비금융회사,삼양홀딩스,동일인측,친족,친족 합계,/,2906423,33.94,0,0.00,2906423.0,32.77,8868329.0,0.32773062433745975,0,0
28,비금융회사,삼양홀딩스,동일인측,비영리법인,비영리법인,(재)수당재단,253703,2.96,0,0.00,253703.0,2.86,8868329.0,0.028607756884075908,50,0
29,비금융회사,삼양홀딩스,동일인측,비영리법인,비영리법인,(재)양영재단,447474,5.22,0,0.00,447474.0,5.05,8868329.0,0.05045753264228244,50,0
30,비금융회사,삼양홀딩스,동일인측,등기된 임원,등기된 임원,이두성,1000,0.01,0,0.00,1000.0,0.01,8868329.0,0.00011276081435409083,50,0
31,비금융회사,삼양홀딩스,동일인측,자기주식,자기주식,삼양홀딩스,1128726,13.18,85,0.03,1128811.0,12.73,8868329.0,0.12728564761185562,50,0
