,소속회사명1,소속회사명2,동일인과의 관계1,동일인과의 관계2,동일인과의 관계3,성명,보통주 주식수,보통주 지분율,우선주 주식수,우선주 지분율,합계 주식수,합계 지분율,divisor,shares,type,type2
0,비금융회사,신세계,동일인측,동일인,동일인,이명희,1794186,18.22,-,-,1794186.0,18.22,9845181.0,0.1822400217934033,0,0
1,비금융회사,신세계,동일인측,친족,배우자/혈족1촌,정유경,1017853,10.34,-,-,1017853.0,10.34,9845181.0,0.10338591032506157,50,50
2,비금융회사,신세계,동일인측,친족,혈족2~4촌,-,-,-,-,-,,-,9845181.0,,50,50
3,비금융회사,신세계,동일인측,친족,혈족5~6촌,-,-,-,-,-,,-,9845181.0,,50,50
4,비금융회사,신세계,동일인측,친족,인척 4촌 이내,-,-,-,-,-,,-,9845181.0,,50,50
5,비금융회사,신세계,동일인측,친족,친족 합계,/,2812039,28.56,-,-,1017853.0,28.56,9845181.0,0.10338591032506157,0,0
6,비금융회사,신세계,동일인측,비영리법인,비영리법인,-,-,-,-,-,,-,9845181.0,,50,0
7,비금융회사,신세계,동일인측,등기된 임원,등기된 임원,장재영,281,0.00,-,-,281.0,0.00,9845181.0,2.8541882571788167e-05,50,0
8,비금융회사,신세계,동일인측,등기된 임원,등기된 임원,박주형,345,0.00,-,-,345.0,0.00,9845181.0,3.504252486571857e-05,50,0
9,비금융회사,신세계,동일인측,등기된 임원,등기된 임원,차정호,560,0.01,-,,560.0,0.01,9845181.0,5.688062007189101e-05,50,0
10,비금융회사,신세계,동일인측,자기주식,자기주식,신세계,8774,0.09,-,-,8774.0,0.09,9845181.0,0.0008911974294835209,50,0
11,비금융회사,신세계,동일인측,계열회사(국내+해외),계열회사(국내+해외),-,-,-,-,-,,-,9845181.0,,1,1
12,비금융회사,신세계,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,,-,9845181.0,,-1,-1
13,비금융회사,신세계,동일인측,동일인측 합계,동일인측 합계,/,2821999,28.66,-,-,2821999.0,28.66,9845181.0,0.2866375945754578,50,50
14,비금융회사,신세계,기타주주,동일인측이 아닌최다주주,동일인측이 아닌최다주주,-,,,-,,,,9845181.0,,99,99
15,비금융회사,신세계,기타주주,기타,기타,/,7023182,71.34,-,-,7023182.0,71.34,9845181.0,0.7133624054245422,99,99
16,비금융회사,신세계,총 계,총 계,총 계,/,9845181,100.00,-,-,9845181.0,100.00,9845181.0,1.0,50,50
17,비금융회사,신세계센트럴시티,동일인측,동일인,동일인,이명희,-,-,-,-,,-,60000000.0,,0,0
18,비금융회사,신세계센트럴시티,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,,-,60000000.0,,50,50
19,비금융회사,신세계센트럴시티,동일인측,친족,혈족2~4촌,-,-,-,-,-,,-,60000000.0,,50,50
20,비금융회사,신세계센트럴시티,동일인측,친족,혈족5~6촌,-,-,-,-,-,,-,60000000.0,,50,50
21,비금융회사,신세계센트럴시티,동일인측,친족,인척 4촌 이내,-,-,-,-,-,,-,60000000.0,,50,50
22,비금융회사,신세계센트럴시티,동일인측,친족,친족 합계,/,-,-,-,-,,-,60000000.0,,0,0
23,비금융회사,신세계센트럴시티,동일인측,비영리법인,비영리법인,-,-,-,-,-,,-,60000000.0,,50,0
24,비금융회사,신세계센트럴시티,동일인측,등기된 임원,등기된 임원,신진수,1378,0.00,-,-,1378.0,0.00,60000000.0,2.2966666666666668e-05,50,0
25,비금융회사,신세계센트럴시티,동일인측,자기주식,자기주식,신세계센트럴시티,408752,0.68,-,-,408752.0,0.68,60000000.0,0.006812533333333333,50,0
26,비금융회사,신세계센트럴시티,동일인측,계열회사(국내+해외),계열회사(국내+해외),신세계,36011739,60.02,-,-,36011739.0,60.02,60000000.0,0.60019565,1,1
27,비금융회사,신세계센트럴시티,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,,-,60000000.0,,-1,-1
28,비금융회사,신세계센트럴시티,동일인측,동일인측 합계,동일인측 합계,/,36421869,60.70,-,-,36421869.0,60.70,60000000.0,0.60703115,50,50
29,비금융회사,신세계센트럴시티,기타주주,동일인측이 아닌최다주주,동일인측이 아닌최다주주,-,,,-,,,,60000000.0,,99,99
30,비금융회사,신세계센트럴시티,기타주주,기타,기타,/,23578131,39.30,-,-,23578131.0,39.30,60000000.0,0.39296885,99,99
31,비금융회사,신세계센트럴시티,총 계,총 계,총 계,/,60000000,100.00,-,-,60000000.0,100.00,60000000.0,1.0,50,50
32,비금융회사,서울고속버스터미널,동일인측,동일인,동일인,이명희,-,-,-,-,,-,3836574.0,,0,0
33,비금융회사,서울고속버스터미널,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,,-,3836574.0,,50,50
34,비금융회사,서울고속버스터미널,동일인측,친족,혈족2~4촌,-,-,-,-,-,,-,3836574.0,,50,50
35,비금융회사,서울고속버스터미널,동일인측,친족,혈족5~6촌,-,-,-,-,-,,-,3836574.0,,50,50
36,비금융회사,서울고속버스터미널,동일인측,친족,인척 4촌 이내,-,-,-,-,-,,-,3836574.0,,50,50
37,비금융회사,서울고속버스터미널,동일인측,친족,친족 합계,/,-,-,-,-,,-,3836574.0,,0,0
38,비금융회사,서울고속버스터미널,동일인측,비영리법인,비영리법인,-,-,-,-,-,,-,3836574.0,,50,0
39,비금융회사,서울고속버스터미널,동일인측,등기된 임원,등기된 임원,-,-,-,-,-,,-,3836574.0,,50,0
40,비금융회사,서울고속버스터미널,동일인측,자기주식,자기주식,-,-,-,-,-,,-,3836574.0,,50,0
41,비금융회사,서울고속버스터미널,동일인측,계열회사(국내+해외),계열회사(국내+해외),신세계센트럴시티,2491950,64.95,-,-,2491950.0,64.95,3836574.0,0.6495248104167938,1,1
42,비금융회사,서울고속버스터미널,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,,-,3836574.0,,-1,-1
43,비금융회사,서울고속버스터미널,동일인측,동일인측 합계,동일인측 합계,/,2491950,64.95,-,-,2491950.0,64.95,3836574.0,0.6495248104167938,50,50
44,비금융회사,서울고속버스터미널,기타주주,동일인측이 아닌최다주주,동일인측이 아닌최다주주,-,-,-,-,-,,-,3836574.0,,99,99
45,비금융회사,서울고속버스터미널,기타주주,기타,기타,/,1344624,35.05,-,-,1344624.0,35.05,3836574.0,0.3504751895832063,99,99
46,비금융회사,서울고속버스터미널,총 계,총 계,총 계,/,3836574,100.00,-,-,3836574.0,100.00,3836574.0,1.0,50,50
