,소속회사명1,소속회사명2,동일인과의 관계1,동일인과의 관계2,동일인과의 관계3,성명,보통주 주식수,보통주 지분율,우선주 주식수,우선주 지분율,합계 주식수,합계 지분율,divisor,shares,type,type2
0,비금융회사,유진기업,동일인측,동일인,동일인,유경선,8919594,11.54,-,-,8919594.0,11.54,77310863.0,0.11537310093149523,0,0
1,비금융회사,유진기업,동일인측,친족,배우자/혈족1촌,유재필,1919916,2.48,-,-,1919916.0,2.48,77310863.0,0.024833715800068098,50,50
2,비금융회사,유진기업,동일인측,친족,배우자/혈족1촌,유석훈,2365259,3.06,-,-,2365259.0,3.06,77310863.0,0.03059413526401846,50,50
3,비금융회사,유진기업,동일인측,친족,배우자/혈족1촌,구금숙,1839456,2.38,-,-,1839456.0,2.38,77310863.0,0.02379298236523372,50,50
4,비금융회사,유진기업,동일인측,친족,배우자/혈족1촌,유정윤,120152,0.16,-,-,120152.0,0.16,77310863.0,0.0015541412336840684,50,50
5,비금융회사,유진기업,동일인측,친족,배우자/혈족1촌,유정민,123246,0.16,-,-,123246.0,0.16,77310863.0,0.0015941614828436205,50,50
6,비금융회사,유진기업,동일인측,친족,혈족2~4촌,유창수,5295857,6.85,-,-,5295857.0,6.85,77310863.0,0.06850081339798264,50,50
7,비금융회사,유진기업,동일인측,친족,혈족2~4촌,유순태,3389412,4.38,-,-,3389412.0,4.38,77310863.0,0.043841342192752396,50,50
8,비금융회사,유진기업,동일인측,친족,혈족2~4촌,유승연,4370,0.01,-,-,4370.0,0.01,77310863.0,5.652504486982638e-05,50,50
9,비금융회사,유진기업,동일인측,친족,혈족2~4촌,유정연,4420,0.01,-,-,4420.0,0.01,77310863.0,5.7171784513645905e-05,50,50
10,비금융회사,유진기업,동일인측,친족,혈족2~4촌,유동진,222400,0.29,-,-,222400.0,0.29,77310863.0,0.002876697935709242,50,50
11,비금융회사,유진기업,동일인측,친족,혈족2~4촌,유호성,217157,0.28,-,-,217157.0,0.28,77310863.0,0.0028088808166583266,50,50
