,소속회사명1,소속회사명2,동일인과의 관계1,동일인과의 관계2,동일인과의 관계3,성명,보통주 주식수,보통주 지분율,우선주 주식수,우선주 지분율,합계 주식수,합계 지분율,divisor,shares,type,type2
0,비 금 융 회 사,장금상선,동일인측,동일인,동일인,정태순,62000.0,16.85,,,62000.0,16.85,368000.0,0.16847826086956522,0,0
1,비 금 융 회 사,장금상선,동일인측,친 족,배우자/,,,,,,,,368000.0,,50,50
2,비 금 융 회 사,장금상선,동일인측,친 족,혈족1촌,,,,,,,,368000.0,,50,50
3,비 금 융 회 사,장금상선,동일인측,친 족,혈족2~4촌,,,,,,,,368000.0,,50,50
4,비 금 융 회 사,장금상선,동일인측,친 족,혈족2~4촌,,,,,,,,368000.0,,50,50
5,비 금 융 회 사,장금상선,동일인측,친 족,혈족5~6촌,,,,,,,,368000.0,,50,50
6,비 금 융 회 사,장금상선,동일인측,친 족,혈족5~6촌,,,,,,,,368000.0,,50,50
7,비 금 융 회 사,장금상선,동일인측,친 족,인척 4촌 이내,,,,,,,,368000.0,,50,50
8,비 금 융 회 사,장금상선,동일인측,친 족,인척 4촌 이내,,,,,,,,368000.0,,50,50
9,비 금 융 회 사,장금상선,동일인측,친 족,친족 합계,,,,,,,,368000.0,,0,0
10,비 금 융 회 사,장금상선,동일인측,비영리법인,비영리법인,,,,,,,,368000.0,,50,0
11,비 금 융 회 사,장금상선,동일인측,비영리법인,비영리법인,,,,,,,,368000.0,,50,0
12,비 금 융 회 사,장금상선,동일인측,등기된 임원,등기된 임원,,,,,,,,368000.0,,50,0
13,비 금 융 회 사,장금상선,동일인측,등기된 임원,등기된 임원,,,,,,,,368000.0,,50,0
14,비 금 융 회 사,장금상선,동일인측,자기주식,자기주식,,,,,,,,368000.0,,50,0
15,비 금 융 회 사,장금상선,동일인측,계열회사 (국내+해외),계열회사 (국내+해외),국양로지텍,4000.0,1.08,,,4000.0,1.08,368000.0,0.010869565217391304,1,1
16,비 금 융 회 사,장금상선,동일인측,계열회사 (국내+해외),계열회사 (국내+해외),,,,,,,,368000.0,,1,1
17,비 금 융 회 사,장금상선,동일인측,기타 동일인관련자,기타 동일인관련자,"SINOKOR.CO.,LTD",302000.0,82.07,,,302000.0,82.07,368000.0,0.8206521739130435,-1,-1
18,비 금 융 회 사,장금상선,동일인측,동일인측 합계,동일인측 합계,/,368000.0,100.00,,,368000.0,100.00,368000.0,1.0,50,50
19,비 금 융 회 사,장금상선,기타주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,,,,,,,,368000.0,,99,99
20,비 금 융 회 사,장금상선,기타주주,기타,기타,/,,,,,,,368000.0,,99,99
21,비 금 융 회 사,장금상선,총 계,총 계,총 계,/,368000.0,100.00,,,368000.0,100.00,368000.0,1.0,50,50
22,비 금 융 회 사,와이제이씨,동일인측,동일인,동일인,,,,,,,,50000.0,,0,0
23,비 금 융 회 사,와이제이씨,동일인측,친 족,배우자/,,,,,,,,50000.0,,50,50
24,비 금 융 회 사,와이제이씨,동일인측,친 족,혈족1촌,,,,,,,,50000.0,,50,50
25,비 금 융 회 사,와이제이씨,동일인측,친 족,혈족2~4촌,,,,,,,,50000.0,,50,50
26,비 금 융 회 사,와이제이씨,동일인측,친 족,혈족2~4촌,,,,,,,,50000.0,,50,50
27,비 금 융 회 사,와이제이씨,동일인측,친 족,혈족5~6촌,,,,,,,,50000.0,,50,50
28,비 금 융 회 사,와이제이씨,동일인측,친 족,혈족5~6촌,,,,,,,,50000.0,,50,50
29,비 금 융 회 사,와이제이씨,동일인측,친 족,인척 4촌 이내,,,,,,,,50000.0,,50,50
30,비 금 융 회 사,와이제이씨,동일인측,친 족,인척 4촌 이내,,,,,,,,50000.0,,50,50
31,비 금 융 회 사,와이제이씨,동일인측,친 족,친족 합계,/,,,,,,,50000.0,,0,0
32,비 금 융 회 사,와이제이씨,동일인측,비영리법인,비영리법인,,,,,,,,50000.0,,50,0
33,비 금 융 회 사,와이제이씨,동일인측,비영리법인,비영리법인,,,,,,,,50000.0,,50,0
34,비 금 융 회 사,와이제이씨,동일인측,등기된 임원,등기된 임원,,,,,,,,50000.0,,50,0
35,비 금 융 회 사,와이제이씨,동일인측,등기된 임원,등기된 임원,,,,,,,,50000.0,,50,0
36,비 금 융 회 사,와이제이씨,동일인측,자기주식,자기주식,,,,,,,,50000.0,,50,0
37,비 금 융 회 사,와이제이씨,동일인측,계열회사 (국내+해외),계열회사 (국내+해외),장금상선,50000.0,100.00,,,50000.0,100.00,50000.0,1.0,1,1
38,비 금 융 회 사,와이제이씨,동일인측,계열회사 (국내+해외),계열회사 (국내+해외),,,,,,,,50000.0,,1,1
39,비 금 융 회 사,와이제이씨,동일인측,기타 동일인관련자,기타 동일인관련자,,,,,,,,50000.0,,-1,-1
40,비 금 융 회 사,와이제이씨,동일인측,동일인측 합계,동일인측 합계,/,50000.0,100.00,,,50000.0,100.00,50000.0,1.0,50,50
41,비 금 융 회 사,와이제이씨,기타주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,,,,,,,,50000.0,,99,99
42,비 금 융 회 사,와이제이씨,기타주주,기타,기타,/,,,,,,,50000.0,,99,99
43,비 금 융 회 사,와이제이씨,총 계,총 계,총 계,/,50000.0,100.00,,,50000.0,100.00,50000.0,1.0,50,50
44,비 금 융 회 사,피엔씨티,동일인측,동일인,동일인,,,,,,,,2672000.0,,0,0
45,비 금 융 회 사,피엔씨티,동일인측,친 족,배우자/,,,,,,,,2672000.0,,50,50
46,비 금 융 회 사,피엔씨티,동일인측,친 족,혈족1촌,,,,,,,,2672000.0,,50,50
47,비 금 융 회 사,피엔씨티,동일인측,친 족,혈족2~4촌,,,,,,,,2672000.0,,50,50
48,비 금 융 회 사,피엔씨티,동일인측,친 족,혈족2~4촌,,,,,,,,2672000.0,,50,50
49,비 금 융 회 사,피엔씨티,동일인측,친 족,혈족5~6촌,,,,,,,,2672000.0,,50,50
50,비 금 융 회 사,피엔씨티,동일인측,친 족,혈족5~6촌,,,,,,,,2672000.0,,50,50
51,비 금 융 회 사,피엔씨티,동일인측,친 족,인척 4촌 이내,,,,,,,,2672000.0,,50,50
52,비 금 융 회 사,피엔씨티,동일인측,친 족,인척 4촌 이내,,,,,,,,2672000.0,,50,50
53,비 금 융 회 사,피엔씨티,동일인측,친 족,친족 합계,/,,,,,,,2672000.0,,0,0
54,비 금 융 회 사,피엔씨티,동일인측,비영리법인,비영리법인,,,,,,,,2672000.0,,50,0
55,비 금 융 회 사,피엔씨티,동일인측,비영리법인,비영리법인,,,,,,,,2672000.0,,50,0
56,비 금 융 회 사,피엔씨티,동일인측,등기된 임원,등기된 임원,,,,,,,,2672000.0,,50,0
57,비 금 융 회 사,피엔씨티,동일인측,등기된 임원,등기된 임원,,,,,,,,2672000.0,,50,0
58,비 금 융 회 사,피엔씨티,동일인측,자기주식,자기주식,,,,,,,,2672000.0,,50,0
59,비 금 융 회 사,피엔씨티,동일인측,계열회사 (국내+해외),계열회사 (국내+해외),부산항터미널,2672000.0,100.00,,,2672000.0,100.00,2672000.0,1.0,1,1
60,비 금 융 회 사,피엔씨티,동일인측,계열회사 (국내+해외),계열회사 (국내+해외),,,,,,,,2672000.0,,1,1
61,비 금 융 회 사,피엔씨티,동일인측,기타 동일인관련자,기타 동일인관련자,,,,,,,,2672000.0,,-1,-1
62,비 금 융 회 사,피엔씨티,동일인측,동일인측 합계,동일인측 합계,/,2672000.0,100.00,,,2672000.0,100.00,2672000.0,1.0,50,50
63,비 금 융 회 사,피엔씨티,기타주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,,,,,,,,2672000.0,,99,99
64,비 금 융 회 사,피엔씨티,기타주주,기타,기타,/,,,,,,,2672000.0,,99,99
65,비 금 융 회 사,피엔씨티,총 계,총 계,총 계,/,2672000.0,100.00%,,,2672000.0,100.00%,2672000.0,1.0,50,50
66,비 금 융 회 사,한성라인,동일인측,동일인,동일인,,,,,,,,50000.0,,0,0
67,비 금 융 회 사,한성라인,동일인측,친 족,배우자/,,,,,,,,50000.0,,50,50
68,비 금 융 회 사,한성라인,동일인측,친 족,혈족1촌,,,,,,,,50000.0,,50,50
69,비 금 융 회 사,한성라인,동일인측,친 족,혈족2~4촌,,,,,,,,50000.0,,50,50
70,비 금 융 회 사,한성라인,동일인측,친 족,혈족2~4촌,,,,,,,,50000.0,,50,50
71,비 금 융 회 사,한성라인,동일인측,친 족,혈족5~6촌,,,,,,,,50000.0,,50,50
72,비 금 융 회 사,한성라인,동일인측,친 족,혈족5~6촌,,,,,,,,50000.0,,50,50
73,비 금 융 회 사,한성라인,동일인측,친 족,인척 4촌 이내,,,,,,,,50000.0,,50,50
74,비 금 융 회 사,한성라인,동일인측,친 족,인척 4촌 이내,,,,,,,,50000.0,,50,50
75,비 금 융 회 사,한성라인,동일인측,친 족,친족 합계,/,,,,,,,50000.0,,0,0
76,비 금 융 회 사,한성라인,동일인측,비영리법인,비영리법인,,,,,,,,50000.0,,50,0
77,비 금 융 회 사,한성라인,동일인측,비영리법인,비영리법인,,,,,,,,50000.0,,50,0
78,비 금 융 회 사,한성라인,동일인측,등기된 임원,등기된 임원,,,,,,,,50000.0,,50,0
79,비 금 융 회 사,한성라인,동일인측,등기된 임원,등기된 임원,,,,,,,,50000.0,,50,0
80,비 금 융 회 사,한성라인,동일인측,자기주식,자기주식,,,,,,,,50000.0,,50,0
81,비 금 융 회 사,한성라인,동일인측,계열회사 (국내+해외),계열회사 (국내+해외),장금상선,50000.0,100.00,,,50000.0,100.00,50000.0,1.0,1,1
82,비 금 융 회 사,한성라인,동일인측,계열회사 (국내+해외),계열회사 (국내+해외),,,,,,,,50000.0,,1,1
83,비 금 융 회 사,한성라인,동일인측,기타 동일인관련자,기타 동일인관련자,,,,,,,,50000.0,,-1,-1
84,비 금 융 회 사,한성라인,동일인측,동일인측 합계,동일인측 합계,/,50000.0,100.00,,,50000.0,100.00,50000.0,1.0,50,50
85,비 금 융 회 사,한성라인,기타주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,,,,,,,,50000.0,,99,99
86,비 금 융 회 사,한성라인,기타주주,기타,기타,/,,,,,,,50000.0,,99,99
87,비 금 융 회 사,한성라인,총 계,총 계,총 계,/,50000.0,100.00,,,50000.0,100.00,50000.0,1.0,50,50
88,비 금 융 회 사,경평물류,동일인측,동일인,동일인,,,,,,,,300000.0,,0,0
89,비 금 융 회 사,경평물류,동일인측,친 족,배우자/,,,,,,,,300000.0,,50,50
90,비 금 융 회 사,경평물류,동일인측,친 족,혈족1촌,,,,,,,,300000.0,,50,50
91,비 금 융 회 사,경평물류,동일인측,친 족,혈족2~4촌,,,,,,,,300000.0,,50,50
92,비 금 융 회 사,경평물류,동일인측,친 족,혈족2~4촌,,,,,,,,300000.0,,50,50
93,비 금 융 회 사,경평물류,동일인측,친 족,혈족5~6촌,,,,,,,,300000.0,,50,50
94,비 금 융 회 사,경평물류,동일인측,친 족,혈족5~6촌,,,,,,,,300000.0,,50,50
95,비 금 융 회 사,경평물류,동일인측,친 족,인척 4촌 이내,,,,,,,,300000.0,,50,50
96,비 금 융 회 사,경평물류,동일인측,친 족,인척 4촌 이내,,,,,,,,300000.0,,50,50
97,비 금 융 회 사,경평물류,동일인측,친 족,친족 합계,,,,,,,,300000.0,,0,0
98,비 금 융 회 사,경평물류,동일인측,비영리법인,비영리법인,,,,,,,,300000.0,,50,0
99,비 금 융 회 사,경평물류,동일인측,비영리법인,비영리법인,,,,,,,,300000.0,,50,0
100,비 금 융 회 사,경평물류,동일인측,등기된 임원,등기된 임원,,,,,,,,300000.0,,50,0
101,비 금 융 회 사,경평물류,동일인측,등기된 임원,등기된 임원,,,,,,,,300000.0,,50,0
102,비 금 융 회 사,경평물류,동일인측,자기주식,자기주식,,,,,,,,300000.0,,50,0
103,비 금 융 회 사,경평물류,동일인측,계열회사 (국내+해외),계열회사 (국내+해외),장금상선,195000.0,65.00,,,195000.0,65.00,300000.0,0.65,1,1
104,비 금 융 회 사,경평물류,동일인측,계열회사 (국내+해외),계열회사 (국내+해외),국양로지텍,15000.0,5.00,,,15000.0,5.00,300000.0,0.05,1,1
105,비 금 융 회 사,경평물류,동일인측,기타 동일인관련자,기타 동일인관련자,,,,,,,,300000.0,,-1,-1
106,비 금 융 회 사,경평물류,동일인측,동일인측 합계,동일인측 합계,,210000.0,70.00,,,210000.0,70.00,300000.0,0.7,50,50
107,비 금 융 회 사,경평물류,기타주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,,,,,,,,300000.0,,99,99
108,비 금 융 회 사,경평물류,기타주주,기타,기타,"Leo Global Logistics Co.,Ltd",90000.0,30.00,,,90000.0,30.00,300000.0,0.3,99,99
109,비 금 융 회 사,경평물류,총 계,총 계,총 계,,300000.0,100.00,,,300000.0,100.00,300000.0,1.0,50,50
110,비 금 융 회 사,광양항서부컨테이너터미널,동일인측,동일인,동일인,,,,,,,,1860000.0,,0,0
111,비 금 융 회 사,광양항서부컨테이너터미널,동일인측,친 족,배우자/,,,,,,,,1860000.0,,50,50
112,비 금 융 회 사,광양항서부컨테이너터미널,동일인측,친 족,혈족1촌,,,,,,,,1860000.0,,50,50
113,비 금 융 회 사,광양항서부컨테이너터미널,동일인측,친 족,혈족2~4촌,,,,,,,,1860000.0,,50,50
114,비 금 융 회 사,광양항서부컨테이너터미널,동일인측,친 족,혈족2~4촌,,,,,,,,1860000.0,,50,50
115,비 금 융 회 사,광양항서부컨테이너터미널,동일인측,친 족,혈족5~6촌,,,,,,,,1860000.0,,50,50
116,비 금 융 회 사,광양항서부컨테이너터미널,동일인측,친 족,혈족5~6촌,,,,,,,,1860000.0,,50,50
117,비 금 융 회 사,광양항서부컨테이너터미널,동일인측,친 족,인척 4촌 이내,,,,,,,,1860000.0,,50,50
118,비 금 융 회 사,광양항서부컨테이너터미널,동일인측,친 족,인척 4촌 이내,,,,,,,,1860000.0,,50,50
119,비 금 융 회 사,광양항서부컨테이너터미널,동일인측,친 족,친족 합계,/,,,,,,,1860000.0,,0,0
120,비 금 융 회 사,광양항서부컨테이너터미널,동일인측,비영리법인,비영리법인,,,,,,,,1860000.0,,50,0
121,비 금 융 회 사,광양항서부컨테이너터미널,동일인측,비영리법인,비영리법인,,,,,,,,1860000.0,,50,0
122,비 금 융 회 사,광양항서부컨테이너터미널,동일인측,등기된 임원,등기된 임원,,,,,,,,1860000.0,,50,0
123,비 금 융 회 사,광양항서부컨테이너터미널,동일인측,등기된 임원,등기된 임원,,,,,,,,1860000.0,,50,0
124,비 금 융 회 사,광양항서부컨테이너터미널,동일인측,자기주식,자기주식,,,,,,,,1860000.0,,50,0
125,비 금 융 회 사,광양항서부컨테이너터미널,동일인측,계열회사 (국내+해외),계열회사 (국내+해외),장금상선,1302000.0,70.00,,,1302000.0,70.00,1860000.0,0.7,1,1
126,비 금 융 회 사,광양항서부컨테이너터미널,동일인측,계열회사 (국내+해외),계열회사 (국내+해외),,,,,,,,1860000.0,,1,1
127,비 금 융 회 사,광양항서부컨테이너터미널,동일인측,기타 동일인관련자,기타 동일인관련자,,,,,,,,1860000.0,,-1,-1
128,비 금 융 회 사,광양항서부컨테이너터미널,동일인측,동일인측 합계,동일인측 합계,/,1302000.0,70.00,,,1302000.0,70.00,1860000.0,0.7,50,50
129,비 금 융 회 사,광양항서부컨테이너터미널,기타주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,,,,,,,,1860000.0,,99,99
130,비 금 융 회 사,광양항서부컨테이너터미널,기타주주,기타,기타,씨제이대한통운,558000.0,30.00,,,558000.0,30.00,1860000.0,0.3,99,99
131,비 금 융 회 사,광양항서부컨테이너터미널,총 계,총 계,총 계,,1860000.0,100.00,,,1860000.0,100.00,1860000.0,1.0,50,50
132,비 금 융 회 사,국양로지텍,동일인측,동일인,동일인,정태순,3970.0,12.03,,,3970.0,12.03,33000.0,0.1203030303030303,0,0
133,비 금 융 회 사,국양로지텍,동일인측,친 족,배우자/,,,,,,,,33000.0,,50,50
134,비 금 융 회 사,국양로지텍,동일인측,친 족,혈족1촌,,,,,,,,33000.0,,50,50
135,비 금 융 회 사,국양로지텍,동일인측,친 족,혈족2~4촌,,,,,,,,33000.0,,50,50
136,비 금 융 회 사,국양로지텍,동일인측,친 족,혈족2~4촌,,,,,,,,33000.0,,50,50
137,비 금 융 회 사,국양로지텍,동일인측,친 족,혈족5~6촌,,,,,,,,33000.0,,50,50
138,비 금 융 회 사,국양로지텍,동일인측,친 족,혈족5~6촌,,,,,,,,33000.0,,50,50
139,비 금 융 회 사,국양로지텍,동일인측,친 족,인척 4촌 이내,,,,,,,,33000.0,,50,50
140,비 금 융 회 사,국양로지텍,동일인측,친 족,인척 4촌 이내,,,,,,,,33000.0,,50,50
141,비 금 융 회 사,국양로지텍,동일인측,친 족,친족 합계,/,,,,,,,33000.0,,0,0
142,비 금 융 회 사,국양로지텍,동일인측,비영리법인,비영리법인,,,,,,,,33000.0,,50,0
143,비 금 융 회 사,국양로지텍,동일인측,비영리법인,비영리법인,,,,,,,,33000.0,,50,0
144,비 금 융 회 사,국양로지텍,동일인측,등기된 임원,등기된 임원,,,,,,,,33000.0,,50,0
145,비 금 융 회 사,국양로지텍,동일인측,등기된 임원,등기된 임원,,,,,,,,33000.0,,50,0
146,비 금 융 회 사,국양로지텍,동일인측,자기주식,자기주식,,,,,,,,33000.0,,50,0
147,비 금 융 회 사,국양로지텍,동일인측,계열회사 (국내+해외),계열회사 (국내+해외),장금상선,29030.0,87.97,,,29030.0,87.97,33000.0,0.8796969696969696,1,1
148,비 금 융 회 사,국양로지텍,동일인측,계열회사 (국내+해외),계열회사 (국내+해외),,,,,,,,33000.0,,1,1
149,비 금 융 회 사,국양로지텍,동일인측,기타 동일인관련자,기타 동일인관련자,,,,,,,,33000.0,,-1,-1
150,비 금 융 회 사,국양로지텍,동일인측,동일인측 합계,동일인측 합계,/,33000.0,100.00,,,33000.0,100.00,33000.0,1.0,50,50
151,비 금 융 회 사,국양로지텍,기타주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,,,,,,,,33000.0,,99,99
152,비 금 융 회 사,국양로지텍,기타주주,기타,기타,/,,,,,,,33000.0,,99,99
153,비 금 융 회 사,국양로지텍,총 계,총 계,총 계,,33000.0,100.00,,,33000.0,100.00,33000.0,1.0,50,50
154,비 금 융 회 사,국양해운,동일인측,동일인,동일인,정태순,7500.0,15.00,,,7500.0,15.00,50000.0,0.15,0,0
155,비 금 융 회 사,국양해운,동일인측,친 족,배우자/,,,,,,,,50000.0,,50,50
156,비 금 융 회 사,국양해운,동일인측,친 족,혈족1촌,,,,,,,,50000.0,,50,50
157,비 금 융 회 사,국양해운,동일인측,친 족,혈족2~4촌,,,,,,,,50000.0,,50,50
158,비 금 융 회 사,국양해운,동일인측,친 족,혈족2~4촌,,,,,,,,50000.0,,50,50
159,비 금 융 회 사,국양해운,동일인측,친 족,혈족5~6촌,,,,,,,,50000.0,,50,50
160,비 금 융 회 사,국양해운,동일인측,친 족,혈족5~6촌,,,,,,,,50000.0,,50,50
161,비 금 융 회 사,국양해운,동일인측,친 족,인척 4촌 이내,,,,,,,,50000.0,,50,50
162,비 금 융 회 사,국양해운,동일인측,친 족,인척 4촌 이내,,,,,,,,50000.0,,50,50
163,비 금 융 회 사,국양해운,동일인측,친 족,친족 합계,,,,,,,,50000.0,,0,0
164,비 금 융 회 사,국양해운,동일인측,비영리법인,비영리법인,,,,,,,,50000.0,,50,0
165,비 금 융 회 사,국양해운,동일인측,비영리법인,비영리법인,,,,,,,,50000.0,,50,0
166,비 금 융 회 사,국양해운,동일인측,등기된 임원,등기된 임원,,,,,,,,50000.0,,50,0
167,비 금 융 회 사,국양해운,동일인측,등기된 임원,등기된 임원,,,,,,,,50000.0,,50,0
168,비 금 융 회 사,국양해운,동일인측,자기주식,자기주식,,,,,,,,50000.0,,50,0
169,비 금 융 회 사,국양해운,동일인측,계열회사 (국내+해외),계열회사 (국내+해외),장금상선,42500.0,85.00,,,42500.0,85.00,50000.0,0.85,1,1
170,비 금 융 회 사,국양해운,동일인측,계열회사 (국내+해외),계열회사 (국내+해외),,,,,,,,50000.0,,1,1
171,비 금 융 회 사,국양해운,동일인측,기타 동일인관련자,기타 동일인관련자,,,,,,,,50000.0,,-1,-1
172,비 금 융 회 사,국양해운,동일인측,동일인측 합계,동일인측 합계,/,50000.0,100.00,,,50000.0,100.00,50000.0,1.0,50,50
173,비 금 융 회 사,국양해운,기타주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,,,,,,,,50000.0,,99,99
174,비 금 융 회 사,국양해운,기타주주,기타,기타,/,,,,,,,50000.0,,99,99
175,비 금 융 회 사,국양해운,총 계,총 계,총 계,/,50000.0,100.00,,,50000.0,100.00,50000.0,1.0,50,50
176,비 금 융 회 사,부산항터미널,동일인측,동일인,동일인,,,,,,,,12824998.0,,0,0
177,비 금 융 회 사,부산항터미널,동일인측,친 족,배우자/,,,,,,,,12824998.0,,50,50
178,비 금 융 회 사,부산항터미널,동일인측,친 족,혈족1촌,,,,,,,,12824998.0,,50,50
179,비 금 융 회 사,부산항터미널,동일인측,친 족,혈족2~4촌,,,,,,,,12824998.0,,50,50
180,비 금 융 회 사,부산항터미널,동일인측,친 족,혈족2~4촌,,,,,,,,12824998.0,,50,50
181,비 금 융 회 사,부산항터미널,동일인측,친 족,혈족5~6촌,,,,,,,,12824998.0,,50,50
182,비 금 융 회 사,부산항터미널,동일인측,친 족,혈족5~6촌,,,,,,,,12824998.0,,50,50
183,비 금 융 회 사,부산항터미널,동일인측,친 족,인척 4촌 이내,,,,,,,,12824998.0,,50,50
184,비 금 융 회 사,부산항터미널,동일인측,친 족,인척 4촌 이내,,,,,,,,12824998.0,,50,50
185,비 금 융 회 사,부산항터미널,동일인측,친 족,친족 합계,/,,,,,,,12824998.0,,0,0
186,비 금 융 회 사,부산항터미널,동일인측,비영리법인,비영리법인,,,,,,,,12824998.0,,50,0
187,비 금 융 회 사,부산항터미널,동일인측,비영리법인,비영리법인,,,,,,,,12824998.0,,50,0
