,소속회사명1,소속회사명2,동일인과의 관계1,동일인과의 관계2,동일인과의 관계3,성명,보통주 주식수,보통주 지분율,우선주 주식수,우선주 지분율,합계 주식수,합계 지분율,divisor,shares,type,type2
0,비금융회사,코오롱,동일인측,동일인,동일인,이웅열,6279798,49.74,-,-,6279798,45.83,13702816,0.4582852167029025,0,0
1,비금융회사,코오롱,동일인측,친족,혈족2~4촌,이상희,60000,0.48,,,60000,0.44,13702816,0.004378662021003566,50,50
2,비금융회사,코오롱,동일인측,친족,혈족2~4촌,이혜숙,91562,0.73,-,-,91562,0.67,13702816,0.006681984199452142,50,50
3,비금융회사,코오롱,동일인측,친족,혈족2~4촌,이경주,91362,0.72,-,-,91362,0.67,13702816,0.00666738865938213,50,50
4,비금융회사,코오롱,동일인측,친족,친족 합계,-,242924,1.93,-,-,242924,1.78,13702816,0.017728034879837838,0,0
5,비금융회사,코오롱,동일인측,등기된 임원,등기된 임원,김철수,8,0.00,-,-,8,0.00,13702816,5.838216028004755e-07,50,0
6,비금융회사,코오롱,동일인측,등기된 임원,등기된 임원,문명한,175,0.00,-,-,175,0.00,13702816,1.2771097561260401e-05,50,0
7,비금융회사,코오롱,동일인측,등기된 임원,등기된 임원,백기훈,42,0.00,-,-,42,0.00,13702816,3.0650634147024962e-06,50,0
8,비금융회사,코오롱,동일인측,동일인측 합계,동일인측 합계,-,6522947,51.67,-,-,6522947,47.61,13702816,0.4760296715653191,50,50
9,비금융회사,코오롱,기타주주,기타,기타,-,6103479,48.33,1076390,100.00,7179869,52.39,13702816,0.5239703284346808,99,99
10,비금융회사,코오롱,총 계,총 계,총 계,-,12626426,100.00,1076390,100.00,13702816,100.00,13702816,1.0,50,50
11,비금융회사,코오롱인더스트리,동일인측,동일인,동일인,이웅열,326177,1.21,-,-,326177,1.10,29746700,0.01096514907535962,0,0
12,비금융회사,코오롱인더스트리,동일인측,친족,혈족2~4촌,이경숙,3928,0.01,-,-,3928,0.01,29746700,0.00013204826081548543,50,50
13,비금융회사,코오롱인더스트리,동일인측,친족,혈족2~4촌,이상희,10428,0.04,-,-,10428,0.04,29746700,0.00035055989403866647,50,50
14,비금융회사,코오롱인더스트리,동일인측,친족,혈족2~4촌,이경주,10428,0.04,-,-,10428,0.04,29746700,0.00035055989403866647,50,50
15,비금융회사,코오롱인더스트리,동일인측,친족,친족 합계,-,24784,0.09,-,-,24784,0.08,29746700,0.0008331680488928184,0,0
16,비금융회사,코오롱인더스트리,동일인측,등기된 임원,등기된 임원,장희구,3300,0.01,-,-,3300,0.01,29746700,0.00011093667532869192,50,0
17,비금융회사,코오롱인더스트리,동일인측,등기된 임원,등기된 임원,김철수,141,0.00,-,-,141,0.00,29746700,4.7400215822259275e-06,50,0
18,비금융회사,코오롱인더스트리,동일인측,등기된 임원,등기된 임원,오원선,321,0.00,-,-,321,0.00,29746700,1.0791112963790942e-05,50,0
19,비금융회사,코오롱인더스트리,동일인측,등기된 임원,등기된 임원,최영백,607,0.00,-,-,607,0.00,29746700,2.0405624825610907e-05,50,0
20,비금융회사,코오롱인더스트리,동일인측,등기된 임원,등기된 임원,백기훈,986,0.00,-,-,986,0.00,29746700,3.314653390123947e-05,50,0
21,비금융회사,코오롱인더스트리,동일인측,계열회사(국내+해외),계열회사(국내+해외),코오롱,8642707,32.04,229349,8.29,8872056,29.83,29746700,0.2982534533242343,1,1
22,비금융회사,코오롱인더스트리,동일인측,동일인측 합계,동일인측 합계,-,8999023,33.36,229349,8.29,9228372,31.02,29746700,0.31023179041708826,50,50
23,비금융회사,코오롱인더스트리,기타주주,기타,기타,-,17979817,66.64,2538511,91.71,20518328,68.98,29746700,0.6897682095829117,99,99
24,비금융회사,코오롱인더스트리,총 계,총 계,총 계,-,26978840,100.00,2767860,100.00,29746700,100.00,29746700,1.0,50,50
25,비금융회사,코오롱플라스틱,동일인측,등기된 임원,등기된 임원,방민수,3100,0.01,-,-,3100,0.01,38000000,8.157894736842105e-05,50,0
26,비금융회사,코오롱플라스틱,동일인측,등기된 임원,등기된 임원,김종문,48022,0.13,-,-,48022,0.13,38000000,0.0012637368421052632,50,0
27,비금융회사,코오롱플라스틱,동일인측,등기된 임원,등기된 임원,박규대,5000,0.01,-,-,5000,0.01,38000000,0.00013157894736842105,50,0
28,비금융회사,코오롱플라스틱,동일인측,등기된 임원,등기된 임원,장희구,21617,0.06,-,-,21617,0.06,38000000,0.0005688684210526316,50,0
29,비금융회사,코오롱플라스틱,동일인측,등기된 임원,등기된 임원,김영범,15500,0.04,-,-,15500,0.04,38000000,0.00040789473684210524,50,0
30,비금융회사,코오롱플라스틱,동일인측,등기된 임원,등기된 임원,신진욱,4000,0.01,-,-,4000,0.01,38000000,0.00010526315789473685,50,0
31,비금융회사,코오롱플라스틱,동일인측,등기된 임원,등기된 임원,옥윤석,2500,0.01,-,-,2500,0.01,38000000,6.578947368421052e-05,50,0
32,비금융회사,코오롱플라스틱,동일인측,등기된 임원,등기된 임원,김종하,4700,0.01,-,-,4700,0.01,38000000,0.0001236842105263158,50,0
33,비금융회사,코오롱플라스틱,동일인측,등기된 임원,등기된 임원,최영백,1665,0.00,-,-,1665,0.00,38000000,4.3815789473684214e-05,50,0
34,비금융회사,코오롱플라스틱,동일인측,등기된 임원,등기된 임원,서창환,11118,0.03,-,-,11118,0.03,38000000,0.00029257894736842106,50,0
35,비금융회사,코오롱플라스틱,동일인측,계열회사(국내+해외),계열회사(국내+해외),코오롱인더스트리,25340000,66.68,-,-,25340000,66.68,38000000,0.6668421052631579,1,1
36,비금융회사,코오롱플라스틱,동일인측,동일인측 합계,동일인측 합계,-,25457222,66.99,-,-,25457222,66.99,38000000,0.6699268947368421,50,50
37,비금융회사,코오롱플라스틱,기타주주,기타,기타,-,12542778,33.01,-,-,12542778,33.01,38000000,0.3300731052631579,99,99
38,비금융회사,코오롱플라스틱,총 계,총 계,총 계,-,38000000,100.00,-,-,38000000,100.00,38000000,1.0,50,50
39,비금융회사,코오롱바스프이노폼,동일인측,계열회사(국내+해외),계열회사(국내+해외),코오롱플라스틱,1020000,50.00,-,-,1020000,50.00,2040000,0.5,1,1
40,비금융회사,코오롱바스프이노폼,동일인측,동일인측 합계,동일인측 합계,-,1020000,50.00,-,-,1020000,50.00,2040000,0.5,50,50
41,비금융회사,코오롱바스프이노폼,기타주주,동일인측이 아닌최다주주,동일인측이 아닌최다주주,BASF Beteiligungs-gesellschaft mbH,1020000,50.00,-,-,1020000,50.00,2040000,0.5,99,99
42,비금융회사,코오롱바스프이노폼,총 계,총 계,총 계,-,2040000,100.00,-,-,2040000,100.00,2040000,1.0,50,50
43,비금융회사,코오롱머티리얼,동일인측,계열회사(국내+해외),계열회사(국내+해외),코오롱인더스트리,53658635,78.15,-,-,53658635,78.15,68658635,0.7815278442398396,1,1
44,비금융회사,코오롱머티리얼,동일인측,동일인측 합계,동일인측 합계,-,53658635,78.15,-,-,53658635,78.15,68658635,0.7815278442398396,50,50
45,비금융회사,코오롱머티리얼,기타주주,기타,기타,-,15000000,21.85,-,-,15000000,21.85,68658635,0.21847215576016038,99,99
46,비금융회사,코오롱머티리얼,총 계,총 계,총 계,-,68658635,100.00,-,-,68658635,100.00,68658635,1.0,50,50
47,비금융회사,코오롱글로텍,동일인측,친족,배우자/혈족1촌,서창희,5,0.00,-,-,5,0.00,2740469,1.8245052215514935e-06,50,50
48,비금융회사,코오롱글로텍,동일인측,친족,혈족2~4촌,이경주,84,0.00,-,-,84,0.00,2740469,3.065168772206509e-05,50,50
49,비금융회사,코오롱글로텍,동일인측,친족,혈족2~4촌,이태훈,15,0.00,-,-,15,0.00,2740469,5.473515664654481e-06,50,50
50,비금융회사,코오롱글로텍,동일인측,친족,혈족5~6촌,이우희,24929,0.91,-,-,24929,0.91,2740469,0.009096618133611437,50,50
51,비금융회사,코오롱글로텍,동일인측,친족,친족 합계,-,25033,0.91,-,-,25033,0.91,2740469,0.009134567842219707,0,0
52,비금융회사,코오롱글로텍,동일인측,자기주식,자기주식,-,497226,18.14,-,-,497226,18.14,2740469,0.18143828665823258,50,0
