,소속회사명1,소속회사명2,동일인과의 관계1,동일인과의 관계2,동일인과의 관계3,성명,보통주 주식수,보통주 지분율,우선주 주식수,우선주 지분율,합계 주식수,합계 지분율,divisor,shares,type,type2
0,비금융회사,경남티앤디,동일인측,동일인,동일인,우오현,46289,46.29,-,-,46289.0,46.29,100000.0,0.46289,0,0
1,비금융회사,경남티앤디,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,,-,100000.0,,50,50
2,비금융회사,경남티앤디,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,,-,100000.0,,50,50
3,비금융회사,경남티앤디,동일인측,친족,혈족2~4촌,-,-,-,-,-,,-,100000.0,,50,50
4,비금융회사,경남티앤디,동일인측,친족,혈족2~4촌,-,-,-,-,-,,-,100000.0,,50,50
5,비금융회사,경남티앤디,동일인측,친족,혈족5~6촌,-,-,-,-,-,,-,100000.0,,50,50
6,비금융회사,경남티앤디,동일인측,친족,혈족5~6촌,-,-,-,-,-,,-,100000.0,,50,50
7,비금융회사,경남티앤디,동일인측,친족,인척 4촌 이내,-,-,-,-,-,,-,100000.0,,50,50
8,비금융회사,경남티앤디,동일인측,친족,인척 4촌 이내,-,-,-,-,-,,-,100000.0,,50,50
9,비금융회사,경남티앤디,동일인측,친족,친족 합계,/,46289,46.29,-,-,0.0,46.29,100000.0,0.0,0,0
10,비금융회사,경남티앤디,동일인측,비영리법인,비영리법인,-,-,-,-,-,,-,100000.0,,50,0
11,비금융회사,경남티앤디,동일인측,비영리법인,비영리법인,-,-,-,-,-,,-,100000.0,,50,0
12,비금융회사,경남티앤디,동일인측,등기된 임원,등기된 임원,김종열,18000,18.00,-,-,18000.0,18.00,100000.0,0.18,50,0
13,비금융회사,경남티앤디,동일인측,등기된 임원,등기된 임원,김혜란,15000,15.00,-,-,15000.0,15.00,100000.0,0.15,50,0
14,비금융회사,경남티앤디,동일인측,등기된 임원,등기된 임원,박도순,5000,5.00,-,-,5000.0,5.00,100000.0,0.05,50,0
15,비금융회사,경남티앤디,동일인측,자기주식,자기주식,-,-,-,-,-,,-,100000.0,,50,0
16,비금융회사,경남티앤디,동일인측,계열회사(국내+해외),계열회사(국내+해외),-,-,-,-,-,,-,100000.0,,1,1
17,비금융회사,경남티앤디,동일인측,계열회사(국내+해외),계열회사(국내+해외),-,-,-,-,-,,-,100000.0,,1,1
18,비금융회사,경남티앤디,동일인측,계열회사(국내+해외),계열회사(국내+해외),-,-,-,-,-,,-,100000.0,,1,1
19,비금융회사,경남티앤디,동일인측,계열회사(국내+해외),계열회사(국내+해외),-,-,-,-,-,,-,100000.0,,1,1
20,비금융회사,경남티앤디,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,,-,100000.0,,-1,-1
21,비금융회사,경남티앤디,동일인측,⑨ 동일인측 합계,동일인측 합계,/,84289,84.29,-,-,84289.0,84.29,100000.0,0.84289,50,50
22,비금융회사,경남티앤디,기타주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,-,-,-,-,-,,-,100000.0,,99,99
23,비금융회사,경남티앤디,기타주주,기타,기타,/,15711,15.71,-,-,15711.0,15.71,100000.0,0.15711,99,99
24,비금융회사,경남티앤디,총 계,총 계,총 계,/,100000,100%,-,-,100000.0,100%,100000.0,1.0,50,50
25,비금융회사,그루인터내셔널,동일인측,동일인,동일인,-,-,-,-,-,,-,10000.0,,0,0
26,비금융회사,그루인터내셔널,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,,-,10000.0,,50,50
27,비금융회사,그루인터내셔널,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,,-,10000.0,,50,50
28,비금융회사,그루인터내셔널,동일인측,친족,혈족2~4촌,우정희,1400,14.00,-,-,1400.0,14.00,10000.0,0.14,50,50
29,비금융회사,그루인터내셔널,동일인측,친족,혈족2~4촌,-,-,-,-,-,,-,10000.0,,50,50
30,비금융회사,그루인터내셔널,동일인측,친족,혈족5~6촌,-,-,-,-,-,,-,10000.0,,50,50
31,비금융회사,그루인터내셔널,동일인측,친족,혈족5~6촌,-,-,-,-,-,,-,10000.0,,50,50
32,비금융회사,그루인터내셔널,동일인측,친족,인척 4촌 이내,-,-,-,-,-,,-,10000.0,,50,50
33,비금융회사,그루인터내셔널,동일인측,친족,인척 4촌 이내,-,-,-,-,-,,-,10000.0,,50,50
34,비금융회사,그루인터내셔널,동일인측,친족,친족 합계,/,1400,14.00,-,-,1400.0,14.00,10000.0,0.14,0,0
35,비금융회사,그루인터내셔널,동일인측,비영리법인,비영리법인,-,-,-,-,-,,-,10000.0,,50,0
36,비금융회사,그루인터내셔널,동일인측,비영리법인,비영리법인,-,-,-,-,-,,-,10000.0,,50,0
37,비금융회사,그루인터내셔널,동일인측,등기된 임원,등기된 임원,-,-,-,-,-,,-,10000.0,,50,0
38,비금융회사,그루인터내셔널,동일인측,등기된 임원,등기된 임원,-,-,-,-,-,,-,10000.0,,50,0
39,비금융회사,그루인터내셔널,동일인측,자기주식,자기주식,-,-,-,-,-,,-,10000.0,,50,0
40,비금융회사,그루인터내셔널,동일인측,계열회사(국내+해외),계열회사(국내+해외),-,-,-,-,-,,-,10000.0,,1,1
41,비금융회사,그루인터내셔널,동일인측,계열회사(국내+해외),계열회사(국내+해외),-,-,-,-,-,,-,10000.0,,1,1
42,비금융회사,그루인터내셔널,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,,-,10000.0,,-1,-1
43,비금융회사,그루인터내셔널,동일인측,⑨ 동일인측 합계,동일인측 합계,/,1400,14.00,-,-,1400.0,14.00,10000.0,0.14,50,50
44,비금융회사,그루인터내셔널,기타주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,유봉희,8600,86.00,-,-,8600.0,86.00,10000.0,0.86,99,99
45,비금융회사,그루인터내셔널,기타주주,기타,기타,/,-,-,-,-,,-,10000.0,,99,99
46,비금융회사,그루인터내셔널,총 계,총 계,총 계,/,10000,100%,-,-,10000.0,100%,10000.0,1.0,50,50
47,비금융회사,남선알미늄,동일인측,동일인,동일인,우오현,4880644,4.43,-,-,4880644.0,4.42,110486980.0,0.04417392890999464,0,0
48,비금융회사,남선알미늄,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,,-,110486980.0,,50,50
49,비금융회사,남선알미늄,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,,-,110486980.0,,50,50
50,비금융회사,남선알미늄,동일인측,친족,혈족2~4촌,-,-,-,-,-,,-,110486980.0,,50,50
51,비금융회사,남선알미늄,동일인측,친족,혈족2~4촌,-,-,-,-,-,,-,110486980.0,,50,50
52,비금융회사,남선알미늄,동일인측,친족,혈족5~6촌,-,-,-,-,-,,-,110486980.0,,50,50
53,비금융회사,남선알미늄,동일인측,친족,혈족5~6촌,-,-,-,-,-,,-,110486980.0,,50,50
54,비금융회사,남선알미늄,동일인측,친족,인척 4촌 이내,-,-,-,-,-,,-,110486980.0,,50,50
55,비금융회사,남선알미늄,동일인측,친족,인척 4촌 이내,-,-,-,-,-,,-,110486980.0,,50,50
56,비금융회사,남선알미늄,동일인측,친족,친족 합계,-,-,-,-,-,,-,110486980.0,,0,0
57,비금융회사,남선알미늄,동일인측,비영리법인,비영리법인,-,-,-,-,-,,-,110486980.0,,50,0
58,비금융회사,남선알미늄,동일인측,비영리법인,비영리법인,-,-,-,-,-,,-,110486980.0,,50,0
59,비금융회사,남선알미늄,동일인측,등기된 임원,등기된 임원,박기재,17470,0.02,-,-,17470.0,0.02,110486980.0,0.00015811817826860686,50,0
