,소속회사명1,소속회사명2,동일인과의 관계1,동일인과의 관계2,동일인과의 관계3,성명,보통주 주식수,보통주 지분율,우선주 주식수,우선주 지분율,합계 주식수,합계 지분율,divisor,shares,type,type2
0,비금융회사,포스코,동일인측,동일인,동일인,-,-,-,-,-,,-,87186835.0,,0,0
1,비금융회사,포스코,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,,-,87186835.0,,50,50
2,비금융회사,포스코,동일인측,친족,혈족2~4촌,-,-,-,-,-,,-,87186835.0,,50,50
3,비금융회사,포스코,동일인측,친족,혈족5~6촌,-,-,-,-,-,,-,87186835.0,,50,50
4,비금융회사,포스코,동일인측,친족,인척 4촌 이내,-,-,-,-,-,,-,87186835.0,,50,50
5,비금융회사,포스코,동일인측,친족,친족 합계,-,-,-,-,-,,-,87186835.0,,0,0
6,비금융회사,포스코,동일인측,비영리법인,비영리법인,(학)포항공과대학교,1981047,2.27%,-,-,1981047.0,2.27%,87186835.0,0.022721859326582963,50,0
7,비금융회사,포스코,동일인측,비영리법인,비영리법인,(학)포스코교육재단,403000,0.46%,-,-,403000.0,0.46%,87186835.0,0.004622257477290006,50,0
8,비금융회사,포스코,동일인측,비영리법인,비영리법인,(재)포스코청암재단,30000,0.03%,-,-,30000.0,0.03%,87186835.0,0.0003440886459521096,50,0
9,비금융회사,포스코,동일인측,등기된 임원,등기된 임원,최정우,911,0.00%,-,-,911.0,0.00%,87186835.0,1.0448825215412395e-05,50,0
10,비금융회사,포스코,동일인측,등기된 임원,등기된 임원,장인화,889,0.00%,-,-,889.0,0.00%,87186835.0,1.0196493541714182e-05,50,0
11,비금융회사,포스코,동일인측,등기된 임원,등기된 임원,전중선,262,0.00%,-,-,262.0,0.00%,87186835.0,3.0050408413150906e-06,50,0
12,비금융회사,포스코,동일인측,등기된 임원,등기된 임원,김학동,960,0.00%,-,-,960.0,0.00%,87186835.0,1.1010836670467508e-05,50,0
13,비금융회사,포스코,동일인측,등기된 임원,등기된 임원,정탁,699,0.00%,-,-,699.0,0.00%,87186835.0,8.017265450684154e-06,50,0
14,비금융회사,포스코,동일인측,자기주식,자기주식,자기주식,7071194,8.11%,-,-,7071194.0,8.11%,87186835.0,0.08110391895748939,50,0
15,비금융회사,포스코,동일인측,계열회사(국내 + 해외),계열회사(국내 + 해외),포스코오앤엠,8612,0.01%,-,-,8612.0,0.01%,87186835.0,9.877638063131893e-05,1,1
16,비금융회사,포스코,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,,-,87186835.0,,-1,-1
17,비금융회사,포스코,동일인측,동일인측 합계,동일인측 합계,,9497574,10.89%,-,-,9497574.0,10.89%,87186835.0,0.10893357924966539,50,50
18,비금융회사,포스코,기타주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,국민연금공단,9410674,10.79%,-,-,9410674.0,10.79%,87186835.0,0.10793686913855745,99,99
19,비금융회사,포스코,기타주주,기타,기타,기타,68278587,78.32%,,,68278587.0,78.32%,87186835.0,0.7831295516117772,99,99
20,비금융회사,포스코,총계,총계,총계,,87186835,100.00%,,,87186835.0,100.00%,87186835.0,1.0,50,50
21,비금융회사,포스코건설,동일인측,동일인,동일인,포스코,22073568,52.80%,-,-,22073568.0,52.8%,41806694.0,0.5279912350878546,0,0
22,비금융회사,포스코건설,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,,-,41806694.0,,50,50
23,비금융회사,포스코건설,동일인측,친족,혈족2~4촌,-,-,-,-,-,,-,41806694.0,,50,50
24,비금융회사,포스코건설,동일인측,친족,혈족5~6촌,-,-,-,-,-,,-,41806694.0,,50,50
25,비금융회사,포스코건설,동일인측,친족,인척 4촌 이내,-,-,-,-,-,,-,41806694.0,,50,50
26,비금융회사,포스코건설,동일인측,친족,친족 합계,,-,,-,-,,-,41806694.0,,0,0
27,비금융회사,포스코건설,동일인측,비영리법인,비영리법인,(학)포항공과대학교,866370,2.07%,-,-,866370.0,2.07%,41806694.0,0.020723236331483184,50,0
28,비금융회사,포스코건설,동일인측,등기된 임원,등기된 임원,,-,-,-,-,,-,41806694.0,,50,0
29,비금융회사,포스코건설,동일인측,자기주식,자기주식,,-,-,-,-,,-,41806694.0,,50,0
30,비금융회사,포스코건설,동일인측,계열회사,계열회사,,-,-,-,-,,-,41806694.0,,1,1
31,비금융회사,포스코건설,동일인측,동일인측 합계,동일인측 합계,,22939938,54.87%,-,-,22939938.0,54.87%,41806694.0,0.5487144714193378,50,50
32,비금융회사,포스코건설,기타주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,,-,-,-,-,,-,41806694.0,,99,99
33,비금융회사,포스코건설,기타주주,기타,기타,기타,18866756,45.13%,-,-,18866756.0,45.13%,41806694.0,0.45128552858066223,99,99
34,비금융회사,포스코건설,총계,총계,총계,,41806694,100%,-,-,41806694.0,100%,41806694.0,1.0,50,50
35,비금융회사,포스코강판,동일인측,동일인,동일인,포스코,3412000,56.87%,-,-,3412000.0,56.87%,6000000.0,0.5686666666666667,0,0
36,비금융회사,포스코강판,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,,-,6000000.0,,50,50
37,비금융회사,포스코강판,동일인측,친족,혈족2~4촌,-,-,-,-,-,,-,6000000.0,,50,50
38,비금융회사,포스코강판,동일인측,친족,혈족5~6촌,-,-,-,-,-,,-,6000000.0,,50,50
