,소속회사명1,소속회사명2,동일인과의 관계1,동일인과의 관계2,동일인과의 관계3,성명,보통주 주식수,보통주 지분율,우선주 주식수,우선주 지분율,합계 주식수,합계 지분율,divisor,shares,type,type2
0,비 금 융 회 사,하림지주,동일인측,동일인,동일인,김홍국,21189308,22.64,-,-,21189308.0,22.64,93584198.0,0.22641972098751115,0,0
1,비 금 융 회 사,하림지주,동일인측,친족,배우자/ 혈족1촌,오수정,2806300,3.00,-,-,2806300.0,3.00,93584198.0,0.02998690013884609,50,50
2,비 금 융 회 사,하림지주,동일인측,친족,혈족2~4촌,김기준,15950,0.02,-,-,15950.0,0.02,93584198.0,0.00017043475651733425,50,50
3,비 금 융 회 사,하림지주,동일인측,친족,혈족5~6촌,장시환,1900,-,-,-,1900.0,-,93584198.0,2.0302572876673047e-05,50,50
4,비 금 융 회 사,하림지주,동일인측,친족,인척 4촌 이내,송진욱,5000,0.01,-,-,5000.0,0.01,93584198.0,5.342782335966591e-05,50,50
5,비 금 융 회 사,하림지주,동일인측,친족,친족 합계,/,2829150,3.03,-,-,2829150.0,3.03,93584198.0,0.030231065291599763,0,0
6,비 금 융 회 사,하림지주,동일인측,비영리법인,비영리법인,-,-,-,-,-,,-,93584198.0,,50,0
7,비 금 융 회 사,하림지주,동일인측,등기된 임원,등기된 임원,권정택,158,-,-,-,158.0,-,93584198.0,1.688319218165443e-06,50,0
8,비 금 융 회 사,하림지주,동일인측,등기된 임원,등기된 임원,권지은,740,-,-,-,740.0,-,93584198.0,7.907317857230554e-06,50,0
9,비 금 융 회 사,하림지주,동일인측,등기된 임원,등기된 임원,김기영,880,-,-,-,880.0,-,93584198.0,9.4032969113012e-06,50,0
10,비 금 융 회 사,하림지주,동일인측,등기된 임원,등기된 임원,문경필,20604,0.02,-,-,20604.0,0.02,93584198.0,0.00022016537450051128,50,0
11,비 금 융 회 사,하림지주,동일인측,등기된 임원,등기된 임원,박재호,513,-,-,-,513.0,-,93584198.0,5.481694676701723e-06,50,0
12,비 금 융 회 사,하림지주,동일인측,등기된 임원,등기된 임원,서형규,1223,-,-,-,1223.0,-,93584198.0,1.3068445593774282e-05,50,0
13,비 금 융 회 사,하림지주,동일인측,등기된 임원,등기된 임원,윤석춘,3000,-,-,-,3000.0,-,93584198.0,3.205669401579955e-05,50,0
14,비 금 융 회 사,하림지주,동일인측,등기된 임원,등기된 임원,이우진,64892,0.07,-,-,64892.0,0.07,93584198.0,0.000693407662691088,50,0
15,비 금 융 회 사,하림지주,동일인측,등기된 임원,등기된 임원,장경수,302,-,-,-,302.0,-,93584198.0,3.227040530923821e-06,50,0
16,비 금 융 회 사,하림지주,동일인측,등기된 임원,등기된 임원,천세기,721,-,-,-,721.0,-,93584198.0,7.704292128463825e-06,50,0
17,비 금 융 회 사,하림지주,동일인측,자기주식,자기주식,하림지주,18074495,19.31,-,-,18074495.0,19.31,93584198.0,0.19313618523503295,50,0
18,비 금 융 회 사,하림지주,동일인측,계열회사 (국내+해외),계열회사 (국내+해외),경우,454050,0.49,-,-,454050.0,0.49,93584198.0,0.004851780639291261,1,1
19,비 금 융 회 사,하림지주,동일인측,계열회사 (국내+해외),계열회사 (국내+해외),올품,4026743,4.30,-,-,4026743.0,4.30,93584198.0,0.04302802274375424,1,1
20,비 금 융 회 사,하림지주,동일인측,계열회사 (국내+해외),계열회사 (국내+해외),농업회사법인익산,265150,0.28,-,-,265150.0,0.28,93584198.0,0.0028332774727630834,1,1
21,비 금 융 회 사,하림지주,동일인측,계열회사 (국내+해외),계열회사 (국내+해외),한국인베스트먼트,18696300,19.98,-,-,18696300.0,19.98,93584198.0,0.19978052277586436,1,1
22,비 금 융 회 사,하림지주,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,,-,93584198.0,,-1,-1
23,비 금 융 회 사,하림지주,동일인측,동일인측 합계,동일인측 합계,/,65628229,70.12,-,-,65628229.0,70.12,93584198.0,0.7012746852839408,50,50
24,비 금 융 회 사,하림지주,기타주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,-,-,-,-,-,,-,93584198.0,,99,99
25,비 금 융 회 사,하림지주,기타주주,기타,기타,/,27955969,29.88,-,-,27955969.0,29.88,93584198.0,0.29872531471605923,99,99
26,비 금 융 회 사,하림지주,총 계,총 계,총 계,/,93584198,100.00,-,-,93584198.0,100.00,93584198.0,1.0,50,50
27,비 금 융 회 사,(유)엑셀로이콰인알앤디센터,동일인측,동일인,동일인,-,-,-,-,-,,-,296200.0,,0,0
28,비 금 융 회 사,(유)엑셀로이콰인알앤디센터,동일인측,친족,배우자/ 혈족1촌,-,-,-,-,-,,-,296200.0,,50,50
29,비 금 융 회 사,(유)엑셀로이콰인알앤디센터,동일인측,친족,혈족2~4촌,-,-,-,-,-,,-,296200.0,,50,50
30,비 금 융 회 사,(유)엑셀로이콰인알앤디센터,동일인측,친족,혈족5~6촌,-,-,-,-,-,,-,296200.0,,50,50
31,비 금 융 회 사,(유)엑셀로이콰인알앤디센터,동일인측,친족,인척 4촌 이내,-,-,-,-,-,,-,296200.0,,50,50
32,비 금 융 회 사,(유)엑셀로이콰인알앤디센터,동일인측,친족,친족 합계,/,-,-,-,-,,-,296200.0,,0,0
33,비 금 융 회 사,(유)엑셀로이콰인알앤디센터,동일인측,비영리법인,비영리법인,대성축산영농조합법인,296200,100.00,-,-,296200.0,100.00,296200.0,1.0,50,0
34,비 금 융 회 사,(유)엑셀로이콰인알앤디센터,동일인측,비영리법인,비영리법인,-,-,-,-,-,,-,296200.0,,50,0
35,비 금 융 회 사,(유)엑셀로이콰인알앤디센터,동일인측,등기된 임원,등기된 임원,-,-,-,-,-,,-,296200.0,,50,0
36,비 금 융 회 사,(유)엑셀로이콰인알앤디센터,동일인측,자기주식,자기주식,-,-,-,-,-,,-,296200.0,,50,0
37,비 금 융 회 사,(유)엑셀로이콰인알앤디센터,동일인측,계열회사 (국내+해외),계열회사 (국내+해외),-,-,-,-,-,,-,296200.0,,1,1
38,비 금 융 회 사,(유)엑셀로이콰인알앤디센터,동일인측,계열회사 (국내+해외),계열회사 (국내+해외),-,-,-,-,-,,-,296200.0,,1,1
39,비 금 융 회 사,(유)엑셀로이콰인알앤디센터,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,,-,296200.0,,-1,-1
40,비 금 융 회 사,(유)엑셀로이콰인알앤디센터,동일인측,동일인측 합계,동일인측 합계,/,296200,100.00,-,-,296200.0,100.00,296200.0,1.0,50,50
41,비 금 융 회 사,(유)엑셀로이콰인알앤디센터,기타주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,-,-,-,-,-,,-,296200.0,,99,99
42,비 금 융 회 사,(유)엑셀로이콰인알앤디센터,기타주주,기타,기타,/,-,-,-,-,,-,296200.0,,99,99
43,비 금 융 회 사,(유)엑셀로이콰인알앤디센터,총 계,총 계,총 계,/,296200,100.00,-,-,296200.0,100.00,296200.0,1.0,50,50
44,비 금 융 회 사,경우,동일인측,동일인,동일인,김홍국,4000,80.00,-,-,4000.0,80.00,5000.0,0.8,0,0
45,비 금 융 회 사,경우,동일인측,친족,배우자/ 혈족1촌,-,-,-,-,-,,-,5000.0,,50,50
46,비 금 융 회 사,경우,동일인측,친족,혈족2~4촌,-,-,-,-,-,,-,5000.0,,50,50
47,비 금 융 회 사,경우,동일인측,친족,혈족5~6촌,-,-,-,-,-,,-,5000.0,,50,50
48,비 금 융 회 사,경우,동일인측,친족,인척 4촌 이내,-,-,-,-,-,,-,5000.0,,50,50
49,비 금 융 회 사,경우,동일인측,친족,친족 합계,/,-,-,-,-,,-,5000.0,,0,0
50,비 금 융 회 사,경우,동일인측,비영리법인,비영리법인,-,-,-,-,-,,-,5000.0,,50,0
51,비 금 융 회 사,경우,동일인측,등기된 임원,등기된 임원,-,-,-,-,-,,-,5000.0,,50,0
52,비 금 융 회 사,경우,동일인측,자기주식,자기주식,-,-,-,-,-,,-,5000.0,,50,0
53,비 금 융 회 사,경우,동일인측,계열회사 (국내+해외),계열회사 (국내+해외),올품,1000,20.00,-,-,1000.0,20.00,5000.0,0.2,1,1
54,비 금 융 회 사,경우,동일인측,계열회사 (국내+해외),계열회사 (국내+해외),-,-,-,-,-,,-,5000.0,,1,1
55,비 금 융 회 사,경우,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,,-,5000.0,,-1,-1
56,비 금 융 회 사,경우,동일인측,동일인측 합계,동일인측 합계,/,5000,100.00,-,-,5000.0,100.00,5000.0,1.0,50,50
57,비 금 융 회 사,경우,기타주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,-,-,-,-,-,,-,5000.0,,99,99
58,비 금 융 회 사,경우,기타주주,기타,기타,/,-,-,-,-,,-,5000.0,,99,99
59,비 금 융 회 사,경우,총 계,총 계,총 계,/,5000,100.00,-,-,5000.0,100.00,5000.0,1.0,50,50
60,비 금 융 회 사,글라이드,동일인측,동일인,동일인,-,-,-,-,-,,-,50000.0,,0,0
61,비 금 융 회 사,글라이드,동일인측,친족,배우자/ 혈족1촌,-,-,-,-,-,,-,50000.0,,50,50
62,비 금 융 회 사,글라이드,동일인측,친족,혈족2~4촌,-,-,-,-,-,,-,50000.0,,50,50
63,비 금 융 회 사,글라이드,동일인측,친족,혈족5~6촌,-,-,-,-,-,,-,50000.0,,50,50
64,비 금 융 회 사,글라이드,동일인측,친족,인척 4촌 이내,-,-,-,-,-,,-,50000.0,,50,50
65,비 금 융 회 사,글라이드,동일인측,친족,친족 합계,/,-,-,-,-,,-,50000.0,,0,0
66,비 금 융 회 사,글라이드,동일인측,비영리법인,비영리법인,-,-,-,-,-,,-,50000.0,,50,0
67,비 금 융 회 사,글라이드,동일인측,등기된 임원,등기된 임원,-,-,-,-,-,,-,50000.0,,50,0
68,비 금 융 회 사,글라이드,동일인측,자기주식,자기주식,-,-,-,-,-,,-,50000.0,,50,0
69,비 금 융 회 사,글라이드,동일인측,계열회사 (국내+해외),계열회사 (국내+해외),엔에스쇼핑,50000,100.00,-,-,50000.0,100.00,50000.0,1.0,1,1
70,비 금 융 회 사,글라이드,동일인측,계열회사 (국내+해외),계열회사 (국내+해외),-,-,-,-,-,,-,50000.0,,1,1
71,비 금 융 회 사,글라이드,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,,-,50000.0,,-1,-1
72,비 금 융 회 사,글라이드,동일인측,동일인측 합계,동일인측 합계,/,50000,100.00,-,-,50000.0,100.00,50000.0,1.0,50,50
73,비 금 융 회 사,글라이드,기타주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,-,-,-,-,-,,-,50000.0,,99,99
74,비 금 융 회 사,글라이드,기타주주,기타,기타,/,-,-,-,-,,-,50000.0,,99,99
75,비 금 융 회 사,글라이드,총 계,총 계,총 계,/,50000,100.00,-,-,50000.0,100.00,50000.0,1.0,50,50
76,비 금 융 회 사,동림건설,동일인측,동일인,동일인,-,-,-,-,-,,-,141000.0,,0,0
77,비 금 융 회 사,동림건설,동일인측,친족,배우자/ 혈족1촌,-,-,-,-,-,,-,141000.0,,50,50
78,비 금 융 회 사,동림건설,동일인측,친족,혈족2~4촌,-,-,-,-,-,,-,141000.0,,50,50
79,비 금 융 회 사,동림건설,동일인측,친족,혈족5~6촌,-,-,-,-,-,,-,141000.0,,50,50
80,비 금 융 회 사,동림건설,동일인측,친족,인척 4촌 이내,-,-,-,-,-,,-,141000.0,,50,50
81,비 금 융 회 사,동림건설,동일인측,친족,친족 합계,/,-,-,-,-,,-,141000.0,,0,0
82,비 금 융 회 사,동림건설,동일인측,비영리법인,비영리법인,-,-,-,-,-,,-,141000.0,,50,0
83,비 금 융 회 사,동림건설,동일인측,등기된 임원,등기된 임원,-,-,-,-,-,,-,141000.0,,50,0
84,비 금 융 회 사,동림건설,동일인측,자기주식,자기주식,-,-,-,-,-,,-,141000.0,,50,0
85,비 금 융 회 사,동림건설,동일인측,계열회사 (국내+해외),계열회사 (국내+해외),하림지주,141000,100.00,-,-,141000.0,100.00,141000.0,1.0,1,1
86,비 금 융 회 사,동림건설,동일인측,계열회사 (국내+해외),계열회사 (국내+해외),-,-,-,-,-,,-,141000.0,,1,1
87,비 금 융 회 사,동림건설,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,,-,141000.0,,-1,-1
88,비 금 융 회 사,동림건설,동일인측,동일인측 합계,동일인측 합계,/,141000,100.00,-,-,141000.0,100.00,141000.0,1.0,50,50
89,비 금 융 회 사,동림건설,기타주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,-,-,-,-,-,,-,141000.0,,99,99
90,비 금 융 회 사,동림건설,기타주주,기타,기타,/,-,-,-,-,,-,141000.0,,99,99
91,비 금 융 회 사,동림건설,총 계,총 계,총 계,/,141000,100.00,-,-,141000.0,100.00,141000.0,1.0,50,50
92,비 금 융 회 사,디디에프엔비,동일인측,동일인,동일인,-,-,-,-,-,,-,1000.0,,0,0
93,비 금 융 회 사,디디에프엔비,동일인측,친족,배우자/ 혈족1촌,-,-,-,-,-,,-,1000.0,,50,50
94,비 금 융 회 사,디디에프엔비,동일인측,친족,혈족2~4촌,-,-,-,-,-,,-,1000.0,,50,50
95,비 금 융 회 사,디디에프엔비,동일인측,친족,혈족5~6촌,-,-,-,-,-,,-,1000.0,,50,50
96,비 금 융 회 사,디디에프엔비,동일인측,친족,인척 4촌 이내,-,-,-,-,-,,-,1000.0,,50,50
97,비 금 융 회 사,디디에프엔비,동일인측,친족,친족 합계,/,-,-,-,-,,-,1000.0,,0,0
98,비 금 융 회 사,디디에프엔비,동일인측,비영리법인,비영리법인,-,-,-,-,-,,-,1000.0,,50,0
99,비 금 융 회 사,디디에프엔비,동일인측,등기된 임원,등기된 임원,-,-,-,-,-,,-,1000.0,,50,0
100,비 금 융 회 사,디디에프엔비,동일인측,자기주식,자기주식,-,-,-,-,-,,-,1000.0,,50,0
101,비 금 융 회 사,디디에프엔비,동일인측,계열회사 (국내+해외),계열회사 (국내+해외),하림지주,1000,100.00,-,-,1000.0,100.00,1000.0,1.0,1,1
102,비 금 융 회 사,디디에프엔비,동일인측,계열회사 (국내+해외),계열회사 (국내+해외),-,-,-,-,-,,-,1000.0,,1,1
103,비 금 융 회 사,디디에프엔비,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,,-,1000.0,,-1,-1
104,비 금 융 회 사,디디에프엔비,동일인측,동일인측 합계,동일인측 합계,/,1000,100.00,-,-,1000.0,100.00,1000.0,1.0,50,50
105,비 금 융 회 사,디디에프엔비,기타주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,-,-,-,-,-,,-,1000.0,,99,99
106,비 금 융 회 사,디디에프엔비,기타주주,기타,기타,/,-,-,-,-,,-,1000.0,,99,99
107,비 금 융 회 사,디디에프엔비,총 계,총 계,총 계,/,1000,100.00,-,-,1000.0,100.00,1000.0,1.0,50,50
108,비 금 융 회 사,맥시칸,동일인측,동일인,동일인,-,-,-,-,-,,-,5000.0,,0,0
