,소속회사명1,소속회사명2,동일인과의 관계1,동일인과의 관계2,동일인과의 관계3,성명,보통주 주식수,보통주 지분율,우선주 주식수,우선주 지분율,합계 주식수,합계 지분율,divisor,shares,type,type2
0,비금융회사,효성,동일인측,동일인,동일인,조석래,1986333.0,9.43%,,,1986333.0,9.43%,21071025.0,0.09426845632806187,0,0
1,비금융회사,효성,동일인측,친족,배우자/혈족1촌,조현준,4623736.0,21.94%,,,4623736.0,21.94%,21071025.0,0.21943574173539257,50,50
2,비금융회사,효성,동일인측,친족,배우자/혈족1촌,조현상,4513596.0,21.42%,,,4513596.0,21.42%,21071025.0,0.21420865857261334,50,50
3,비금융회사,효성,동일인측,친족,배우자/혈족1촌,송광자,101387.0,0.48%,,,101387.0,0.48%,21071025.0,0.0048116785965561714,50,50
4,비금융회사,효성,동일인측,친족,혈족2~4촌,조인영,18643.0,0.09%,,,18643.0,0.09%,21071025.0,0.0008847694879579898,50,50
5,비금융회사,효성,동일인측,친족,혈족2~4촌,조인서,18643.0,0.09%,,,18643.0,0.09%,21071025.0,0.0008847694879579898,50,50
6,비금융회사,효성,동일인측,친족,혈족2~4촌,조재현,13400.0,0.06%,,,13400.0,0.06%,21071025.0,0.0006359443833415792,50,50
7,비금융회사,효성,동일인측,친족,혈족2~4촌,조인희,13400.0,0.06%,,,13400.0,0.06%,21071025.0,0.0006359443833415792,50,50
8,비금융회사,효성,동일인측,친족,혈족2~4촌,조수인,13400.0,0.06%,,,13400.0,0.06%,21071025.0,0.0006359443833415792,50,50
9,비금융회사,효성,동일인측,친족,혈족2~4촌,조재하,13400.0,0.06%,,,13400.0,0.06%,21071025.0,0.0006359443833415792,50,50
10,비금융회사,효성,동일인측,친족,혈족5~6촌,,,,,,,,21071025.0,,50,50
11,비금융회사,효성,동일인측,친족,인척 4촌이내,,,,,,,,21071025.0,,50,50
12,비금융회사,효성,동일인측,친족,친족 합계,,9329605.0,44.28%,,,9329605.0,44.28%,21071025.0,0.44276939541384436,0,0
13,비금융회사,효성,동일인측,비영리법인,비영리법인,동양학원,293519.0,1.39%,,,293519.0,1.39%,21071025.0,0.013929982048808732,50,0
14,비금융회사,효성,동일인측,등기된 임원,등기된 임원,이상운,1418.0,0.01%,,,1418.0,0.01%,21071025.0,6.729620414763876e-05,50,0
15,비금융회사,효성,동일인측,등기된 임원,등기된 임원,이천규,196.0,0.00%,,,196.0,0.00%,21071025.0,9.301873069772353e-06,50,0
16,비금융회사,효성,동일인측,자기주식,자기주식,자기주식,958201.0,4.55%,,,958201.0,4.55%,21071025.0,0.045474816721066014,50,0
17,비금융회사,효성,동일인측,계열회사 (국내+해외),계열회사 (국내+해외),,,,,,,,21071025.0,,1,1
18,비금융회사,효성,동일인측,기타 동일인관련자,기타 동일인관련자,,,,,,,,21071025.0,,-1,-1
19,비금융회사,효성,동일인측,동일인측 합계,동일인측 합계,,12569272.0,59.65%,,,12569272.0,59.65%,21071025.0,0.5965192485889984,50,50
20,비금융회사,효성,기타주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,,,,,,,,21071025.0,,99,99
21,비금융회사,효성,기타주주,기타,기타,,8501753.0,40.35%,,,8501753.0,40.35%,21071025.0,0.4034807514110016,99,99
22,비금융회사,효성,총 계,총 계,총 계,,21071025.0,100.00%,,,21071025.0,100.00%,21071025.0,1.0,50,50
23,비금융회사,효성티앤씨,동일인측,동일인,동일인,조석래,354441.0,8.19%,,,354441.0,8.19%,4327682.0,0.0819008882815327,0,0
24,비금융회사,효성티앤씨,동일인측,친족,배우자/혈족1촌,송광자,31806.0,0.73%,,,31806.0,0.73%,4327682.0,0.007349430942476827,50,50
25,비금융회사,효성티앤씨,동일인측,친족,배우자/혈족1촌,조현준,631617.0,14.59%,,,631617.0,14.59%,4327682.0,0.14594810801717872,50,50
26,비금융회사,효성티앤씨,동일인측,친족,혈족2~4촌,조인영,1419.0,0.03%,,,1419.0,0.03%,4327682.0,0.00032788915636592524,50,50
27,비금융회사,효성티앤씨,동일인측,친족,혈족2~4촌,조인서,1419.0,0.03%,,,1419.0,0.03%,4327682.0,0.00032788915636592524,50,50
28,비금융회사,효성티앤씨,동일인측,친족,혈족5~6촌,,,,,,,,4327682.0,,50,50
29,비금융회사,효성티앤씨,동일인측,친족,인척 4촌이내,,,,,,,,4327682.0,,50,50
30,비금융회사,효성티앤씨,동일인측,친족,친족 합계,,666261.0,15.40%,,,666261.0,15.40%,4327682.0,0.1539533172723874,0,0
31,비금융회사,효성티앤씨,동일인측,비영리법인,비영리법인,,,,,,,,4327682.0,,50,0
32,비금융회사,효성티앤씨,동일인측,등기된 임원,등기된 임원,이상운,445.0,0.01%,,,445.0,0.01%,4327682.0,0.00010282640914928592,50,0
33,비금융회사,효성티앤씨,동일인측,등기된 임원,등기된 임원,이천규,61.0,0.00%,,,61.0,0.00%,4327682.0,1.40953055238347e-05,50,0
34,비금융회사,효성티앤씨,동일인측,자기주식,자기주식,자기주식,11992.0,0.28%,,,11992.0,0.28%,4327682.0,0.002770998423636487,50,0
