,소속회사명1,소속회사명2,동일인과의 관계1,동일인과의 관계2,성명,보통주 주식수,보통주 지분율,우선주 주식수,우선주 지분율,합계 주식수,합계 지분율
0,비금융회사,에이치엠엠,동일인측,동일인,에이치엠엠,-,-,-,-,,-
1,비금융회사,에이치엠엠,동일인측,비영리법인,에이치엠엠사내근로복지기금,173776,0.06%,-,-,173776.0,0.06%
2,비금융회사,에이치엠엠,동일인측,등기된 임원,배재훈,72678,0.02%,-,-,72678.0,0.02%
3,비금융회사,에이치엠엠,동일인측,등기된 임원,윤상건,9310,0.00%,-,-,9310.0,0.00%
4,비금융회사,에이치엠엠,동일인측,등기된 임원,신용권,45000,0.01%,-,-,45000.0,0.01%
5,비금융회사,에이치엠엠,동일인측,동일인측 합계,동일인측 합계,300764,0.09%,-,-,300764.0,0.09%
6,비금융회사,에이치엠엠,기타주주,동일인측이 아닌최다주주,한국산업은행,41199297,13.02%,-,-,41199297.0,12.94%
7,비금융회사,에이치엠엠,기타주주,기타,기타,275052134,86.89%,1857857,100%,276909991.0,86.97%
8,비금융회사,에이치엠엠,총 계,총 계,총 계,316552195,100%,1857857,100%,318410052.0,100%
9,비금융회사,에이치엠엠오션서비스,동일인측,동일인,에이치엠엠,679432,100%,-,-,679432.0,100%
10,비금융회사,에이치엠엠오션서비스,동일인측,동일인측 합계,동일인측 합계,679432,100%,-,-,679432.0,100%
11,비금융회사,에이치엠엠오션서비스,총계,총계,총계,679432,100%,-,-,679432.0,100%
12,비금융회사,현대상선퍼시픽,동일인측,동일인,에이치엠엠,91667,100.00%,-,-,91667.0,100.00%
13,비금융회사,현대상선퍼시픽,동일인측,동일인측 합계,동일인측 합계,91667,100.00%,-,-,91667.0,100.00%
14,비금융회사,현대상선퍼시픽,총계,총계,총계,91667,100.00%,-,-,91667.0,100.00%
15,금융회사,에이치티알헤시라스,동일인측,동일인,에이치엠엠,589002,100.00%,-,-,589002.0,100.00%
16,금융회사,에이치티알헤시라스,동일인측,동일인측 합계,동일인측 합계,589002,100.00%,-,-,589002.0,100.00%
17,금융회사,에이치티알헤시라스,총계,총계,총계,589002,100.00%,-,-,589002.0,100.00%
