,firmname,own,own2,type,ownername
0,에이케이홀딩스,0.4594050935111754,0.4751741094077619,0,
25,에이케이홀딩스,0.1036685922789863,0.1036685922789863,1,에이케이아이에스
26,에이케이홀딩스,0.08547346941825744,0.08547346941825744,1,애경개발
27,에이케이홀딩스,,,-1,
29,에이케이홀딩스,0.3356838288949943,0.3356838288949943,99,
32,애경유화,0.0,0.015007802746566792,0,
47,애경유화,0.44486610486891387,0.44486610486891387,1,에이케이홀딩스
48,애경유화,,,1,-
49,애경유화,,,-1,
51,애경유화,0.5401260923845194,0.5401260923845194,99,
54,에이케이앤엠엔바이오팜,0.054131286830809235,0.0549039129095884,0,
77,에이케이앤엠엔바이오팜,0.4,0.4,1,애경유화
78,에이케이앤엠엔바이오팜,,,1,-
79,에이케이앤엠엔바이오팜,,,-1,
81,에이케이앤엠엔바이오팜,0.5450960870904116,0.5450960870904116,99,
84,에이케이켐텍,0.16982049591568593,0.16982049591568593,0,
101,에이케이켐텍,0.8010901635128375,0.8010901635128375,1,에이케이홀딩스
102,에이케이켐텍,,,1,-
103,에이케이켐텍,,,-1,
105,에이케이켐텍,0.029089340571476666,0.029089340571476666,99,
108,에이케이에셋,0.0,0.0,0,
123,에이케이에셋,1.0,1.0,1,에이케이켐텍
124,에이케이에셋,,,1,-
125,에이케이에셋,,,-1,
127,에이케이에셋,0.0,0.0,99,
130,애경화학,0.0,0.0,0,
145,애경화학,0.5,0.5,1,에이케이홀딩스
146,애경화학,,,1,
147,애경화학,,,-1,
149,애경화학,0.5,0.5,99,
152,애경레지콘,0.0,0.0,0,
167,애경레지콘,0.75,0.75,1,애경화학
168,애경레지콘,,,1,
169,애경레지콘,,,-1,
171,애경레지콘,0.25,0.25,99,
174,애경산업,0.0012145809686169358,0.001863053338892572,0,
189,애경산업,0.4006148057040518,0.4006148057040518,1,AK홀딩스
190,애경산업,0.2322038173141174,0.2322038173141174,1,에이케이아이에스
191,애경산업,0.0004175122079620717,0.0004175122079620717,-1,
192,애경산업,0.0011272829614975934,0.0011272829614975934,-1,
193,애경산업,3.305937573954222e-05,3.305937573954222e-05,-1,
194,애경산업,0.00011424652236053053,0.00011424652236053053,-1,
196,애경산업,0.3636262225753785,0.3636262225753785,99,
199,애경에스티,0.0,0.0,0,
214,애경에스티,0.51,0.51,1,애경산업
215,애경에스티,,,1,
216,애경에스티,,,-1,
218,애경에스티,0.49,0.49,99,
221,모두락애경산업,0.0,0.0,0,
236,모두락애경산업,1.0,1.0,1,애경산업
237,모두락애경산업,,,1,-
238,모두락애경산업,,,-1,
240,모두락애경산업,0.0,0.0,99,
243,에이제이피,0.0,0.0,0,
258,에이제이피,1.0,1.0,1,애경산업
259,에이제이피,,,1,-
260,에이제이피,,,-1,
262,에이제이피,0.0,0.0,99,
265,제주항공,0.005918785610885831,0.010334047912873049,0,
280,제주항공,0.5693882001724188,0.5693882001724188,1,에이케이홀딩스
281,제주항공,0.01736867637514447,0.01736867637514447,1,에이케이아이에스
282,제주항공,,,-1,
284,제주항공,0.40290907553956373,0.40290907553956373,99,
287,모두락,0.0,0.0,0,
302,모두락,1.0,1.0,1,제주항공
303,모두락,,,1,-
304,모두락,,,-1,
306,모두락,0.0,0.0,99,
309,퍼시픽제3호전문사모부동산투자유한회사,0.0,0.0,0,
324,퍼시픽제3호전문사모부동산투자유한회사,0.9985294117647059,0.9985294117647059,1,제주항공
325,퍼시픽제3호전문사모부동산투자유한회사,,,1,-
326,퍼시픽제3호전문사모부동산투자유한회사,,,-1,
328,퍼시픽제3호전문사모부동산투자유한회사,0.0014705882352941176,0.0014705882352941176,99,
331,제이에이에스,0.0,0.0,0,
346,제이에이에스,1.0,1.0,1,제주항공
347,제이에이에스,,,1,-
348,제이에이에스,,,-1,
350,제이에이에스,0.0,0.0,99,
353,에이케이에스앤디,0.018349785361479326,0.018349785361479326,0,
370,에이케이에스앤디,0.7574482986666314,0.7574482986666314,1,에이케이홀딩스
371,에이케이에스앤디,0.20040640124345824,0.20040640124345824,1,에이케이아이에스
372,에이케이에스앤디,0.010423301313611572,0.010423301313611572,1,코스파
373,에이케이에스앤디,0.006095483232379244,0.006095483232379244,1,애경피앤티
374,에이케이에스앤디,,,-1,
376,에이케이에스앤디,0.007228542427956965,0.007228542427956965,99,
380,수원애경역사,0.0,0.0,0,
395,수원애경역사,0.8419938181818182,0.8419938181818182,1,에이케이에스앤디
396,수원애경역사,,,1,
397,수원애경역사,,,-1,
399,수원애경역사,0.1580061818181818,0.1580061818181818,99,
409,평택역사,0.0,0.0,0,
424,평택역사,0.9348827999328346,0.9348827999328346,1,에이케이에스앤디
425,평택역사,,,1,
426,평택역사,,,-1,
428,평택역사,0.06511720006716538,0.06511720006716538,99,
435,마포애경타운,0.0,0.0,0,
450,마포애경타운,0.8573333333333333,0.8573333333333333,1,에이케이에스앤디
451,마포애경타운,,,1,
452,마포애경타운,,,-1,
454,마포애경타운,0.14266666666666666,0.14266666666666666,99,
459,에이케이네트워크,0.0,0.0,0,
474,에이케이네트워크,1.0,1.0,1,에이케이에스앤디
475,에이케이네트워크,,,1,-
476,에이케이네트워크,,,-1,
478,에이케이네트워크,0.0,0.0,99,
481,에이엠플러스자산개발,0.0,0.0,0,
496,에이엠플러스자산개발,0.5714285714285714,0.5714285714285714,1,에이케이홀딩스
497,에이엠플러스자산개발,,,1,
498,에이엠플러스자산개발,,,-1,
500,에이엠플러스자산개발,0.42857142857142855,0.42857142857142855,99,
503,에이엠플러스피에프브이강남,0.0,0.0,0,
518,에이엠플러스피에프브이강남,1.0,1.0,1,에이엠플러스자산개발
519,에이엠플러스피에프브이강남,,,1,-
520,에이엠플러스피에프브이강남,,,-1,
522,에이엠플러스피에프브이강남,0.0,0.0,99,
525,에이엠플러스피에프브이기흥,0.0,0.0,0,
540,에이엠플러스피에프브이기흥,0.95,0.95,1,에이엠플러스자산개발
541,에이엠플러스피에프브이기흥,,,1,-
542,에이엠플러스피에프브이기흥,,,-1,
544,에이엠플러스피에프브이기흥,0.05,0.05,99,
547,에이엠플러스피에프브이산곡,0.0,0.0,0,
562,에이엠플러스피에프브이산곡,0.95,0.95,1,에이엠플러스자산개발
563,에이엠플러스피에프브이산곡,,,1,
564,에이엠플러스피에프브이산곡,,,-1,
566,에이엠플러스피에프브이산곡,0.05,0.05,99,
569,에이엠플러스피에프브이위례,0.0,0.0,0,
584,에이엠플러스피에프브이위례,1.0,1.0,1,에이엠플러스자산개발
585,에이엠플러스피에프브이위례,,,1,-
586,에이엠플러스피에프브이위례,,,-1,
588,에이엠플러스피에프브이위례,0.0,0.0,99,
591,에이엠플러스피에프브이정자,0.0,0.0,0,
606,에이엠플러스피에프브이정자,1.0,1.0,1,에이엠플러스자산개발
607,에이엠플러스피에프브이정자,,,1,-
608,에이엠플러스피에프브이정자,,,-1,
610,에이엠플러스피에프브이정자,0.0,0.0,99,
613,에이케이아이에스,1.0,1.0,0,
630,에이케이아이에스,,,1,-
631,에이케이아이에스,,,1,-
632,에이케이아이에스,,,-1,
634,에이케이아이에스,0.0,0.0,99,
637,애경개발,0.68535,0.68535,0,
654,애경개발,0.31465,0.31465,1,에이케이아이에스
655,애경개발,,,1,-
656,애경개발,,,-1,
658,애경개발,0.0,0.0,99,
661,에이케이레저,0.0,0.0,0,
676,에이케이레저,0.7448061845968281,0.7448061845968281,1,애경개발
677,에이케이레저,0.2551938154031718,0.2551938154031718,1,서림
678,에이케이레저,,,-1,
680,에이케이레저,0.0,0.0,99,
683,애경피앤티,0.55,0.55,0,
698,애경피앤티,0.45,0.45,1,에이텍
699,애경피앤티,,,1,-
700,애경피앤티,,,-1,
702,애경피앤티,0.0,0.0,99,
705,에이텍,0.5,1.0,0,
721,에이텍,,,1,-
722,에이텍,,,1,-
723,에이텍,,,-1,
725,에이텍,0.0,0.0,99,
728,코스파,0.2805,0.2805,0,
744,코스파,0.1195,0.1195,1,에이텍
745,코스파,0.1,0.1,1,에이케이아이에스
746,코스파,,,-1,
748,코스파,0.5,0.5,99,
751,한국특수소재,0.2805,0.2805,0,
767,한국특수소재,0.1195,0.1195,1,에이텍
768,한국특수소재,0.1,0.1,1,에이케이아이에스
769,한국특수소재,,,-1,
771,한국특수소재,0.5,0.5,99,
774,애드미션,0.8525,0.8691666666666668,0,
789,애드미션,,,1,-
790,애드미션,,,1,-
791,애드미션,,,-1,
793,애드미션,0.13083333333333333,0.13083333333333333,99,
798,우영운수,1.0,1.0,0,
814,우영운수,,,1,-
815,우영운수,,,1,-
816,우영운수,,,-1,
818,우영운수,0.0,0.0,99,
821,비컨로지스틱스,1.0,1.0,0,
837,비컨로지스틱스,,,1,-
838,비컨로지스틱스,,,1,-
839,비컨로지스틱스,,,-1,
841,비컨로지스틱스,0.0,0.0,99,
844,에이엘오,1.0,1.0,0,
860,에이엘오,,,1,-
861,에이엘오,,,1,-
862,에이엘오,,,-1,
864,에이엘오,0.0,0.0,99,
867,인셋,1.0,1.0,0,
887,인셋,,,1,-
888,인셋,,,1,-
889,인셋,,,-1,
891,인셋,0.0,0.0,99,
