,firmname,own,own2,type,ownername
0,네이버,0.03719579346084097,0.15504532262077364,0,
23,네이버,,,1,-
24,네이버,,,-1,
26,네이버,0.8449546773792264,0.8449546773792264,99,
29,네이버비즈니스플랫폼,0.0,0.0,0,
38,네이버비즈니스플랫폼,1.0,1.0,1,네이버
39,네이버비즈니스플랫폼,,,-1,
41,네이버비즈니스플랫폼,0.0,0.0,99,
44,네이버아이앤에스,0.0,0.0,0,
53,네이버아이앤에스,1.0,1.0,1,네이버
54,네이버아이앤에스,,,-1,
56,네이버아이앤에스,0.0,0.0,99,
59,그린웹서비스,0.0,0.0,0,
68,그린웹서비스,1.0,1.0,1,네이버아이앤에스
69,그린웹서비스,,,-1,
71,그린웹서비스,0.0,0.0,99,
74,인컴즈,0.0,0.0,0,
83,인컴즈,1.0,1.0,1,네이버아이앤에스
84,인컴즈,,,-1,
86,인컴즈,0.0,0.0,99,
89,컴파트너스,0.0,0.0,0,
98,컴파트너스,1.0,1.0,1,네이버아이앤에스
99,컴파트너스,,,-1,
101,컴파트너스,0.0,0.0,99,
104,엔테크서비스,0.0,0.0,0,
113,엔테크서비스,1.0,1.0,1,네이버아이앤에스
114,엔테크서비스,,,-1,
116,엔테크서비스,0.0,0.0,99,
119,엔아이티서비스,0.0,0.0,0,
128,엔아이티서비스,1.0,1.0,1,네이버아이앤에스
129,엔아이티서비스,,,-1,
131,엔아이티서비스,0.0,0.0,99,
134,네이버랩스,0.0,0.0,0,
143,네이버랩스,1.0,1.0,1,네이버
144,네이버랩스,,,-1,
146,네이버랩스,0.0,0.0,99,
149,오디언소리,0.0,0.0,0,
158,오디언소리,1.0,1.0,1,네이버
159,오디언소리,,,-1,
161,오디언소리,0.0,0.0,99,
164,웍스모바일,0.0,0.0,0,
173,웍스모바일,0.7,0.7,1,네이버
174,웍스모바일,0.3,0.3,1,네이버비즈니스플랫폼
175,웍스모바일,,,-1,
177,웍스모바일,0.0,0.0,99,
180,서치솔루션,0.0,0.0,0,
189,서치솔루션,1.0,1.0,1,네이버
190,서치솔루션,,,-1,
192,서치솔루션,0.0,0.0,99,
195,컴패니에이아이,0.0,0.2505,0,
204,컴패니에이아이,0.565,0.565,1,네이버
205,컴패니에이아이,,,-1,
207,컴패니에이아이,0.1845,0.1845,99,
210,라인비즈플러스,0.0,0.0,0,
219,라인비즈플러스,1.0,1.0,1,LINE Pay Corporation
220,라인비즈플러스,,,-1,
222,라인비즈플러스,0.0,0.0,99,
225,라인파이낸셜플러스,0.0,0.0,0,
234,라인파이낸셜플러스,1.0,1.0,1,LINE Financial Corporation
235,라인파이낸셜플러스,,,-1,
237,라인파이낸셜플러스,0.0,0.0,99,
240,라인프렌즈,0.0,0.0,0,
249,라인프렌즈,1.0,1.0,1,LFG Holdings Limited
250,라인프렌즈,,,-1,
252,라인프렌즈,0.0,0.0,99,
255,마크티,0.0,0.0,0,
264,마크티,0.5100008819984124,0.5100008819984124,1,라인프렌즈
265,마크티,,,-1,
267,마크티,0.4899991180015876,0.4899991180015876,99,
270,라인게임즈,0.0,0.2870763760402628,0,
280,라인게임즈,0.417308146219268,0.417308146219268,1,LINE Corporation
281,라인게임즈,,,-1,
283,라인게임즈,0.2956154777404692,0.2956154777404692,99,
286,피그,0.0,0.0,0,
295,피그,1.0,1.0,1,라인게임즈
296,피그,,,-1,
298,피그,0.0,0.0,99,
301,스튜디오포립,0.0,0.06,0,
310,스튜디오포립,0.6,0.6,1,라인게임즈
311,스튜디오포립,,,-1,
313,스튜디오포립,0.34,0.34,99,
316,락스퀘어,0.0,0.3897962495758273,0,
327,락스퀘어,0.4098467076823205,0.4098467076823205,1,라인게임즈
328,락스퀘어,,,-1,
330,락스퀘어,0.2003570427418522,0.2003570427418522,99,
333,스노우,0.0,0.0,0,
342,스노우,0.6597729678286295,0.6597729678286295,1,네이버
343,스노우,0.20795320890690763,0.20795320890690763,1,라인플러스
344,스노우,0.13227382326446285,0.13227382326446285,1,LINE Corporation
345,스노우,,,-1,
347,스노우,0.0,0.0,99,
350,플레이리스트,0.0,0.0,0,
359,플레이리스트,0.5,0.5,1,네이버웹툰
360,플레이리스트,0.5,0.5,1,스노우
361,플레이리스트,,,-1,
363,플레이리스트,0.0,0.0,99,
366,어뮤즈,0.0,0.0,0,
375,어뮤즈,1.0,1.0,1,스노우
376,어뮤즈,,,-1,
378,어뮤즈,0.0,0.0,99,
381,하트잇,0.0,0.0,0,
390,하트잇,1.0,1.0,1,스노우
391,하트잇,,,-1,
393,하트잇,0.0,0.0,99,
396,네이버웹툰,0.0,0.0,0,
405,네이버웹툰,1.0,1.0,1,네이버
406,네이버웹툰,,,-1,
408,네이버웹툰,0.0,0.0,99,
411,리코,0.0,0.0,0,
420,리코,1.0,1.0,1,네이버웹툰
421,리코,,,-1,
423,리코,0.0,0.0,99,
426,스튜디오엔,0.0,0.0,0,
435,스튜디오엔,1.0,1.0,1,네이버웹툰
436,스튜디오엔,,,-1,
438,스튜디오엔,0.0,0.0,99,
441,엔비전스,0.0,0.0,0,
450,엔비전스,1.0,1.0,1,네이버
451,엔비전스,,,-1,
453,엔비전스,0.0,0.0,99,
456,와이티엔플러스,0.0,0.0,0,
465,와이티엔플러스,0.5,0.5,1,네이버
466,와이티엔플러스,,,-1,
468,와이티엔플러스,0.5,0.5,99,
471,라인플러스,0.0,0.0,0,
480,라인플러스,1.0,1.0,1,LINE Corporation
481,라인플러스,,,-1,
483,라인플러스,0.0,0.0,99,
486,라인플레이,0.0,0.0,0,
495,라인플레이,1.0,1.0,1,라인플러스
496,라인플레이,,,-1,
498,라인플레이,0.0,0.0,99,
501,라인업,0.0,0.0,0,
510,라인업,1.0,1.0,1,라인플러스
511,라인업,,,-1,
513,라인업,0.0,0.0,99,
516,라인스튜디오,0.0,0.0,0,
525,라인스튜디오,1.0,1.0,1,라인플러스
526,라인스튜디오,,,-1,
528,라인스튜디오,0.0,0.0,99,
531,언블락,0.0,0.0,0,
540,언블락,1.0,1.0,1,LVC Corporation
541,언블락,,,-1,
543,언블락,0.0,0.0,99,
546,언체인,0.0,0.0,0,
555,언체인,0.5098039215686274,0.5098039215686274,1,LVC Corporation
556,언체인,,,-1,
558,언체인,0.49019607843137253,0.49019607843137253,99,
561,그레이해쉬,0.0,0.18138637375686506,0,
570,그레이해쉬,0.40017812082529314,0.40017812082529314,1,라인플러스
571,그레이해쉬,,,-1,
573,그레이해쉬,0.41843550541784175,0.41843550541784175,99,
576,(유)지음,1.0,1.0,0,
585,(유)지음,,,1,-
586,(유)지음,,,-1,
588,(유)지음,0.0,0.0,99,
591,스프링캠프,0.0,0.0,0,
600,스프링캠프,1.0,1.0,1,스노우
601,스프링캠프,,,-1,
603,스프링캠프,0.0,0.0,99,
