,firmname,own,own2,type,ownername
0,금호석유화학,0.22594147706424295,0.3933030481430975,0,
17,금호석유화학,0.6066969518569025,0.6066969518569025,99,
20,금호피앤비화학,1.0,1.0,1,금호석유화학
23,금호미쓰이화학,0.5,0.5,1,금호석유화학
25,금호미쓰이화학,0.5,0.5,99,
27,금호폴리켐,0.5,0.5,1,금호석유화학
29,금호폴리켐,0.5,0.5,99,
31,금호티앤엘,1.0,1.0,1,금호석유화학
34,금호개발상사,1.0,1.0,1,금호피앤비화학
37,코리아에너지발전소,0.9612823404537615,0.9612823404537615,1,금호석유화학
39,코리아에너지발전소,0.038717659546238556,0.038717659546238556,99,
41,철도솔라,0.9994389406076554,0.9994389406076554,1,코리아에너지발전소
43,철도솔라,0.0005610593923446251,0.0005610593923446251,99,
45,강원학교태양광,1.0,1.0,1,코리아에너지발전소
48,영광백수풍력발전,0.51,0.51,1,금호석유화학
50,영광백수풍력발전,0.49,0.49,99,
52,여수페트로,0.222,0.222,1,금호석유화학
53,여수페트로,0.202,0.202,1,금호피앤비화학
55,여수페트로,0.5760000000000001,0.5760000000000001,99,
58,디앤케이켐텍,0.5,0.5,1,금호피앤비화학
60,디앤케이켐텍,0.5,0.5,99,
