,firmname,own,own2,type,ownername
0,농협경제지주,1.0,1.0,0,
9,농협경제지주,,,1,-
10,농협경제지주,,,-1,
12,농협경제지주,0.0,0.0,99,
15,농협하나로유통,0.0,0.0,0,
24,농협하나로유통,1.0,1.0,1,농협경제지주
25,농협하나로유통,,,-1,
27,농협하나로유통,0.0,0.0,99,
30,농협유통,0.0,0.0,0,
39,농협유통,1.0,1.0,1,농협경제지주
40,농협유통,,,-1,
42,농협유통,0.0,0.0,99,
45,농협충북유통,0.0,0.0,0,
54,농협충북유통,1.0,1.0,1,농협경제지주
55,농협충북유통,,,-1,
57,농협충북유통,0.0,0.0,99,
60,농협대전유통,0.0,0.0,0,
69,농협대전유통,0.9500008591462289,0.9500008591462289,1,농협경제지주
70,농협대전유통,,,-1,
72,농협대전유통,0.04999914085377114,0.04999914085377114,99,
75,농협부산경남유통,0.0,0.0,0,
84,농협부산경남유통,1.0,1.0,1,농협경제지주
85,농협부산경남유통,,,-1,
87,농협부산경남유통,0.0,0.0,99,
90,남해화학,0.0,0.034993729624500314,0,
99,남해화학,0.5599999380017767,0.5599999380017767,1,농협경제지주
100,남해화학,2.1055240759129597e-05,2.1055240759129597e-05,1,NH투자증권
101,남해화학,,,-1,
103,남해화학,0.40498527713296384,0.40498527713296384,99,
106,농협케미컬,0.0,0.0,0,
115,농협케미컬,1.0,1.0,1,농협경제지주
116,농협케미컬,,,-1,
118,농협케미컬,0.0,0.0,99,
121,농우바이오,0.0,0.0008708366475758397,0,
131,농우바이오,0.579138808679247,0.579138808679247,1,농협경제지주
132,농우바이오,,,-1,
134,농우바이오,0.4199903546731771,0.4199903546731771,99,
137,농업회사법인 농협양곡,0.0,0.0,0,
146,농업회사법인 농협양곡,0.7693574154568332,0.7693574154568332,1,농협경제지주
147,농업회사법인 농협양곡,,,-1,
149,농업회사법인 농협양곡,0.2306425845431668,0.2306425845431668,99,
152,농협홍삼,0.0,0.0,0,
161,농협홍삼,1.0,1.0,1,농협경제지주
162,농협홍삼,,,-1,
164,농협홍삼,0.0,0.0,99,
167,농협아그로,0.0,0.0,0,
176,농협아그로,0.948,0.948,1,농협경제지주
177,농협아그로,,,-1,
179,농협아그로,0.052,0.052,99,
182,농업회사법인농협흙사랑,0.0,0.0,0,
191,농업회사법인농협흙사랑,0.63919259882254,0.63919259882254,1,농협경제지주
192,농업회사법인농협흙사랑,,,-1,
194,농업회사법인농협흙사랑,0.3608074011774601,0.3608074011774601,99,
197,농협물류,0.0,0.0,0,
206,농협물류,1.0,1.0,1,농협경제지주
207,농협물류,,,-1,
209,농협물류,0.0,0.0,99,
212,NH농협무역,0.0,0.0,0,
221,NH농협무역,1.0,1.0,1,농협경제지주
222,NH농협무역,,,-1,
224,NH농협무역,0.0,0.0,99,
227,농협사료,0.0,0.0,0,
236,농협사료,1.0,1.0,1,농협경제지주
237,농협사료,,,-1,
239,농협사료,0.0,0.0,99,
242,농협목우촌,0.0,0.0,0,
251,농협목우촌,1.0,1.0,1,농협경제지주
252,농협목우촌,,,-1,
254,농협목우촌,0.0,0.0,99,
257,농업회사법인농협티엠알,0.0,0.0,0,
266,농업회사법인농협티엠알,0.6040268456375839,0.6040268456375839,1,농협사료
267,농업회사법인농협티엠알,,,-1,
269,농업회사법인농협티엠알,0.39597315436241615,0.39597315436241615,99,
280,공영홈쇼핑,0.0,0.0,0,
289,공영홈쇼핑,0.45,0.45,1,농협경제지주
290,공영홈쇼핑,,,-1,
292,공영홈쇼핑,0.55,0.55,99,
295,농업회사법인 농협식품,0.0,0.0,0,
