,firmname,own,own2,type,ownername
0,대림산업,0.0017338082901554404,0.018433704663212435,0,
8,대림산업,0.19601455958549222,0.19601455958549222,1,대림코퍼레이션
10,대림산업,0.7855517357512953,0.7855517357512953,99,
12,대림코퍼레이션,0.5277700865690789,0.6734205980246949,0,
24,대림코퍼레이션,,,1,-
25,대림코퍼레이션,,,-1,
27,대림코퍼레이션,0.32657940197530505,0.32657940197530505,99,
30,고려개발,0.0,0.0016169720444030825,0,
43,고려개발,0.5269855859396944,0.5269855859396944,1,대림산업
44,고려개발,0.0321322422091991,0.0321322422091991,1,켐텍
46,고려개발,0.4392651998067035,0.4392651998067035,99,
49,삼호,0.009305742921201817,0.017107378335081056,0,
55,삼호,0.7293802157424562,0.7293802157424562,1,대림산업
57,삼호,0.2535124059224628,0.2535124059224628,99,
59,대림자동차공업,0.5902017697379108,0.5902017697379108,1,대림산업
61,대림자동차공업,0.40979823026208917,0.40979823026208917,99,
63,글래드호텔앤리조트,1.0,1.0,1,대림산업
66,대림씨엔에스,0.041573374441473875,0.06506467549699979,0,
79,대림씨엔에스,0.5080822281148358,0.5080822281148358,1,대림산업
80,대림씨엔에스,0.015772528742069063,0.015772528742069063,1,대림코퍼레이션
81,대림씨엔에스,,,-1,
83,대림씨엔에스,0.4110805676460953,0.4110805676460953,99,
86,송도파워,1.0,1.0,1,대림산업
89,포천파워,0.4000001124360992,0.4000001124360992,1,대림에너지
90,포천파워,0.0578242795636869,0.0578242795636869,1,대림산업
92,포천파워,0.5421756080002139,0.5421756080002139,99,
94,험프리에스엘큐원,0.35300349520033575,0.35300349520033575,1,대림산업
95,험프리에스엘큐원,0.09999911959689277,0.09999911959689277,1,대림코퍼레이션
97,험프리에스엘큐원,0.5469973852027715,0.5469973852027715,99,
99,에코술이홀,1.0,1.0,1,대림산업
102,김해동서터널,0.39,0.39,1,삼호
103,김해동서터널,0.37,0.37,1,대림산업
105,김해동서터널,0.24,0.24,99,
109,켐텍,1.0,1.0,0,
112,에이플러스디,1.0,1.0,1,글래드호텔앤리조트
115,제주항공우주호텔,0.421,0.421,1,대림산업
117,제주항공우주호텔,0.579,0.579,99,
119,덕송내각고속화도로,0.5944662016545779,0.5944662016545779,1,대림산업
121,덕송내각고속화도로,0.4055337983454221,0.4055337983454221,99,
123,밀머란에스피씨,0.6123499052803917,0.6123499052803917,1,대림에너지
125,밀머란에스피씨,0.3876500947196084,0.3876500947196084,99,
127,대림에너지,0.7000000047116645,0.7000000047116645,1,대림산업
128,대림에너지,0.2999999952883355,0.2999999952883355,1,대림코퍼레이션
131,하이웨이솔라,0.4,0.4,1,포천파워
133,하이웨이솔라,0.6,0.6,99,
135,포승그린파워,0.6334366197183099,0.6334366197183099,1,대림에너지
137,포승그린파워,0.36656338028169017,0.36656338028169017,99,
139,청진이삼프로젝트,0.4846157414655927,0.4846157414655927,1,대림산업
141,청진이삼프로젝트,0.5153842585344073,0.5153842585344073,99,
143,청진이삼자산관리,0.8059,0.8059,1,대림산업
145,청진이삼자산관리,0.1941,0.1941,99,
147,대림에이엠씨,0.82,0.82,1,대림코퍼레이션
148,대림에이엠씨,0.09,0.09,1,대림산업
149,대림에이엠씨,0.09,0.09,1,에이플러스디
152,대림제5호천안원성동기업형임대위탁관리부동산투자회사,1.0,1.0,1,대림산업
155,대림제6호부산우암동기업형임대위탁관리 부동산투자회사,0.30000737844019776,0.30000737844019776,1,대림산업
157,대림제6호부산우암동기업형임대위탁관리 부동산투자회사,0.6999926215598022,0.6999926215598022,99,
159,대림오토바이,0.5902017094017094,0.5902017094017094,1,대림산업
161,대림오토바이,0.4097982905982906,0.4097982905982906,99,
163,대림피앤피,1.0,1.0,1,대림코퍼레이션
166,대림제7호마산회원기업형임대위탁관리부동산투자회사,1.0,1.0,1,대림산업
169,영주에코파워,1.0,1.0,1,대림에너지
172,대림에프엔씨,1.0,1.0,1,대림산업
174,대림에프엔씨,0.0,0.0,99,
176,삼호시트론시티,0.225,0.225,1,삼호
178,삼호시트론시티,0.775,0.775,99,
180,코크레인에스피씨,1.0,1.0,1,대림에너지
