,firmname,own,own2,type,ownername
0,동원엔터프라이즈,0.9456893005083185,0.9955705389133463,0,
10,동원엔터프라이즈,0.004429461086653626,0.004429461086653626,99,
13,동원에프앤비,7.77378493150259e-07,0.00018372045054784454,0,
17,동원에프앤비,0.7124979658596096,0.7124979658596096,1,동원엔터프라이즈
19,동원에프앤비,0.28731831368984256,0.28731831368984256,99,
26,동원산업,0.005835534246001717,0.07889350809391128,0,
29,동원산업,0.6272153807291141,0.6272153807291141,1,동원엔터프라이즈
31,동원산업,0.2938911111769746,0.2938911111769746,99,
37,동원시스템즈,0.004772315916140667,0.01261024771837626,0,
40,동원시스템즈,0.7987872678539673,0.7987872678539673,1,동원엔터프라이즈
42,동원시스템즈,0.18860248442765648,0.18860248442765648,99,
45,동원건설산업,1.0,1.0,1,동원엔터프라이즈
47,동원건설산업,0.0,0.0,99,
50,동원팜스,1.0,1.0,1,동원에프앤비
53,동원홈푸드,1.0,1.0,1,동원에프앤비
56,동원씨앤에스,1.0,1.0,1,동원에프앤비
59,동원로엑스,1.0,1.0,1,동원산업
62,동원로엑스냉장,0.85,0.85,1,동원산업
64,동원로엑스냉장,0.15,0.15,99,
66,동원로엑스냉장투,0.85,0.85,1,동원산업
68,동원로엑스냉장투,0.15,0.15,99,
70,테크팩솔루션,0.5600039454649073,0.5600039454649073,1,동원시스템즈
71,테크팩솔루션,0.4399960545350927,0.4399960545350927,1,StarKist Co.
74,진안물사랑,0.44807733314379133,0.44807733314379133,1,동원시스템즈
76,진안물사랑,0.5519226668562087,0.5519226668562087,99,
80,농업회사법인 어석합자회사,0.09305867120124191,0.10115072956656729,0,
82,농업회사법인 어석합자회사,0.8988492704334327,0.8988492704334327,1,동원산업 주식회사
85,거창산업단지,1.0,1.0,1,동원건설산업
88,수도권동북부물류단지,1.0,1.0,1,동원건설산업
91,동원와인플러스,1.0,1.0,1,동원홈푸드
94,동원로엑스인천,1.0,1.0,1,동원로엑스
97,동원로엑스광양,1.0,1.0,1,동원로엑스
100,동부부산컨테이너터미널,1.0,1.0,1,동원로엑스
103,동원티엘에스,1.0,1.0,1,동원로엑스
106,부산신항다목적터미널,0.5,0.5,1,동원로엑스
108,부산신항다목적터미널,0.5,0.5,99,
111,남춘천산업단지개발,0.4565925925925926,0.4565925925925926,1,동원건설산업
113,남춘천산업단지개발,0.5434074074074075,0.5434074074074075,99,
116,비아이디씨,0.5103636363636364,0.5103636363636364,1,동원산업
118,비아이디씨,0.48963636363636365,0.48963636363636365,99,
120,동화,1.0,1.0,1,동원로엑스
