,firmname,own,own2,type,ownername
0,두산,0.39957239435425496,0.6444116172293122,0,
39,두산,0.0,0.0,1,-
40,두산,0.0,0.0,-1,
42,두산,0.35558838277068777,0.35558838277068777,99,
45,두산중공업,0.0003120158513095065,0.0005388651697907788,0,
67,두산중공업,0.3379125672038799,0.3379125672038799,1,두산
68,두산중공업,0.0,0.0,-1,
70,두산중공업,0.6615485676263293,0.6615485676263293,99,
73,두산인프라코어,0.00014262979235441767,0.0002532603578017024,0,
86,두산인프라코어,0.36274453329045886,0.36274453329045886,1,두산중공업
87,두산인프라코어,,,-1,
89,두산인프라코어,0.6370022063517394,0.6370022063517394,99,
92,두산밥캣,0.0,0.00011571168582090749,0,
104,두산밥캣,0.510490531163122,0.510490531163122,1,두산인프라코어
105,두산밥캣,,,1,-
106,두산밥캣,,,-1,
108,두산밥캣,0.489393757151057,0.489393757151057,99,
111,두산건설,0.016968483541860212,0.026540008294916234,0,
142,두산건설,0.8889499733602483,0.8889499733602483,1,두산중공업
143,두산건설,,,-1,
145,두산건설,0.08451001834483544,0.08451001834483544,99,
148,오리콤,0.0,0.05481595825633221,0,
157,오리콤,0.6340819654310251,0.6340819654310251,1,두산
158,오리콤,,,-1,
160,오리콤,0.3111020763126427,0.3111020763126427,99,
163,두산베어스,0.0,0.0,0,
172,두산베어스,1.0,1.0,1,두산
173,두산베어스,,,-1,
175,두산베어스,0.0,0.0,99,
178,두산메카텍,0.0,0.0,0,
187,두산메카텍,1.0,1.0,1,두산
188,두산메카텍,,,-1,
190,두산메카텍,0.0,0.0,99,
193,두산큐벡스,0.0,0.0,0,
202,두산큐벡스,0.32068212665593837,0.32068212665593837,1,두산중공업
203,두산큐벡스,0.2576185306619956,0.2576185306619956,1,두산
204,두산큐벡스,0.2176892322332268,0.2176892322332268,1,두산인프라코어
205,두산큐벡스,0.0514963559222699,0.0514963559222699,1,오리콤
206,두산큐벡스,0.03511033016341111,0.03511033016341111,1,두산밥캣코리아
207,두산큐벡스,,,-1,
209,두산큐벡스,0.1174034243631582,0.1174034243631582,99,
212,네오트랜스,0.0,0.0,0,
221,네오트랜스,0.4286,0.4286,1,두산건설
222,네오트랜스,,,-1,
224,네오트랜스,0.5714,0.5714,99,
227,두산밥캣코리아,0.0,0.0,0,
236,두산밥캣코리아,1.0,1.0,1,Doosan BobcatSingapore Pte. Ltd
237,두산밥캣코리아,,,-1,
239,두산밥캣코리아,0.0,0.0,99,
242,두산로보틱스,0.0,0.0,0,
251,두산로보틱스,1.0,1.0,1,두산
252,두산로보틱스,,,-1,
254,두산로보틱스,0.0,0.0,99,
257,두산모빌리티이노베이션,0.0,0.0,0,
266,두산모빌리티이노베이션,1.0,1.0,1,두산
267,두산모빌리티이노베이션,,,-1,
269,두산모빌리티이노베이션,0.0,0.0,99,
272,디엘아이,0.0,0.0,0,
281,디엘아이,0.41905503868542804,0.41905503868542804,1,두산
282,디엘아이,,,-1,
284,디엘아이,0.580944961314572,0.580944961314572,99,
287, 두산에이치에프컨트롤스아시아,0.0,0.0,0,
296, 두산에이치에프컨트롤스아시아,1.0,1.0,1,DoosanHF ControlsCorporation
297, 두산에이치에프컨트롤스아시아,,,-1,
299, 두산에이치에프컨트롤스아시아,0.0,0.0,99,
302,한컴,0.0,0.0,0,
311,한컴,1.0,1.0,1,오리콤
312,한컴,,,-1,
314,한컴,0.0,0.0,99,
317,디비씨,0.0,0.0,0,
326,디비씨,0.46,0.46,1,두산
327,디비씨,0.2701216981132075,0.2701216981132075,1,두산인프라코어
328,디비씨,0.22887830188679245,0.22887830188679245,1,두산밥캣코리아
329,디비씨,0.041,0.041,1,한컴
330,디비씨,,,-1,
332,디비씨,0.0,0.0,99,
335,밸류웍스,0.0,0.0,0,
344,밸류웍스,0.6090491439886664,0.6090491439886664,1,두산건설
345,밸류웍스,0.39095085601133367,0.39095085601133367,1,두산메카텍
346,밸류웍스,,,-1,
348,밸류웍스,0.0,0.0,99,
351,오성파워 오엔엠,0.0,0.0,0,
360,오성파워 오엔엠,1.0,1.0,1,두산중공업
361,오성파워 오엔엠,,,-1,
363,오성파워 오엔엠,0.0,0.0,99,
366,네오플럭스,0.0,0.003174717059139362,0,
375,네오플럭스,0.9677250312110481,0.9677250312110481,1,두산
376,네오플럭스,,,-1,
378,네오플럭스,0.029100251729812513,0.029100251729812513,99,
381,네오플럭스제1호사모투자전문회사,0.0,0.0,0,
390,네오플럭스제1호사모투자전문회사,0.1499826207855405,0.1499826207855405,1,네오플럭스
391,네오플럭스제1호사모투자전문회사,,,-1,
393,네오플럭스제1호사모투자전문회사,0.8500173792144595,0.8500173792144595,99,
396,케이티씨엔피그로쓰챔프2011의2호사모투자전문회사,0.0,0.0,0,
405,케이티씨엔피그로쓰챔프2011의2호사모투자전문회사,0.05555555555555555,0.05555555555555555,1,네오플럭스
406,케이티씨엔피그로쓰챔프2011의2호사모투자전문회사,,,-1,
408,케이티씨엔피그로쓰챔프2011의2호사모투자전문회사,0.9444444444444444,0.9444444444444444,99,
411,네오플럭스제3호사모투자합자회사,0.0,0.0,0,
420,네오플럭스제3호사모투자합자회사,0.1,0.1,1,네오플럭스
421,네오플럭스제3호사모투자합자회사,,,-1,
423,네오플럭스제3호사모투자합자회사,0.9,0.9,99,
