,firmname,own,own2,type,ownername
0,롯데지주,0.1737655488557451,0.5327385439001685,0,
63,롯데지주,0.11041306607202518,0.11041306607202518,1,호텔롯데
64,롯데지주,0.009346348890798084,0.009346348890798084,1,부산롯데호텔
65,롯데지주,0.05054287728644646,0.05054287728644646,1,롯데알미늄
66,롯데지주,0.014623162575358702,0.014623162575358702,1,L제2투자회사
67,롯데지주,0.007779881292042087,0.007779881292042087,1,L제12투자회사
68,롯데지주,0.024684065231018182,0.024684065231018182,1,롯데홀딩스
70,롯데지주,0.2498720547521428,0.2498720547521428,99,
72,호텔롯데,,0.0016961846807099707,0,
73,호텔롯데,0.005531037002315121,0.005531037002315121,1,부산롯데호텔
74,호텔롯데,0.19066982352972903,0.19066982352972903,1,롯데홀딩스
75,호텔롯데,0.054518965682597384,0.054518965682597384,1,광윤사
76,호텔롯데,0.0859797308256016,0.0859797308256016,1,L제1투자회사
77,호텔롯데,0.033219441455346076,0.033219441455346076,1,L제2투자회사
78,호텔롯데,0.15632678331927566,0.15632678331927566,1,L제4투자회사
79,호텔롯데,0.03600401228322067,0.03600401228322067,1,L제5투자회사
80,호텔롯데,0.0396679212672662,0.0396679212672662,1,L제6투자회사
81,호텔롯데,0.09399147847071448,0.09399147847071448,1,L제7투자회사
82,호텔롯데,0.05764550134898289,0.05764550134898289,1,L제8투자회사
83,호텔롯데,0.10405501514689286,0.10405501514689286,1,L제9투자회사
84,호텔롯데,0.044357724766844464,0.044357724766844464,1,L제10투자회사
85,호텔롯데,0.033219441455346076,0.033219441455346076,1,L제11투자회사
86,호텔롯데,0.04201282301705533,0.04201282301705533,1,L제12투자회사
87,호텔롯데,0.021104115748102212,0.021104115748102212,1,패밀리
90,롯데면세점제주,1.0,1.0,1,호텔롯데
93,부산롯데호텔,,4.098192697020614e-05,0,
94,부산롯데호텔,0.46616941928609484,0.46616941928609484,1,롯데홀딩스
95,부산롯데호텔,0.06827589033236343,0.06827589033236343,1,광윤사
96,부산롯데호텔,0.00573746977582886,0.00573746977582886,1,L제2투자회사
97,부산롯데호텔,0.2057292733904348,0.2057292733904348,1,L제3투자회사
98,부산롯데호텔,0.03184295725585017,0.03184295725585017,1,L제6투자회사
99,부산롯데호텔,0.06434162534322364,0.06434162534322364,1,L제7투자회사
100,부산롯데호텔,0.060653251915905086,0.060653251915905086,1,L제9투자회사
101,부산롯데호텔,0.009097987787385763,0.009097987787385763,1,L제10투자회사
102,부산롯데호텔,0.0881111429859432,0.0881111429859432,1,L제12투자회사
105,롯데물산,0.06894949072211284,0.06894949072211284,0,
109,롯데물산,0.3113292294152556,0.3113292294152556,1,호텔롯데
110,롯데물산,0.5699306025613939,0.5699306025613939,1,롯데홀딩스
111,롯데물산,0.04979067730123764,0.04979067730123764,1,L제3투자회사
114,스마일위드,1.0,1.0,1,호텔롯데
117,롯데디에프리테일,0.9779129515889846,0.9779129515889846,1,호텔롯데
119,롯데디에프리테일,0.02208704841101542,0.02208704841101542,99,
125,롯데제과,0.06341280128140293,0.12123910092964986,0,
131,롯데제과,0.4842015005492684,0.4842015005492684,1,롯데지주
132,롯데제과,0.02107604246844609,0.02107604246844609,1,호텔롯데
133,롯데제과,0.10026638232603993,0.10026638232603993,1,롯데알미늄
134,롯데제과,0.06488333520085116,0.06488333520085116,1,롯데홀딩스
136,롯데제과,0.20833363852574455,0.20833363852574455,99,
138,롯데칠성음료,0.05208826323418222,0.17879314886808526,0,
153,롯데칠성음료,0.24935652320678955,0.24935652320678955,1,롯데지주
154,롯데칠성음료,0.05826586853116229,0.05826586853116229,1,호텔롯데
155,롯데칠성음료,0.08431855322924424,0.08431855322924424,1,롯데알미늄
156,롯데칠성음료,0.01252513180297807,0.01252513180297807,1,롯데홀딩스
158,롯데칠성음료,0.41674077436174056,0.41674077436174056,99,
160,롯데푸드,0.03400832251053566,0.2714013093376448,0,
170,롯데푸드,0.23076766766501453,0.23076766766501453,1,롯데지주
171,롯데푸드,0.0890959209096451,0.0890959209096451,1,호텔롯데
172,롯데푸드,0.04381333545371818,0.04381333545371818,1,부산롯데호텔
173,롯데푸드,0.04337600607843657,0.04337600607843657,1,L제2투자회사
175,롯데푸드,0.32154576055554085,0.32154576055554085,99,
177,롯데네슬레코리아,0.5,0.5,1,롯데지주
179,롯데네슬레코리아,0.5,0.5,99,
182,롯데지알에스,4.3624307464119006e-05,5.552184586342419e-05,0,
184,롯데지알에스,0.5443798011524749,0.5443798011524749,1,롯데지주
185,롯데지알에스,0.1877233267103703,0.1877233267103703,1,호텔롯데
186,롯데지알에스,0.11288384433260758,0.11288384433260758,1,부산롯데호텔
187,롯데지알에스,0.15495750595868382,0.15495750595868382,1,L제12투자회사
190,롯데아사히주류,0.4999996666666667,0.4999996666666667,1,롯데칠성음료
192,롯데아사히주류,0.5000003333333334,0.5000003333333334,99,
194,충북소주,1.0,1.0,1,롯데지주
197,엠제이에이와인,1.0,1.0,1,롯데지주
200,씨에이치음료,1.0,1.0,1,롯데지주
203,백학음료,0.8606201911867568,0.8606201911867568,1,롯데지주
205,백학음료,0.1393798088132432,0.1393798088132432,99,
207,스위트위드,1.0,1.0,1,롯데제과
210,산청음료,1.0,1.0,1,롯데칠성음료
213,푸드위드,1.0,1.0,1,롯데푸드
216,롯데쇼핑,0.12076763364099975,0.12311248762980201,0,
256,롯데쇼핑,0.4000000353497353,0.4000000353497353,1,롯데지주
257,롯데쇼핑,0.08862737154745765,0.08862737154745765,1,호텔롯데
258,롯데쇼핑,0.0077884657702327305,0.0077884657702327305,1,부산롯데호텔
260,롯데쇼핑,0.38047163970277237,0.38047163970277237,99,
262,롯데역사,0.17466666666666666,0.228,0,
266,롯데역사,0.44533333333333336,0.44533333333333336,1,롯데지주
267,롯데역사,0.01,0.01,1,부산롯데호텔
269,롯데역사,0.31666666666666665,0.31666666666666665,99,
271,코리아세븐,0.1254207831270638,0.1714166107818999,0,
277,코리아세븐,0.7966186709421393,0.7966186709421393,1,롯데지주
279,코리아세븐,0.03196471827596071,0.03196471827596071,99,
281,에프알엘코리아,0.49,0.49,1,롯데쇼핑
283,에프알엘코리아,0.51,0.51,99,
285,우리홈쇼핑,0.5303495,0.5303495,1,롯데쇼핑
287,우리홈쇼핑,0.4696505,0.4696505,99,
289,롯데김해개발,1.0,1.0,1,롯데쇼핑
292,롯데수원역쇼핑타운,1.0,1.0,1,롯데쇼핑
295,롯데지에프알,0.999300222179458,0.999300222179458,1,롯데쇼핑
297,롯데지에프알,0.000699777820541978,0.000699777820541978,99,
299,롯데송도쇼핑타운,1.0,1.0,1,롯데쇼핑
302,한국에스티엘,,4.166664930556279e-07,0,
303,한국에스티엘,0.49999979166675346,0.49999979166675346,1,롯데쇼핑
305,한국에스티엘,0.49999979166675346,0.49999979166675346,99,
307,씨에스유통,0.999483076633889,0.999483076633889,1,롯데쇼핑
309,씨에스유통,0.0005169233661109741,0.0005169233661109741,99,
311,롯데하이마트,,0.001283478890288055,0,
316,롯데하이마트,0.6524678884595,0.6524678884595,1,롯데쇼핑
318,롯데하이마트,0.34624863265021194,0.34624863265021194,99,
320,롯데인천개발,1.0,1.0,1,롯데쇼핑
323,롯데인천타운,1.0,1.0,1,롯데쇼핑
326,롯데타운동탄,1.0,1.0,1,롯데쇼핑
329,롯데울산개발,0.9682539682539683,0.9682539682539683,1,롯데쇼핑
331,롯데울산개발,0.031746031746031744,0.031746031746031744,99,
333,롯데컬처웍스,0.8637463428201339,0.8637463428201339,1,롯데쇼핑
335,롯데컬처웍스,0.13625365717986618,0.13625365717986618,99,
337,롯데디엠씨개발,0.95,0.95,1,롯데쇼핑
339,롯데디엠씨개발,0.05,0.05,99,
341,롯데케미칼,0.0026498581972112436,0.0029930487501844986,0,
353,롯데케미칼,0.24026550922688938,0.24026550922688938,1,롯데지주
354,롯데케미칼,0.007158220297759161,0.007158220297759161,1,호텔롯데
355,롯데케미칼,0.20000000583508548,0.20000000583508548,1,롯데물산
356,롯데케미칼,0.09295291182290143,0.09295291182290143,1,롯데홀딩스
358,롯데케미칼,0.45663030406718,0.45663030406718,99,
360,케이피켐텍,1.0,1.0,1,롯데케미칼
363,롯데엠시시,0.5,0.5,1,롯데케미칼
365,롯데엠시시,0.5,0.5,99,
367,삼박엘에프티,,0.004919266161236183,0,
368,삼박엘에프티,0.9950807338387638,0.9950807338387638,1,롯데케미칼
371,데크항공,1.0,1.0,1,롯데케미칼
374,롯데미쓰이화학,0.5,0.5,1,롯데케미칼
376,롯데미쓰이화학,0.5,0.5,99,
378,롯데베르살리스엘라스토머스,0.5000000099641292,0.5000000099641292,1,롯데케미칼
380,롯데베르살리스엘라스토머스,0.49999999003587087,0.49999999003587087,99,
382,롯데정밀화학,,0.012794961240310078,0,
385,롯데정밀화학,0.31128643410852713,0.31128643410852713,1,롯데케미칼
387,롯데정밀화학,0.6759186046511628,0.6759186046511628,99,
389,한덕화학,0.5,0.5,1,롯데정밀화학
391,한덕화학,0.5,0.5,99,
393,롯데지에스화학,0.51,0.51,1,롯데케미칼
395,롯데지에스화학,0.49,0.49,99,
397,한국후지필름,0.13300563138302948,0.13324424930800802,0,
401,한국후지필름,0.7608571155865229,0.7608571155865229,1,롯데지주
402,한국후지필름,0.07998472845280137,0.07998472845280137,1,호텔롯데
403,한국후지필름,0.025913906652667747,0.025913906652667747,1,롯데알미늄
407,롯데알미늄,0.001267054651969475,0.001267054651969475,0,
408,롯데알미늄,0.38229881291913975,0.38229881291913975,1,호텔롯데
409,롯데알미늄,0.03887497109381022,0.03887497109381022,1,부산롯데호텔
410,롯데알미늄,0.22839744083866492,0.22839744083866492,1,광윤사
411,롯데알미늄,0.34916172049641564,0.34916172049641564,1,L제2투자회사
414,캐논코리아비즈니스솔루션,0.5,0.5,1,롯데지주
416,캐논코리아비즈니스솔루션,0.5,0.5,99,
418,엔젤위드,1.0,1.0,1,캐논코리아비즈니스솔루션
421,롯데건설,0.011039763610557841,0.011039763610557841,0,
425,롯데건설,0.430679722202626,0.430679722202626,1,호텔롯데
426,롯데건설,0.4378882887093772,0.4378882887093772,1,롯데케미칼
427,롯데건설,0.0995245422176614,0.0995245422176614,1,롯데알미늄
428,롯데건설,0.016735249978167912,0.016735249978167912,1,롯데홀딩스
430,롯데건설,0.004132433281609676,0.004132433281609676,99,
432,내포그린에너지,0.4166666369387388,0.4166666369387388,1,롯데건설
434,내포그린에너지,0.5833333630612612,0.5833333630612612,99,
437,롯데멤버스,0.005042152639748652,0.005043777175436046,0,
442,롯데멤버스,0.9387826216919377,0.9387826216919377,1,롯데지주
443,롯데멤버스,0.01021467426841066,0.01021467426841066,1,부산롯데호텔
444,롯데멤버스,0.04595892686421562,0.04595892686421562,1,롯데캐피탈
