,firmname,own,own2,type,ownername
0,미래에셋캐피탈,0.3475986239159092,0.35870176869614306,0,
12,미래에셋캐피탈,0.295274482989634,0.295274482989634,1,미래에셋자산운용
13,미래에셋캐피탈,0.09979059692677494,0.09979059692677494,1,미래에셋컨설팅
14,미래에셋캐피탈,0.09486594965487213,0.09486594965487213,1,미래에셋펀드서비스
16,미래에셋캐피탈,0.15136720173257587,0.15136720173257587,99,
19,미래에셋대우,0.00040580278471865803,0.14860366365082517,0,
49,미래에셋대우,0.189550081796826,0.189550081796826,1,미래에셋캐피탈
50,미래에셋대우,,,-1,
52,미래에셋대우,0.6618462545523488,0.6618462545523488,99,
55,미래에셋생명보험,0.00013751687929102136,0.22106262787075,0,
78,미래에셋생명보험,0.19666584249737798,0.19666584249737798,1,미래에셋대우
79,미래에셋생명보험,0.045212272479097905,0.045212272479097905,1,미래에셋자산운용
80,미래에셋생명보험,0.13930161602672017,0.13930161602672017,1,미래에셋캐피탈
81,미래에셋생명보험,0.0007868561600948011,0.0007868561600948011,1,미래에셋컨설팅
82,미래에셋생명보험,0.0038939967528190973,0.0038939967528190973,1,미래에셋펀드서비스
84,미래에셋생명보험,0.39307678821314,0.39307678821314,99,
87,미래에셋자산운용,0.6291754367751651,0.6536031192715844,0,
96,미래에셋자산운용,0.32918920762918574,0.32918920762918574,1,미래에셋컨설팅
97,미래에셋자산운용,,,-1,
99,미래에셋자산운용,0.017207673099229798,0.017207673099229798,99,
102,미래에셋벤처투자,0.0,0.01964517026141032,0,
113,미래에셋벤처투자,0.6158813071670478,0.6158813071670478,1,미래에셋대우
114,미래에셋벤처투자,0.004618765190353225,0.004618765190353225,1,미래에셋컨설팅
116,미래에셋벤처투자,0.3598547573811886,0.3598547573811886,99,
119,미래에셋펀드서비스,0.0,0.0,0,
134,미래에셋펀드서비스,1.0,1.0,1,미래에셋컨설팅
135,미래에셋펀드서비스,,,-1,
137,미래에셋펀드서비스,0.0,0.0,99,
140,미래에셋금융서비스,0.0,0.0,0,
155,미래에셋금융서비스,1.0,1.0,1,미래에셋생명보험
156,미래에셋금융서비스,,,-1,
158,미래에셋금융서비스,0.0,0.0,99,
161,멀티에셋자산운용,0.0,0.0,0,
176,멀티에셋자산운용,1.0,1.0,1,미래에셋자산운용
177,멀티에셋자산운용,,,1,
178,멀티에셋자산운용,,,-1,
180,멀티에셋자산운용,0.0,0.0,99,
183,에너지인프라자산운용,0.0,0.0,0,
198,에너지인프라자산운용,0.802,0.802,1,멀티에셋자산운용
199,에너지인프라자산운용,0.099,0.099,1,미래에셋자산운용
200,에너지인프라자산운용,,,-1,
202,에너지인프라자산운용,0.099,0.099,99,
205,미래에셋글로벌유니콘사모투자합자회사,0.8678571556249659,0.8678571556249659,1,미래에셋대우
206,미래에셋글로벌유니콘사모투자합자회사,0.03571428516631048,0.03571428516631048,1,미래에셋캐피탈
208,미래에셋글로벌유니콘사모투자합자회사,0.09642855920872358,0.09642855920872358,99,
210,미래에셋네이버아시아그로쓰사모투자합자회사,0.8316666666488963,0.8316666666488963,1,미래에셋대우
211,미래에셋네이버아시아그로쓰사모투자합자회사,0.0016666667007400925,0.0016666667007400925,1,미래에셋캐피탈
213,미래에셋네이버아시아그로쓰사모투자합자회사,0.1666666666503636,0.1666666666503636,99,
215,미래에셋파트너스사호사모투자전문회사,2.653104929131369e-05,2.653104929131369e-05,1,미래에셋자산운용
216,미래에셋파트너스사호사모투자전문회사,0.11911774609517488,0.11911774609517488,1,미래에셋생명보험
217,미래에셋파트너스사호사모투자전문회사,0.03970594421883675,0.03970594421883675,1,미래에셋대우
219,미래에셋파트너스사호사모투자전문회사,0.841149778636697,0.841149778636697,99,
221,미래에셋파트너스오호사모투자전문회사,0.02509965227268978,0.02509965227268978,1,미래에셋자산운용
222,미래에셋파트너스오호사모투자전문회사,0.12535085853192363,0.12535085853192363,1,미래에셋대우
224,미래에셋파트너스오호사모투자전문회사,0.8495494891953865,0.8495494891953865,99,
227,미래에셋파트너스제구호사모투자합자회사,0.031007751937984496,0.031007751937984496,1,미래에셋자산운용
228,미래에셋파트너스제구호사모투자합자회사,0.11627906976744186,0.11627906976744186,1,미래에셋생명보험
229,미래에셋파트너스제구호사모투자합자회사,0.14534883720930233,0.14534883720930233,1,미래에셋대우
231,미래에셋파트너스제구호사모투자합자회사,0.7073643410852712,0.7073643410852712,99,
