,firmname,own,own2,type,ownername
0,삼성전자,0.05111291632519867,0.05223514217183476,0,
117,삼성전자,0.07481611120694563,0.07481611120694563,1,삼성생명보험
118,삼성전자,0.04399126308115179,0.04399126308115179,1,삼성물산
119,삼성전자,0.013073218896974853,0.013073218896974853,1,삼성화재해상보험
120,삼성전자,,,-1,
122,삼성전자,0.8158842646430929,0.8158842646430929,99,
125,삼성물산,0.3162599062801035,0.45872734589453823,0,
183,삼성물산,,,1,-
184,삼성물산,,,-1,
186,삼성물산,0.5412726541054618,0.5412726541054618,99,
189,서울레이크사이드,0.0,0.0,0,
198,서울레이크사이드,1.0,1.0,1,삼성물산
199,서울레이크사이드,,,-1,
201,서울레이크사이드,0.0,0.0,99,
204,삼우종합건축사사무소,0.0,0.0,0,
213,삼우종합건축사사무소,1.0,1.0,1,삼성물산
214,삼우종합건축사사무소,,,-1,
216,삼우종합건축사사무소,0.0,0.0,99,
219,씨브이네트,0.0,0.0,0,
228,씨브이네트,0.40143046875,0.40143046875,1,삼성물산
229,씨브이네트,0.09375,0.09375,1,삼성에스디에스
230,씨브이네트,,,-1,
232,씨브이네트,0.50481953125,0.50481953125,99,
235,삼성바이오로직스,0.0002529433990780624,0.0010845159827703467,0,
266,삼성바이오로직스,0.4344058943550215,0.4344058943550215,1,삼성물산
267,삼성바이오로직스,0.31492227008236984,0.31492227008236984,1,삼성전자
268,삼성바이오로직스,,,-1,
270,삼성바이오로직스,0.2495873195798383,0.2495873195798383,99,
273,삼성바이오에피스,0.0,0.0,0,
282,삼성바이오에피스,0.5000000241736188,0.5000000241736188,1,삼성바이오로직스
283,삼성바이오에피스,,,-1,
285,삼성바이오에피스,0.4999999758263812,0.4999999758263812,99,
288,삼성디스플레이,0.0,3.819338053334955e-09,0,
297,삼성디스플레이,0.8477739608798571,0.8477739608798571,1,삼성전자
298,삼성디스플레이,0.15222603530080486,0.15222603530080486,1,삼성에스디아이
299,삼성디스플레이,,,-1,
301,삼성디스플레이,0.0,0.0,99,
304,삼성코닝어드밴스드글라스(유),0.0,0.0,0,
313,삼성코닝어드밴스드글라스(유),0.5,0.5,1,삼성디스플레이
314,삼성코닝어드밴스드글라스(유),,,-1,
316,삼성코닝어드밴스드글라스(유),0.5,0.5,99,
319,에스유머티리얼스,0.0,0.0,0,
328,에스유머티리얼스,0.5000002577319588,0.5000002577319588,1,삼성디스플레이
329,에스유머티리얼스,,,-1,
331,에스유머티리얼스,0.4999997422680412,0.4999997422680412,99,
334,스테코,0.0,0.0,0,
343,스테코,0.7,0.7,1,삼성전자
344,스테코,,,-1,
346,스테코,0.3,0.3,99,
349,세메스,0.0,0.013159513648713332,0,
358,세메스,0.9154240741864369,0.9154240741864369,1,삼성전자
359,세메스,,,-1,
361,세메스,0.07141641216484976,0.07141641216484976,99,
364,삼성전자서비스,0.0,0.0,0,
373,삼성전자서비스,0.9932786467037458,0.9932786467037458,1,삼성전자
374,삼성전자서비스,,,-1,
376,삼성전자서비스,0.006721353296254229,0.006721353296254229,99,
379,삼성전자서비스씨에스,0.0,0.0,0,
388,삼성전자서비스씨에스,1.0,1.0,1,삼성전자서비스
389,삼성전자서비스씨에스,,,-1,
391,삼성전자서비스씨에스,0.0,0.0,99,
394,하만인터내셔널코리아,0.0,0.0,0,
403,하만인터내셔널코리아,1.0,1.0,1,"Harman International Industries, Inc"
404,하만인터내셔널코리아,,,-1,
406,하만인터내셔널코리아,0.0,0.0,99,
409,삼성전자판매,0.0,0.0,0,
418,삼성전자판매,1.0,1.0,1,삼성전자
419,삼성전자판매,,,-1,
421,삼성전자판매,0.0,0.0,99,
424,삼성전자로지텍,0.0,0.0,0,
433,삼성전자로지텍,1.0,1.0,1,삼성전자
434,삼성전자로지텍,,,-1,
436,삼성전자로지텍,0.0,0.0,99,
439,수원삼성축구단,0.0,0.0,0,
448,수원삼성축구단,1.0,1.0,1,제일기획
449,수원삼성축구단,,,-1,
451,수원삼성축구단,0.0,0.0,99,
454,삼성메디슨,0.0,0.0005695443170569002,0,
466,삼성메디슨,0.6845209800651025,0.6845209800651025,1,삼성전자
467,삼성메디슨,,,-1,
469,삼성메디슨,0.31490947561784055,0.31490947561784055,99,
472,삼성에스디아이,8.101454189714915e-05,0.05830897332240295,0,
511,삼성에스디아이,0.19127889965031897,0.19127889965031897,1,삼성전자
512,삼성에스디아이,,,-1,
514,삼성에스디아이,0.7504121270272781,0.7504121270272781,99,
517,삼성전기,5.798918256901872e-06,0.026748889313856525,0,
547,삼성전기,0.22800166184110757,0.22800166184110757,1,삼성전자
548,삼성전기,,,-1,
550,삼성전기,0.7452494488450359,0.7452494488450359,99,
553,삼성중공업,0.0,0.041416026311838446,0,
586,삼성중공업,0.1598016596482503,0.1598016596482503,1,삼성전자
587,삼성중공업,0.03064371860656608,0.03064371860656608,1,삼성생명보험
588,삼성중공업,0.021641391419686358,0.021641391419686358,1,삼성전기
589,삼성중공업,0.0037838991081062374,0.0037838991081062374,1,삼성에스디아이
590,삼성중공업,0.0011855283301570208,0.0011855283301570208,1,제일기획
591,삼성중공업,0.0011796436886040988,0.0011796436886040988,1,삼성물산
592,삼성중공업,,,-1,
594,삼성중공업,0.7403481328867915,0.7403481328867915,99,
597,에스디플렉스,0.0,0.0,0,
606,에스디플렉스,0.5,0.5,1,삼성에스디아이
607,에스디플렉스,,,-1,
609,에스디플렉스,0.5,0.5,99,
612,제일패션리테일,0.0,0.0,0,
621,제일패션리테일,1.0,1.0,1,삼성물산
622,제일패션리테일,,,-1,
624,제일패션리테일,0.0,0.0,99,
627,삼성웰스토리,0.0,0.0,0,
636,삼성웰스토리,1.0,1.0,1,삼성물산
637,삼성웰스토리,,,-1,
639,삼성웰스토리,0.0,0.0,99,
642,시큐아이,0.0,0.001130480001808768,0,
651,시큐아이,0.565240000904384,0.565240000904384,1,삼성에스디에스
652,시큐아이,0.086960000139136,0.086960000139136,1,삼성물산
653,시큐아이,,,-1,
655,시큐아이,0.34666951895467124,0.34666951895467124,99,
658,멀티캠퍼스,0.0,0.007430680307128037,0,
670,멀티캠퍼스,0.472431990462273,0.472431990462273,1,삼성에스디에스
671,멀티캠퍼스,0.1515796354141094,0.1515796354141094,1,삼성경제연구소
672,멀티캠퍼스,,,-1,
674,멀티캠퍼스,0.3685576938164895,0.3685576938164895,99,
677,에스티엠,0.0,0.0,0,
686,에스티엠,1.0,1.0,1,삼성에스디아이
687,에스티엠,,,-1,
689,에스티엠,0.0,0.0,99,
692,삼성에스디에스,0.17012994683229557,0.17077893142477554,0,
726,삼성에스디에스,0.22580262038982757,0.22580262038982757,1,삼성전자
727,삼성에스디에스,0.17079604227569148,0.17079604227569148,1,삼성물산
728,삼성에스디에스,,,-1,
730,삼성에스디에스,0.43262240590970535,0.43262240590970535,99,
733,에스코어,0.0,0.0015573442942017528,0,
742,에스코어,0.8176656213766963,0.8176656213766963,1,삼성에스디에스
743,에스코어,0.05183027501974785,0.05183027501974785,1,제일기획
744,에스코어,0.005662039473328904,0.005662039473328904,1,에스원
745,에스코어,0.00539729209239178,0.00539729209239178,1,미라콤아이앤씨
746,에스코어,,,-1,
748,에스코어,0.11788742774363338,0.11788742774363338,99,
751,오픈핸즈,0.0,0.0,0,
760,오픈핸즈,1.0,1.0,1,삼성에스디에스
761,오픈핸즈,,,-1,
763,오픈핸즈,0.0,0.0,99,
766,미라콤아이앤씨,0.0,0.007189340782096797,0,
775,미라콤아이앤씨,0.8362329089382992,0.8362329089382992,1,삼성에스디에스
776,미라콤아이앤씨,0.05382467088007378,0.05382467088007378,1,제일기획
777,미라콤아이앤씨,0.005879820926581267,0.005879820926581267,1,에스원
778,미라콤아이앤씨,,,-1,
780,미라콤아이앤씨,0.09687325847294896,0.09687325847294896,99,
783,삼성엔지니어링,0.015515239795918368,0.016432693877551027,0,
801,삼성엔지니어링,0.11693074489795918,0.11693074489795918,1,삼성에스디아이
802,삼성엔지니어링,0.06973973979591837,0.06973973979591837,1,삼성물산
803,삼성엔지니어링,0.002219387755102041,0.002219387755102041,1,삼성화재해상보험
804,삼성엔지니어링,,,-1,
806,삼성엔지니어링,0.7946774336734694,0.7946774336734694,99,
809,에스원,0.0,0.11023893727385366,0,
818,에스원,0.11028346455283848,0.11028346455283848,1,삼성에스디아이
819,에스원,0.05343473482505332,0.05343473482505332,1,삼성생명보험
820,에스원,0.019080939066629284,0.019080939066629284,1,삼성카드
821,에스원,0.013197811805297473,0.013197811805297473,1,삼성증권
822,에스원,0.009682656819576465,0.009682656819576465,1,삼성화재해상보험
823,에스원,,,-1,
825,에스원,0.6840814556567513,0.6840814556567513,99,
828,휴먼티에스에스,0.0,0.0,0,
837,휴먼티에스에스,1.0,1.0,1,에스원
838,휴먼티에스에스,,,-1,
840,휴먼티에스에스,0.0,0.0,99,
843,에스원씨알엠,0.0,0.0,0,
852,에스원씨알엠,1.0,1.0,1,에스원
853,에스원씨알엠,,,-1,
855,에스원씨알엠,0.0,0.0,99,
858,제일기획,0.0,0.12010466682704396,0,
874,제일기획,0.25241451488368627,0.25241451488368627,1,삼성전자
875,제일기획,0.030423876310426978,0.030423876310426978,1,삼성카드
876,제일기획,,,-1,
878,제일기획,0.5970569419788428,0.5970569419788428,99,
881,호텔신라,0.0,0.054116124999999994,0,
905,호텔신라,0.07162895,0.07162895,1,삼성생명보험
906,호텔신라,0.050117925,0.050117925,1,삼성전자
907,호텔신라,0.03,0.03,1,삼성증권
908,호텔신라,0.013121575,0.013121575,1,삼성카드
909,호텔신라,0.0007329,0.0007329,1,삼성에스디아이
910,호텔신라,,,-1,
912,호텔신라,0.780282525,0.780282525,99,
915,신라스테이,0.0,0.0,0,
924,신라스테이,1.0,1.0,1,호텔신라
925,신라스테이,,,-1,
927,신라스테이,0.0,0.0,99,
930,에이치디씨신라면세점,0.0,0.0,0,
939,에이치디씨신라면세점,0.5,0.5,1,호텔신라
940,에이치디씨신라면세점,,,-1,
942,에이치디씨신라면세점,0.5,0.5,99,
945,에스비티엠,0.0,0.0,0,
954,에스비티엠,1.0,1.0,1,호텔신라
955,에스비티엠,,,-1,
957,에스비티엠,0.0,0.0,99,
960,삼성경제연구소,0.0,0.0,0,
969,삼성경제연구소,0.298,0.298,1,삼성전자
970,삼성경제연구소,0.296,0.296,1,삼성에스디아이
971,삼성경제연구소,0.238,0.238,1,삼성전기
972,삼성경제연구소,0.148,0.148,1,삼성생명보험
973,삼성경제연구소,0.01,0.01,1,삼성물산
974,삼성경제연구소,0.01,0.01,1,삼성중공업
975,삼성경제연구소,,,-1,
977,삼성경제연구소,0.0,0.0,99,
980,삼성라이온즈,0.025,0.025,0,
989,삼성라이온즈,0.675,0.675,1,제일기획
990,삼성라이온즈,,,-1,
992,삼성라이온즈,0.3,0.3,99,
995,삼성화재해상보험,0.0008701355000709259,0.19248498774008746,0,
1024,삼성화재해상보험,0.14040443146562637,0.14040443146562637,1,삼성생명보험
1025,삼성화재해상보험,,,-1,
1027,삼성화재해상보험,0.6671105807942862,0.6671105807942862,99,
1030,삼성화재애니카손해사정,0.0,0.0,0,
1039,삼성화재애니카손해사정,1.0,1.0,1,삼성화재해상보험
1040,삼성화재애니카손해사정,,,-1,
1042,삼성화재애니카손해사정,0.0,0.0,99,
1045,삼성화재서비스손해사정,0.0,0.0,0,
1054,삼성화재서비스손해사정,1.0,1.0,1,삼성화재해상보험
1055,삼성화재서비스손해사정,,,-1,
1057,삼성화재서비스손해사정,0.0,0.0,99,
1060,삼성화재금융서비스보험대리점,0.0,0.0,0,
1069,삼성화재금융서비스보험대리점,1.0,1.0,1,삼성화재해상보험
1070,삼성화재금융서비스보험대리점,,,-1,
1072,삼성화재금융서비스보험대리점,0.0,0.0,99,
