,firmname,own,own2,type,ownername
0,세아홀딩스,0.7958915000000001,0.8461165000000002,0,
20,세아홀딩스,6.475e-05,6.475e-05,1,에이팩인베스터스
21,세아홀딩스,0.05380775,0.05380775,1,에이치피피
22,세아홀딩스,,,-1,
24,세아홀딩스,0.100011,0.100011,99,
27,세아제강지주,0.37695154379032353,0.4396040039047173,0,
46,세아제강지주,0.194271036930388,0.194271036930388,1,에이팩인베스터스
47,세아제강지주,,,1,-
48,세아제강지주,,,-1,
50,세아제강지주,0.3661249591648946,0.3661249591648946,99,
53,세아제강,0.12651940908930648,0.17784225928145822,0,
71,세아제강,0.33754891936678066,0.33754891936678066,1,세아제강지주
72,세아제강,0.0015999717942389734,0.0015999717942389734,1,에이팩인베스터스
73,세아제강,,,-1,
75,세아제강,0.4830088495575221,0.4830088495575221,99,
78,세아베스틸,0.0030380246075252834,0.016742457410282977,0,
93,세아베스틸,0.5893581748473926,0.5893581748473926,1,세아홀딩스
94,세아베스틸,0.06031952545804669,0.06031952545804669,1,세아제강지주
95,세아베스틸,,,-1,
97,세아베스틸,0.33357984228427773,0.33357984228427773,99,
100,세아창원특수강,0.0,0.003170610311845354,0,
115,세아창원특수강,0.8722081778820359,0.8722081778820359,1,세아베스틸
116,세아창원특수강,,,1,-
117,세아창원특수강,,,-1,
119,세아창원특수강,0.12462121180611878,0.12462121180611878,99,
122,세아특수강,0.018436406067677946,0.037206184364060674,0,
137,세아특수강,0.6869521586931155,0.6869521586931155,1,세아홀딩스
138,세아특수강,,,1,-
139,세아특수강,,,-1,
141,세아특수강,0.2758416569428238,0.2758416569428238,99,
144,세아에프에스,0.0,0.0,0,
159,세아에프에스,0.8000012594458439,0.8000012594458439,1,세아홀딩스
160,세아에프에스,,,1,-
161,세아에프에스,,,-1,
163,세아에프에스,0.19999874055415617,0.19999874055415617,99,
166,세아네트웍스,0.0,0.0,0,
181,세아네트웍스,1.0,1.0,1,세아홀딩스
182,세아네트웍스,,,1,-
183,세아네트웍스,,,-1,
185,세아네트웍스,0.0,0.0,99,
188,세아에삽,0.0,0.0,0,
203,세아에삽,0.5,0.5,1,세아홀딩스
204,세아에삽,,,1,-
205,세아에삽,,,-1,
207,세아에삽,0.5,0.5,99,
210,세아엔지니어링,0.0,0.0,0,
225,세아엔지니어링,1.0,1.0,1,세아홀딩스
226,세아엔지니어링,,,1,-
227,세아엔지니어링,,,-1,
229,세아엔지니어링,0.0,0.0,99,
232,세아엘앤에스,0.0,0.0,0,
247,세아엘앤에스,1.0,1.0,1,세아홀딩스
248,세아엘앤에스,,,1,-
249,세아엘앤에스,,,-1,
251,세아엘앤에스,0.0,0.0,99,
254,세아알앤아이,0.0,0.0,0,
269,세아알앤아이,1.0,1.0,1,세아홀딩스
270,세아알앤아이,,,1,-
271,세아알앤아이,,,-1,
273,세아알앤아이,0.0,0.0,99,
276,세아메탈,0.0,0.0,0,
291,세아메탈,1.0,1.0,1,세아홀딩스
292,세아메탈,,,1,-
293,세아메탈,,,-1,
295,세아메탈,0.0,0.0,99,
298,세아엠앤에스,0.0,0.0,0,
313,세아엠앤에스,0.8391608391608392,0.8391608391608392,1,세아홀딩스
314,세아엠앤에스,,,1,-
315,세아엠앤에스,,,-1,
317,세아엠앤에스,0.16083916083916083,0.16083916083916083,99,
320,에이팩인베스터스,1.0,1.0,0,
336,에이팩인베스터스,,,1,-
337,에이팩인베스터스,,,1,-
338,에이팩인베스터스,,,-1,
340,에이팩인베스터스,0.0,0.0,99,
343,피앤아이,0.0,0.0,0,
358,피앤아이,0.7191243941376979,0.7191243941376979,1,에이팩인베스터스
359,피앤아이,,,1,-
360,피앤아이,,,-1,
362,피앤아이,0.28087560586230204,0.28087560586230204,99,
365,이앤비원,1.0,1.0,0,
380,이앤비원,,,1,-
381,이앤비원,,,1,-
382,이앤비원,,,-1,
384,이앤비원,0.0,0.0,99,
387,에이치피피,1.0,1.0,0,
402,에이치피피,,,1,-
403,에이치피피,,,1,-
404,에이치피피,,,-1,
406,에이치피피,0.0,0.0,99,
409,우진정공,0.0,0.0,0,
424,우진정공,1.0,1.0,1,세아에프에스
425,우진정공,,,1,-
426,우진정공,,,-1,
428,우진정공,0.0,0.0,99,
431,한국쿨러,0.0,0.0,0,
446,한국쿨러,1.0,1.0,1,세아에프에스
447,한국쿨러,,,1,-
448,한국쿨러,,,-1,
450,한국쿨러,0.0,0.0,99,
453,세아씨엠,0.0,0.0,0,
468,세아씨엠,1.0,1.0,1,세아제강지주
469,세아씨엠,,,1,-
470,세아씨엠,,,-1,
472,세아씨엠,0.0,0.0,99,
475,세아스틸인터내셔날,0.0,0.0,0,
490,세아스틸인터내셔날,1.0,1.0,1,세아제강지주
491,세아스틸인터내셔날,,,1,-
492,세아스틸인터내셔날,,,-1,
494,세아스틸인터내셔날,0.0,0.0,99,
497,동아스틸,0.0,0.0,0,
512,동아스틸,0.8836191895720769,0.8836191895720769,1,에스에스아이케이대부
513,동아스틸,,,1,-
514,동아스틸,,,-1,
516,동아스틸,0.1163808104279231,0.1163808104279231,99,
519,에스에스아이케이대부,0.0,0.0,0,
534,에스에스아이케이대부,,,-1,
535,에스에스아이케이대부,1.0,1.0,1,세아제강지주
536,에스에스아이케이대부,,,1,-
537,에스에스아이케이대부,,,-1,
539,에스에스아이케이대부,0.0,0.0,99,
