,firmname,own,own2,type,ownername
0,아모레퍼시픽그룹,0.5399174033865398,0.6518397402981599,0,
13,아모레퍼시픽그룹,,,1,-
14,아모레퍼시픽그룹,,,-1,
16,아모레퍼시픽그룹,0.34816025970184006,0.34816025970184006,99,
19,아모레퍼시픽,0.09288310359057105,0.1045680934596339,0,
28,아모레퍼시픽,0.3217628815909049,0.3217628815909049,1,아모레퍼시픽그룹
29,아모레퍼시픽,,,-1,
31,아모레퍼시픽,0.5736690249494613,0.5736690249494613,99,
34,이니스프리,0.18183677643689916,0.18183677643689916,0,
43,이니스프리,0.8181632235631008,0.8181632235631008,1,아모레퍼시픽그룹
44,이니스프리,,,-1,
46,이니스프리,0.0,0.0,99,
49,에뛰드,0.19524631789990857,0.19524769490069072,0,
58,에뛰드,0.8047523050993093,0.8047523050993093,1,아모레퍼시픽그룹
59,에뛰드,,,-1,
61,에뛰드,0.0,0.0,99,
64,아모스프로페셔널,0.0,0.0,0,
73,아모스프로페셔널,1.0,1.0,1,아모레퍼시픽그룹
74,아모스프로페셔널,,,-1,
76,아모스프로페셔널,0.0,0.0,99,
79,에스쁘아,0.19524594668865072,0.1952508538452479,0,
88,에스쁘아,0.8047491461547521,0.8047491461547521,1,아모레퍼시픽그룹
89,에스쁘아,,,-1,
91,에스쁘아,0.0,0.0,99,
94,에스트라,0.0,0.0,0,
103,에스트라,1.0,1.0,1,아모레퍼시픽그룹
104,에스트라,,,-1,
106,에스트라,0.0,0.0,99,
109,퍼시픽글라스,0.0,0.0,0,
118,퍼시픽글라스,1.0,1.0,1,아모레퍼시픽그룹
119,퍼시픽글라스,,,-1,
121,퍼시픽글라스,0.0,0.0,99,
124,퍼시픽패키지,0.0,0.0,0,
133,퍼시픽패키지,1.0,1.0,1,아모레퍼시픽그룹
134,퍼시픽패키지,,,-1,
136,퍼시픽패키지,0.0,0.0,99,
139,농업회사법인 오설록농장,0.0,0.01574028529267093,0,
148,농업회사법인 오설록농장,0.9837678307919331,0.9837678307919331,1,아모레퍼시픽그룹
149,농업회사법인 오설록농장,,,-1,
151,농업회사법인 오설록농장,0.0004918839153959665,0.0004918839153959665,99,
154,코스비전,0.0,0.0,0,
163,코스비전,1.0,1.0,1,아모레퍼시픽그룹
164,코스비전,,,-1,
166,코스비전,0.0,0.0,99,
169,위드림,0.0,0.0,0,
178,위드림,1.0,1.0,1,아모레퍼시픽
179,위드림,,,-1,
181,위드림,0.0,0.0,99,
