,firmname,own,own2,type,ownername
0,엔엑스씨,0.9828090080797662,0.9828090080797662,0,
5,엔엑스씨,0.017190991920233798,0.017190991920233798,1,(유)와이즈키즈
8,엔엑스씨엘,1.0,1.0,1,엔엑스씨
11,(유)소호브릭스,1.0,1.0,1,엔엑스씨
14,스토케코리아(유),1.0,1.0,1,STOKKE AS
17,(유)가승개발,0.5,0.5,1,엔엑스씨
19,(유)가승개발,0.5,0.5,99,
23,(유)와이즈키즈,1.0,1.0,0,
26,(유)엔엑스프로퍼티스,1.0,1.0,1,(유)와이즈키즈
29,넥슨코리아,1.0,1.0,1,"NEXON Co., Ltd."
32,넥슨네트웍스,1.0,1.0,1,넥슨코리아
35,넥슨스페이스,1.0,1.0,1,넥슨코리아
38,네오플,1.0,1.0,1,넥슨코리아
41,넥슨지티,,0.030161798204873153,0,
43,넥슨지티,0.631555696126024,0.631555696126024,1,넥슨코리아
45,넥슨지티,0.33828250566910284,0.33828250566910284,99,
47,띵소프트,1.0,1.0,1,네오플
50,넥슨커뮤니케이션즈,1.0,1.0,1,넥슨코리아
53,불리언게임즈,1.0,1.0,1,넥슨코리아
56,넥슨레드,1.0,1.0,1,넥슨지티
59,블록체인엔터테인먼트랩,1.0,1.0,1,넥슨코리아
62,엔미디어플랫폼,1.0,1.0,1,넥슨코리아
65,슈퍼애시드,,0.5922906442931771,0,
68,슈퍼애시드,0.4077093557068229,0.4077093557068229,1,넥슨코리아
71,중앙판교개발,0.9990245203042747,0.9990245203042747,1,넥슨지티
73,중앙판교개발,0.0009754796957253436,0.0009754796957253436,99,
75,브이아이피사모주식형펀드일호,1.0,1.0,1,엔엑스씨
