,firmname,own,own2,type,ownername
0,이랜드월드,0.48727795033326393,0.9971542295684215,0,
10,이랜드월드,,,1,-
11,이랜드월드,,,-1,
13,이랜드월드,0.0028457704315784944,0.0028457704315784944,99,
16,이랜드리테일,2.9812146019787148e-05,0.009309740080749813,0,
26,이랜드리테일,0.28696661882502267,0.28696661882502267,1,이랜드월드
27,이랜드리테일,,,-1,
29,이랜드리테일,0.7037236410942275,0.7037236410942275,99,
32,이랜드파크,0.0,6.265603384159873e-05,0,
41,이랜드파크,0.510000016603412,0.510000016603412,1,이랜드월드
42,이랜드파크,0.4896683520877611,0.4896683520877611,1,이랜드리테일
43,이랜드파크,,,-1,
45,이랜드파크,0.00026897527498527323,0.00026897527498527323,99,
48,이월드,0.0,0.002508867860235131,0,
57,이월드,0.38172705898676795,0.38172705898676795,1,이랜드파크
58,이월드,0.0933140839624684,0.0933140839624684,1,이랜드월드
59,이월드,,,-1,
61,이월드,0.5224499891905285,0.5224499891905285,99,
64,이랜드건설,0.0,0.0,0,
73,이랜드건설,0.6521063309946028,0.6521063309946028,1,이랜드월드
74,이랜드건설,0.1739468345026986,0.1739468345026986,1,이랜드리테일
75,이랜드건설,0.1739468345026986,0.1739468345026986,1,이랜드파크
76,이랜드건설,,,-1,
78,이랜드건설,0.0,0.0,99,
81,이랜드시스템스,0.0,0.0,0,
90,이랜드시스템스,1.0,1.0,1,이랜드월드
91,이랜드시스템스,,,-1,
93,이랜드시스템스,0.0,0.0,99,
96,와인캐슬,0.0,0.0,0,
105,와인캐슬,1.0,1.0,1,이랜드리테일
106,와인캐슬,,,-1,
108,와인캐슬,0.0,0.0,99,
111,이랜드제주리조트,0.0,0.0,0,
121,이랜드제주리조트,1.0,1.0,1,이랜드월드
122,이랜드제주리조트,,,-1,
124,이랜드제주리조트,0.0,0.0,99,
127,농업회사법인 맛누리,0.0,0.1,0,
136,농업회사법인 맛누리,0.9,0.9,1,이랜드리테일
137,농업회사법인 맛누리,,,-1,
139,농업회사법인 맛누리,0.0,0.0,99,
