,firmname,own,own2,type,ownername
11,케이티,0.8192,0.8192,99,
16,나스미디어,0.4024,0.4024,99,
20,케이티넥스알,0.0,0.0,99,
24,케이티이엔지코어,0.0,0.0,99,
30,케이티디에스,0.0859,0.0859,99,
35,지니뮤직,0.634,0.634,99,
40,케이티서브마린,0.5694,0.5694,99,
47,케이티아이에스,0.6789,0.6789,99,
53,케이티스카이라이프,0.4946,0.4946,99,
61,케이티씨에스,0.6766,0.6766,99,
65,케이티에스테이트,0.0,0.0,99,
69,케이티엠앤에스,0.0,0.0,99,
75,케이티엠하우스,0.09,0.09,99,
82,케이티링커스,0.0759,0.0759,99,
87,케이티커머스,0.0,0.0,99,
91,케이티텔레캅,0.1921,0.1921,99,
97,케이티파워텔,0.5515,0.5515,99,
103,케이티하이텔,0.3287,0.3287,99,
108,스카이라이프티브이,0.0742,0.0742,99,
113,에이치엔씨네트워크,0.0,0.0,99,
118,이니텍,0.4099,0.4099,99,
122,케이티에이엠씨,0.0,0.0,99,
126,케이티지디에이치,0.0,0.0,99,
130,케이디리빙,0.49,0.49,99,
134,케이티샛,0.0,0.0,99,
142,케이티스포츠,0.0,0.0,99,
146,오토피온,0.0,0.0,99,
150,케이티엠모바일,0.0,0.0,99,
154, 케이티서비스 북부,0.3269,0.3269,99,
159, 케이티서비스남부,0.2267,0.2267,99,
164,후후앤컴퍼니,0.0,0.0,99,
169,플레이디,0.0,0.0,99,
174,케이티엠오에스북부,0.0,0.0,99,
179,케이티엠오에스남부,0.0125,0.0125,99,
183,케이에이치에스,0.0,0.0,99,
187,넥스트커넥트피에프브이,0.05,0.05,99,
191,케이티희망지음,0.0,0.0,99,
195,케이리얼티제10호위탁관리부동산투자회사,0.0,0.0,99,
200,지이프리미어제1호기업구조조정부동산투자회사,0.365,0.365,99,
205,스마트로,0.1887,0.1887,99,
209,비씨카드,0.3046,0.3046,99,
213,브이피,0.491,0.491,99,
214,브이피,1.0,1.0,-2,
217,케이티인베스트먼트,0.0,0.0,99,
