,firmname,own,own2,type,ownername
0,케이티앤지,0.0,0.13840659479009987,0,
15,케이티앤지,,,1,-
16,케이티앤지,,,1,-
17,케이티앤지,,,-1,
19,케이티앤지,0.8615934052099001,0.8615934052099001,99,
22,한국인삼공사,1.0,1.0,0,
37,한국인삼공사,,,1,-
38,한국인삼공사,,,1,-
39,한국인삼공사,,,-1,
41,한국인삼공사,0.0,0.0,99,
44,영진약품,0.5245077509395384,0.5245366039178451,0,
59,영진약품,,,1,-
60,영진약품,,,1,-
61,영진약품,,,-1,
63,영진약품,0.4754633960821548,0.4754633960821548,99,
66,태아산업,1.0,1.0,0,
81,태아산업,,,1,-
82,태아산업,,,1,-
83,태아산업,,,-1,
85,태아산업,0.0,0.0,99,
88,케이지씨라이프앤진,0.0,0.0,0,
103,케이지씨라이프앤진,1.0,1.0,1,한국인삼공사
104,케이지씨라이프앤진,,,1,-
105,케이지씨라이프앤진,,,-1,
107,케이지씨라이프앤진,0.0,0.0,99,
110,코스모코스,0.985612909491527,0.9856160032155318,0,
125,코스모코스,,,1,-
126,코스모코스,,,1,-
127,코스모코스,,,-1,
129,코스모코스,0.014383996784468195,0.014383996784468195,99,
132,케이지씨예본,0.0,0.0,0,
147,케이지씨예본,1.0,1.0,1,한국인삼공사
148,케이지씨예본,,,1,-
149,케이지씨예본,,,-1,
151,케이지씨예본,0.0,0.0,99,
154,상상스테이,1.0,1.0,0,
169,상상스테이,,,1,-
170,상상스테이,,,1,-
171,상상스테이,,,-1,
173,상상스테이,0.0,0.0,99,
176,과천상상피에프브이,0.51,0.51,0,
192,과천상상피에프브이,,,1,-
193,과천상상피에프브이,,,1,-
194,과천상상피에프브이,,,-1,
196,과천상상피에프브이,0.49,0.49,99,
199,스타필드수원,0.5,0.5,0,
214,스타필드수원,,,1,-
215,스타필드수원,,,1,-
216,스타필드수원,,,-1,
218,스타필드수원,0.5,0.5,99,
