,firmname,own,own2,type,ownername
0,코오롱,0.48495754449304435,0.4849708994122084,0,
9,코오롱,0.5150291005877916,0.5150291005877916,99,
11,코오롱인더스트리,0.011798317124252439,0.011879300897242383,0,
21,코오롱인더스트리,0.2982534533242343,0.2982534533242343,1,코오롱
23,코오롱인더스트리,0.6898672457785233,0.6898672457785233,99,
25,코오롱플라스틱,,0.002023342105263158,0,
34,코오롱플라스틱,0.6668421052631579,0.6668421052631579,1,코오롱인더스트리
36,코오롱플라스틱,0.3311345526315789,0.3311345526315789,99,
38,코오롱바스프이노폼,0.5,0.5,1,코오롱플라스틱
40,코오롱바스프이노폼,0.5,0.5,99,
42,코오롱머티리얼,0.7815278442398396,0.7815278442398396,1,코오롱 인더스트리
44,코오롱머티리얼,0.21847215576016038,0.21847215576016038,99,
50,코오롱글로텍,0.009134567842219707,0.1905728545004523,0,
52,코오롱글로텍,0.7983378027629577,0.7983378027629577,1,코오롱인더스트리
54,코오롱글로텍,0.011089342736589979,0.011089342736589979,99,
56,그린나래,1.0,1.0,1,코오롱글로텍
59,코오롱데크컴퍼지트,1.0,1.0,1,코오롱글로텍
62,데크씨에스피,1.0,1.0,1,코오롱데크컴퍼지트
65,스위트밀,,0.1997142857142857,0,
66,스위트밀,0.5714285714285714,0.5714285714285714,1,코오롱인더스트리
68,스위트밀,0.22885714285714287,0.22885714285714287,99,
70,코오롱에코너지,0.18181818181818182,0.18181818181818182,0,
71,코오롱에코너지,0.8181818181818182,0.8181818181818182,1,코오롱인더스트리
74,케이에프엔티,1.0,1.0,1,코오롱인더스트리
77,셀빅개발,0.010269211671424264,0.010269211671424264,0,
78,셀빅개발,0.8797881502244663,0.8797881502244663,1,코오롱인더스트리
80,셀빅개발,0.10994263810410938,0.10994263810410938,99,
82,씨에이텍,0.699999720000112,0.699999720000112,1,코오롱인더스트리
84,씨에이텍,0.300000279999888,0.300000279999888,99,
86,코오롱글로벌,0.0037817297575962238,0.02303723888357282,0,
108,코오롱글로벌,0.7438158421965299,0.7438158421965299,1,코오롱
110,코오롱글로벌,0.23314691891989736,0.23314691891989736,99,
112,네이처브리지,1.0,1.0,1,코오롱글로벌
115,테크비전,1.0,1.0,1,코오롱글로벌
118,덕평랜드,0.51,0.51,1,코오롱글로벌
120,덕평랜드,0.49,0.49,99,
122,명지에너지,1.0,1.0,1,코오롱글로벌
125,코오롱하우스비전,1.0,1.0,1,코오롱글로벌
128,양양풍력발전,1.0,1.0,1,코오롱글로벌
131,코오롱오토플랫폼,1.0,1.0,1,코오롱글로벌
134,천안북부일반산업단지,0.4361,0.4361,1,코오롱글로벌
136,천안북부일반산업단지,0.5639,0.5639,99,
138,코오롱에코원,0.1820159486464879,0.18206561166827828,0,
140,코오롱에코원,0.8148533334112361,0.8148533334112361,1,코오롱
142,코오롱에코원,0.003081054920485607,0.003081054920485607,99,
144,코오롱환경서비스,,1.720035054314407e-06,0,
145,코오롱환경서비스,0.9973090051575251,0.9973090051575251,1,코오롱에코원
147,코오롱환경서비스,0.002689274807420575,0.002689274807420575,99,
149,코오롱하이드로제닉스,1.0,1.0,1,코오롱에코원
152,케이에이치파워,1.0,1.0,1,코오롱하이드로제닉스
155,코오롱이엔지니어링,,0.006,0,
157,코오롱이엔지니어링,0.795125,0.795125,1,코오롱에코원
159,코오롱이엔지니어링,0.198875,0.198875,99,
161,코오롱생명과학,0.15008793977334742,0.15326940379357254,0,
173,코오롱생명과학,0.20350574412505182,0.20350574412505182,1,코오롱
175,코오롱생명과학,0.6432248520813757,0.6432248520813757,99,
177,코오롱베니트,1.0,1.0,1,코오롱
180,코오롱아우토,0.9933136916338771,0.9933136916338771,1,코오롱
182,코오롱아우토,0.00668630836612299,0.00668630836612299,99,
184,엠오디,0.5,0.5,0,
185,엠오디,0.5,0.5,1,코오롱
188,코오롱엘에스아이,1.0,1.0,1,코오롱
191,코오롱제약,0.2909733333333333,0.29180666666666666,0,
195,코오롱제약,0.4807283333333333,0.4807283333333333,1,코오롱
197,코오롱제약,0.227465,0.227465,99,
199,코오롱오토케어서비스,1.0,1.0,1,코오롱
202,코오롱오토모티브,1.0,1.0,1,코오롱
205,이노베이스,1.0,1.0,1,코오롱
208,더블유파트너스,1.0,1.0,0,
211,아토메탈테크코리아,1.0,1.0,1,Attometal Tech Pte. Ltd
214,리베토코리아,0.92083003491463,0.92083003491463,1,Libeto Pte. Ltd.
216,리베토코리아,0.07916996508537003,0.07916996508537003,99,
218,코오롱인베스트먼트,0.125,0.125,0,
219,코오롱인베스트먼트,0.875,0.875,1,KOLON CHINA(HK) COMPANY LIMITED
