,firmname,own,own2,type,ownername
0,키움증권,0.0,0.00028838755128251733,0,
16,키움증권,0.41515532306198977,0.41515532306198977,1,다우기술
17,키움증권,,,-1,
19,키움증권,0.5845562893867277,0.5845562893867277,99,
22,인스엠앤알,1.0,1.0,0,
37,인스엠앤알,,,1,-
38,인스엠앤알,,,1,-
39,인스엠앤알,,,-1,
41,인스엠앤알,0.0,0.0,99,
44,키움예스저축은행,0.0,0.0,0,
59,키움예스저축은행,1.0,1.0,1,키움증권
60,키움예스저축은행,,,1,-
61,키움예스저축은행,,,-1,
63,키움예스저축은행,0.0,0.0,99,
66,키움저축은행,0.0,0.0,0,
81,키움저축은행,1.0,1.0,1,키움증권
82,키움저축은행,,,1,-
83,키움저축은행,,,-1,
85,키움저축은행,0.0,0.0,99,
88,글로벌강소기업키움엠앤에이전략창업벤처전문사모투자합자회사,0.0,0.0,0,
103,글로벌강소기업키움엠앤에이전략창업벤처전문사모투자합자회사,0.2,0.2,1,키움증권
104,글로벌강소기업키움엠앤에이전략창업벤처전문사모투자합자회사,,,1,-
105,글로벌강소기업키움엠앤에이전략창업벤처전문사모투자합자회사,,,-1,
107,글로벌강소기업키움엠앤에이전략창업벤처전문사모투자합자회사,0.8,0.8,99,
110,코파칠레태양광(유),0.0,0.0,0,
125,코파칠레태양광(유),1.0,1.0,1,한국전력우리스프랏글로벌사모투자전문회사
126,코파칠레태양광(유),,,1,-
127,코파칠레태양광(유),,,-1,
129,코파칠레태양광(유),0.0,0.0,99,
132,키움뉴마진글로벌파트너쉽사모투자합자회사,0.0,0.0,0,
147,키움뉴마진글로벌파트너쉽사모투자합자회사,0.44776119402985076,0.44776119402985076,1,키움증권
148,키움뉴마진글로벌파트너쉽사모투자합자회사,0.07717910447761193,0.07717910447761193,1,키움인베스트먼트
149,키움뉴마진글로벌파트너쉽사모투자합자회사,,,-1,
151,키움뉴마진글로벌파트너쉽사모투자합자회사,0.4750597014925373,0.4750597014925373,99,
154,키움아이온코스닥스케일업창업벤처전문사모투자합자회사,0.0,0.0024937655860349127,0,
169,키움아이온코스닥스케일업창업벤처전문사모투자합자회사,0.19950124688279303,0.19950124688279303,1,키움프라이빗에쿼티
170,키움아이온코스닥스케일업창업벤처전문사모투자합자회사,0.29925187032418954,0.29925187032418954,1,키움증권
171,키움아이온코스닥스케일업창업벤처전문사모투자합자회사,,,-1,
173,키움아이온코스닥스케일업창업벤처전문사모투자합자회사,0.49875311720698257,0.49875311720698257,99,
176,키움에셋플래너,0.0,0.0,0,
191,키움에셋플래너,1.0,1.0,1,이머니
192,키움에셋플래너,,,1,-
193,키움에셋플래너,,,-1,
195,키움에셋플래너,0.0,0.0,99,
198,키움인베스트먼트,0.0,0.009464479208803916,0,
213,키움인베스트먼트,0.9654971140302615,0.9654971140302615,1,키움증권
214,키움인베스트먼트,,,1,-
215,키움인베스트먼트,,,-1,
217,키움인베스트먼트,0.025038406760934582,0.025038406760934582,99,
220,키움캐피탈,0.0,0.0,0,
235,키움캐피탈,0.98,0.98,1,키움증권
236,키움캐피탈,0.02,0.02,1,다우기술
237,키움캐피탈,,,-1,
239,키움캐피탈,0.0,0.0,99,
242,키움케이아이피헬스케어플랫폼사모투자합자회사,0.0,0.06086956521739131,0,
257,키움케이아이피헬스케어플랫폼사모투자합자회사,0.06956521739130435,0.06956521739130435,1,키움프라이빗에쿼티
258,키움케이아이피헬스케어플랫폼사모투자합자회사,,,1,-
259,키움케이아이피헬스케어플랫폼사모투자합자회사,,,-1,
261,키움케이아이피헬스케어플랫폼사모투자합자회사,0.8695652173913044,0.8695652173913044,99,
264,키움투자자산운용,0.0,0.0,0,
279,키움투자자산운용,1.0,1.0,1,키움증권
280,키움투자자산운용,,,1,-
281,키움투자자산운용,,,-1,
283,키움투자자산운용,0.0,0.0,99,
286,키움프라이빗에쿼티,0.0,0.0,0,
301,키움프라이빗에쿼티,0.4,0.4,1,키움증권
302,키움프라이빗에쿼티,0.2,0.2,1,키움투자자산운용
303,키움프라이빗에쿼티,0.2,0.2,1,미래테크놀로지
304,키움프라이빗에쿼티,0.2,0.2,1,한국정보인증
305,키움프라이빗에쿼티,,,-1,
307,키움프라이빗에쿼티,0.0,0.0,99,
310,키움프라이빗에쿼티코리아와이드파트너스사모투자합자회사,0.0,0.16,0,
325,키움프라이빗에쿼티코리아와이드파트너스사모투자합자회사,0.2,0.2,1,키움프라이빗에쿼티
326,키움프라이빗에쿼티코리아와이드파트너스사모투자합자회사,,,1,-
327,키움프라이빗에쿼티코리아와이드파트너스사모투자합자회사,,,-1,
329,키움프라이빗에쿼티코리아와이드파트너스사모투자합자회사,0.64,0.64,99,
332,키움히어로제2호사모투자합자회사,0.0,0.0,0,
347,키움히어로제2호사모투자합자회사,0.15,0.15,1,키움증권
348,키움히어로제2호사모투자합자회사,0.05,0.05,1,키움인베스트먼트
349,키움히어로제2호사모투자합자회사,,,-1,
351,키움히어로제2호사모투자합자회사,0.8,0.8,99,
354,포스코우리이아이지글로벌사모투자전문회사,0.0,0.0,0,
369,포스코우리이아이지글로벌사모투자전문회사,0.005,0.005,1,키움투자자산운용
370,포스코우리이아이지글로벌사모투자전문회사,,,1,-
371,포스코우리이아이지글로벌사모투자전문회사,,,-1,
373,포스코우리이아이지글로벌사모투자전문회사,0.9949999999999999,0.9949999999999999,99,
376,한국전력우리스프랏글로벌사모투자전문회사,0.0,0.0,0,
391,한국전력우리스프랏글로벌사모투자전문회사,0.01500000219738758,0.01500000219738758,1,키움투자자산운용
392,한국전력우리스프랏글로벌사모투자전문회사,,,1,-
393,한국전력우리스프랏글로벌사모투자전문회사,,,-1,
395,한국전력우리스프랏글로벌사모투자전문회사,0.9849999978026124,0.9849999978026124,99,
398,한국전력우리스프랏글로벌제1차(유),0.0,0.0,0,
413,한국전력우리스프랏글로벌제1차(유),1.0,1.0,1,한국전력우리스프랏글로벌사모투자전문회사
414,한국전력우리스프랏글로벌제1차(유),,,1,-
415,한국전력우리스프랏글로벌제1차(유),,,-1,
417,한국전력우리스프랏글로벌제1차(유),0.0,0.0,99,
420,한국전력우리스프랏글로벌제2차(유),0.0,0.0,0,
435,한국전력우리스프랏글로벌제2차(유),1.0,1.0,1,한국전력우리스프랏글로벌사모투자전문회사
436,한국전력우리스프랏글로벌제2차(유),,,1,-
437,한국전력우리스프랏글로벌제2차(유),,,-1,
439,한국전력우리스프랏글로벌제2차(유),0.0,0.0,99,
