,firmname,own,own2,type,ownername
0,태광산업,0.38787228309682054,0.6819606610382611,0,
16,태광산업,0.1121860966409197,0.1121860966409197,1,티알엔
17,태광산업,,,1,
18,태광산업,,,-1,
21,태광산업,0.2058532423208191,0.2058532423208191,99,
24,대한화섬,0.23191415662650602,0.43605120481927706,0,
39,대한화섬,0.33525,0.33525,1,티알엔
40,대한화섬,,,1,
41,대한화섬,,,-1,
44,대한화섬,0.2286987951807229,0.2286987951807229,99,
47,서한물산,0.0,0.0,0,
62,서한물산,1.0,1.0,1,태광산업
63,서한물산,,,1,
64,서한물산,,,-1,
67,서한물산,0.0,0.0,99,
70,세광패션,0.0,0.0,0,
85,세광패션,1.0,1.0,1,태광산업
86,세광패션,,,1,
87,세광패션,,,-1,
90,세광패션,0.0,0.0,99,
93,한국케이블텔레콤,0.0,0.0,0,
108,한국케이블텔레콤,0.9163835902795924,0.9163835902795924,1,태광산업
109,한국케이블텔레콤,,,1,
110,한국케이블텔레콤,,,-1,
112,한국케이블텔레콤,0.08361640972040763,0.08361640972040763,99,
115,티캐스트,0.0,0.0,0,
130,티캐스트,1.0,1.0,1,티알엔
131,티캐스트,,,1,
132,티캐스트,,,-1,
135,티캐스트,0.0,0.0,99,
137,이채널,0.185373,0.185373,0,
152,이채널,0.550912,0.550912,1,태광산업
153,이채널,0.161314,0.161314,1,대한화섬
154,이채널,,,-1,
157,이채널,0.102401,0.102401,99,
160,챔프비전,0.0,0.0,0,
175,챔프비전,0.5,0.5,1,티캐스트
176,챔프비전,,,1,
177,챔프비전,,,-1,
180,챔프비전,0.5,0.5,99,
183,티알엔,0.936581687806104,0.9548190150603282,0,
199,티알엔,0.03323765558744814,0.03323765558744814,1,태광산업
200,티알엔,0.01194332935222355,0.01194332935222355,1,티시스
201,티알엔,,,-1,
204,티알엔,0.0,0.0,99,
207,티시스,0.18718609318591617,0.22119121287750376,0,
222,티시스,0.4632774168769205,0.4632774168769205,1,태광산업
223,티시스,0.3155313702455758,0.3155313702455758,1,대한화섬
224,티시스,,,-1,
227,티시스,0.0,0.0,99,
230,메르뱅,0.0,0.0,0,
245,메르뱅,1.0,1.0,1,티시스
246,메르뱅,,,1,
247,메르뱅,,,-1,
250,메르뱅,0.0,0.0,99,
253,큰희망,0.0,0.0,0,
268,큰희망,1.0,1.0,1,티시스
269,큰희망,,,1,
270,큰희망,,,-1,
273,큰희망,0.0,0.0,99,
276,흥국생명보험,0.8196224368196138,0.8666168164908131,0,
293,흥국생명보험,0.10429268320694225,0.10429268320694225,1,대한화섬
294,흥국생명보험,0.029090500302244606,0.029090500302244606,1,티알엔
295,흥국생명보험,,,-1,
298,흥국생명보험,0.0,0.0,99,
301,흥국화재해상보험,0.0,0.0,0,
318,흥국화재해상보험,0.5955551852093123,0.5955551852093123,1,흥국생명보험
319,흥국화재해상보험,0.19631092173322962,0.19631092173322962,1,태광산업
320,흥국화재해상보험,,,-1,
323,흥국화재해상보험,0.2081338930574581,0.2081338930574581,99,
326,흥국자산운용,0.28,0.28,0,
343,흥국자산운용,0.72,0.72,1,흥국증권
344,흥국자산운용,,,1,
345,흥국자산운용,,,1,
346,흥국자산운용,,,-1,
348,흥국자산운용,0.0,0.0,99,
352,흥국증권,0.6875,0.6875,0,
369,흥국증권,0.3125,0.3125,1,티알엔
370,흥국증권,,,1,
371,흥국증권,,,1,
372,흥국증권,,,-1,
374,흥국증권,0.0,0.0,99,
378,대신흥국제일호사모투자전문회사,0.0,0.0,0,
395,대신흥국제일호사모투자전문회사,0.15027027027027026,0.15027027027027026,1,흥국생명보험
396,대신흥국제일호사모투자전문회사,0.011351351351351352,0.011351351351351352,1,흥국화재해상보험
397,대신흥국제일호사모투자전문회사,0.0005405405405405405,0.0005405405405405405,1,흥국자산운용(주
398,대신흥국제일호사모투자전문회사,,,1,
399,대신흥국제일호사모투자전문회사,,,-1,
401,대신흥국제일호사모투자전문회사,0.8378378378378379,0.8378378378378379,99,
406,고려저축은행,0.5365152144111707,0.5365152144111707,0,
423,고려저축은행,0.202414563229531,0.202414563229531,1,태광산업
424,고려저축은행,0.202414563229531,0.202414563229531,1,대한화섬
425,고려저축은행,0.05865565912976742,0.05865565912976742,1,흥국생명보험
426,고려저축은행,,,-1,
428,고려저축은행,0.0,0.0,99,
432,예가람저축은행,0.0,0.0,0,
449,예가람저축은행,0.652973690179179,0.652973690179179,1,고려저축은행
450,예가람저축은행,0.22159696076207758,0.22159696076207758,1,대한화섬
451,예가람저축은행,0.12542934905874348,0.12542934905874348,1,흥국생명보험
452,예가람저축은행,,,-1,
454,예가람저축은행,0.0,0.0,99,
