,firmname,own,own2,type,ownername
0,태영건설,0.29823165582285555,0.47410036389205934,0,
8,태영건설,0.5258996361079407,0.5258996361079407,99,
10,군포복합개발피에프브이(주1),0.354,0.354,1,태영건설
12,군포복합개발피에프브이(주1),0.646,0.646,99,
14,디엠씨미디어,,0.37362637362637363,0,
15,디엠씨미디어,0.540521978021978,0.540521978021978,1,에스비에스
17,디엠씨미디어,0.08585164835164835,0.08585164835164835,99,
19,리앤에스스포츠,,0.3,0,
20,리앤에스스포츠,0.7,0.7,1,SBS미디어넷
22,리앤에스스포츠,0.0,0.0,99,
24,문고리닷컴,,0.198,0,
25,문고리닷컴,0.6,0.6,1,에스비에스네오파트너스
27,문고리닷컴,0.202,0.202,99,
29,부산바이오에너지,0.6,0.6,1,티에스케이워터
31,부산바이오에너지,0.40057034220532317,0.40057034220532317,99,
34,블렌딩,0.5,0.5,1,에스비에스콘텐츠허브
36,블렌딩,0.5,0.5,99,
40,블루원,0.12264048805071998,0.12264048805071998,0,
41,블루원,0.8773595119492801,0.8773595119492801,1,태영건설
44,센트로,0.7,0.7,1,티에스게이워터
46,센트로,0.3,0.3,99,
48,에스비에스,,0.03081832477180489,0,
49,에스비에스,0.3691541832273374,0.3691541832273374,1,SBS미디어홀딩스
51,에스비에스,0.6000274920008577,0.6000274920008577,99,
54,에스비에스네오파트너스,1.0,1.0,1,SBS미디어홀딩스
56,에스비에스네오파트너스,0.0,0.0,99,
59,에스비에스디지털뉴스랩,1.0,1.0,1,에스비에스
61,에스비에스미디어넷,0.9164931881367863,0.9164931881367863,1,에스비에스미디어홀딩스
62,에스비에스미디어넷,0.008010359793565078,0.008010359793565078,1,블루원
63,에스비에스미디어넷,,0.038339660996681714,0,
65,에스비에스미디어넷,0.037156791072966974,0.037156791072966974,99,
67,에스비에스아이앤엠,1.0,1.0,1,에스비에스콘텐츠허브
70,에스비에스아프리카티비,0.5,0.5,1,에스비에스
72,에스비에스아프리카티비,0.5,0.5,99,
75,에스비에스에이앤티,0.9963901345291479,0.9963901345291479,1,에스비에스
77,에스비에스에이앤티,0.003609865470852018,0.003609865470852018,99,
79,에스비에스엠앤씨,0.4,0.4,1,SBS
81,에스비에스엠앤씨,0.6000000000000001,0.6000000000000001,99,
84,에스비에스콘텐츠허브,,0.029717537472240735,0,
85,에스비에스콘텐츠허브,0.6496184811882282,0.6496184811882282,1,에스비에스
87,에스비에스콘텐츠허브,0.3206639813395311,0.3206639813395311,99,
90,에스비에스플러스,1.0,1.0,1,에스비에스미디어넷
93,에이엠피,0.500000249999875,0.500000249999875,1,SBS
95,에이엠피,0.499999750000125,0.499999750000125,99,
97,에코시티,0.4,0.4,1,태영건설
99,에코시티,0.6,0.6,99,
102,에코시티개발,0.8,0.8,1,태영건설
104,에코시티개발,0.2,0.2,99,
106,엠시에타,1.0,1.0,1,태영건설
109,엠시에타개발,1.0,1.0,1,태영건설
112,여수엑스포환경,1.0,1.0,1,티에스케이코퍼레이션
115,여천이피에스,1.0,1.0,1,티에스케이이앤피
118,유니시티,0.5846,0.5846,1,태영건설
120,유니시티,0.0,0.0,99,
123,이너시티개발,0.4,0.4,0,
125,이너시티개발,0.6,0.6,99,
127,인제스피디움,1.0,1.0,1,태영건설
129,지에프앤엘,0.6923076923076923,0.6923076923076923,0,
