,firmname,own,own2,type,ownername
0,한화,0.2675954574581936,0.3443451947093183,0,
15,한화,0.04342200736147264,0.04342200736147264,1,에이치솔루션
16,한화,,,-1,
18,한화,0.612232797929209,0.612232797929209,99,
21,한화솔루션,0.0,0.0041904863680907265,0,
32,한화솔루션,0.36987782597826374,0.36987782597826374,1,한화
33,한화솔루션,,,-1,
35,한화솔루션,0.6259316876536455,0.6259316876536455,99,
38,한화컴파운드,0.0,0.0,0,
53,한화컴파운드,1.0,1.0,1,한화솔루션
54,한화컴파운드,,,-1,
56,한화컴파운드,0.0,0.0,99,
59,한화케미칼오버시즈홀딩스,0.0,0.0,0,
74,한화케미칼오버시즈홀딩스,1.0,1.0,1,한화솔루션
75,한화케미칼오버시즈홀딩스,,,-1,
77,한화케미칼오버시즈홀딩스,0.0,0.0,99,
80,한화갤러리아타임월드,0.0,0.0,0,
95,한화갤러리아타임월드,1.0,1.0,1,한화갤러리아
96,한화갤러리아타임월드,,,-1,
98,한화갤러리아타임월드,0.0,0.0,99,
101,한화비앤비,0.0,0.0,0,
116,한화비앤비,1.0,1.0,1,한화갤러리아
117,한화비앤비,,,-1,
119,한화비앤비,0.0,0.0,99,
122,한화도시개발,0.0,0.0,0,
134,한화도시개발,1.0,1.0,1,한화솔루션
135,한화도시개발,,,1,
136,한화도시개발,,,1,
137,한화도시개발,,,-1,
139,한화도시개발,0.0,0.0,99,
142,제이용인테크노밸리,0.0,0.0,0,
151,제이용인테크노밸리,0.7,0.7,1,한화도시개발
152,제이용인테크노밸리,0.05,0.05,1,한화건설
153,제이용인테크노밸리,,,-1,
155,제이용인테크노밸리,0.25,0.25,99,
158,안성테크노밸리,0.0,0.0,0,
170,안성테크노밸리,0.75,0.75,1,한화도시개발
171,안성테크노밸리,0.05,0.05,1,한화건설
172,안성테크노밸리,,,1,
173,안성테크노밸리,,,-1,
175,안성테크노밸리,0.2,0.2,99,
178,아산테크노밸리,0.0,0.0,0,
190,아산테크노밸리,1.0,1.0,1,한화도시개발
191,아산테크노밸리,,,1,
192,아산테크노밸리,,,1,
193,아산테크노밸리,,,-1,
195,아산테크노밸리,0.0,0.0,99,
198,한화역사,0.007052897417647495,0.007053202757709302,0,
210,한화역사,0.4001203650523643,0.4001203650523643,1,한화도시개발
211,한화역사,0.18936564686139423,0.18936564686139423,1,한화호텔앤드리조트
212,한화역사,0.08303356572765437,0.08303356572765437,1,한화글로벌에셋
213,한화역사,,,-1,
215,한화역사,0.3204272196008778,0.3204272196008778,99,
218,서산테크노밸리,0.0,0.0,0,
230,서산테크노밸리,0.65,0.65,1,한화도시개바
