,firmname,own,own2,type,ownername
0,현대백화점,0.19720434291448488,0.23332258374243953,0,
9,현대백화점,0.12046717690688762,0.12046717690688762,1,현대그린푸드
10,현대백화점,0.04311088744973227,0.04311088744973227,1,현대A&I
11,현대백화점,,,-1,
13,현대백화점,0.6030993519009406,0.6030993519009406,99,
16,한무쇼핑,0.10376029270909916,0.10376029270909916,0,
25,한무쇼핑,0.4633504526871125,0.4633504526871125,1,현대백화점
26,한무쇼핑,0.08537239273533474,0.08537239273533474,1,현대쇼핑
27,한무쇼핑,0.0036119089234180083,0.0036119089234180083,1,현대그린푸드
28,한무쇼핑,,,-1,
30,한무쇼핑,0.3439049529450356,0.3439049529450356,99,
33,현대쇼핑,0.0,0.0,0,
42,현대쇼핑,1.0,1.0,1,현대백화점
43,현대쇼핑,,,-1,
45,현대쇼핑,0.0,0.0,99,
48,현대백화점면세점,0.0,0.0,0,
57,현대백화점면세점,1.0,1.0,1,현대백화점
58,현대백화점면세점,,,-1,
60,현대백화점면세점,0.0,0.0,99,
63,현대그린푸드,0.37722202958918505,0.4783628554522197,0,
72,현대그린푸드,,,1,-
73,현대그린푸드,,,-1,
75,현대그린푸드,0.5216371445477803,0.5216371445477803,99,
78,현대캐터링시스템,0.0,0.0,0,
87,현대캐터링시스템,0.802012895109294,0.802012895109294,1,현대그린푸드
88,현대캐터링시스템,,,-1,
90,현대캐터링시스템,0.1979871048907061,0.1979871048907061,99,
93,씨엔에스푸드시스템,0.0,0.0,0,
102,씨엔에스푸드시스템,1.0,1.0,1,현대그린푸드
103,씨엔에스푸드시스템,,,-1,
105,씨엔에스푸드시스템,0.0,0.0,99,
108,매그놀리아코리아,0.0,0.0,0,
117,매그놀리아코리아,0.5100222717149221,0.5100222717149221,1,현대그린푸드
118,매그놀리아코리아,,,-1,
120,매그놀리아코리아,0.48997772828507796,0.48997772828507796,99,
123,현대홈쇼핑,0.0,0.026278333333333334,0,
132,현대홈쇼핑,0.250125,0.250125,1,현대그린푸드
133,현대홈쇼핑,0.15804166666666666,0.15804166666666666,1,현대백화점
134,현대홈쇼핑,,,-1,
136,현대홈쇼핑,0.565555,0.565555,99,
139,에이치케이이앤에스,0.0,0.0,0,
148,에이치케이이앤에스,0.5,0.5,1,현대홈쇼핑
149,에이치케이이앤에스,,,-1,
151,에이치케이이앤에스,0.5,0.5,99,
154,이에이치케이이앤에스,0.0,0.0,0,
163,이에이치케이이앤에스,0.7,0.7,1,에이치케이이앤에스
164,이에이치케이이앤에스,,,-1,
166,이에이치케이이앤에스,0.3,0.3,99,
169,현대에이치씨엔,0.0,0.024125824985012836,0,
178,현대에이치씨엔,0.3834251876270259,0.3834251876270259,1,현대홈쇼핑
179,현대에이치씨엔,0.11051883598615961,0.11051883598615961,1,현대쇼핑
180,현대에이치씨엔,0.11029558332889486,0.11029558332889486,1,현대백화점
181,현대에이치씨엔,0.05789340068334449,0.05789340068334449,1,현대그린푸드
182,현대에이치씨엔,,,-1,
184,현대에이치씨엔,0.3137411673895623,0.3137411673895623,99,
187,현대에이치씨엔서초케이블,0.0,0.0,0,
196,현대에이치씨엔서초케이블,1.0,1.0,1,현대에이치씨엔
197,현대에이치씨엔서초케이블,,,-1,
199,현대에이치씨엔서초케이블,0.0,0.0,99,
202,현대미디어,0.0,0.0,0,
211,현대미디어,1.0,1.0,1,현대에이치씨엔
212,현대미디어,,,-1,
214,현대미디어,0.0,0.0,99,
217,에브리온티브이,0.0,0.0,0,
226,에브리온티브이,1.0,1.0,1,현대에이치씨엔
227,에브리온티브이,,,-1,
229,에브리온티브이,0.0,0.0,99,
232,한섬,0.0,0.1080148599269184,0,
241,한섬,0.3464377994315875,0.3464377994315875,1,현대홈쇼핑
242,한섬,,,-1,
244,한섬,0.5455473406414941,0.5455473406414941,99,
247,현대지앤에프,0.0,0.0,0,
256,현대지앤에프,1.0,1.0,1,한섬
257,현대지앤에프,,,-1,
259,현대지앤에프,0.0,0.0,99,
262,현대리바트,0.0,0.020505196860700525,0,
271,현대리바트,0.4116233709378814,0.4116233709378814,1,현대그린푸드
272,현대리바트,,,-1,
274,현대리바트,0.567871432201418,0.567871432201418,99,
277,현대리바트엠앤에스,0.0,0.0,0,
286,현대리바트엠앤에스,1.0,1.0,1,현대리바트
287,현대리바트엠앤에스,,,-1,
289,현대리바트엠앤에스,0.0,0.0,99,
292,현대엘앤씨,0.0,0.0,0,
301,현대엘앤씨,1.0,1.0,1,현대홈쇼핑
302,현대엘앤씨,,,-1,
304,현대엘앤씨,0.0,0.0,99,
307,현대렌탈케어,0.0,0.0,0,
316,현대렌탈케어,1.0,1.0,1,현대홈쇼핑
317,현대렌탈케어,,,-1,
319,현대렌탈케어,0.0,0.0,99,
322,에버다임,0.0,0.0964529136728715,0,
336,에버다임,0.45166428294261246,0.45166428294261246,1,현대그린푸드
337,에버다임,,,-1,
339,에버다임,0.45188280338451603,0.45188280338451603,99,
342,에버다임락툴,0.0,0.0,0,
351,에버다임락툴,1.0,1.0,1,에버다임
352,에버다임락툴,,,-1,
354,에버다임락툴,0.0,0.0,99,
357,타이포스,0.0,0.0,0,
366,타이포스,1.0,1.0,1,에버다임
367,타이포스,,,-1,
369,타이포스,0.0,0.0,99,
372,한국타워크레인,0.0,0.0,0,
381,한국타워크레인,1.0,1.0,1,에버다임
382,한국타워크레인,,,-1,
384,한국타워크레인,0.0,0.0,99,
387,현대드림투어,0.0,0.0,0,
396,현대드림투어,1.0,1.0,1,현대그린푸드
397,현대드림투어,,,-1,
399,현대드림투어,0.0,0.0,99,
402,현대아이티앤이,0.0,0.0,0,
411,현대아이티앤이,0.4738095386417154,0.4738095386417154,1,현대그린푸드
412,현대아이티앤이,0.049999688523977424,0.049999688523977424,1,현대쇼핑
413,현대아이티앤이,,,-1,
415,현대아이티앤이,0.4761907728343072,0.4761907728343072,99,
418,현대에이앤아이,0.7338960591194393,0.7338960591194393,0,
427,현대에이앤아이,0.1040987317899914,0.1040987317899914,1,현대그린푸드
428,현대에이앤아이,,,-1,
430,현대에이앤아이,0.16200520909056923,0.16200520909056923,99,
