,firmname,own,own2,type,ownername
0,호반건설,0.787649112556116,0.9281392459619567,0,
13,호반건설,0.07186075403804322,0.07186075403804322,99,
15,호반자산개발,1.0,1.0,1,호반건설
18,대전용산개발,0.7,0.7,1,호반건설
20,대전용산개발,0.3,0.3,99,
22,에이치비탕정,1.0,1.0,1,호반건설
25,스카이리빙,1.0,1.0,1,호반건설
28,스카이주택,1.0,1.0,1,호반건설
31,연희파크,0.3325,0.3325,1,호반건설
33,연희파크,0.6675,0.6675,99,
36,호반산업,0.419856017376441,0.839712034752882,0,
38,호반산업,0.11363729664973558,0.11363729664973558,1,호반건설
39,호반산업,0.04665066859738234,0.04665066859738234,1,호반베르디움
42,티에스주택,1.0,1.0,1,호반산업
45,티에스개발,1.0,1.0,1,호반산업
48,티에스건설,1.0,1.0,1,호반산업
51,티에스자산개발,1.0,1.0,1,호반산업
54,티에스리빙,1.0,1.0,1,호반산업
57,화랑관사비티엘,0.6924010237290278,0.6924010237290278,1,호반산업
59,화랑관사비티엘,0.3075989762709722,0.3075989762709722,99,
61,호반티비엠,0.9876690830281742,0.9876690830281742,1,호반산업
63,호반티비엠,0.012330916971825723,0.012330916971825723,99,
67,호반베르디움,0.5161290322580645,1.0,0,
71,배곧랜드마크피에프브이,0.25,0.25,1,호반베르디움
72,배곧랜드마크피에프브이,0.2,0.2,1,호반건설
74,배곧랜드마크피에프브이,0.55,0.55,99,
76,호반호텔앤리조트,1.0,1.0,1,호반건설
79,리솜리조트,0.7,0.7,1,호반호텔앤리조트
80,리솜리조트,0.1,0.1,1,리솜건설
82,리솜리조트,0.2,0.2,99,
84,리솜웨이하이골프리조트,1.0,1.0,1,호반호텔앤리조트
87,그린산업,0.51,0.51,1,호반호텔앤리조트
89,그린산업,0.49,0.49,99,
91,에이치비리솜,1.0,1.0,1,호반호텔앤리조트
94,리솜건설,1.0,1.0,1,에이치비리솜
97,퍼시픽마리나,1.0,1.0,1,호반호텔앤리조트
100,플랜에이치벤처스,1.0,1.0,1,호반건설
103,호반서서울,0.21810905452726362,0.21810905452726362,1,Catley Investment Ltd
104,호반서서울,0.38744372186093046,0.38744372186093046,1,High Loft International Ltd
105,호반서서울,0.38744372186093046,0.38744372186093046,1,Metrowide Investment Ltd
107,호반서서울,0.007003501750875438,0.007003501750875438,99,
109,광주방송,,0.1,0,
110,광주방송,0.165875,0.165875,1,호반건설
111,광주방송,0.13,0.13,1,호반베르디움
113,광주방송,0.604125,0.604125,99,
115,케이비씨플러스,1.0,1.0,1,광주방송
118,호반써밋,1.0,1.0,1,호반산업
121,아브뉴프랑,1.0,1.0,1,호반베르디움
124,호반스카이밸리,0.1,0.1,0,
127,호반스카이밸리,0.45,0.45,1,호반건설
128,호반스카이밸리,0.45,0.45,1,호반베르디움
132,세기상사,0.31823980843588684,0.5120610806885316,0,
136,세기상사,0.4879389193114683,0.4879389193114683,99,
138,코너스톤투자파트너스,1.0,1.0,1,호반건설
