,소속회사명1,소속회사명2,동일인과의 관계1,동일인과의 관계2,동일인과의 관계3,성명,보통주 주식수,보통주 지분율,우선주 주식수,우선주 지분율,합계 주식수,합계 지분율,divisor,shares,type,type2,own,own2,ownername
0,비금융회사,LS,동일인측,동일인,동일인,구자홍,845200,2.62,-,-,845200.0,2.62,32200000.0,0.026248447204968946,0,0,0.2729420186335404,0.43120534161490687,
1,비금융회사,LS,동일인측,친족,배우자/혈족1촌,구나윤,78835,0.24,-,-,78835.0,0.24,32200000.0,0.0024482919254658385,50,50,,,
2,비금융회사,LS,동일인측,친족,혈족2~4촌,구다영,63400,0.20,-,-,63400.0,0.20,32200000.0,0.001968944099378882,50,50,,,
3,비금융회사,LS,동일인측,친족,혈족2~4촌,구본규,286219,0.89,-,-,286219.0,0.89,32200000.0,0.008888788819875777,50,50,,,
4,비금융회사,LS,동일인측,친족,혈족2~4촌,구본혁,529000,1.64,-,-,529000.0,1.64,32200000.0,0.016428571428571428,50,50,,,
5,비금융회사,LS,동일인측,친족,혈족2~4촌,구소영,63400,0.20,-,-,63400.0,0.20,32200000.0,0.001968944099378882,50,50,,,
6,비금융회사,LS,동일인측,친족,혈족2~4촌,구윤희,275000,0.85,-,-,275000.0,0.85,32200000.0,0.008540372670807454,50,50,,,
7,비금융회사,LS,동일인측,친족,혈족2~4촌,구은희,123250,0.38,-,-,123250.0,0.38,32200000.0,0.003827639751552795,50,50,,,
8,비금융회사,LS,동일인측,친족,혈족2~4촌,구자균,694340,2.16,,,694340.0,2.16,32200000.0,0.02156335403726708,50,50,,,
9,비금융회사,LS,동일인측,친족,혈족2~4촌,구자열,803739,2.50,-,-,803739.0,2.50,32200000.0,0.024960838509316772,50,50,,,
10,비금융회사,LS,동일인측,친족,혈족2~4촌,구자엽,598200,1.86,-,-,598200.0,1.86,32200000.0,0.018577639751552796,50,50,,,
11,비금융회사,LS,동일인측,친족,혈족2~4촌,구자용,771440,2.40,-,-,771440.0,2.40,32200000.0,0.02395776397515528,50,50,,,
12,비금융회사,LS,동일인측,친족,혈족2~4촌,구자은,1368600,4.25,-,-,1368600.0,4.25,32200000.0,0.04250310559006211,50,50,,,
13,비금융회사,LS,동일인측,친족,혈족2~4촌,구재희(KOO JAE HEE),250000,0.78,-,-,250000.0,0.78,32200000.0,0.007763975155279503,50,50,,,
14,비금융회사,LS,동일인측,친족,혈족5~6촌,구동휘,863500,2.68,-,-,863500.0,2.68,32200000.0,0.026816770186335402,50,50,,,
15,비금융회사,LS,동일인측,친족,혈족5~6촌,구민기,58500,0.18,-,-,58500.0,0.18,32200000.0,0.0018167701863354038,50,50,,,
16,비금융회사,LS,동일인측,친족,혈족5~6촌,구소연,209950,0.65,-,-,209950.0,0.65,32200000.0,0.006520186335403726,50,50,,,
17,비금융회사,LS,동일인측,친족,혈족5~6촌,구소희,209950,0.65,-,-,209950.0,0.65,32200000.0,0.006520186335403726,50,50,,,
18,비금융회사,LS,동일인측,친족,혈족5~6촌,구원경,58200,0.18,-,-,58200.0,0.18,32200000.0,0.0018074534161490684,50,50,,,
19,비금융회사,LS,동일인측,친족,혈족5~6촌,구은성,123000,0.38,-,-,123000.0,0.38,32200000.0,0.0038198757763975156,50,50,,,
20,비금융회사,LS,동일인측,친족,혈족5~6촌,구은아(KOO EUN AH),123000,0.38,-,-,123000.0,0.38,32200000.0,0.0038198757763975156,50,50,,,
21,비금융회사,LS,동일인측,친족,혈족5~6촌,구희나(KOO HEE NA),185620,0.58,-,-,185620.0,0.58,32200000.0,0.005764596273291926,50,50,,,
22,비금융회사,LS,동일인측,친족,혈족5~6촌,구희연,185620,0.58,-,-,185620.0,0.58,32200000.0,0.005764596273291926,50,50,,,
23,비금융회사,LS,동일인측,친족,혈족5~6촌,정유정,13770,0.04,-,-,13770.0,0.04,32200000.0,0.00042763975155279504,50,50,,,
24,비금융회사,LS,동일인측,친족,인척 4촌 이내,고은아,7000,0.02,-,-,7000.0,0.02,32200000.0,0.0002173913043478261,50,50,,,
25,비금융회사,LS,동일인측,친족,친족 합계,/,7943533,24.67,-,-,7943533.0,24.67,32200000.0,0.24669357142857143,0,0,0.2729420186335404,0.43120534161490687,
26,비금융회사,LS,동일인측,비영리법인,비영리법인,송강재단,95530,0.30,-,-,95530.0,0.30,32200000.0,0.002966770186335404,50,0,,0.43120534161490687,
27,비금융회사,LS,동일인측,등기된 임원,등기된 임원,구자철,562500,1.75,-,-,562500.0,1.75,32200000.0,0.01746894409937888,50,0,,0.43120534161490687,
28,비금융회사,LS,동일인측,등기된 임원,등기된 임원,김연수,80,0.00,-,-,80.0,0.00,32200000.0,2.484472049689441e-06,50,0,,0.43120534161490687,
29,비금융회사,LS,동일인측,등기된 임원,등기된 임원,박용상,4010,0.01,-,-,4010.0,0.01,32200000.0,0.00012453416149068322,50,0,,0.43120534161490687,
30,비금융회사,LS,동일인측,등기된 임원,등기된 임원,이익희,1000,0.00,-,-,1000.0,0.00,32200000.0,3.1055900621118014e-05,50,0,,0.43120534161490687,
31,비금융회사,LS,동일인측,등기된 임원,등기된 임원,유현석,10,0.00,-,-,10.0,0.00,32200000.0,3.1055900621118013e-07,50,0,,0.43120534161490687,
32,비금융회사,LS,동일인측,등기된 임원,등기된 임원,전대진,20,0.00,-,-,20.0,0.00,32200000.0,6.211180124223603e-07,50,0,,0.43120534161490687,
33,비금융회사,LS,동일인측,자기주식,자기주식,LS,4432929,13.77,-,-,4432929.0,13.77,32200000.0,0.13766860248447205,50,0,,0.43120534161490687,
34,비금융회사,LS,동일인측,계열회사,계열회사,-,-,-,-,-,,-,32200000.0,,1,1,,,-
35,비금융회사,LS,동일인측,동일인측 합계,동일인측 합계,/,13884812,43.12,-,-,13884812.0,43.12,32200000.0,0.4312053416149068,50,50,,,
36,비금융회사,LS,기타주주,동일인측이 아닌최다주주,동일인측이 아닌최다주주,-,-,-,-,-,,-,32200000.0,,99,99,0.5687946583850931,0.5687946583850931,
37,비금융회사,LS,기타주주,기타,기타,/,18315188,56.88,-,-,18315188.0,56.88,32200000.0,0.5687946583850931,99,99,0.5687946583850931,0.5687946583850931,
38,비금융회사,LS,총 계,총 계,총 계,/,32200000,100,-,-,32200000.0,100,32200000.0,1.0,50,50,,,
39,비금융회사,LS전선,동일인측,동일인,동일인,구자홍,-,-,-,-,,-,18750397.0,,0,0,0.001849667503040069,0.004742299589710019,
40,비금융회사,LS전선,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,,-,18750397.0,,50,50,,,
41,비금융회사,LS전선,동일인측,친족,혈족2~4촌,구자열,3678,0.02%,-,-,3678.0,0.02%,18750397.0,0.00019615584672687196,50,50,,,
42,비금융회사,LS전선,동일인측,친족,혈족2~4촌,구자은,4388,0.02%,-,-,4388.0,0.02%,18750397.0,0.00023402171164695873,50,50,,,
43,비금융회사,LS전선,동일인측,친족,혈족2~4촌,구자용,2925,0.02%,-,-,2925.0,0.02%,18750397.0,0.0001559966970299349,50,50,,,
44,비금융회사,LS전선,동일인측,친족,혈족2~4촌,구자균,2925,0.02%,-,-,2925.0,0.02%,18750397.0,0.0001559966970299349,50,50,,,
45,비금융회사,LS전선,동일인측,친족,혈족2~4촌,구재희(KOO JAE HEE),4388,0.02%,-,-,4388.0,0.02%,18750397.0,0.00023402171164695873,50,50,,,
46,비금융회사,LS전선,동일인측,친족,혈족5~6촌,구동휘,7274,0.04%,-,-,7274.0,0.04%,18750397.0,0.0003879384527164945,50,50,,,
47,비금융회사,LS전선,동일인측,친족,혈족5~6촌,구희나(KOO HEE NA),2172,0.01%,-,-,2172.0,0.01%,18750397.0,0.00011583754733299781,50,50,,,
48,비금융회사,LS전선,동일인측,친족,혈족5~6촌,구희연,2172,0.01%,-,-,2172.0,0.01%,18750397.0,0.00011583754733299781,50,50,,,
49,비금융회사,LS전선,동일인측,친족,혈족5~6촌,구소연,2172,0.01%,-,-,2172.0,0.01%,18750397.0,0.00011583754733299781,50,50,,,
50,비금융회사,LS전선,동일인측,친족,혈족5~6촌,구소희,2172,0.01%,-,-,2172.0,0.01%,18750397.0,0.00011583754733299781,50,50,,,
51,비금융회사,LS전선,동일인측,친족,인척 4촌 이내,지규만,416,0.00%,-,-,416.0,0.00%,18750397.0,2.2186196910924073e-05,50,50,,,
52,비금융회사,LS전선,동일인측,친족,친족 합계,/,34682,0.18%,-,-,34682.0,0.18%,18750397.0,0.001849667503040069,0,0,0.001849667503040069,0.004742299589710019,
53,비금융회사,LS전선,동일인측,비영리법인,비영리법인,-,-,-,-,-,,-,18750397.0,,50,0,,0.004742299589710019,
54,비금융회사,LS전선,동일인측,등기된 임원,등기된 임원,구자철,29139,0.17%,-,-,29139.0,0.17%,18750397.0,0.0015540470956428283,50,0,,0.004742299589710019,
55,비금융회사,LS전선,동일인측,등기된 임원,등기된 임원,백상용,62,0.00%,-,-,62.0,0.00%,18750397.0,3.3065966549934915e-06,50,0,,0.004742299589710019,
56,비금융회사,LS전선,동일인측,등기된 임원,등기된 임원,윤재인,834,0.00%,-,-,834.0,0.00%,18750397.0,4.447905823007374e-05,50,0,,0.004742299589710019,
57,비금융회사,LS전선,동일인측,등기된 임원,등기된 임원,김진용,82,0.00%,-,-,82.0,0.00%,18750397.0,4.373240737249457e-06,50,0,,0.004742299589710019,
58,비금융회사,LS전선,동일인측,등기된 임원,등기된 임원,이광우,834,0.00%,-,-,834.0,0.00%,18750397.0,4.447905823007374e-05,50,0,,0.004742299589710019,
59,비금융회사,LS전선,동일인측,등기된 임원,등기된 임원,이성열,31,0.00%,-,-,31.0,0.00%,18750397.0,1.6532983274967457e-06,50,0,,0.004742299589710019,
60,비금융회사,LS전선,동일인측,등기된 임원,등기된 임원,천성복,166,0.00%,-,-,166.0,0.00%,18750397.0,8.85314588272451e-06,50,0,,0.004742299589710019,
61,비금융회사,LS전선,동일인측,등기된 임원,등기된 임원,정창시,166,0.00%,-,-,166.0,0.00%,18750397.0,8.85314588272451e-06,50,0,,0.004742299589710019,
62,비금융회사,LS전선,동일인측,등기된 임원,등기된 임원,윤선노,124,0.00%,-,-,124.0,0.00%,18750397.0,6.613193309986983e-06,50,0,,0.004742299589710019,
63,비금융회사,LS전선,동일인측,등기된 임원,등기된 임원,이인재,62,0.00%,-,-,62.0,0.00%,18750397.0,3.3065966549934915e-06,50,0,,0.004742299589710019,
64,비금융회사,LS전선,동일인측,등기된 임원,등기된 임원,이세웅,62,0.00%,-,-,62.0,0.00%,18750397.0,3.3065966549934915e-06,50,0,,0.004742299589710019,
65,비금융회사,LS전선,동일인측,등기된 임원,등기된 임원,김용선,124,0.00%,-,-,124.0,0.00%,18750397.0,6.613193309986983e-06,50,0,,0.004742299589710019,
66,비금융회사,LS전선,동일인측,등기된 임원,등기된 임원,주완섭,186,0.00%,-,-,186.0,0.00%,18750397.0,9.919789964980475e-06,50,0,,0.004742299589710019,
67,비금융회사,LS전선,동일인측,등기된 임원,등기된 임원,임창록,93,0.00%,-,-,93.0,0.00%,18750397.0,4.959894982490238e-06,50,0,,0.004742299589710019,
68,비금융회사,LS전선,동일인측,등기된 임원,등기된 임원,김성일,74,0.00%,-,-,74.0,0.00%,18750397.0,3.94658310434707e-06,50,0,,0.004742299589710019,
69,비금융회사,LS전선,동일인측,등기된 임원,등기된 임원,이익희,1977,0.01%,-,-,1977.0,0.01%,18750397.0,0.00010543776753100215,50,0,,0.004742299589710019,
70,비금융회사,LS전선,동일인측,등기된 임원,등기된 임원,이상범,317,0.00%,-,-,317.0,0.00%,18750397.0,1.6906308703757046e-05,50,0,,0.004742299589710019,
71,비금융회사,LS전선,동일인측,등기된 임원,등기된 임원,도석구,834,0.00%,-,-,834.0,0.00%,18750397.0,4.447905823007374e-05,50,0,,0.004742299589710019,
72,비금융회사,LS전선,동일인측,등기된 임원,등기된 임원,권봉현,932,0.01%,-,-,932.0,0.01%,18750397.0,4.970561423312797e-05,50,0,,0.004742299589710019,
73,비금융회사,LS전선,동일인측,등기된 임원,등기된 임원,김원일,310,0.00%,-,-,310.0,0.00%,18750397.0,1.6532983274967457e-05,50,0,,0.004742299589710019,
74,비금융회사,LS전선,동일인측,등기된 임원,등기된 임원,문명주,124,0.00%,-,-,124.0,0.00%,18750397.0,6.613193309986983e-06,50,0,,0.004742299589710019,
75,비금융회사,LS전선,동일인측,등기된 임원,등기된 임원,김선철,248,0.00%,-,-,248.0,0.00%,18750397.0,1.3226386619973966e-05,50,0,,0.004742299589710019,
76,비금융회사,LS전선,동일인측,등기된 임원,등기된 임원,이상호,863,0.01%,-,-,863.0,0.01%,18750397.0,4.602569214934489e-05,50,0,,0.004742299589710019,
77,비금융회사,LS전선,동일인측,등기된 임원,등기된 임원,김연수,310,0.00%,-,-,310.0,0.00%,18750397.0,1.6532983274967457e-05,50,0,,0.004742299589710019,
78,비금융회사,LS전선,동일인측,등기된 임원,등기된 임원,강영성,166,0.00%,-,-,166.0,0.00%,18750397.0,8.85314588272451e-06,50,0,,0.004742299589710019,
79,비금융회사,LS전선,동일인측,등기된 임원,등기된 임원,홍원식,540,0.00%,-,-,540.0,0.00%,18750397.0,2.8799390220911055e-05,50,0,,0.004742299589710019,
80,비금융회사,LS전선,동일인측,등기된 임원,등기된 임원,명노현,834,0.00%,-,-,834.0,0.00%,18750397.0,4.447905823007374e-05,50,0,,0.004742299589710019,
81,비금융회사,LS전선,동일인측,등기된 임원,등기된 임원,권영일,1003,0.01%,-,-,1003.0,0.01%,18750397.0,5.349220072513665e-05,50,0,,0.004742299589710019,
82,비금융회사,LS전선,동일인측,등기된 임원,등기된 임원,박진호,186,0.00%,-,-,186.0,0.00%,18750397.0,9.919789964980475e-06,50,0,,0.004742299589710019,
83,비금융회사,LS전선,동일인측,등기된 임원,등기된 임원,장동욱,124,0.00%,-,-,124.0,0.00%,18750397.0,6.613193309986983e-06,50,0,,0.004742299589710019,
84,비금융회사,LS전선,동일인측,등기된 임원,등기된 임원,유승철,31,0.00%,-,-,31.0,0.00%,18750397.0,1.6532983274967457e-06,50,0,,0.004742299589710019,
85,비금융회사,LS전선,동일인측,등기된 임원,등기된 임원,황윤섭,155,0.00%,-,-,155.0,0.00%,18750397.0,8.266491637483728e-06,50,0,,0.004742299589710019,
86,비금융회사,LS전선,동일인측,등기된 임원,등기된 임원,전대진,248,0.00%,-,-,248.0,0.00%,18750397.0,1.3226386619973966e-05,50,0,,0.004742299589710019,
87,비금융회사,LS전선,동일인측,등기된 임원,등기된 임원,하상건,11000,0.07%,-,-,11000.0,0.07%,18750397.0,0.0005866542452407807,50,0,,0.004742299589710019,
88,비금융회사,LS전선,동일인측,등기된 임원,등기된 임원,장균식,83,0.00%,-,-,83.0,0.00%,18750397.0,4.426572941362255e-06,50,0,,0.004742299589710019,
89,비금융회사,LS전선,동일인측,자기주식,자기주식,LS전선,1914,0.01%,-,-,1914.0,0.01%,18750397.0,0.00010207783867189585,50,0,,0.004742299589710019,
90,비금융회사,LS전선,동일인측,계열회사(국내+해외),계열회사(국내+해외),LS,16727987,89.21%,-,-,16727987.0,89.21%,18750397.0,0.8921404170802357,1,1,0.8921404170802357,0.8921404170802357,LS
91,비금융회사,LS전선,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,,-,18750397.0,,-1,-1,,,
92,비금융회사,LS전선,동일인측,⑨ 동일인측 합계,동일인측 합계,/,16816907,89.69%,-,-,16816907.0,89.69%,18750397.0,0.8968827166699457,50,50,,,
93,비금융회사,LS전선,기타주주,동일인측이 아닌최다주주,동일인측이 아닌최다주주,-,-,-,-,-,,-,18750397.0,,99,99,0.1031172833300543,0.1031172833300543,
94,비금융회사,LS전선,기타주주,기타,기타,/,1933490,10.31%,-,-,1933490.0,10.31%,18750397.0,0.1031172833300543,99,99,0.1031172833300543,0.1031172833300543,
95,비금융회사,LS전선,총 계,총 계,총 계,/,18750397,100%,-,-,18750397.0,100%,18750397.0,1.0,50,50,,,
96,비금융회사,JS전선,동일인측,동일인,동일인,구자홍,966050,8.49,-,-,966050.0,8.49,11378640.0,0.0849003044300549,0,0,0.29463327779066745,0.2947057820618281,
97,비금융회사,JS전선,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,,-,11378640.0,,50,50,,,
98,비금융회사,JS전선,동일인측,친족,혈족2~4촌,구본혁,62762,0.55,-,-,62762.0,0.55,11378640.0,0.005515773414045967,50,50,,,
99,비금융회사,JS전선,동일인측,친족,혈족2~4촌,구윤희,30913,0.27,-,-,30913.0,0.27,11378640.0,0.0027167570113827313,50,50,,,
100,비금융회사,JS전선,동일인측,친족,혈족2~4촌,구자균,244980,2.15,-,-,244980.0,2.15,11378640.0,0.02152981375630128,50,50,,,
101,비금융회사,JS전선,동일인측,친족,혈족2~4촌,구자열,1072514,9.43,-,-,1072514.0,9.43,11378640.0,0.09425678288442205,50,50,,,
102,비금융회사,JS전선,동일인측,친족,혈족2~4촌,구자엽,265412,2.33,-,-,265412.0,2.33,11378640.0,0.023325458930065456,50,50,,,
103,비금융회사,JS전선,동일인측,친족,혈족2~4촌,구자용,378611,3.33,-,-,378611.0,3.33,11378640.0,0.033273835888999036,50,50,,,
104,비금융회사,JS전선,동일인측,친족,혈족2~4촌,구자은,331284,2.91,-,-,331284.0,2.91,11378640.0,0.029114551475396006,50,50,,,
105,비금융회사,JS전선,동일인측,친족,혈족5~6촌,-,-,-,-,-,,-,11378640.0,,50,50,,,
106,비금융회사,JS전선,동일인측,친족,인척 4촌 이내,-,-,-,-,-,,-,11378640.0,,50,50,,,
107,비금융회사,JS전선,동일인측,친족,친족 합계,/,2386476,20.97,-,-,2386476.0,20.97,11378640.0,0.20973297336061253,0,0,0.29463327779066745,0.2947057820618281,
108,비금융회사,JS전선,동일인측,비영리법인,비영리법인,-,-,-,-,-,,-,11378640.0,,50,0,,0.2947057820618281,
109,비금융회사,JS전선,동일인측,등기된 임원,등기된 임원,-,-,-,-,-,,-,11378640.0,,50,0,,0.2947057820618281,
110,비금융회사,JS전선,동일인측,자기주식,자기주식,JS전선,825,0.01,-,-,825.0,0.01,11378640.0,7.250427116070111e-05,50,0,,0.2947057820618281,
111,비금융회사,JS전선,동일인측,계열회사(국내+해외),계열회사(국내+해외),LS전선,7955360,69.91,-,-,7955360.0,69.91,11378640.0,0.6991485801466608,1,1,0.6991485801466608,0.6991485801466608,LS전선
112,비금융회사,JS전선,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,,-,11378640.0,,-1,-1,,,
113,비금융회사,JS전선,동일인측,⑨ 동일인측 합계,동일인측 합계,/,11308711,99.39,-,-,11308711.0,99.39,11378640.0,0.9938543622084889,50,50,,,
114,비금융회사,JS전선,기타주주,동일인측이 아닌최다주주,동일인측이 아닌최다주주,-,-,-,-,-,,-,11378640.0,,99,99,0.006145637791511112,0.006145637791511112,
