,소속회사명1,소속회사명2,동일인과의 관계1,동일인과의 관계2,동일인과의 관계3,성명,보통주 주식수,보통주 지분율,우선주 주식수,우선주 지분율,합계 주식수,합계 지분율,divisor,shares,type,type2,own,own2,ownername
0,비 금 융 회 사,디씨알이,동 일 인 측,동일인,동일인,,,,,,,,20029818.0,,0,0,0.0,0.0,
1,비 금 융 회 사,디씨알이,동 일 인 측,친 족,배우자/ 혈족1촌,,,,,,,,20029818.0,,50,50,,,
2,비 금 융 회 사,디씨알이,동 일 인 측,친 족,배우자/ 혈족1촌,,,,,,,,20029818.0,,50,50,,,
3,비 금 융 회 사,디씨알이,동 일 인 측,친 족,혈족2~4촌,,,,,,,,20029818.0,,50,50,,,
4,비 금 융 회 사,디씨알이,동 일 인 측,친 족,혈족5~6촌,,,,,,,,20029818.0,,50,50,,,
5,비 금 융 회 사,디씨알이,동 일 인 측,친 족,인척4촌이내,,,,,,,,20029818.0,,50,50,,,
6,비 금 융 회 사,디씨알이,동 일 인 측,친 족,친족합계,,,,,,,,20029818.0,,0,0,0.0,0.0,
7,비 금 융 회 사,디씨알이,동 일 인 측,비영리법인,비영리법인,,,,,,,,20029818.0,,50,0,,0.0,
8,비 금 융 회 사,디씨알이,동 일 인 측,등기된 임원,등기된 임원,,,,,,,,20029818.0,,50,0,,0.0,
9,비 금 융 회 사,디씨알이,동 일 인 측,자기주식,자기주식,,,,,,,,20029818.0,,50,0,,0.0,
10,비 금 융 회 사,디씨알이,동 일 인 측,계열회사 (국내+해외),계열회사 (국내+해외),오씨아이,20029818.0,100.00%,,,20029818.0,100.00%,20029818.0,1.0,1,1,1.0,1.0,오씨아이
11,비 금 융 회 사,디씨알이,동 일 인 측,기타 동일인관련자,기타 동일인관련자,,,,,,,,20029818.0,,-1,-1,,,
12,비 금 융 회 사,디씨알이,동 일 인 측,동일인측 합계,동일인측 합계,,20029818.0,100.00%,,,20029818.0,100.00%,20029818.0,1.0,50,50,,,
13,비 금 융 회 사,디씨알이,기타 주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,,,,,,,,20029818.0,,99,99,0.0,0.0,
14,비 금 융 회 사,디씨알이,기타 주주,기타,기타,,,,,,,,20029818.0,,99,99,0.0,0.0,
15,비 금 융 회 사,디씨알이,총계,총계,총계,,20029818.0,100.00%,,,20029818.0,100.00%,20029818.0,1.0,50,50,,,
16,비 금 융 회 사,유니드 글로벌 상사,동 일 인 측,동일인,동일인,,,,,,,,280000.0,,0,0,1.0,1.0,
17,비 금 융 회 사,유니드 글로벌 상사,동 일 인 측,친 족,배우자/ 혈족1촌,,,,,,,,280000.0,,50,50,,,
18,비 금 융 회 사,유니드 글로벌 상사,동 일 인 측,친 족,배우자/ 혈족1촌,,,,,,,,280000.0,,50,50,,,
19,비 금 융 회 사,유니드 글로벌 상사,동 일 인 측,친 족,혈족2~4촌,이화영,180000.0,64.29%,,,180000.0,64.29%,280000.0,0.6428571428571429,50,50,,,
20,비 금 융 회 사,유니드 글로벌 상사,동 일 인 측,친 족,혈족2~4촌,이우일,100000.0,35.71%,,,100000.0,35.71%,280000.0,0.35714285714285715,50,50,,,
21,비 금 융 회 사,유니드 글로벌 상사,동 일 인 측,친 족,혈족5~6촌,,,,,,,,280000.0,,50,50,,,
22,비 금 융 회 사,유니드 글로벌 상사,동 일 인 측,친 족,인척4촌이내,,,,,,,,280000.0,,50,50,,,
23,비 금 융 회 사,유니드 글로벌 상사,동 일 인 측,친 족,친족합계,,280000.0,100.00%,,,280000.0,100.00%,280000.0,1.0,0,0,1.0,1.0,
24,비 금 융 회 사,유니드 글로벌 상사,동 일 인 측,비영리법인,비영리법인,,,,,,,,280000.0,,50,0,,1.0,
25,비 금 융 회 사,유니드 글로벌 상사,동 일 인 측,등기된 임원,등기된 임원,,,,,,,,280000.0,,50,0,,1.0,
26,비 금 융 회 사,유니드 글로벌 상사,동 일 인 측,자기주식,자기주식,,,,,,,,280000.0,,50,0,,1.0,
27,비 금 융 회 사,유니드 글로벌 상사,동 일 인 측,계열회사(국내+해외),계열회사(국내+해외),,,,,,,,280000.0,,1,1,,,
28,비 금 융 회 사,유니드 글로벌 상사,동 일 인 측,기타 동일인관련자,기타 동일인관련자,,,,,,,,280000.0,,-1,-1,,,
29,비 금 융 회 사,유니드 글로벌 상사,동 일 인 측,동일인측 합계,동일인측 합계,,280000.0,100.00%,,,280000.0,100.00%,280000.0,1.0,50,50,,,
30,비 금 융 회 사,유니드 글로벌 상사,기타 주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,,,,,,,,280000.0,,99,99,0.0,0.0,
31,비 금 융 회 사,유니드 글로벌 상사,기타 주주,기타,기타,,,,,,,,280000.0,,99,99,0.0,0.0,
32,비 금 융 회 사,유니드 글로벌 상사,총계,총계,총계,,280000.0,100.00%,,,280000.0,100.00%,280000.0,1.0,50,50,,,
33,비 금 융 회 사,유니드,동 일 인 측,동일인,동일인,이우현,20245.0,0.23%,,,20245.0,0.23%,8889843.0,0.0022773180583729093,0,0,0.20869288692724947,0.20894036036406943,
34,비 금 융 회 사,유니드,동 일 인 측,친 족,배우자/ 혈족1촌,,,,,,,,8889843.0,,50,50,,,
35,비 금 융 회 사,유니드,동 일 인 측,친 족,혈족2~4촌,이복영,50866.0,0.57%,,,50866.0,0.57%,8889843.0,0.005721810835129485,50,50,,,
36,비 금 융 회 사,유니드,동 일 인 측,친 족,혈족2~4촌,이화영,830083.0,9.34%,,,830083.0,9.34%,8889843.0,0.09337431493447072,50,50,,,
37,비 금 융 회 사,유니드,동 일 인 측,친 족,혈족2~4촌,이숙희,259808.0,2.92%,,,259808.0,2.92%,8889843.0,0.02922526303332916,50,50,,,
38,비 금 융 회 사,유니드,동 일 인 측,친 족,혈족2~4촌,이정자,320924.0,3.61%,,,320924.0,3.61%,8889843.0,0.03610007510818807,50,50,,,
39,비 금 융 회 사,유니드,동 일 인 측,친 족,혈족2~4촌,이우일,248521.0,2.80%,,,248521.0,2.80%,8889843.0,0.02795561181451686,50,50,,,
40,비 금 융 회 사,유니드,동 일 인 측,친 족,혈족2~4촌,이주연,54000.0,0.61%,,,54000.0,0.61%,8889843.0,0.0060743479946721215,50,50,,,
41,비 금 융 회 사,유니드,동 일 인 측,친 족,혈족2~4촌,,,,,,,,8889843.0,,50,50,,,
42,비 금 융 회 사,유니드,동 일 인 측,친 족,혈족5~6촌,,,,,,,,8889843.0,,50,50,,,
43,비 금 융 회 사,유니드,동 일 인 측,친 족,인척4촌이내,이은영,70800.0,0.80%,,,70800.0,0.80%,8889843.0,0.007964145148570115,50,50,,,
44,비 금 융 회 사,유니드,동 일 인 측,친 족,친족합계,,1835002.0,20.64%,,,1835002.0,20.64%,8889843.0,0.20641556886887655,0,0,0.20869288692724947,0.20894036036406943,
45,비 금 융 회 사,유니드,동 일 인 측,비영리법인,비영리법인,,,,,,,,8889843.0,,50,0,,0.20894036036406943,
46,비 금 융 회 사,유니드,동 일 인 측,등기된 임원,등기된 임원,권영만,2200.0,0.02%,,,2200.0,0.02%,8889843.0,0.0002474734368199753,50,0,,0.20894036036406943,
47,비 금 융 회 사,유니드,동 일 인 측,등기된 임원,등기된 임원,,,,,,,,8889843.0,,50,0,,0.20894036036406943,
48,비 금 융 회 사,유니드,동 일 인 측,자기주식,자기주식,,,,,,,,8889843.0,,50,0,,0.20894036036406943,
49,비 금 융 회 사,유니드,동 일 인 측,계열회사(국내+해외),계열회사(국내+해외),유니드글로벌상사,2227499.0,25.06%,,,2227499.0,25.06%,8889843.0,0.2505667422922992,1,1,0.2505667422922992,0.2505667422922992,유니드글로벌상사
50,비 금 융 회 사,유니드,동 일 인 측,계열회사(국내+해외),계열회사(국내+해외),,,,,,,,8889843.0,,1,1,,,
51,비 금 융 회 사,유니드,동 일 인 측,기타 동일인관련자,기타 동일인관련자,,,,,,,,8889843.0,,-1,-1,,,
52,비 금 융 회 사,유니드,동 일 인 측,동일인측 합계,동일인측 합계,,4084946.0,45.95%,,,4084946.0,45.95%,8889843.0,0.4595071026563686,50,50,,,
53,비 금 융 회 사,유니드,기타 주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,,,,,,,,8889843.0,,99,99,0.5404928973436314,0.5404928973436314,
