,소속회사명1,소속회사명2,동일인과의 관계1,동일인과의 관계2,동일인과의 관계3,성명,보통주 주식수,보통주 지분율,우선주 주식수,우선주 지분율,합계 주식수,합계 지분율,divisor,shares,type,type2,own,own2,ownername
0,비금융회사,에쓰-오일,동일인측,동일인,동일인,-,0,0.00%,0,0.00%,0.0,0.00,116604719.0,0.0,0,0,0.0,0.002090790167763279,
1,비금융회사,에쓰-오일,동일인측,친족,배우자/혈족1촌,-,0,0.00%,0,0.00%,0.0,0.00%,116604719.0,0.0,50,50,,,
2,비금융회사,에쓰-오일,동일인측,친족,혈족2~4촌,-,0,0.00%,0,0.00%,0.0,0.00%,116604719.0,0.0,50,50,,,
3,비금융회사,에쓰-오일,동일인측,친족,혈족5~6촌,-,0,0.00%,0,0.00%,0.0,0.00%,116604719.0,0.0,50,50,,,
4,비금융회사,에쓰-오일,동일인측,친족,인척 4촌 이내,-,0,0.00%,0,0.00%,0.0,0.00%,116604719.0,0.0,50,50,,,
5,비금융회사,에쓰-오일,동일인측,친족,친족 합계,/,0,0.00%,0,0.00%,0.0,0.00%,116604719.0,0.0,0,0,0.0,0.002090790167763279,
6,비금융회사,에쓰-오일,동일인측,비영리법인,비영리법인,-,0,0.00%,0,0.00%,0.0,0.00%,116604719.0,0.0,50,0,,0.002090790167763279,
7,비금융회사,에쓰-오일,동일인측,등기된 임원,등기된 임원,오스만 알-감디,2458,0.00%,0,0.00%,2458.0,0.00%,116604719.0,2.1079764361852285e-05,50,0,,0.002090790167763279,
8,비금융회사,에쓰-오일,동일인측,등기된 임원,등기된 임원,강기태,1450,0.00%,0,0.00%,1450.0,0.00%,116604719.0,1.2435174257398621e-05,50,0,,0.002090790167763279,
9,비금융회사,에쓰-오일,동일인측,등기된 임원,등기된 임원,김철수,522,0.00%,0,0.00%,522.0,0.00%,116604719.0,4.4766627326635035e-06,50,0,,0.002090790167763279,
10,비금융회사,에쓰-오일,동일인측,등기된 임원,등기된 임원,방주완,9500,0.01%,100,0.00%,9600.0,0.01%,116604719.0,8.232942956622535e-05,50,0,,0.002090790167763279,
