,소속회사명1,소속회사명2,동일인과의 관계1,동일인과의 관계2,동일인과의 관계3,성명,보통주 주식수,보통주 지분율,우선주 주식수,우선주 지분율,합계 주식수,합계 지분율,divisor,shares,type,type2,own,own2,ownername
0,금융회사,교보생명보험,동일 인측,동일인,동일인,신창재,34627370,33.78,-,-,34627370.0,33.78,102500000.0,0.337828,0,0,0.36904721951219516,0.36906478048780494,
1,금융회사,교보생명보험,동일 인측,친족,배우자/혈족1촌,-,-,-,-,-,,-,102500000.0,,50,50,,,
2,금융회사,교보생명보험,동일 인측,친족,혈족2~4촌,신경애,1750010,1.71,-,-,1750010.0,1.71,102500000.0,0.017073268292682926,50,50,,,
3,금융회사,교보생명보험,동일 인측,친족,혈족2~4촌,신영애,1449960,1.41,-,-,1449960.0,1.41,102500000.0,0.014145951219512195,50,50,,,
4,금융회사,교보생명보험,동일 인측,친족,혈족5~6촌,-,-,-,-,-,,-,102500000.0,,50,50,,,
5,금융회사,교보생명보험,동일 인측,친족,인척 4촌 이내,-,-,-,-,-,,-,102500000.0,,50,50,,,
6,금융회사,교보생명보험,동일 인측,친족,친족 합계,/,3199970,3.12,-,-,3199970.0,3.12,102500000.0,0.031219219512195123,0,0,0.36904721951219516,0.36906478048780494,
7,금융회사,교보생명보험,동일 인측,비영리법인,비영리법인,-,-,-,-,-,,-,102500000.0,,50,0,,0.36906478048780494,
8,금융회사,교보생명보험,동일 인측,등기된 임원,등기된 임원,박영규,650,0.00,-,-,650.0,0.00,102500000.0,6.341463414634146e-06,50,0,,0.36906478048780494,
9,금융회사,교보생명보험,동일 인측,등기된 임원,등기된 임원,진영채,650,0.00,,,650.0,0.00,102500000.0,6.341463414634146e-06,50,0,,0.36906478048780494,
10,금융회사,교보생명보험,동일 인측,등기된 임원,등기된 임원,김상진,500,0.00,-,-,500.0,0.00,102500000.0,4.878048780487805e-06,50,0,,0.36906478048780494,
11,금융회사,교보생명보험,동일 인측,자기주식,자기주식,-,-,-,-,-,,-,102500000.0,,50,0,,0.36906478048780494,
12,금융회사,교보생명보험,동일 인측,계열회사(국내+해외),계열회사(국내+해외),-,-,-,-,-,,-,102500000.0,,1,1,,,-
13,금융회사,교보생명보험,동일 인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,,-,102500000.0,,-1,-1,,,
14,금융회사,교보생명보험,동일 인측,동일인측 합계,동일인측 합계,/,37829140,36.91,-,-,37829140.0,36.91,102500000.0,0.3690647804878049,50,50,,,
15,금융회사,교보생명보험,기타 주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,-,-,-,-,-,,-,102500000.0,,99,99,0.6309352195121951,0.6309352195121951,
16,금융회사,교보생명보험,기타 주주,기타,기타,/,64670860,63.09,-,-,64670860.0,63.09,102500000.0,0.6309352195121951,99,99,0.6309352195121951,0.6309352195121951,
17,금융회사,교보생명보험,총 계,총 계,총 계,/,102500000,100.00,-,-,102500000.0,100.00,102500000.0,1.0,50,50,,,
18,금융회사,교보증권,동일 인측,동일인,동일인,-,-,-,-,-,,-,36000000.0,,0,0,0.00014219444444444444,0.03175611111111111,
19,금융회사,교보증권,동일 인측,친족,배우자/혈족1촌,-,-,-,-,-,,-,36000000.0,,50,50,,,
20,금융회사,교보증권,동일 인측,친족,혈족2~4촌,신평재,4719,0.01,-,-,4719.0,0.01,36000000.0,0.00013108333333333334,50,50,,,
21,금융회사,교보증권,동일 인측,친족,혈족2~4촌,장형택,400,0.00,-,-,400.0,0.00,36000000.0,1.1111111111111112e-05,50,50,,,
22,금융회사,교보증권,동일 인측,친족,혈족5~6촌,-,-,-,-,-,,-,36000000.0,,50,50,,,
23,금융회사,교보증권,동일 인측,친족,인척 4촌 이내,-,-,-,-,-,,-,36000000.0,,50,50,,,
24,금융회사,교보증권,동일 인측,친족,친족 합계,/,5119,0.01,-,-,5119.0,0.01,36000000.0,0.00014219444444444444,0,0,0.00014219444444444444,0.03175611111111111,
25,금융회사,교보증권,동일 인측,비영리법인,비영리법인,-,-,-,-,-,,-,36000000.0,,50,0,,0.03175611111111111,
26,금융회사,교보증권,동일 인측,등기된 임원,등기된 임원,신유삼,6500,0.02,-,-,6500.0,0.02,36000000.0,0.00018055555555555555,50,0,,0.03175611111111111,
27,금융회사,교보증권,동일 인측,등기된 임원,등기된 임원,김해준,38000,0.11,-,-,38000.0,0.11,36000000.0,0.0010555555555555555,50,0,,0.03175611111111111,
28,금융회사,교보증권,동일 인측,등기된 임원,등기된 임원,이찬우,3,0.00,-,-,3.0,0.00,36000000.0,8.333333333333334e-08,50,0,,0.03175611111111111,
29,금융회사,교보증권,동일 인측,자기주식,자기주식,교보증권,1093598,3.04,-,-,1093598.0,3.04,36000000.0,0.030377722222222223,50,0,,0.03175611111111111,
