,소속회사명1,소속회사명2,동일인과의 관계1,동일인과의 관계2,동일인과의 관계3,성명,보통주 주식수,보통주 지분율,우선주 주식수,우선주 지분율,합계 주식수,합계 지분율,divisor,shares,type,type2,own,own2,ownername
0,비금융회사,금호산업,동일인측,동일인,동일인,박삼구,10000,0.03%,-,,10000.0,0.03%,36327615.0,0.00027527268167756126,0,0,0.00027527268167756126,0.030530162797640308,
1,비금융회사,금호산업,동일인측,친족,배우자/혈족1촌,,-,,-,,,,36327615.0,,50,50,,,
2,비금융회사,금호산업,동일인측,친족,혈족2~4촌,,-,,-,,,,36327615.0,,50,50,,,
3,비금융회사,금호산업,동일인측,친족,혈족5~6촌,,-,,-,,,,36327615.0,,50,50,,,
4,비금융회사,금호산업,동일인측,친족,인척 4촌 이내,,-,,-,,,,36327615.0,,50,50,,,
5,비금융회사,금호산업,동일인측,친족,친족 합계,,-,,-,,,,36327615.0,,0,0,0.00027527268167756126,0.030530162797640308,
6,비금융회사,금호산업,동일인측,비영리법인,비영리법인,금호아시아나문화재단,8352,0.02%,,0.00%,8352.0,0.02%,36327615.0,0.00022990774373709918,50,0,,0.030530162797640308,
7,비금융회사,금호산업,동일인측,등기된 임원,등기된 임원,서재환,10000,0.03%,,0.00%,10000.0,0.03%,36327615.0,0.00027527268167756126,50,0,,0.030530162797640308,
8,비금융회사,금호산업,동일인측,등기된 임원,등기된 임원,윤병철,20040,0.05%,,0.00%,20040.0,0.05%,36327615.0,0.0005516464540818328,50,0,,0.030530162797640308,
9,비금융회사,금호산업,동일인측,등기된 임원,등기된 임원,이정효,31,0.00%,,0.00%,31.0,0.00%,36327615.0,8.5334531320044e-07,50,0,,0.030530162797640308,
10,비금융회사,금호산업,동일인측,자기주식,자기주식,금호산업,1058229,2.94%,2436,0.83%,1060665.0,2.92%,36327615.0,0.029197209891153052,50,0,,0.030530162797640308,
11,비금융회사,금호산업,동일인측,계열회사(국내+해외),계열회사(국내+해외),금호고속,16325327,45.30%,-,0.00%,16325327.0,44.94%,36327615.0,0.44939165425530964,1,1,0.44939165425530964,0.44939165425530964,금호고속
12,비금융회사,금호산업,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,,-,36327615.0,,-1,-1,,,
13,비금융회사,금호산업,동일인측,동일인측 합계,동일인측 합계,,17431979,48.37%,2436,0.83%,17434415.0,47.99%,36327615.0,0.47992181705294995,50,50,,,
14,비금융회사,금호산업,기타주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,,-,,-,,,,36327615.0,,99,99,0.5200781829470501,0.5200781829470501,
15,비금융회사,금호산업,기타주주,기타,기타,,18603370,51.63%,289830,99.17%,18893200.0,52.01%,36327615.0,0.5200781829470501,99,99,0.5200781829470501,0.5200781829470501,
16,비금융회사,금호산업,총 계,총 계,총 계,,36035349,100.00%,292266,100.00%,36327615.0,100.00%,36327615.0,1.0,50,50,,,
17,비금융회사,아시아나항공,동일인측,동일인,동일인,박삼구,10000,0.00%,-,,10000.0,0.00%,221235294.0,4.520074450688686e-05,0,0,4.520074450688686e-05,0.00016706195169745384,
18,비금융회사,아시아나항공,동일인측,친족,배우자/혈족1촌,,-,,-,,,,221235294.0,,50,50,,,
19,비금융회사,아시아나항공,동일인측,친족,혈족2~4촌,,-,,-,,,,221235294.0,,50,50,,,
20,비금융회사,아시아나항공,동일인측,친족,혈족5~6촌,,-,,-,,,,221235294.0,,50,50,,,
21,비금융회사,아시아나항공,동일인측,친족,인척 4촌 이내,,-,,-,,,,221235294.0,,50,50,,,
22,비금융회사,아시아나항공,동일인측,친족,친족 합계,,-,,-,,,,221235294.0,,0,0,4.520074450688686e-05,0.00016706195169745384,
23,비금융회사,아시아나항공,동일인측,비영리법인,비영리법인,,-,,-,,,,221235294.0,,50,0,,0.00016706195169745384,
24,비금융회사,아시아나항공,동일인측,등기된 임원,등기된 임원,한창수,22980,0.01%,-,,22980.0,0.01%,221235294.0,0.00010387131087682601,50,0,,0.00016706195169745384,
25,비금융회사,아시아나항공,동일인측,등기된 임원,등기된 임원,조규영,2700,0.00%,-,,2700.0,0.00%,221235294.0,1.2204201016859452e-05,50,0,,0.00016706195169745384,
26,비금융회사,아시아나항공,동일인측,등기된 임원,등기된 임원,오근녕,1280,0.00%,-,,1280.0,0.00%,221235294.0,5.7856952968815184e-06,50,0,,0.00016706195169745384,
27,비금융회사,아시아나항공,동일인측,자기주식,자기주식,,-,,-,,,,221235294.0,,50,0,,0.00016706195169745384,
28,비금융회사,아시아나항공,동일인측,계열회사(국내+해외),계열회사(국내+해외),금호산업,68688063,31.05%,-,,68688063.0,31.05%,221235294.0,0.31047515863359487,1,1,0.31047515863359487,0.31047515863359487,금호산업
29,비금융회사,아시아나항공,동일인측,기타 동일인관련자,기타 동일인관련자,,-,,-,,,,221235294.0,,-1,-1,,,
30,비금융회사,아시아나항공,동일인측,동일인측 합계,동일인측 합계,,68725023,31.06%,-,,68725023.0,31.06%,221235294.0,0.31064222058529234,50,50,,,
31,비금융회사,아시아나항공,기타주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,,-,,-,,,,221235294.0,,99,99,0.6893577794147077,0.6893577794147077,
32,비금융회사,아시아나항공,기타주주,기타,기타,,152510271,68.94%,-,,152510271.0,68.94%,221235294.0,0.6893577794147077,99,99,0.6893577794147077,0.6893577794147077,
