,소속회사명1,소속회사명2,동일인과의 관계1,동일인과의 관계2,동일인과의 관계3,성명,보통주 주식수,보통주 지분율,우선주 주식수,우선주 지분율,합계 주식수,합계 지분율,divisor,shares,type,type2,own,own2,ownername
0,비 금 융 회 사,넷마블,동 일 인 측,동일인,동일인,방준혁,20729472,24.26,-,-,20729472.0,24.26,85452825.0,0.24258381159429193,0,0,0.24258381159429193,0.26494783525295973,
1,비 금 융 회 사,넷마블,동 일 인 측,친 족,배우자/ 혈족1촌,-,-,-,-,-,,-,85452825.0,,50,50,,,
2,비 금 융 회 사,넷마블,동 일 인 측,친 족,혈족2~4촌,-,-,-,-,-,,-,85452825.0,,50,50,,,
3,비 금 융 회 사,넷마블,동 일 인 측,친 족,혈족5~6촌,-,-,-,-,-,,-,85452825.0,,50,50,,,
4,비 금 융 회 사,넷마블,동 일 인 측,친 족,인척 4촌 이내,-,-,-,-,-,,-,85452825.0,,50,50,,,
5,비 금 융 회 사,넷마블,동 일 인 측,친 족,친족 합계,/,-,-,-,-,,-,85452825.0,,0,0,0.24258381159429193,0.26494783525295973,
6,비 금 융 회 사,넷마블,동 일 인 측,비영리법인,비영리법인,-,-,-,-,-,,-,85452825.0,,50,0,,0.26494783525295973,
7,비 금 융 회 사,넷마블,동 일 인 측,등기된 임원,등기된 임원,권영식,5000,0.01,-,-,5000.0,0.01,85452825.0,5.8511816315025277e-05,50,0,,0.26494783525295973,
8,비 금 융 회 사,넷마블,동 일 인 측,등기된 임원,등기된 임원,백영훈,9000,0.01,,,9000.0,0.01,85452825.0,0.0001053212693670455,50,0,,0.26494783525295973,
9,비 금 융 회 사,넷마블,동 일 인 측,등기된 임원,등기된 임원,서장원,6095,0.01,-,-,6095.0,0.01,85452825.0,7.132590408801581e-05,50,0,,0.26494783525295973,
10,비 금 융 회 사,넷마블,동 일 인 측,등기된 임원,등기된 임원,이장우,1170,0.00,-,-,1170.0,0.00,85452825.0,1.3691765017715915e-05,50,0,,0.26494783525295973,
11,비 금 융 회 사,넷마블,동 일 인 측,등기된 임원,등기된 임원,이우영,3835,0.00,,,3835.0,0.00,85452825.0,4.487856311362439e-05,50,0,,0.26494783525295973,
