,소속회사명1,소속회사명2,동일인과의 관계1,동일인과의 관계2,동일인과의 관계3,성명,보통주 주식수,보통주 지분율,우선주 주식수,우선주 지분율,합계 주식수,합계 지분율,divisor,shares,type,type2,own,own2,ownername
0,비금융회사,삼성전자,동일인측,동일인,동일인,이재용,42020150,0.70,-,-,42020150.0,0.62,6792669250.0,0.006186102760707803,0,0,0.05111291632519867,0.05223514217183476,
1,비금융회사,삼성전자,동일인측,친족,배우자/혈족1촌,이건희,249273200,4.18,619900,0.08,249893100.0,3.68,6792669250.0,0.036788645347335294,50,50,,,
2,비금융회사,삼성전자,동일인측,친족,배우자/혈족1촌,홍라희,54153600,0.91,-,-,54153600.0,0.80,6792669250.0,0.007972359319570873,50,50,,,
3,비금융회사,삼성전자,동일인측,친족,혈족2~4촌,구지은,4200,0.00,-,-,4200.0,0.00,6792669250.0,6.183136327445945e-07,50,50,,,
4,비금융회사,삼성전자,동일인측,친족,혈족5~6촌,이권수,829350,0.01,-,-,829350.0,0.01,6792669250.0,0.00012209485983731653,50,50,,,
5,비금융회사,삼성전자,동일인측,친족,혈족5~6촌,이유정,273100,0.00,-,-,273100.0,0.00,6792669250.0,4.020510788155923e-05,50,50,,,
6,비금융회사,삼성전자,동일인측,친족,혈족5~6촌,이재준,5235,0.00,-,-,5235.0,0.00,6792669250.0,7.706837779566552e-07,50,50,,,
7,비금융회사,삼성전자,동일인측,친족,혈족5~6촌,이재성,-,-,6400,0.00,6400.0,0.00,6792669250.0,9.421922022774773e-07,50,50,,,
8,비금융회사,삼성전자,동일인측,친족,혈족5~6촌,이재호,-,-,8000,0.00,8000.0,0.00,6792669250.0,1.1777402528468467e-06,50,50,,,
9,비금융회사,삼성전자,동일인측,친족,인척4촌이내,-,-,-,-,-,,-,6792669250.0,,50,50,,,
10,비금융회사,삼성전자,동일인측,친족,친족 합계,-,304538685,5.10,634300,0.08,305172985.0,4.49,6792669250.0,0.04492681356449087,0,0,0.05111291632519867,0.05223514217183476,
11,비금융회사,삼성전자,동일인측,비영리법인,비영리법인,삼성복지재단,4484150,0.08,-,-,4484150.0,0.07,6792669250.0,0.0006601454943503984,50,0,,0.05223514217183476,
12,비금융회사,삼성전자,동일인측,비영리법인,비영리법인,삼성문화재단,1880750,0.03,-,-,1880750.0,0.03,6792669250.0,0.00027687937256771334,50,0,,0.05223514217183476,
13,비금융회사,삼성전자,동일인측,등기된 임원,등기된 임원,손성규,357500,0.01,-,-,357500.0,0.01,6792669250.0,5.263026754909346e-05,50,0,,0.05223514217183476,
14,비금융회사,삼성전자,동일인측,등기된 임원,등기된 임원,김기남,200000,0.00,-,-,200000.0,0.00,6792669250.0,2.9443506321171166e-05,50,0,,0.05223514217183476,
15,비금융회사,삼성전자,동일인측,등기된 임원,등기된 임원,육현표,150000,0.00,-,-,150000.0,0.00,6792669250.0,2.2082629740878374e-05,50,0,,0.05223514217183476,
16,비금융회사,삼성전자,동일인측,등기된 임원,등기된 임원,이동훈,110580,0.00,-,-,110580.0,0.00,6792669250.0,1.627931464497554e-05,50,0,,0.05223514217183476,
17,비금융회사,삼성전자,동일인측,등기된 임원,등기된 임원,김현석,99750,0.00,-,-,99750.0,0.00,6792669250.0,1.4684948777684119e-05,50,0,,0.05223514217183476,
18,비금융회사,삼성전자,동일인측,등기된 임원,등기된 임원,고동진,75000,0.00,-,-,75000.0,0.00,6792669250.0,1.1041314870439187e-05,50,0,,0.05223514217183476,
19,비금융회사,삼성전자,동일인측,등기된 임원,등기된 임원,박학규,25500,0.00,-,-,25500.0,0.00,6792669250.0,3.7540470559493237e-06,50,0,,0.05223514217183476,
20,비금융회사,삼성전자,동일인측,등기된 임원,등기된 임원,고크리스토퍼한승,17065,0.00,-,-,17065.0,0.00,6792669250.0,2.5122671768539295e-06,50,0,,0.05223514217183476,
21,비금융회사,삼성전자,동일인측,등기된 임원,등기된 임원,한승환,15000,0.00,-,-,15000.0,0.00,6792669250.0,2.2082629740878376e-06,50,0,,0.05223514217183476,
22,비금융회사,삼성전자,동일인측,등기된 임원,등기된 임원,성인희,13500,0.00,-,-,13500.0,0.00,6792669250.0,1.9874366766790535e-06,50,0,,0.05223514217183476,
23,비금융회사,삼성전자,동일인측,등기된 임원,등기된 임원,원기찬,11951,0.00,-,-,11951.0,0.00,6792669250.0,1.759396720221583e-06,50,0,,0.05223514217183476,
24,비금융회사,삼성전자,동일인측,등기된 임원,등기된 임원,홍원표,10698,0.00,-,-,10698.0,0.00,6792669250.0,1.5749331531194457e-06,50,0,,0.05223514217183476,
25,비금융회사,삼성전자,동일인측,등기된 임원,등기된 임원,최영준,10500,0.00,10000,0.00,20500.0,0.00,6792669250.0,3.0179593979200444e-06,50,0,,0.05223514217183476,
26,비금융회사,삼성전자,동일인측,등기된 임원,등기된 임원,노희찬,10000,0.00,-,-,10000.0,0.00,6792669250.0,1.4721753160585582e-06,50,0,,0.05223514217183476,
27,비금융회사,삼성전자,동일인측,등기된 임원,등기된 임원,박찬형,10000,0.00,-,-,10000.0,0.00,6792669250.0,1.4721753160585582e-06,50,0,,0.05223514217183476,
28,비금융회사,삼성전자,동일인측,등기된 임원,등기된 임원,신현호,5900,0.00,-,-,5900.0,0.00,6792669250.0,8.685834364745493e-07,50,0,,0.05223514217183476,
29,비금융회사,삼성전자,동일인측,등기된 임원,등기된 임원,오윤,5750,0.00,-,-,5750.0,0.00,6792669250.0,8.46500806733671e-07,50,0,,0.05223514217183476,
30,비금융회사,삼성전자,동일인측,등기된 임원,등기된 임원,한종희,5000,0.00,-,-,5000.0,0.00,6792669250.0,7.360876580292791e-07,50,0,,0.05223514217183476,
31,비금융회사,삼성전자,동일인측,등기된 임원,등기된 임원,박영수,4049,0.00,-,-,4049.0,0.00,6792669250.0,5.960837854721103e-07,50,0,,0.05223514217183476,
32,비금융회사,삼성전자,동일인측,등기된 임원,등기된 임원,최신형,4000,0.00,15000,0.00,19000.0,0.00,6792669250.0,2.7971331005112607e-06,50,0,,0.05223514217183476,
33,비금융회사,삼성전자,동일인측,등기된 임원,등기된 임원,최치훈,3350,0.00,-,-,3350.0,0.00,6792669250.0,4.931787308796171e-07,50,0,,0.05223514217183476,
34,비금융회사,삼성전자,동일인측,등기된 임원,등기된 임원,강봉용,3314,0.00,-,-,3314.0,0.00,6792669250.0,4.878788997418062e-07,50,0,,0.05223514217183476,
35,비금융회사,삼성전자,동일인측,등기된 임원,등기된 임원,김강준,3100,0.00,-,-,3100.0,0.00,6792669250.0,4.5637434797815306e-07,50,0,,0.05223514217183476,
36,비금융회사,삼성전자,동일인측,등기된 임원,등기된 임원,심원환,3095,0.00,-,-,3095.0,0.00,6792669250.0,4.556382603201238e-07,50,0,,0.05223514217183476,
37,비금융회사,삼성전자,동일인측,등기된 임원,등기된 임원,신재호,3080,0.00,-,-,3080.0,0.00,6792669250.0,4.5342999734603593e-07,50,0,,0.05223514217183476,
38,비금융회사,삼성전자,동일인측,등기된 임원,등기된 임원,김용관,3050,0.00,-,-,3050.0,0.00,6792669250.0,4.490134713978603e-07,50,0,,0.05223514217183476,
39,비금융회사,삼성전자,동일인측,등기된 임원,등기된 임원,권영기,3040,0.00,-,-,3040.0,0.00,6792669250.0,4.475412960818017e-07,50,0,,0.05223514217183476,
40,비금융회사,삼성전자,동일인측,등기된 임원,등기된 임원,서동진,3000,0.00,-,-,3000.0,0.00,6792669250.0,4.416525948175675e-07,50,0,,0.05223514217183476,
41,비금융회사,삼성전자,동일인측,등기된 임원,등기된 임원,심종극,3000,0.00,12000,0.00,15000.0,0.00,6792669250.0,2.2082629740878376e-06,50,0,,0.05223514217183476,
42,비금융회사,삼성전자,동일인측,등기된 임원,등기된 임원,여윤경,2808,0.00,-,-,2808.0,0.00,6792669250.0,4.1338682874924316e-07,50,0,,0.05223514217183476,
43,비금융회사,삼성전자,동일인측,등기된 임원,등기된 임원,김범동,2681,0.00,700,0.00,3381.0,0.00,6792669250.0,4.977424743593986e-07,50,0,,0.05223514217183476,
44,비금융회사,삼성전자,동일인측,등기된 임원,등기된 임원,김연성,2300,0.00,-,-,2300.0,0.00,6792669250.0,3.386003226934684e-07,50,0,,0.05223514217183476,
45,비금융회사,삼성전자,동일인측,등기된 임원,등기된 임원,김한조,2175,0.00,-,-,2175.0,0.00,6792669250.0,3.201981312427364e-07,50,0,,0.05223514217183476,
46,비금융회사,삼성전자,동일인측,등기된 임원,등기된 임원,박도권,2050,0.00,-,-,2050.0,0.00,6792669250.0,3.0179593979200445e-07,50,0,,0.05223514217183476,
47,비금융회사,삼성전자,동일인측,등기된 임원,등기된 임원,이준서,1830,0.00,-,-,1830.0,0.00,6792669250.0,2.6940808283871615e-07,50,0,,0.05223514217183476,
48,비금융회사,삼성전자,동일인측,등기된 임원,등기된 임원,방호열,1800,0.00,-,-,1800.0,0.00,6792669250.0,2.649915568905405e-07,50,0,,0.05223514217183476,
49,비금융회사,삼성전자,동일인측,등기된 임원,등기된 임원,한성원,1628,0.00,-,-,1628.0,0.00,6792669250.0,2.396701414543333e-07,50,0,,0.05223514217183476,
50,비금융회사,삼성전자,동일인측,등기된 임원,등기된 임원,김용주,1520,0.00,-,-,1520.0,0.00,6792669250.0,2.2377064804090086e-07,50,0,,0.05223514217183476,
51,비금융회사,삼성전자,동일인측,등기된 임원,등기된 임원,이혜경,1500,0.00,-,-,1500.0,0.00,6792669250.0,2.2082629740878375e-07,50,0,,0.05223514217183476,
