,소속회사명1,소속회사명2,동일인과의 관계1,동일인과의 관계2,동일인과의 관계3,성명,보통주 주식수,보통주 지분율,우선주 주식수,우선주 지분율,합계 주식수,합계 지분율,divisor,shares,type,type2,own,own2,ownername
0,비금융회사,아모레퍼시픽그룹,동일인측,동일인,동일인,서경배,44443620,53.90,1042240,16.17,45485860.0,51.16,88901950.0,0.5116407457879157,0,0,0.5399174033865398,0.6518397402981599,
1,비금융회사,아모레퍼시픽그룹,동일인측,친족,배우자/혈족1촌,서민정,2412710,2.93,-,-,2412710.0,2.71,88901950.0,0.02713899976322229,50,50,,,
2,비금융회사,아모레퍼시픽그룹,동일인측,친족,혈족2~4촌,서송숙,101140,0.12,-,-,101140.0,0.11,88901950.0,0.0011376578354018107,50,50,,,
3,비금융회사,아모레퍼시픽그룹,동일인측,친족,혈족5~6촌,-,-,-,-,-,,-,88901950.0,,50,50,,,
4,비금융회사,아모레퍼시픽그룹,동일인측,친족,인척 4촌 이내,-,-,-,-,-,,-,88901950.0,,50,50,,,
5,비금융회사,아모레퍼시픽그룹,동일인측,친족,친족 합계,/,2513850,3.05,-,-,2513850.0,2.83,88901950.0,0.028276657598624102,0,0,0.5399174033865398,0.6518397402981599,
6,비금융회사,아모레퍼시픽그룹,동일인측,비영리법인,비영리법인,아모레퍼시픽재단,425810,0.52,42430,0.66,468240.0,0.53,88901950.0,0.005266926091047497,50,0,,0.6518397402981599,
7,비금융회사,아모레퍼시픽그룹,동일인측,비영리법인,비영리법인,아모레퍼시픽복지재단,1415510,1.72,20490,0.32,1436000.0,1.62,88901950.0,0.016152626573432867,50,0,,0.6518397402981599,
8,비금융회사,아모레퍼시픽그룹,동일인측,비영리법인,비영리법인,성환복지기금,2287840,2.77,51900,0.81,2339740.0,2.63,88901950.0,0.026318207868331348,50,0,,0.6518397402981599,
9,비금융회사,아모레퍼시픽그룹,동일인측,비영리법인,비영리법인,서경배과학재단,-,-,92085,1.43,92085.0,0.10,88901950.0,0.0010358040515421765,50,0,,0.6518397402981599,
10,비금융회사,아모레퍼시픽그룹,동일인측,등기된 임원,등기된 임원,임중식,269,0.00,1010,0.02,1279.0,0.00,88901950.0,1.4386636063663395e-05,50,0,,0.6518397402981599,
11,비금융회사,아모레퍼시픽그룹,동일인측,등기된 임원,등기된 임원,김영목,580,0.00,-,-,580.0,0.00,88901950.0,6.524041373670656e-06,50,0,,0.6518397402981599,
12,비금융회사,아모레퍼시픽그룹,동일인측,자기주식,자기주식,아모레퍼시픽그룹,5549735,6.73,62455,0.97,5612190.0,6.31,88901950.0,0.06312786164982882,50,0,,0.6518397402981599,
13,비금융회사,아모레퍼시픽그룹,동일인측,계열회사(국내+해외),계열회사(국내+해외),-,-,-,-,-,,-,88901950.0,,1,1,,,-
14,비금융회사,아모레퍼시픽그룹,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,,-,88901950.0,,-1,-1,,,
15,비금융회사,아모레퍼시픽그룹,동일인측,동일인측 합계,동일인측 합계,/,56637214,68.69,1312610,20.37,57949824.0,65.18,88901950.0,0.6518397402981599,50,50,,,
16,비금융회사,아모레퍼시픽그룹,기타주주,동일인측이 아닌최다주주,동일인측이 아닌최다주주,-,-,-,-,-,,-,88901950.0,,99,99,0.34816025970184006,0.34816025970184006,
17,비금융회사,아모레퍼시픽그룹,기타주주,기타,기타,/,25820966,31.31,5131160,79.63,30952126.0,34.82,88901950.0,0.34816025970184006,99,99,0.34816025970184006,0.34816025970184006,
18,비금융회사,아모레퍼시픽그룹,총 계,총 계,총 계,/,82458180,100%,6443770,100%,88901950.0,100%,88901950.0,1.0,50,50,,,
19,비금융회사,아모레퍼시픽,동일인측,동일인,동일인,서경배,6264450,10.72,-,-,6264450.0,9.08,69016320.0,0.09076766190953096,0,0,0.09288310359057105,0.1045680934596339,
20,비금융회사,아모레퍼시픽,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,,-,69016320.0,,50,50,,,
21,비금융회사,아모레퍼시픽,동일인측,친족,혈족2~4촌,서송숙,146000,0.25,-,-,146000.0,0.21,69016320.0,0.0021154416810400785,50,50,,,
