,소속회사명1,소속회사명2,동일인과의 관계1,동일인과의 관계2,동일인과의 관계3,성명,보통주 주식수,보통주 지분율,우선주 주식수,우선주 지분율,합계 주식수,합계 지분율,divisor,shares,type,type2,own,own2,ownername
0,비금융회사,중흥건설,동일인측,동일인,동일인,정창선,1387469,76.74%,,,1387469.0,76.74%,1808009.0,0.7674016003238922,0,0,0.9062006881602912,0.9062006881602912,
1,비금융회사,중흥건설,동일인측,친족,배우자/혈족1촌,안양임,53155,2.94%,,,53155.0,2.94%,1808009.0,0.029399743032252606,50,50,,,
2,비금융회사,중흥건설,동일인측,친족,배우자/혈족1촌,정원주,197795,10.94%,,,197795.0,10.94%,1808009.0,0.10939934480414644,50,50,,,
3,비금융회사,중흥건설,동일인측,친족,배우자/혈족1촌,,,0.00%,,,,0.00%,1808009.0,,50,50,,,
4,비금융회사,중흥건설,동일인측,친족,혈족2~4촌,,,0.00%,,,,0.00%,1808009.0,,50,50,,,
5,비금융회사,중흥건설,동일인측,친족,혈족5~6촌,,,0.00%,,,,0.00%,1808009.0,,50,50,,,
6,비금융회사,중흥건설,동일인측,친족,인척 4촌 이내,,,0.00%,,,,0.00%,1808009.0,,50,50,,,
7,비금융회사,중흥건설,동일인측,친족,친족 합계,,250950,13.88%,-,0%,250950.0,13.88%,1808009.0,0.13879908783639905,0,0,0.9062006881602912,0.9062006881602912,
8,비금융회사,중흥건설,동일인측,비영리법인,비영리법인,,,0.00%,,,,0.00%,1808009.0,,50,0,,0.9062006881602912,
9,비금융회사,중흥건설,동일인측,등기된 임원,등기된 임원,,,0.00%,,,,0.00%,1808009.0,,50,0,,0.9062006881602912,
10,비금융회사,중흥건설,동일인측,자기주식,자기주식,,,0.00%,,,,0.00%,1808009.0,,50,0,,0.9062006881602912,
11,비금융회사,중흥건설,동일인측,계열회사(국내+해외),계열회사(국내+해외),중흥건설산업,169590,9.38%,,,169590.0,9.38%,1808009.0,0.09379931183970876,1,1,0.09379931183970876,0.09379931183970876,중흥건설산업
12,비금융회사,중흥건설,동일인측,기타 동일인관련자,기타 동일인관련자,,,,,,,,1808009.0,,-1,-1,,,
13,비금융회사,중흥건설,동일인측,동일인측 합계,동일인측 합계,,1808009,100.00%,-,0%,1808009.0,100.00%,1808009.0,1.0,50,50,,,
14,비금융회사,중흥건설,기타주주,동일인측이 아닌최다주주,동일인측이 아닌최다주주,,,,,,,,1808009.0,,99,99,0.0,0.0,
15,비금융회사,중흥건설,기타주주,기타,기타,,,0.00%,,,,0.00%,1808009.0,,99,99,0.0,0.0,
16,비금융회사,중흥건설,총 계,총 계,총 계,/,1808009,100.00%,-,0%,1808009.0,100.00%,1808009.0,1.0,50,50,,,
17,비금융회사,(자)중흥주택,동 일 인 측,동일인,동일인,정창선,546144,94.65%,,,546144.0,94.65%,577000.0,0.946523396880416,0,0,0.9948006932409013,0.9948006932409013,
18,비금융회사,(자)중흥주택,동 일 인 측,친 족,배우자/혈족1촌,안양임,5000,0.87%,,,5000.0,0.87%,577000.0,0.008665511265164644,50,50,,,
19,비금융회사,(자)중흥주택,동 일 인 측,친 족,배우자/혈족1촌,정원주,8856,1.53%,,,8856.0,1.53%,577000.0,0.01534835355285962,50,50,,,
20,비금융회사,(자)중흥주택,동 일 인 측,친 족,배우자/혈족1촌,정향미,14000,2.43%,,,14000.0,2.43%,577000.0,0.024263431542461005,50,50,,,
21,비금융회사,(자)중흥주택,동 일 인 측,친 족,배우자/혈족1촌,,,0.00%,,,,0.00%,577000.0,,50,50,,,
22,비금융회사,(자)중흥주택,동 일 인 측,친 족,혈족2~4촌,,,0.00%,,,,0.00%,577000.0,,50,50,,,
23,비금융회사,(자)중흥주택,동 일 인 측,친 족,혈족5~6촌,,,0.00%,,,,0.00%,577000.0,,50,50,,,
24,비금융회사,(자)중흥주택,동 일 인 측,친 족,인척 4촌 이내,,,0.00%,,,,0.00%,577000.0,,50,50,,,
25,비금융회사,(자)중흥주택,동 일 인 측,친 족,친족 합계,/,27856,4.83%,-,0%,27856.0,4.83%,577000.0,0.04827729636048527,0,0,0.9948006932409013,0.9948006932409013,
26,비금융회사,(자)중흥주택,동 일 인 측,비영리법인,비영리법인,,,0.00%,,,,0.00%,577000.0,,50,0,,0.9948006932409013,
27,비금융회사,(자)중흥주택,동 일 인 측,등기된 임원,등기된 임원,,,0.00%,,,,0.00%,577000.0,,50,0,,0.9948006932409013,
28,비금융회사,(자)중흥주택,동 일 인 측,자기주식,자기주식,,,0.00%,,,,0.00%,577000.0,,50,0,,0.9948006932409013,
29,비금융회사,(자)중흥주택,동 일 인 측,계열회사(국내+해외),계열회사(국내+해외),중흥건설산업,3000,0.52%,,,3000.0,0.52%,577000.0,0.005199306759098787,1,1,0.005199306759098787,0.005199306759098787,중흥건설산업
30,비금융회사,(자)중흥주택,동 일 인 측,동일인측 합계,동일인측 합계,/,577000,100.00%,-,0%,577000.0,100.00%,577000.0,1.0,50,50,,,
31,비금융회사,(자)중흥주택,기타주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,,,,,,,,577000.0,,99,99,0.0,0.0,
32,비금융회사,(자)중흥주택,기타주주,기타,기타,/,,0.00%,,,,0.00%,577000.0,,99,99,0.0,0.0,
33,비금융회사,(자)중흥주택,총 계,총 계,총 계,/,577000,100.00%,-,0%,577000.0,100.00%,577000.0,1.0,50,50,,,
34,비금융회사,중흥건설산업,동 일 인 측,동일인,동일인,정창선,824165,78.12%,,,824165.0,78.12%,1055006.0,0.7811946093197574,0,0,0.9566457441948197,0.9566457441948197,
35,비금융회사,중흥건설산업,동 일 인 측,친 족,배우자/혈족1촌,안양임,62354,5.91%,,,62354.0,5.91%,1055006.0,0.059102981404845094,50,50,,,
36,비금융회사,중흥건설산업,동 일 인 측,친 족,배우자/혈족1촌,정원주,112831,10.69%,,,112831.0,10.69%,1055006.0,0.10694820692962884,50,50,,,
37,비금융회사,중흥건설산업,동 일 인 측,친 족,배우자/혈족1촌,정향미,9917,0.94%,,,9917.0,0.94%,1055006.0,0.009399946540588395,50,50,,,
38,비금융회사,중흥건설산업,동 일 인 측,친 족,배우자/혈족1촌,,,0.00%,,,,0.00%,1055006.0,,50,50,,,
39,비금융회사,중흥건설산업,동 일 인 측,친 족,혈족2~4촌,,,0.00%,,,,0.00%,1055006.0,,50,50,,,
40,비금융회사,중흥건설산업,동 일 인 측,친 족,혈족5~6촌,,,0.00%,,,,0.00%,1055006.0,,50,50,,,
41,비금융회사,중흥건설산업,동 일 인 측,친 족,인척 4촌 이내,,,0.00%,,,,0.00%,1055006.0,,50,50,,,
42,비금융회사,중흥건설산업,동 일 인 측,친 족,친족 합계,/,185102,17.55%,-,0%,185102.0,17.55%,1055006.0,0.1754511348750623,0,0,0.9566457441948197,0.9566457441948197,
43,비금융회사,중흥건설산업,동 일 인 측,비영리법인,비영리법인,,,0.00%,,,,0.00%,1055006.0,,50,0,,0.9566457441948197,
