,소속회사명1,소속회사명2,동일인과의 관계1,동일인과의 관계2,동일인과의 관계3,성명,보통주 주식수,보통주 지분율,우선주 주식수,우선주 지분율,합계 주식수,합계 지분율,divisor,shares,type,type2,own,own2,ownername
0,비금융회사,케이씨씨,동일인측,동일인,동일인,정몽진,1648811,18.55,-,-,1648811.0,18.55,8886471.0,0.18554170716361984,0,0,0.3950869810974458,0.4643486711429093,
1,비금융회사,케이씨씨,동일인측,친족,배우자/혈족1촌,정상영,448659,5.05,-,-,448659.0,5.05,8886471.0,0.05048787083196468,50,50,,,
2,비금융회사,케이씨씨,동일인측,친족,배우자/혈족1촌,홍은진,502,0.01,-,-,502.0,0.01,8886471.0,5.6490366085704885e-05,50,50,,,
3,비금융회사,케이씨씨,동일인측,친족,배우자/혈족1촌,정재림,25807,0.29,-,-,25807.0,0.29,8886471.0,0.002904077445366108,50,50,,,
4,비금융회사,케이씨씨,동일인측,친족,배우자/혈족1촌,정명선,55468,0.62,-,-,55468.0,0.62,8886471.0,0.006241847860641193,50,50,,,
5,비금융회사,케이씨씨,동일인측,친족,혈족2~4촌,정몽익,781906,8.80,-,-,781906.0,8.80,8886471.0,0.08798835893348439,50,50,,,
6,비금융회사,케이씨씨,동일인측,친족,혈족2~4촌,정몽열,469482,5.28,-,-,469482.0,5.28,8886471.0,0.052831095718424106,50,50,,,
7,비금융회사,케이씨씨,동일인측,친족,혈족2~4촌,정제선,23386,0.26,-,-,23386.0,0.26,8886471.0,0.002631640839203774,50,50,,,
8,비금융회사,케이씨씨,동일인측,친족,혈족2~4촌,정도선,15318,0.17,-,-,15318.0,0.17,8886471.0,0.0017237438798821264,50,50,,,
9,비금융회사,케이씨씨,동일인측,친족,혈족2~4촌,정한선,2188,0.02,-,-,2188.0,0.02,8886471.0,0.00024621697409466593,50,50,,,
10,비금융회사,케이씨씨,동일인측,친족,혈족2~4촌,정연선,2188,0.02,-,-,2188.0,0.02,8886471.0,0.00024621697409466593,50,50,,,
11,비금융회사,케이씨씨,동일인측,친족,혈족5~6촌,정은희,18519,0.21,-,-,18519.0,0.21,8886471.0,0.0020839543616357945,50,50,,,
12,비금융회사,케이씨씨,동일인측,친족,혈족5~6촌,정유희,18695,0.21,-,-,18695.0,0.21,8886471.0,0.002103759748948711,50,50,,,
13,비금융회사,케이씨씨,동일인측,친족,인척 4촌 이내,-,-,-,-,-,,-,8886471.0,,50,50,,,
14,비금융회사,케이씨씨,동일인측,친족,인척 4촌 이내,-,-,-,-,-,,-,8886471.0,,50,50,,,
15,비금융회사,케이씨씨,동일인측,친족,친족 합계,-,1862118,20.95,-,-,1862118.0,20.95,8886471.0,0.20954527393382594,0,0,0.3950869810974458,0.4643486711429093,
16,비금융회사,케이씨씨,동일인측,비영리법인,비영리법인,-,-,-,-,-,,-,8886471.0,,50,0,,0.4643486711429093,
17,비금융회사,케이씨씨,동일인측,등기된 임원,등기된 임원,-,-,-,-,-,,-,8886471.0,,50,0,,0.4643486711429093,
18,비금융회사,케이씨씨,동일인측,자기주식,자기주식,케이씨씨,615492,6.93,-,-,615492.0,6.93,8886471.0,0.0692616900454635,50,0,,0.4643486711429093,
19,비금융회사,케이씨씨,동일인측,계열회사(국내+해외),계열회사(국내+해외),-,-,-,-,-,,-,8886471.0,,1,1,,,-
20,비금융회사,케이씨씨,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,,-,8886471.0,,-1,-1,,,
21,비금융회사,케이씨씨,동일인측,동일인측 합계,동일인측 합계,-,4126421,46.43,-,-,4126421.0,46.43,8886471.0,0.4643486711429093,50,50,,,
22,비금융회사,케이씨씨,기타주주,동일인측이 아닌최다주주,동일인측이 아닌최다주주,-,-,-,-,-,,-,8886471.0,,99,99,0.5356513288570908,0.5356513288570908,
23,비금융회사,케이씨씨,기타주주,기타,기타,-,4760050,53.57,-,-,4760050.0,53.57,8886471.0,0.5356513288570908,99,99,0.5356513288570908,0.5356513288570908,
24,비금융회사,케이씨씨,총 계,총 계,총 계,-,8886471,100.00,-,-,8886471.0,100.00,8886471.0,1.0,50,50,,,
25,비금융회사,케이씨씨건설,동일인측,동일인,동일인,-,-,-,-,-,,-,21400000.0,,0,0,0.2998606074766355,0.3059938785046729,
26,비금융회사,케이씨씨건설,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,,-,21400000.0,,50,50,,,
27,비금융회사,케이씨씨건설,동일인측,친족,혈족2~4촌,정몽열,6417017,29.99,-,-,6417017.0,29.99,21400000.0,0.2998606074766355,50,50,,,
28,비금융회사,케이씨씨건설,동일인측,친족,혈족5~6촌,-,-,-,-,-,,-,21400000.0,,50,50,,,
29,비금융회사,케이씨씨건설,동일인측,친족,인척 4촌 이내,-,-,-,-,-,,-,21400000.0,,50,50,,,
30,비금융회사,케이씨씨건설,동일인측,친족,친족 합계,-,6417017,29.99,-,-,6417017.0,29.99,21400000.0,0.2998606074766355,0,0,0.2998606074766355,0.3059938785046729,
31,비금융회사,케이씨씨건설,동일인측,비영리법인,비영리법인,-,-,-,-,-,,-,21400000.0,,50,0,,0.3059938785046729,
32,비금융회사,케이씨씨건설,동일인측,등기된 임원,등기된 임원,-,-,-,-,-,,-,21400000.0,,50,0,,0.3059938785046729,
33,비금융회사,케이씨씨건설,동일인측,자기주식,자기주식,케이씨씨건설,131252,0.61,-,-,131252.0,0.61,21400000.0,0.006133271028037383,50,0,,0.3059938785046729,
34,비금융회사,케이씨씨건설,동일인측,계열회사(국내+해외),계열회사(국내+해외),케이씨씨,7711010,36.03,-,-,7711010.0,36.03,21400000.0,0.36032757009345795,1,1,0.36032757009345795,0.36032757009345795,케이씨씨
35,비금융회사,케이씨씨건설,동일인측,계열회사(국내+해외),계열회사(국내+해외),세우실업,55000,0.26,-,-,55000.0,0.26,21400000.0,0.0025700934579439253,1,1,0.0025700934579439253,0.0025700934579439253,세우실업
36,비금융회사,케이씨씨건설,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,,-,21400000.0,,-1,-1,,,
37,비금융회사,케이씨씨건설,동일인측,동일인측 합계,동일인측 합계,-,14314279,66.89,-,-,14314279.0,66.89,21400000.0,0.6688915420560748,50,50,,,
38,비금융회사,케이씨씨건설,기타주주,동일인측이 아닌최다주주,동일인측이 아닌최다주주,-,-,-,-,-,,-,21400000.0,,99,99,0.33110845794392524,0.33110845794392524,
39,비금융회사,케이씨씨건설,기타주주,기타,기타,-,7085721,33.11,-,-,7085721.0,33.11,21400000.0,0.33110845794392524,99,99,0.33110845794392524,0.33110845794392524,
