,소속회사명1,소속회사명2,동일인과의 관계1,동일인과의 관계2,성명,보통주 주식수,보통주 지분율,우선주 주식수,우선주 지분율,합계 주식수,합계 지분율,동일인과의 관계3,divisor,shares,type,type2,own,own2,ownername
0,비금융회사,케이티,동일인측,비영리법인,케이티그룹희망나눔재단,16668,0.01%,-,-,16668.0,0.01%,비영리법인,261111808.0,6.383472324621949e-05,50,0,,0.06141570587263522,
1,비금융회사,케이티,동일인측,등기된 임원,황창규,39074,0.01%,-,-,39074.0,0.01%,등기된 임원,261111808.0,0.00014964470699080755,50,0,,0.06141570587263522,
2,비금융회사,케이티,동일인측,등기된 임원,김인회,4386,0.00%,-,-,4386.0,0.00%,등기된 임원,261111808.0,1.6797401977316937e-05,50,0,,0.06141570587263522,
3,비금융회사,케이티,동일인측,등기된 임원,이동면,5012,0.00%,-,-,5012.0,0.00%,등기된 임원,261111808.0,1.9194842387212146e-05,50,0,,0.06141570587263522,
4,비금융회사,케이티,동일인측,등기된 임원,장석권,1694,0.00%,-,-,1694.0,0.00%,등기된 임원,261111808.0,6.487642259365e-06,50,0,,0.06141570587263522,
5,비금융회사,케이티,동일인측,등기된 임원,김종구,1694,0.00%,-,-,1694.0,0.00%,등기된 임원,261111808.0,6.487642259365e-06,50,0,,0.06141570587263522,
6,비금융회사,케이티,동일인측,등기된 임원,이계민,399,0.00%,-,-,399.0,0.00%,등기된 임원,261111808.0,1.528081028032252e-06,50,0,,0.06141570587263522,
7,비금융회사,케이티,동일인측,등기된 임원,임일,399,0.00%,-,-,399.0,0.00%,등기된 임원,261111808.0,1.528081028032252e-06,50,0,,0.06141570587263522,
8,비금융회사,케이티,동일인측,자기주식,케이티,15967040,6.12%,-,-,15967040.0,6.12%,자기주식,261111808.0,0.06115020275145887,50,0,,0.06141570587263522,
9,비금융회사,케이티,동일인측,동일인 측 합계,동일인 측 합계,16036366,6.14%,-,-,16036366.0,6.14%,동일인 측 합계,261111808.0,0.06141570587263522,50,50,,,
10,비금융회사,케이티,기타주주,동일인 측이 아닌 최다주주,국민연금공단,31168363,11.94%,-,-,31168363.0,11.94%,동일인 측이 아닌 최다주주,261111808.0,0.11936788013815139,99,99,0.9385842941273648,0.9385842941273648,
11,비금융회사,케이티,기타주주,기타,기타,213907079,81.92%,-,-,213907079.0,81.92%,기타,261111808.0,0.8192164139892134,99,99,0.9385842941273648,0.9385842941273648,
12,비금융회사,케이티,총 계,총 계,총 계,261111808,100.00%,-,-,261111808.0,100.00%,총 계,261111808.0,1.0,50,50,,,
13,비금융회사,나스미디어,동일인측,동일인,케이티,3742406,42.75%,-,-,3742406.0,42.75%,동일인,8754691.0,0.4274743677418198,0,0,0.4274743677418198,0.5975815708401359,
