,소속회사명1,소속회사명2,동일인과의 관계1,동일인과의 관계2,성명,보통주 주식수,보통주 지분율,우선주 주식수,우선주 지분율,합계 주식수,합계 지분율,divisor,shares,type,type2,own,own2,ownername
0,비금융회사,케이티,동일인측,비영리법인,케이티그룹희망나눔재단,16668,0.01%,-,-,16668.0,0.01%,261111808.0,6.383472324621949e-05,50,0,,0.061013835881370784,
1,비금융회사,케이티,동일인측,등기된 임원,구현모,18239,0.01%,-,-,18239.0,0.01%,261111808.0,6.98513029330332e-05,50,0,,0.061013835881370784,
2,비금융회사,케이티,동일인측,등기된 임원,김대유,471,0.00%,-,-,471.0,0.00%,261111808.0,1.8038249729403276e-06,50,0,,0.061013835881370784,
3,비금융회사,케이티,동일인측,등기된 임원,박윤영,6947,0.00%,-,-,6947.0,0.00%,261111808.0,2.660546090661668e-05,50,0,,0.061013835881370784,
4,비금융회사,케이티,동일인측,등기된 임원,박종욱,7695,0.00%,-,-,7695.0,0.00%,261111808.0,2.9470134112050574e-05,50,0,,0.061013835881370784,
5,비금융회사,케이티,동일인측,등기된 임원,이강철,471,0.00%,-,-,471.0,0.00%,261111808.0,1.8038249729403276e-06,50,0,,0.061013835881370784,
6,비금융회사,케이티,동일인측,등기된 임원,표현명,10684,0.01%,-,-,10684.0,0.01%,261111808.0,4.091733760274832e-05,50,0,,0.061013835881370784,
7,비금융회사,케이티,동일인측,자기주식,케이티,15870258,6.08%,-,-,15870258.0,6.08%,261111808.0,0.06077954927262424,50,0,,0.061013835881370784,
8,비금융회사,케이티,동일인측,동일인 측 합계,동일인 측 합계,15931433,6.10%,-,-,15931433.0,6.10%,261111808.0,0.06101383588137079,50,50,,,
9,비금융회사,케이티,기타주주,동일인 측이 아닌 최다주주,국민연금공단,36228773,13.87%,-,-,36228773.0,13.87%,261111808.0,0.1387481220305441,99,99,0.9389861641186292,0.9389861641186292,
10,비금융회사,케이티,기타주주,기타,기타,208951602,80.02%,-,-,208951602.0,80.02%,261111808.0,0.8002380420880851,99,99,0.9389861641186292,0.9389861641186292,
