,소속회사명1,소속회사명2,동일인과의 관계1,동일인과의 관계2,동일인과의 관계3,성명,보통주 주식수,보통주 지분율,우선주 주식수,우선주 지분율,합계 주식수,합계 지분율,divisor,shares,type,type2,own,own2,ownername
0,비금융회사,케이티앤지,동일인측,동일인,동일인,-,-,-,-,-,,-,137292497.0,,0,0,0.0,0.13840659479009987,
1,비금융회사,케이티앤지,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,,-,137292497.0,,50,50,,,
2,비금융회사,케이티앤지,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,,-,137292497.0,,50,50,,,
3,비금융회사,케이티앤지,동일인측,친족,혈족2~4촌,-,-,-,-,-,,-,137292497.0,,50,50,,,
4,비금융회사,케이티앤지,동일인측,친족,혈족2~4촌,-,-,-,-,-,,-,137292497.0,,50,50,,,
5,비금융회사,케이티앤지,동일인측,친족,혈족5~6촌,-,-,-,-,-,,-,137292497.0,,50,50,,,
6,비금융회사,케이티앤지,동일인측,친족,혈족5~6촌,-,-,-,-,-,,-,137292497.0,,50,50,,,
7,비금융회사,케이티앤지,동일인측,친족,인척 4촌 이내,-,-,-,-,-,,-,137292497.0,,50,50,,,
8,비금융회사,케이티앤지,동일인측,친족,인척 4촌 이내,-,-,-,-,-,,-,137292497.0,,50,50,,,
9,비금융회사,케이티앤지,동일인측,친족,친족 합계,-,-,-,-,-,,-,137292497.0,,0,0,0.0,0.13840659479009987,
10,비금융회사,케이티앤지,동일인측,비영리법인,비영리법인,케이티앤지 사내근로복지기금,4360000,3.18,-,-,4360000.0,3.18,137292497.0,0.031757015825853906,50,0,,0.13840659479009987,
11,비금융회사,케이티앤지,동일인측,비영리법인,비영리법인,케이티앤지 복지재단,3057913,2.23,-,-,3057913.0,2.23,137292497.0,0.022272979709881742,50,0,,0.13840659479009987,
12,비금융회사,케이티앤지,동일인측,비영리법인,비영리법인,케이티앤지 장학재단,871407,0.63,,,871407.0,0.63,137292497.0,0.006347083919669696,50,0,,0.13840659479009987,
13,비금융회사,케이티앤지,동일인측,등기된 임원,등기된 임원,백복인,293,0.00,-,-,293.0,0.00,137292497.0,2.1341297332511916e-06,50,0,,0.13840659479009987,
14,비금융회사,케이티앤지,동일인측,자기주식,자기주식,케이티앤지,10712574,7.80,-,-,10712574.0,7.80,137292497.0,0.07802738120496126,50,0,,0.13840659479009987,
15,비금융회사,케이티앤지,동일인측,계열회사(국내+해외),계열회사(국내+해외),-,,,-,-,,-,137292497.0,,1,1,,,-
16,비금융회사,케이티앤지,동일인측,계열회사(국내+해외),계열회사(국내+해외),-,,,-,-,,-,137292497.0,,1,1,,,-
17,비금융회사,케이티앤지,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,,-,137292497.0,,-1,-1,,,
18,비금융회사,케이티앤지,동일인측,동일인측 합계,동일인측 합계,-,19002187,13.84,-,-,19002187.0,13.84,137292497.0,0.13840659479009987,50,50,,,
19,비금융회사,케이티앤지,기타주주,동일인측이 아닌최다주주,동일인측이 아닌최다주주,-,-,,-,-,,-,137292497.0,,99,99,0.8615934052099001,0.8615934052099001,
20,비금융회사,케이티앤지,기타주주,기타,기타,-,118290310,86.16,-,-,118290310.0,86.16,137292497.0,0.8615934052099001,99,99,0.8615934052099001,0.8615934052099001,
21,비금융회사,케이티앤지,총 계,총 계,총 계,,137292497,100%,-,-,137292497.0,100.00,137292497.0,1.0,50,50,,,
22,비금융회사,한국인삼공사,동일인측,동일인,동일인,케이티앤지,14370023,100.00,-,-,14370023.0,100.00,14370023.0,1.0,0,0,1.0,1.0,
23,비금융회사,한국인삼공사,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,,-,14370023.0,,50,50,,,
24,비금융회사,한국인삼공사,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,,-,14370023.0,,50,50,,,
25,비금융회사,한국인삼공사,동일인측,친족,혈족2~4촌,-,-,-,-,-,,-,14370023.0,,50,50,,,
26,비금융회사,한국인삼공사,동일인측,친족,혈족2~4촌,-,-,-,-,-,,-,14370023.0,,50,50,,,
27,비금융회사,한국인삼공사,동일인측,친족,혈족5~6촌,-,-,-,-,-,,-,14370023.0,,50,50,,,
28,비금융회사,한국인삼공사,동일인측,친족,혈족5~6촌,-,-,-,-,-,,-,14370023.0,,50,50,,,
29,비금융회사,한국인삼공사,동일인측,친족,인척 4촌 이내,-,-,-,-,-,,-,14370023.0,,50,50,,,
30,비금융회사,한국인삼공사,동일인측,친족,인척 4촌 이내,-,-,-,-,-,,-,14370023.0,,50,50,,,
31,비금융회사,한국인삼공사,동일인측,친족,친족 합계,-,-,-,-,-,,-,14370023.0,,0,0,1.0,1.0,
32,비금융회사,한국인삼공사,동일인측,비영리법인,비영리법인,-,-,-,-,-,,-,14370023.0,,50,0,,1.0,
33,비금융회사,한국인삼공사,동일인측,비영리법인,비영리법인,-,-,-,-,-,,-,14370023.0,,50,0,,1.0,
34,비금융회사,한국인삼공사,동일인측,등기된 임원,등기된 임원,-,-,-,-,-,,-,14370023.0,,50,0,,1.0,
35,비금융회사,한국인삼공사,동일인측,등기된 임원,등기된 임원,-,-,-,-,-,,-,14370023.0,,50,0,,1.0,
36,비금융회사,한국인삼공사,동일인측,자기주식,자기주식,-,-,-,-,-,,-,14370023.0,,50,0,,1.0,
37,비금융회사,한국인삼공사,동일인측,계열회사(국내+해외),계열회사(국내+해외),-,-,-,-,-,,-,14370023.0,,1,1,,,-
38,비금융회사,한국인삼공사,동일인측,계열회사(국내+해외),계열회사(국내+해외),-,-,-,-,-,,-,14370023.0,,1,1,,,-
39,비금융회사,한국인삼공사,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,,-,14370023.0,,-1,-1,,,
40,비금융회사,한국인삼공사,동일인측,동일인측 합계,동일인측 합계,-,14370023,100.00,-,-,14370023.0,100.00,14370023.0,1.0,50,50,,,
41,비금융회사,한국인삼공사,기타주주,동일인측이 아닌최다주주,동일인측이 아닌최다주주,-,-,-,-,-,,-,14370023.0,,99,99,0.0,0.0,
42,비금융회사,한국인삼공사,기타주주,기타,기타,-,-,-,-,-,,-,14370023.0,,99,99,0.0,0.0,
43,비금융회사,한국인삼공사,총 계,총 계,총 계,-,14370023,100.00,-,-,14370023.0,100.00,14370023.0,1.0,50,50,,,
44,비금융회사,영진약품,동일인측,동일인,동일인,케이티앤지,95928655,52.45,-,-,95928655.0,52.45,182892731.0,0.5245077509395384,0,0,0.5245077509395384,0.5245366039178451,
45,비금융회사,영진약품,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,,-,182892731.0,,50,50,,,
46,비금융회사,영진약품,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,,-,182892731.0,,50,50,,,
47,비금융회사,영진약품,동일인측,친족,혈족2~4촌,-,-,-,-,-,,-,182892731.0,,50,50,,,
48,비금융회사,영진약품,동일인측,친족,혈족2~4촌,-,-,-,-,-,,-,182892731.0,,50,50,,,
49,비금융회사,영진약품,동일인측,친족,혈족5~6촌,-,-,-,-,-,,-,182892731.0,,50,50,,,
50,비금융회사,영진약품,동일인측,친족,혈족5~6촌,-,-,-,-,-,,-,182892731.0,,50,50,,,
51,비금융회사,영진약품,동일인측,친족,인척 4촌 이내,-,-,-,-,-,,-,182892731.0,,50,50,,,
52,비금융회사,영진약품,동일인측,친족,인척 4촌 이내,-,-,-,-,-,,-,182892731.0,,50,50,,,
53,비금융회사,영진약품,동일인측,친족,친족 합계,-,-,-,-,-,,-,182892731.0,,0,0,0.5245077509395384,0.5245366039178451,
54,비금융회사,영진약품,동일인측,비영리법인,비영리법인,-,-,-,-,-,,-,182892731.0,,50,0,,0.5245366039178451,
55,비금융회사,영진약품,동일인측,비영리법인,비영리법인,-,-,-,-,-,,-,182892731.0,,50,0,,0.5245366039178451,
