,소속회사명1,소속회사명2,동일인과의 관계1,동일인과의 관계2,동일인과의 관계3,성명,보통주 주식수,보통주 지분율,우선주 주식수,우선주 지분율,합계 주식수,합계 지분율,divisor,shares,type,type2,own,own2,ownername
0,비금융회사,남선알미늄,동일인측,동일인,동일인,-,-,-,-,-,,-,110486980.0,,0,0,0.0,2.0273882044744095e-05,
1,비금융회사,남선알미늄,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,,-,110486980.0,,50,50,,,
2,비금융회사,남선알미늄,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,,-,110486980.0,,50,50,,,
3,비금융회사,남선알미늄,동일인측,친족,혈족2~4촌,-,-,-,-,-,,-,110486980.0,,50,50,,,
4,비금융회사,남선알미늄,동일인측,친족,혈족2~4촌,-,-,-,-,-,,-,110486980.0,,50,50,,,
5,비금융회사,남선알미늄,동일인측,친족,혈족5~6촌,-,-,-,-,-,,-,110486980.0,,50,50,,,
6,비금융회사,남선알미늄,동일인측,친족,혈족5~6촌,-,-,-,-,-,,-,110486980.0,,50,50,,,
7,비금융회사,남선알미늄,동일인측,친족,인척 4촌 이내,-,-,-,-,-,,-,110486980.0,,50,50,,,
8,비금융회사,남선알미늄,동일인측,친족,인척 4촌 이내,-,-,-,-,-,,-,110486980.0,,50,50,,,
9,비금융회사,남선알미늄,동일인측,친족,친족 합계,-,-,-,-,-,,-,110486980.0,,0,0,0.0,2.0273882044744095e-05,
10,비금융회사,남선알미늄,동일인측,비영리법인,비영리법인,-,-,-,-,-,,-,110486980.0,,50,0,,2.0273882044744095e-05,
11,비금융회사,남선알미늄,동일인측,비영리법인,비영리법인,-,-,-,-,-,,-,110486980.0,,50,0,,2.0273882044744095e-05,
12,비금융회사,남선알미늄,동일인측,등기된 임원,등기된 임원,이상일,2220,0.00,-,-,2220.0,0.00,110486980.0,2.0092865240773167e-05,50,0,,2.0273882044744095e-05,
13,비금융회사,남선알미늄,동일인측,자기주식,자기주식,남선알미늄,10,0.00,10,0.00,20.0,0.00,110486980.0,1.8101680397092942e-07,50,0,,2.0273882044744095e-05,
14,비금융회사,남선알미늄,동일인측,계열회사(국내+해외),계열회사(국내+해외),삼라,19921497,18.08,-,-,19921497.0,18.03,110486980.0,0.18030628586282293,1,1,0.18030628586282293,0.18030628586282293,삼라
15,비금융회사,남선알미늄,동일인측,계열회사(국내+해외),계열회사(국내+해외),에스엠하이플러스,13231436,12.01,-,-,13231436.0,11.98,110486980.0,0.11975561283329493,1,1,0.11975561283329493,0.11975561283329493,에스엠하이플러스
16,비금융회사,남선알미늄,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,,-,110486980.0,,-1,-1,,,
17,비금융회사,남선알미늄,동일인측,동일인측 합계,동일인측 합계,-,33155163,30.09,10,0.00,33155173.0,30.01,110486980.0,0.3000821725781626,50,50,,,
18,비금융회사,남선알미늄,기타주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,-,-,-,-,-,,-,110486980.0,,99,99,0.6999178274218374,0.6999178274218374,
19,비금융회사,남선알미늄,기타주주,기타,기타,기타 및 소액주주,77023927,69.91,307880,100.00,77331807.0,69.99,110486980.0,0.6999178274218374,99,99,0.6999178274218374,0.6999178274218374,
