,소속회사명1,소속회사명2,동일인과의 관계1,동일인과의 관계2,동일인과의 관계3,성명,보통주 주식수,보통주 지분율,우선주 주식수,우선주 지분율,합계 주식수,합계 지분율,divisor,shares,type,type2,own,own2,ownername
0,비금융회사,하이트진로홀딩스,동일인측,동일인,동일인,박문덕,6843432,29.49,74,0.02,6843506.0,28.90,23677575.0,0.2890290074046857,0,0,0.28961230193548115,0.41691465447791853,
1,비금융회사,하이트진로홀딩스,동일인측,친족,배우자/혈족1촌,김미정,869,0.00,0,0.00,869.0,0.00,23677575.0,3.670139361822315e-05,50,50,,,
2,비금융회사,하이트진로홀딩스,동일인측,친족,배우자/혈족1촌,김수희,1884,0.01,3602,0.77,5486.0,0.02,23677575.0,0.00023169602461400713,50,50,,,
3,비금융회사,하이트진로홀딩스,동일인측,친족,혈족2~4촌,-,-,-,-,-,,-,23677575.0,,50,50,,,
4,비금융회사,하이트진로홀딩스,동일인측,친족,혈족5~6촌,-,-,-,-,-,,-,23677575.0,,50,50,,,
5,비금융회사,하이트진로홀딩스,동일인측,친족,인척 4촌 이내,김경화,7435,0.03,0,0.00,7435.0,0.03,23677575.0,0.00031401019741253064,50,50,,,
6,비금융회사,하이트진로홀딩스,동일인측,친족,인척 4촌 이내,노영희,6,0.00,0,0.00,6.0,0.00,23677575.0,2.534043287794464e-07,50,50,,,
7,비금융회사,하이트진로홀딩스,동일인측,친족,인척 4촌 이내,노희정,15,0.00,0,0.00,15.0,0.00,23677575.0,6.335108219486159e-07,50,50,,,
8,비금융회사,하이트진로홀딩스,동일인측,친족,친족 합계,/,10209,0.04,3602,0.77,13811.0,0.06,23677575.0,0.000583294530795489,0,0,0.28961230193548115,0.41691465447791853,
9,비금융회사,하이트진로홀딩스,동일인측,비영리법인,비영리법인,(재)하이트문화재단,1160338,5.00,10042,2.13,1170380.0,4.94,23677575.0,0.04942989305281474,50,0,,0.41691465447791853,
10,비금융회사,하이트진로홀딩스,동일인측,등기된 임원,등기된 임원,김기원,100,0.00,0,0.00,100.0,0.00,23677575.0,4.223405479657439e-06,50,0,,0.41691465447791853,
11,비금융회사,하이트진로홀딩스,동일인측,등기된 임원,등기된 임원,김영기,285,0.00,0,0.00,285.0,0.00,23677575.0,1.2036705617023703e-05,50,0,,0.41691465447791853,
12,비금융회사,하이트진로홀딩스,동일인측,등기된 임원,등기된 임원,김인규,50,0.00,0,0.00,50.0,0.00,23677575.0,2.1117027398287196e-06,50,0,,0.41691465447791853,
13,비금융회사,하이트진로홀딩스,동일인측,등기된 임원,등기된 임원,김창규,20,0.00,0,0.00,20.0,0.00,23677575.0,8.446810959314879e-07,50,0,,0.41691465447791853,
14,비금융회사,하이트진로홀딩스,동일인측,등기된 임원,등기된 임원,임규헌,10,0.00,0,0.00,10.0,0.00,23677575.0,4.2234054796574396e-07,50,0,,0.41691465447791853,
15,비금융회사,하이트진로홀딩스,동일인측,등기된 임원,등기된 임원,최경택,50,0.00,0,0.00,50.0,0.00,23677575.0,2.1117027398287196e-06,50,0,,0.41691465447791853,
16,비금융회사,하이트진로홀딩스,동일인측,자기주식,자기주식,하이트진로홀딩스,1842952,7.94,364,0.08,1843316.0,7.79,23677575.0,0.07785070895140232,50,0,,0.41691465447791853,
17,비금융회사,하이트진로홀딩스,동일인측,계열회사(국내+해외),계열회사(국내+해외),서영이앤티,6419688,27.66,12227,2.60,6431915.0,27.16,23677575.0,0.2716458505569088,1,1,0.2716458505569088,0.2716458505569088,서영이앤티
18,비금융회사,하이트진로홀딩스,동일인측,계열회사(국내+해외),계열회사(국내+해외),Jinro Inc.(해외),870017,3.75,0,0.00,870017.0,3.67,23677575.0,0.03674434565195127,1,1,0.03674434565195127,0.03674434565195127,Jinro Inc.(해외)
19,비금융회사,하이트진로홀딩스,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,,-,23677575.0,,-1,-1,,,
20,비금융회사,하이트진로홀딩스,동일인측,동일인측 합계,동일인측 합계,/,17147151,73.89,26309,5.59,17173460.0,72.53,23677575.0,0.7253048506867785,50,50,,,
21,비금융회사,하이트진로홀딩스,기타주주,동일인측이 아닌최다주주,동일인측이 아닌최다주주,-,-,-,-,-,,-,23677575.0,,99,99,0.2746951493132215,0.2746951493132215,
22,비금융회사,하이트진로홀딩스,기타주주,기타,기타,/,6059614,26.11,444501,94.41,6504115.0,27.47,23677575.0,0.2746951493132215,99,99,0.2746951493132215,0.2746951493132215,
23,비금융회사,하이트진로홀딩스,총 계,총 계,총 계,/,23206765,100.00,470810,100.00,23677575.0,100.00,23677575.0,1.0,50,50,,,
24,비금융회사,하이트진로,동일인측,동일인,동일인,박문덕,1811922,2.58,175,0.02,1812097.0,2.54,71268446.0,0.0254263576899095,0,0,0.02576245313388761,0.04700519217158179,
25,비금융회사,하이트진로,동일인측,친족,배우자/혈족1촌,김미정,2127,0.00,0,0.00,2127.0,0.00,71268446.0,2.9844904994841617e-05,50,50,,,
26,비금융회사,하이트진로,동일인측,친족,배우자/혈족1촌,김수희,4784,0.01,8645,0.76,13429.0,0.02,71268446.0,0.00018842841051985333,50,50,,,
27,비금융회사,하이트진로,동일인측,친족,혈족2~4촌,-,-,-,-,-,,-,71268446.0,,50,50,,,
28,비금융회사,하이트진로,동일인측,친족,혈족5~6촌,-,-,-,-,-,,-,71268446.0,,50,50,,,
29,비금융회사,하이트진로,동일인측,친족,인척 4촌 이내,김경화,8352,0.01,0,0.00,8352.0,0.01,71268446.0,0.0001171907129839761,50,50,,,
30,비금융회사,하이트진로,동일인측,친족,인척 4촌 이내,노영희,12,0.00,0,0.00,12.0,0.00,71268446.0,1.683774611838737e-07,50,50,,,
31,비금융회사,하이트진로,동일인측,친족,인척 4촌 이내,노희정,33,0.00,0,0.00,33.0,0.00,71268446.0,4.630380182556527e-07,50,50,,,
32,비금융회사,하이트진로,동일인측,친족,친족 합계,/,15308,0.02,8645,0.76,23953.0,0.03,71268446.0,0.0003360954439781106,0,0,0.02576245313388761,0.04700519217158179,
33,비금융회사,하이트진로,동일인측,비영리법인,비영리법인,(재)하이트문화재단,0,0.00,24106,2.12,24106.0,0.03,71268446.0,0.000338242256608205,50,0,,0.04700519217158179,
34,비금융회사,하이트진로,동일인측,등기된 임원,등기된 임원,김기원,990,0.00,0,0.00,990.0,0.00,71268446.0,1.3891140547669582e-05,50,0,,0.04700519217158179,
35,비금융회사,하이트진로,동일인측,등기된 임원,등기된 임원,김영기,9,0.00,0,0.00,9.0,0.00,71268446.0,1.262830958879053e-07,50,0,,0.04700519217158179,
36,비금융회사,하이트진로,동일인측,등기된 임원,등기된 임원,김인규,351,0.00,0,0.00,351.0,0.00,71268446.0,4.925040739628306e-06,50,0,,0.04700519217158179,
37,비금융회사,하이트진로,동일인측,등기된 임원,등기된 임원,임규헌,680,0.00,0,0.00,680.0,0.00,71268446.0,9.541389467086178e-06,50,0,,0.04700519217158179,
38,비금융회사,하이트진로,동일인측,등기된 임원,등기된 임원,임재범,990,0.00,0,0.00,990.0,0.00,71268446.0,1.3891140547669582e-05,50,0,,0.04700519217158179,
39,비금융회사,하이트진로,동일인측,등기된 임원,등기된 임원,최경택,1001,0.00,0,0.00,1001.0,0.00,71268446.0,1.4045486553754799e-05,50,0,,0.04700519217158179,
40,비금융회사,하이트진로,동일인측,자기주식,자기주식,하이트진로,1484184,2.12,1626,0.14,1485810.0,2.08,71268446.0,0.020848076300134282,50,0,,0.04700519217158179,
41,비금융회사,하이트진로,동일인측,계열회사(국내+해외),계열회사(국내+해외),하이트진로홀딩스,35672250,50.86,152992,13.48,35825242.0,50.27,71268446.0,0.5026802745214902,1,1,0.5026802745214902,0.5026802745214902,하이트진로홀딩스
42,비금융회사,하이트진로,동일인측,계열회사(국내+해외),계열회사(국내+해외),서영이앤티,0,0.00,29345,2.59,29345.0,0.04,71268446.0,0.0004117530498700645,1,1,0.0004117530498700645,0.0004117530498700645,서영이앤티
43,비금융회사,하이트진로,동일인측,계열회사(국내+해외),계열회사(국내+해외),Jinro Inc.(해외),248082,0.35,0,0.00,248082.0,0.35,71268446.0,0.003480951443784813,1,1,0.003480951443784813,0.003480951443784813,Jinro Inc.(해외)
44,비금융회사,하이트진로,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,,-,71268446.0,,-1,-1,,,
45,비금융회사,하이트진로,동일인측,동일인측 합계,동일인측 합계,/,39235767,55.94,216889,19.11,39452656.0,55.36,71268446.0,0.5535781711867269,50,50,,,
46,비금융회사,하이트진로,기타주주,동일인측이 아닌최다주주,동일인측이 아닌최다주주,-,-,-,-,-,,-,71268446.0,,99,99,0.44642182881327314,0.44642182881327314,
47,비금융회사,하이트진로,기타주주,기타,기타,/,30897844,44.06,917946,80.89,31815790.0,44.64,71268446.0,0.44642182881327314,99,99,0.44642182881327314,0.44642182881327314,
48,비금융회사,하이트진로,총 계,총 계,총 계,/,70133611,100.00,1134835,100.00,71268446.0,100.00,71268446.0,1.0,50,50,,,
49,비금융회사,진로소주,동일인측,동일인,동일인,-,-,-,-,-,,-,480022.0,,0,0,0.0,0.0,
50,비금융회사,진로소주,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,,-,480022.0,,50,50,,,
51,비금융회사,진로소주,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,,-,480022.0,,50,50,,,
52,비금융회사,진로소주,동일인측,친족,혈족2~4촌,-,-,-,-,-,,-,480022.0,,50,50,,,
53,비금융회사,진로소주,동일인측,친족,혈족5~6촌,-,-,-,-,-,,-,480022.0,,50,50,,,
54,비금융회사,진로소주,동일인측,친족,인척 4촌 이내,-,-,-,-,-,,-,480022.0,,50,50,,,
55,비금융회사,진로소주,동일인측,친족,친족 합계,/,-,-,-,-,,-,480022.0,,0,0,0.0,0.0,
56,비금융회사,진로소주,동일인측,비영리법인,비영리법인,-,-,-,-,-,,-,480022.0,,50,0,,0.0,
57,비금융회사,진로소주,동일인측,등기된 임원,등기된 임원,-,-,-,-,-,,-,480022.0,,50,0,,0.0,
58,비금융회사,진로소주,동일인측,자기주식,자기주식,-,-,-,-,-,,-,480022.0,,50,0,,0.0,
59,비금융회사,진로소주,동일인측,계열회사(국내+해외),계열회사(국내+해외),하이트진로홀딩스,480022,100.00,-,-,480022.0,100.00,480022.0,1.0,1,1,1.0,1.0,하이트진로홀딩스
60,비금융회사,진로소주,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,,-,480022.0,,-1,-1,,,
61,비금융회사,진로소주,동일인측,동일인측 합계,동일인측 합계,/,480022,100.00,-,-,480022.0,100.00,480022.0,1.0,50,50,,,
62,비금융회사,진로소주,기타주주,동일인측이 아닌최다주주,동일인측이 아닌최다주주,-,-,-,-,-,,-,480022.0,,99,99,0.0,0.0,
63,비금융회사,진로소주,기타주주,기타,기타,/,-,-,-,,,-,480022.0,,99,99,0.0,0.0,
64,비금융회사,진로소주,총 계,총 계,총 계,/,480022,100.00,-,-,480022.0,100.00,480022.0,1.0,50,50,,,
65,비금융회사,하이트진로산업,동일인측,동일인,동일인,-,-,-,-,-,,-,1600000.0,,0,0,0.0,0.0,
66,비금융회사,하이트진로산업,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,,-,1600000.0,,50,50,,,
67,비금융회사,하이트진로산업,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,,-,1600000.0,,50,50,,,
68,비금융회사,하이트진로산업,동일인측,친족,혈족2~4촌,-,-,-,-,-,,-,1600000.0,,50,50,,,
69,비금융회사,하이트진로산업,동일인측,친족,혈족5~6촌,-,-,-,-,-,,-,1600000.0,,50,50,,,
70,비금융회사,하이트진로산업,동일인측,친족,인척 4촌 이내,-,-,-,-,-,,-,1600000.0,,50,50,,,
71,비금융회사,하이트진로산업,동일인측,친족,친족 합계,/,-,-,-,-,,-,1600000.0,,0,0,0.0,0.0,
72,비금융회사,하이트진로산업,동일인측,비영리법인,비영리법인,-,-,-,-,-,,-,1600000.0,,50,0,,0.0,
73,비금융회사,하이트진로산업,동일인측,등기된 임원,등기된 임원,-,-,-,-,-,,-,1600000.0,,50,0,,0.0,
74,비금융회사,하이트진로산업,동일인측,자기주식,자기주식,-,-,-,-,-,,-,1600000.0,,50,0,,0.0,
75,비금융회사,하이트진로산업,동일인측,계열회사(국내+해외),계열회사(국내+해외),하이트진로,1600000,100.00,-,-,1600000.0,100.00,1600000.0,1.0,1,1,1.0,1.0,하이트진로
76,비금융회사,하이트진로산업,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,,-,1600000.0,,-1,-1,,,
77,비금융회사,하이트진로산업,동일인측,동일인측 합계,동일인측 합계,/,1600000,100.00,-,-,1600000.0,100.00,1600000.0,1.0,50,50,,,
78,비금융회사,하이트진로산업,기타주주,동일인측이 아닌최다주주,동일인측이 아닌최다주주,-,-,-,-,-,,-,1600000.0,,99,99,0.0,0.0,
79,비금융회사,하이트진로산업,기타주주,기타,기타,/,-,-,-,,,-,1600000.0,,99,99,0.0,0.0,
80,비금융회사,하이트진로산업,총 계,총 계,총 계,/,1600000,100.00,-,-,1600000.0,100.00,1600000.0,1.0,50,50,,,
81,비금융회사,하이트진로음료,동일인측,동일인,동일인,-,-,-,-,-,,-,726774.0,,0,0,0.0,0.0,
82,비금융회사,하이트진로음료,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,,-,726774.0,,50,50,,,
83,비금융회사,하이트진로음료,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,,-,726774.0,,50,50,,,
84,비금융회사,하이트진로음료,동일인측,친족,혈족2~4촌,-,-,-,-,-,,-,726774.0,,50,50,,,
85,비금융회사,하이트진로음료,동일인측,친족,혈족5~6촌,-,-,-,-,-,,-,726774.0,,50,50,,,
86,비금융회사,하이트진로음료,동일인측,친족,인척 4촌 이내,-,-,-,-,-,,-,726774.0,,50,50,,,
87,비금융회사,하이트진로음료,동일인측,친족,친족 합계,/,-,-,-,-,,-,726774.0,,0,0,0.0,0.0,
88,비금융회사,하이트진로음료,동일인측,비영리법인,비영리법인,-,-,-,-,-,,-,726774.0,,50,0,,0.0,
89,비금융회사,하이트진로음료,동일인측,등기된 임원,등기된 임원,-,-,-,-,-,,-,726774.0,,50,0,,0.0,
