,소속회사명1,소속회사명2,동일인과의 관계1,동일인과의 관계2,동일인과의 관계3,성명,보통주 주식수,보통주 지분율,우선주 주식수,우선주 지분율,합계 주식수,합계 지분율,divisor,shares,type,type2,own,own2,ownername
0,비금융회사,호반건설,동일인측,동일인,동일인,김상열,290663,10.51%,-,-,290663,10.51%,2765696,0.10509578782339057,0,0,0.787649112556116,0.9281392459619567,
1,비금융회사,호반건설,동일인측,친족,배우자/ 혈족1촌,우현희,299930,10.84%,-,-,299930,10.84%,2765696,0.10844648146434026,50,50,,,
2,비금융회사,호반건설,동일인측,친족,배우자/ 혈족1촌,김대헌,1513705,54.73%,-,-,1513705,54.73%,2765696,0.5473143107557736,50,50,,,
3,비금융회사,호반건설,동일인측,친족,배우자/ 혈족1촌,백채남,9100,0.33%,-,-,9100,0.33%,2765696,0.0032903110103207293,50,50,,,
4,비금융회사,호반건설,동일인측,친족,혈족2~4촌,김삼영,13000,0.47%,-,-,13000,0.47%,2765696,0.004700444300458185,50,50,,,
5,비금융회사,호반건설,동일인측,친족,인척 4촌 이내,노경자,13000,0.47%,-,-,13000,0.47%,2765696,0.004700444300458185,50,50,,,
6,비금융회사,호반건설,동일인측,친족,인척 4촌 이내,노용욱,19500,0.71%,-,-,19500,0.71%,2765696,0.007050666450687277,50,50,,,
7,비금융회사,호반건설,동일인측,친족,인척 4촌 이내,노인구,19500,0.71%,-,-,19500,0.71%,2765696,0.007050666450687277,50,50,,,
8,비금융회사,호반건설,동일인측,친족,친족 합계,/,1887735,68.26%,-,-,1887735,68.26%,2765696,0.6825533247327255,0,0,0.787649112556116,0.9281392459619567,
9,비금융회사,호반건설,동일인측,비영리법인,비영리법인,(재)호반장학회,51560,1.86%,-,-,51560,1.86%,2765696,0.018642685240894154,50,0,,0.9281392459619567,
10,비금융회사,호반건설,동일인측,비영리법인,비영리법인,(재)태성문화재단,32060,1.16%,-,-,32060,1.16%,2765696,0.011592018790206878,50,0,,0.9281392459619567,
11,비금융회사,호반건설,동일인측,자기주식,자기주식,호반건설,304933,11.03%,-,-,304933,11.03%,2765696,0.11025542937473967,50,0,,0.9281392459619567,
12,비금융회사,호반건설,동일인측,동일인측 합계,동일인측 합계,/,2566951,92.81%,-,-,2566951,92.81%,2765696,0.9281392459619567,50,50,,,
13,비금융회사,호반건설,기타주주,기타,기타,/,198745,7.19%,-,-,198745,7.19%,2765696,0.07186075403804322,99,99,0.07186075403804322,0.07186075403804322,
14,비금융회사,호반건설,총 계,총 계,총 계,/,2765696,100.00%,-,-,2765696,100.00%,2765696,1.0,50,50,,,
15,비금융회사,호반자산개발,동일인측,계열회사 (국내+해외),계열회사 (국내+해외),호반건설,2000,100.00%,-,-,2000,100.00%,2000,1.0,1,1,1.0,1.0,호반건설
16,비금융회사,호반자산개발,동일인측,동일인측 합계,동일인측 합계,/,2000,100.00%,-,-,2000,100.00%,2000,1.0,50,50,,,
17,비금융회사,호반자산개발,총 계,총 계,총 계,/,2000,100.00%,-,-,2000,100.00%,2000,1.0,50,50,,,
18,비금융회사,대전용산개발,동일인측,계열회사 (국내+해외),계열회사 (국내+해외),호반건설,700000,80.09%,-,-,700000,70.00%,1000000,0.7,1,1,0.7,0.7,호반건설
19,비금융회사,대전용산개발,동일인측,동일인측 합계,동일인측 합계,/,700000,80.09%,-,-,700000,70.00%,1000000,0.7,50,50,,,
20,비금융회사,대전용산개발,기타주주,기타,기타,/,174000,19.91%,126000,100.00%,300000,30.00%,1000000,0.3,99,99,0.3,0.3,
21,비금융회사,대전용산개발,총 계,총 계,총 계,/,874000,100.00%,126000,100.00%,1000000,100.00%,1000000,1.0,50,50,,,
22,비금융회사,에이치비탕정,동일인측,계열회사 (국내+해외),계열회사 (국내+해외),호반건설,30000,100.00%,-,-,30000,100.00%,30000,1.0,1,1,1.0,1.0,호반건설
23,비금융회사,에이치비탕정,동일인측,동일인측 합계,동일인측 합계,/,30000,100.00%,-,-,30000,100.00%,30000,1.0,50,50,,,
24,비금융회사,에이치비탕정,총 계,총 계,총 계,/,30000,100.00%,-,-,30000,100.00%,30000,1.0,50,50,,,
25,비금융회사,스카이리빙,동일인측,계열회사 (국내+해외),계열회사 (국내+해외),호반건설,300000,100.00%,-,-,300000,100.00%,300000,1.0,1,1,1.0,1.0,호반건설
26,비금융회사,스카이리빙,동일인측,동일인측 합계,동일인측 합계,/,300000,100.00%,-,-,300000,100.00%,300000,1.0,50,50,,,
27,비금융회사,스카이리빙,총 계,총 계,총 계,/,300000,100.00%,-,-,300000,100.00%,300000,1.0,50,50,,,
28,비금융회사,스카이주택,동일인측,계열회사 (국내+해외),계열회사 (국내+해외),호반건설,300000,100.00%,-,-,300000,100.00%,300000,1.0,1,1,1.0,1.0,호반건설
29,비금융회사,스카이주택,동일인측,동일인측 합계,동일인측 합계,/,300000,100.00%,-,-,300000,100.00%,300000,1.0,50,50,,,
30,비금융회사,스카이주택,총 계,총 계,총 계,/,300000,100.00%,-,-,300000,100.00%,300000,1.0,50,50,,,
31,비금융회사,연희파크,동일인측,계열회사 (국내+해외),계열회사 (국내+해외),호반건설,432250,35.00%,-,-,432250,33.25%,1300000,0.3325,1,1,0.3325,0.3325,호반건설
32,비금융회사,연희파크,동일인측,동일인측 합계,동일인측 합계,/,432250,35.00%,-,-,432250,33.25%,1300000,0.3325,50,50,,,
33,비금융회사,연희파크,기타주주,기타,기타,/,802750,65.00%,65000,100.00%,867750,66.75%,1300000,0.6675,99,99,0.6675,0.6675,
34,비금융회사,연희파크,총 계,총 계,총 계,/,1235000,100.00%,65000,100.00%,1300000,100.00%,1300000,1.0,50,50,,,
35,비금융회사,호반산업,동일인측,친족,배우자/ 혈족1촌,김민성,450000,41.99%,-,-,450000,41.99%,1071796,0.419856017376441,50,50,,,
36,비금융회사,호반산업,동일인측,친족,친족 합계,/,450000,41.99%,-,-,450000,41.99%,1071796,0.419856017376441,0,0,0.419856017376441,0.839712034752882,
37,비금융회사,호반산업,동일인측,자기주식,자기주식,호반산업,450000,41.99%,-,-,450000,41.99%,1071796,0.419856017376441,50,0,,0.839712034752882,
38,비금융회사,호반산업,동일인측,계열회사 (국내+해외),계열회사 (국내+해외),호반건설,121796,11.36%,-,-,121796,11.36%,1071796,0.11363729664973558,1,1,0.11363729664973558,0.11363729664973558,호반건설
39,비금융회사,호반산업,동일인측,계열회사 (국내+해외),계열회사 (국내+해외),호반베르디움,50000,4.67%,-,-,50000,4.67%,1071796,0.04665066859738234,1,1,0.04665066859738234,0.04665066859738234,호반베르디움
40,비금융회사,호반산업,동일인측,동일인측 합계,동일인측 합계,/,1071796,100.00%,-,-,1071796,100.00%,1071796,1.0,50,50,,,
41,비금융회사,호반산업,총 계,총 계,총 계,/,1071796,100.00%,-,-,1071796,100.00%,1071796,1.0,50,50,,,
42,비금융회사,티에스주택,동일인측,계열회사 (국내+해외),계열회사 (국내+해외),호반산업,2000000,100.00%,-,-,2000000,100.00%,2000000,1.0,1,1,1.0,1.0,호반산업
43,비금융회사,티에스주택,동일인측,동일인측 합계,동일인측 합계,/,2000000,100.00%,-,-,2000000,100.00%,2000000,1.0,50,50,,,
44,비금융회사,티에스주택,총 계,총 계,총 계,/,2000000,100.00%,-,-,2000000,100.00%,2000000,1.0,50,50,,,
45,비금융회사,티에스개발,동일인측,계열회사 (국내+해외),계열회사 (국내+해외),호반산업,50000,100.00%,-,-,50000,100.00%,50000,1.0,1,1,1.0,1.0,호반산업
46,비금융회사,티에스개발,동일인측,동일인측 합계,동일인측 합계,/,50000,100.00%,-,-,50000,100.00%,50000,1.0,50,50,,,
47,비금융회사,티에스개발,총 계,총 계,총 계,/,50000,100.00%,-,-,50000,100.00%,50000,1.0,50,50,,,
48,비금융회사,티에스건설,동일인측,계열회사 (국내+해외),계열회사 (국내+해외),호반산업,50000,100.00%,-,-,50000,100.00%,50000,1.0,1,1,1.0,1.0,호반산업
49,비금융회사,티에스건설,동일인측,동일인측 합계,동일인측 합계,/,50000,100.00%,-,-,50000,100.00%,50000,1.0,50,50,,,
50,비금융회사,티에스건설,총 계,총 계,총 계,/,50000,100.00%,-,-,50000,100.00%,50000,1.0,50,50,,,
51,비금융회사,티에스자산개발,동일인측,계열회사 (국내+해외),계열회사 (국내+해외),호반산업,2000000,100.00%,-,-,2000000,100.00%,2000000,1.0,1,1,1.0,1.0,호반산업
52,비금융회사,티에스자산개발,동일인측,동일인측 합계,동일인측 합계,/,2000000,100.00%,-,-,2000000,100.00%,2000000,1.0,50,50,,,
53,비금융회사,티에스자산개발,총 계,총 계,총 계,/,2000000,100.00%,-,-,2000000,100.00%,2000000,1.0,50,50,,,
54,비금융회사,티에스리빙,동일인측,계열회사 (국내+해외),계열회사 (국내+해외),호반산업,50000,100.00%,-,-,50000,100.00%,50000,1.0,1,1,1.0,1.0,호반산업
55,비금융회사,티에스리빙,동일인측,동일인측 합계,동일인측 합계,/,50000,100.00%,-,-,50000,100.00%,50000,1.0,50,50,,,
56,비금융회사,티에스리빙,총 계,총 계,총 계,/,50000,100.00%,-,-,50000,100.00%,50000,1.0,50,50,,,
57,비금융회사,화랑관사비티엘,동일인측,계열회사 (국내+해외),계열회사 (국내+해외),호반산업,219138,69.24%,-,-,219138,69.24%,316490,0.6924010237290278,1,1,0.6924010237290278,0.6924010237290278,호반산업
58,비금융회사,화랑관사비티엘,동일인측,동일인측 합계,동일인측 합계,/,219138,69.24%,-,-,219138,69.24%,316490,0.6924010237290278,50,50,,,
59,비금융회사,화랑관사비티엘,기타주주,기타,기타,/,97352,30.76%,-,-,97352,30.76%,316490,0.3075989762709722,99,99,0.3075989762709722,0.3075989762709722,
60,비금융회사,화랑관사비티엘,총 계,총 계,총 계,/,316490,100.00%,-,-,316490,100.00%,316490,1.0,50,50,,,
61,비금융회사,호반티비엠,동일인측,계열회사 (국내+해외),계열회사 (국내+해외),호반산업,1903104,98.77%,-,-,1903104,98.77%,1926864,0.9876690830281742,1,1,0.9876690830281742,0.9876690830281742,호반산업
62,비금융회사,호반티비엠,동일인측,동일인측 합계,동일인측 합계,/,1903104,98.77%,-,-,1903104,98.77%,1926864,0.9876690830281742,50,50,,,
63,비금융회사,호반티비엠,기타주주,기타,기타,/,23760,1.23%,-,-,23760,1.23%,1926864,0.012330916971825723,99,99,0.012330916971825723,0.012330916971825723,
64,비금융회사,호반티비엠,총 계,총 계,총 계,/,1926864,100.00%,-,-,1926864,100.00%,1926864,1.0,50,50,,,
65,비금융회사,호반베르디움,동일인측,친족,배우자/ 혈족1촌,김민성,32000,20.65%,-,-,32000,20.65%,155000,0.2064516129032258,50,50,,,
66,비금융회사,호반베르디움,동일인측,친족,배우자/ 혈족1촌,김윤혜,48000,30.97%,-,-,48000,30.97%,155000,0.3096774193548387,50,50,,,
67,비금융회사,호반베르디움,동일인측,친족,친족 합계,/,80000,51.61%,-,-,80000,51.61%,155000,0.5161290322580645,0,0,0.5161290322580645,1.0,
68,비금융회사,호반베르디움,동일인측,자기주식,자기주식,호반베르디움,75000,48.39%,-,-,75000,48.39%,155000,0.4838709677419355,50,0,,1.0,
69,비금융회사,호반베르디움,동일인측,동일인측 합계,동일인측 합계,/,155000,100.00%,-,-,155000,100.00%,155000,1.0,50,50,,,
70,비금융회사,호반베르디움,총 계,총 계,총 계,/,155000,100.00%,-,-,155000,100.00%,155000,1.0,50,50,,,
71,비금융회사,배곧랜드마크피에프브이,동일인측,계열회사 (국내+해외),계열회사 (국내+해외),호반베르디움,250000,25.00%,-,-,250000,25.00%,1000000,0.25,1,1,0.25,0.25,호반베르디움
72,비금융회사,배곧랜드마크피에프브이,동일인측,계열회사 (국내+해외),계열회사 (국내+해외),호반건설,200000,20.00%,-,-,200000,20.00%,1000000,0.2,1,1,0.2,0.2,호반건설
73,비금융회사,배곧랜드마크피에프브이,동일인측,동일인측 합계,동일인측 합계,/,450000,45.00%,-,-,450000,45.00%,1000000,0.45,50,50,,,
74,비금융회사,배곧랜드마크피에프브이,기타주주,기타,기타,/,550000,55.00%,-,-,550000,55.00%,1000000,0.55,99,99,0.55,0.55,
75,비금융회사,배곧랜드마크피에프브이,총 계,총 계,총 계,/,1000000,100.00%,-,-,1000000,100.00%,1000000,1.0,50,50,,,
76,비금융회사,호반호텔앤리조트,동일인측,계열회사 (국내+해외),계열회사 (국내+해외),호반건설,2500000,100.00%,-,-,2500000,100.00%,2500000,1.0,1,1,1.0,1.0,호반건설
77,비금융회사,호반호텔앤리조트,동일인측,동일인측 합계,동일인측 합계,/,2500000,100.00%,-,-,2500000,100.00%,2500000,1.0,50,50,,,
78,비금융회사,호반호텔앤리조트,총 계,총 계,총 계,/,2500000,100.00%,-,-,2500000,100.00%,2500000,1.0,50,50,,,
79,비금융회사,리솜리조트,동일인측,계열회사 (국내+해외),계열회사 (국내+해외),호반호텔앤리조트,3500,70.00%,-,-,3500,70.00%,5000,0.7,1,1,0.7,0.7,호반호텔앤리조트
80,비금융회사,리솜리조트,동일인측,계열회사 (국내+해외),계열회사 (국내+해외),리솜건설,500,10.00%,-,-,500,10.00%,5000,0.1,1,1,0.1,0.1,리솜건설
