,소속회사명1,소속회사명2,동일인과의 관계1,동일인과의 관계2,동일인과의 관계3,성명,보통주 주식수,보통주 지분율,우선주 주식수,우선주 지분율,합계 주식수,합계 지분율,divisor,shares
0,비금융회사,씨제이,동일인측,동일인,동일인,이재현,12275574,42.07,-,0.0,12275574.0,34.42,35663733.0,0.3442032834868969
1,비금융회사,씨제이,동일인측,친족,배우자/혈족1촌,이경후,346089,1.19,926290,14.28,1272379.0,3.57,35663733.0,0.03567711209592109
2,비금융회사,씨제이,동일인측,친족,배우자/혈족1촌,이선호,802692,2.75,802692,12.37,1605384.0,4.5,35663733.0,0.04501446890038124
3,비금융회사,씨제이,동일인측,친족,혈족2~4촌,,,0.0,,0.0,,0.0,35663733.0,
4,비금융회사,씨제이,동일인측,친족,혈족2~4촌,,,0.0,,0.0,,0.0,35663733.0,
5,비금융회사,씨제이,동일인측,친족,혈족5~6촌,,,0.0,,0.0,,0.0,35663733.0,
6,비금융회사,씨제이,동일인측,친족,혈족5~6촌,,,0.0,,0.0,,0.0,35663733.0,
7,비금융회사,씨제이,동일인측,친족,인척 4촌 이내,김교숙,10013,0.03,1502,0.02,11515.0,0.03,35663733.0,0.00032287702467938506
8,비금융회사,씨제이,동일인측,친족,인척 4촌 이내,,,0.0,,0.0,,0.0,35663733.0,
9,비금융회사,씨제이,동일인측,친족,친족 합계,,1158794,3.97,1730484,26.68,2889278.0,8.1,35663733.0,0.08101445802098171
10,비금융회사,씨제이,동일인측,비영리법인,비영리법인,(사)씨제이나눔재단,164004,0.56,24600,0.38,188604.0,0.53,35663733.0,0.0052883975998810895
11,비금융회사,씨제이,동일인측,비영리법인,비영리법인,(재)씨제이문화재단,125681,0.43,18852,0.29,144533.0,0.41,35663733.0,0.004052660443594057
12,비금융회사,씨제이,동일인측,등기된 임원,등기된 임원,강신호,5000,0.02,750,0.01,5750.0,0.02,35663733.0,0.00016122821466838595
13,비금융회사,씨제이,동일인측,등기된 임원,등기된 임원,최은석,750,0.0,,,,,35663733.0,
14,비금융회사,씨제이,동일인측,등기된 임원,등기된 임원,,,,,,,,35663733.0,
15,비금융회사,씨제이,동일인측,자기주식,자기주식,씨제이,2118538,7.26,14252,0.22,2132790.0,5.98,35663733.0,0.05980276938479771
16,비금융회사,씨제이,동일인측,계열회사(국내+해외),계열회사(국내+해외),,,0.0,,0.0,,0.0,35663733.0,
17,비금융회사,씨제이,동일인측,기타 동일인관련자,기타 동일인관련자,,,0.0,,0.0,,0.0,35663733.0,
18,비금융회사,씨제이,동일인측,동일인측 합계,동일인측 합계,,15848341,54.32,1788938,27.58,17636529.0,49.45,35663733.0,0.49452279715081987
19,비금융회사,씨제이,기타주주,동일인측이 아닌최다주주,동일인측이 아닌최다주주,,,0.0,,0.0,,0.0,35663733.0,
20,비금융회사,씨제이,기타주주,기타,기타,,13328657,45.68,4697797,72.42,18026454.0,50.55,35663733.0,0.5054561730820495
21,비금융회사,씨제이,총 계,총 계,총 계,,29176998,100.0,6486735,100.0,35663733.0,100.0,35663733.0,1.0
22,비금융회사,씨제이제일제당,동일인측,동일인,동일인,이재현,70931,0.47,-,0.0,70931.0,0.43,16381619.0,0.004329913911439401
23,비금융회사,씨제이제일제당,동일인측,친족,배우자/혈족1촌,이경후,22015,0.15,,0.0,22015.0,0.13,16381619.0,0.0013438842644307623
24,비금융회사,씨제이제일제당,동일인측,친족,배우자/혈족1촌,,,0.0,,0.0,,0.0,16381619.0,
25,비금융회사,씨제이제일제당,동일인측,친족,혈족2~4촌,손경식,5500,0.04,,0.0,5500.0,0.03,16381619.0,0.0003357421510047328
26,비금융회사,씨제이제일제당,동일인측,친족,혈족2~4촌,,,0.0,,0.0,,0.0,16381619.0,
27,비금융회사,씨제이제일제당,동일인측,친족,혈족5~6촌,,,0.0,,0.0,,0.0,16381619.0,
