,소속회사명1,소속회사명2,동일인과의 관계1,동일인과의 관계2,동일인과의 관계3,성명,보통주 주식수,보통주 지분율,우선주 주식수,우선주 지분율,합계 주식수,합계 지분율,divisor,shares
0,비금융회사,DB Inc.,동일인측,동일인,동일인,김준기,22522980,11.20,-,-,22522980.0,11.20,201173933.0,0.11195774553952773
1,비금융회사,DB Inc.,동일인측,친족,배우자/혈족1촌,김정희,2205140,1.10,-,-,2205140.0,1.10,201173933.0,0.010961360486002925
2,비금융회사,DB Inc.,동일인측,친족,배우자/혈족1촌,김남호,33856750,16.83,-,-,33856750.0,16.83,201173933.0,0.16829590939100444
3,비금융회사,DB Inc.,동일인측,친족,배우자/혈족1촌,김주원,18486310,9.19,-,-,18486310.0,9.19,201173933.0,0.09189217372411762
4,비금융회사,DB Inc.,동일인측,친족,혈족2~4촌,김명자,286650,0.14,-,-,286650.0,0.14,201173933.0,0.0014248863942029706
5,비금융회사,DB Inc.,동일인측,친족,혈족2~4촌,김명희,120000,0.06,-,-,120000.0,0.06,201173933.0,0.00059649875215195
6,비금융회사,DB Inc.,동일인측,친족,혈족2~4촌,김택기,149160,0.07,-,-,149160.0,0.07,201173933.0,0.0007414479489248739
7,비금융회사,DB Inc.,동일인측,친족,혈족2~4촌,김남선,149160,0.07,-,-,149160.0,0.07,201173933.0,0.0007414479489248739
8,비금융회사,DB Inc.,동일인측,친족,혈족2~4촌,김병은,74580,0.04,-,-,74580.0,0.04,201173933.0,0.00037072397446243695
9,비금융회사,DB Inc.,동일인측,친족,혈족2~4촌,김병직,64580,0.03,-,-,64580.0,0.03,201173933.0,0.0003210157451164411
10,비금융회사,DB Inc.,동일인측,친족,혈족5~6촌,-,-,-,-,-,,-,201173933.0,
11,비금융회사,DB Inc.,동일인측,친족,인척 4촌 이내,김정림,286650,0.14,-,-,286650.0,0.14,201173933.0,0.0014248863942029706
12,비금융회사,DB Inc.,동일인측,친족,인척 4촌 이내,윤대근,573330,0.28,-,-,573330.0,0.28,201173933.0,0.0028499219130939794
13,비금융회사,DB Inc.,동일인측,친족,인척 4촌 이내,임주웅,573330,0.28,-,-,573330.0,0.28,201173933.0,0.0028499219130939794
14,비금융회사,DB Inc.,동일인측,친족,인척 4촌 이내,윤홍식,74580,0.04,-,-,74580.0,0.04,201173933.0,0.00037072397446243695
15,비금융회사,DB Inc.,동일인측,친족,친족 합계,-,56900220,28.28,-,-,56900220.0,28.28,201173933.0,0.2828409185597619
16,비금융회사,DB Inc.,동일인측,비영리법인,비영리법인,DB김준기문화재단,8644280,4.30,-,-,8644280.0,4.30,201173933.0,0.04296918527710049
17,비금융회사,DB Inc.,동일인측,등기된 임원,등기된 임원,백민호,7000,0.00,-,-,7000.0,0.00,201173933.0,3.4795760542197086e-05
18,비금융회사,DB Inc.,동일인측,등기된 임원,등기된 임원,강운식,50000,0.02,-,-,50000.0,0.02,201173933.0,0.00024854114672997915
19,비금융회사,DB Inc.,동일인측,자기주식,자기주식,DB Inc.,10143400,5.04,-,-,10143400.0,5.04,201173933.0,0.050421045354817416
20,비금융회사,DB Inc.,동일인측,계열회사(국내+해외),계열회사(국내+해외),-,-,-,-,-,,-,201173933.0,
21,비금융회사,DB Inc.,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,,-,201173933.0,
22,비금융회사,DB Inc.,동일인측,동일인측 합계,동일인측 합계,-,98267880,48.85,-,-,98267880.0,48.85,201173933.0,0.48847223163847975
23,비금융회사,DB Inc.,기타주주,동일인측이 아닌최다주주,동일인측이 아닌최다주주,-,-,-,-,-,,-,201173933.0,
24,비금융회사,DB Inc.,기타주주,기타,기타,-,102906053,51.15,-,-,102906053.0,51.15,201173933.0,0.5115277683615203
25,비금융회사,DB Inc.,총 계,총 계,총 계,-,201173933,100.00,-,-,201173933.0,100.00,201173933.0,1.0
26,비금융회사,DB메탈,동일인측,동일인,동일인,-,-,-,-,-,,-,38665511.0,
27,비금융회사,DB메탈,동일인측,친족,배우자/ 혈족1촌,김남호,8665511,22.41,-,-,8665511.0,22.41,38665511.0,0.22411474142938392
28,비금융회사,DB메탈,동일인측,친족,혈족2~4촌,-,-,-,-,-,,-,38665511.0,
29,비금융회사,DB메탈,동일인측,친족,혈족5~6촌,-,-,-,-,-,,-,38665511.0,
30,비금융회사,DB메탈,동일인측,친족,인척 4촌 이내,-,-,-,-,-,,-,38665511.0,
31,비금융회사,DB메탈,동일인측,친족,친족 합계,-,8665511,22.41,-,-,8665511.0,22.41,38665511.0,0.22411474142938392
32,비금융회사,DB메탈,동일인측,비영리법인,비영리법인,-,-,-,-,-,,-,38665511.0,
33,비금융회사,DB메탈,동일인측,등기된 임원,등기된 임원,고원종,1500,0.00,-,-,1500.0,0.00,38665511.0,3.87942629285308e-05
34,비금융회사,DB메탈,동일인측,등기된 임원,등기된 임원,곽제동,1500,0.00,-,-,1500.0,0.00,38665511.0,3.87942629285308e-05
35,비금융회사,DB메탈,동일인측,등기된 임원,등기된 임원,김영만,500,0.00,-,-,500.0,0.00,38665511.0,1.2931420976176934e-05
36,비금융회사,DB메탈,동일인측,등기된 임원,등기된 임원,김정남,500,0.00,-,-,500.0,0.00,38665511.0,1.2931420976176934e-05
37,비금융회사,DB메탈,동일인측,등기된 임원,등기된 임원,김하중,1000,0.00,-,-,1000.0,0.00,38665511.0,2.586284195235387e-05
38,비금융회사,DB메탈,동일인측,등기된 임원,등기된 임원,나대두,240,0.00,-,-,240.0,0.00,38665511.0,6.207082068564929e-06
39,비금융회사,DB메탈,동일인측,등기된 임원,등기된 임원,목진영,500,0.00,-,-,500.0,0.00,38665511.0,1.2931420976176934e-05
