,소속회사명1,소속회사명2,동일인과의 관계1,동일인과의 관계2,동일인과의 관계3,성명,보통주 주식수,보통주 지분율,우선주 주식수,우선주 지분율,합계 주식수,합계 지분율,divisor,shares
0,비금융회사,에이치디씨,동일인측,동일인,동일인,정몽규,19740019,33.04%,-,-,19740019.0,33.04%,59741721.0,0.33042267061573266
1,비금융회사,에이치디씨,동일인측,친족,배우자/혈족1촌,Kim Julie Ann,1856,0.00%,-,-,1856.0,0.00%,59741721.0,3.1067066179764054e-05
2,비금융회사,에이치디씨,동일인측,친족,배우자/혈족1촌,박영자,30034,0.05%,-,-,30034.0,0.05%,59741721.0,0.0005027307465749104
3,비금융회사,에이치디씨,동일인측,친족,배우자/혈족1촌,정준선,60000,0.10%,-,-,60000.0,0.10%,59741721.0,0.0010043232601216828
4,비금융회사,에이치디씨,동일인측,친족,배우자/혈족1촌,정원선,30000,0.05%,-,-,30000.0,0.05%,59741721.0,0.0005021616300608414
5,비금융회사,에이치디씨,동일인측,친족,배우자/혈족1촌,정운선,10000,0.02%,-,-,10000.0,0.02%,59741721.0,0.00016738721002028048
6,비금융회사,에이치디씨,동일인측,친족,혈족2~4촌,정숙영,24132,0.04%,-,-,24132.0,0.04%,59741721.0,0.00040393881522094084
7,비금융회사,에이치디씨,동일인측,친족,혈족2~4촌,노경수,291999,0.49%,-,-,291999.0,0.49%,59741721.0,0.004887689793871187
8,비금융회사,에이치디씨,동일인측,친족,혈족2~4촌,정유경,223588,0.37%,-,-,223588.0,0.37%,59741721.0,0.003742577151401447
9,비금융회사,에이치디씨,동일인측,친족,혈족5~6촌,-,-,-,-,-,,-,59741721.0,
10,비금융회사,에이치디씨,동일인측,친족,인척 4촌 이내,-,-,-,-,-,,-,59741721.0,
11,비금융회사,에이치디씨,동일인측,친족,친족 합계,/,671609,1.12%,-,-,671609.0,1.12%,59741721.0,0.011241875673451054
12,비금융회사,에이치디씨,동일인측,비영리법인,비영리법인,포니정장학재단,83428,0.14%,-,-,83428.0,0.14%,59741721.0,0.001396478015757196
13,비금융회사,에이치디씨,동일인측,등기된 임원,등기된 임원,-,-,-,-,-,,-,59741721.0,
14,비금융회사,에이치디씨,동일인측,자기주식,자기주식,에이치디씨,2219656,3.72%,,,2219656.0,3.72%,59741721.0,0.03715420250447757
