,소속회사명1,소속회사명2,동일인과의 관계1,동일인과의 관계2,동일인과의 관계3,성명,보통주 주식수,보통주 지분율,우선주 주식수,우선주 지분율,합계 주식수,합계 지분율,divisor,shares
0,비금융회사,KG케미칼,동일인측,동일인,동일인,곽재선,2230957,17.14,-,-,2230957.0,17.14,13013232.0,0.17143757984181024
1,비금융회사,KG케미칼,동일인측,친족,배우자/혈족1촌,김영란,111430,0.86,-,-,111430.0,0.86,13013232.0,0.008562822825259706
2,비금융회사,KG케미칼,동일인측,친족,배우자/혈족1촌,곽정현,391826,3.01,-,-,391826.0,3.01,13013232.0,0.030109814379702136
3,비금융회사,KG케미칼,동일인측,친족,배우자/혈족1촌,곽혜은,225351,1.73,-,-,225351.0,1.73,13013232.0,0.017317066198466298
4,비금융회사,KG케미칼,동일인측,친족,혈족2~4촌,최고은,1000,0.01,-,-,1000.0,0.01,13013232.0,7.684486067719379e-05
5,비금융회사,KG케미칼,동일인측,친족,혈족2~4촌,최주은,850,0.01,-,-,850.0,0.01,13013232.0,6.531813157561473e-05
6,비금융회사,KG케미칼,동일인측,친족,혈족5~6촌,-,-,-,-,-,,-,13013232.0,
7,비금융회사,KG케미칼,동일인측,친족,혈족5~6촌,-,-,-,-,-,,-,13013232.0,
8,비금융회사,KG케미칼,동일인측,친족,인척 4촌 이내,배수빈,2512,0.02,-,-,2512.0,0.02,13013232.0,0.00019303429002111083
9,비금융회사,KG케미칼,동일인측,친족,인척 4촌 이내,이상준,11702,0.09,-,-,11702.0,0.09,13013232.0,0.0008992385596445218
10,비금융회사,KG케미칼,동일인측,친족,친족 합계,/,744671,5.72,-,-,744671.0,5.72,13013232.0,0.057224139245346584
11,비금융회사,KG케미칼,동일인측,비영리법인,비영리법인,(재)선현,368428,2.83,-,-,368428.0,2.83,13013232.0,0.028311798329577156
12,비금융회사,KG케미칼,동일인측,비영리법인,비영리법인,-,-,-,-,-,,-,13013232.0,
13,비금융회사,KG케미칼,동일인측,등기된 임원,등기된 임원,-,-,-,-,-,,-,13013232.0,
14,비금융회사,KG케미칼,동일인측,등기된 임원,등기된 임원,-,-,-,-,-,,-,13013232.0,
15,비금융회사,KG케미칼,동일인측,자기주식,자기주식,KG케미칼,200910,1.54,-,-,200910.0,1.54,13013232.0,0.015438900958655006
16,비금융회사,KG케미칼,동일인측,계열회사(국내+해외),계열회사(국내+해외),KG제로인,2716494,20.87,-,-,2716494.0,20.87,13013232.0,0.20874860296043288
17,비금융회사,KG케미칼,동일인측,계열회사(국내+해외),계열회사(국내+해외),스마트인슈,6007,0.05,-,-,6007.0,0.05,13013232.0,0.00046160707808790317
18,비금융회사,KG케미칼,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,,-,13013232.0,
19,비금융회사,KG케미칼,동일인측,동일인측 합계,동일인측 합계,/,6267467,48.16,-,-,6267467.0,48.16,13013232.0,0.4816226284139098
20,비금융회사,KG케미칼,기타주주,동일인측이 아닌최다주주,동일인측이 아닌최다주주,-,-,-,-,-,,-,13013232.0,
21,비금융회사,KG케미칼,기타주주,기타,기타,/,6745765,51.84,-,-,6745765.0,51.84,13013232.0,0.5183773715860902
22,비금융회사,KG케미칼,총 계,총 계,총 계,/,13013232,100.00,-,-,13013232.0,100.00,13013232.0,1.0
23,비금융회사,KG이티에스,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,,-,36000000.0,
24,비금융회사,KG이티에스,동일인측,친족,혈족2~4촌,최고은,10820,0.03,-,-,10820.0,0.03,36000000.0,0.00030055555555555554
25,비금융회사,KG이티에스,동일인측,친족,혈족2~4촌,최주은,10870,0.03,-,-,10870.0,0.03,36000000.0,0.00030194444444444447
26,비금융회사,KG이티에스,동일인측,친족,혈족5~6촌,-,-,-,-,-,,-,36000000.0,
27,비금융회사,KG이티에스,동일인측,친족,혈족5~6촌,-,-,-,-,-,,-,36000000.0,
28,비금융회사,KG이티에스,동일인측,친족,인척 4촌 이내,배수빈,10900,0.03,-,-,10900.0,0.03,36000000.0,0.0003027777777777778
29,비금융회사,KG이티에스,동일인측,친족,인척 4촌 이내,-,-,-,-,-,,-,36000000.0,
30,비금융회사,KG이티에스,동일인측,친족,친족 합계,/,60624,0.17,-,-,60624.0,0.17,36000000.0,0.001684
31,비금융회사,KG이티에스,동일인측,비영리법인,비영리법인,-,-,-,-,-,,-,36000000.0,
32,비금융회사,KG이티에스,동일인측,비영리법인,비영리법인,-,-,-,-,-,,-,36000000.0,
33,비금융회사,KG이티에스,동일인측,등기된 임원,등기된 임원,엄기민,10000,0.03,-,-,10000.0,0.03,36000000.0,0.0002777777777777778
34,비금융회사,KG이티에스,동일인측,등기된 임원,등기된 임원,백승엽,3193,0.01,-,-,3193.0,0.01,36000000.0,8.869444444444444e-05
35,비금융회사,KG이티에스,동일인측,등기된 임원,등기된 임원,최귀돈,8500,0.02,-,-,8500.0,0.02,36000000.0,0.00023611111111111112
36,비금융회사,KG이티에스,동일인측,등기된 임원,등기된 임원,김형철,20000,0.06,-,-,20000.0,0.06,36000000.0,0.0005555555555555556
37,비금융회사,KG이티에스,동일인측,등기된 임원,등기된 임원,배보경,6000,0.02,-,-,6000.0,0.02,36000000.0,0.00016666666666666666
38,비금융회사,KG이티에스,동일인측,자기주식,자기주식,KG이티에스,1204582,3.35,-,-,1204582.0,3.35,36000000.0,0.033460611111111115
39,비금융회사,KG이티에스,동일인측,계열회사(국내+해외),계열회사(국내+해외),KG,14883139,41.34,-,-,14883139.0,41.34,36000000.0,0.41342052777777777
40,비금융회사,KG이티에스,동일인측,계열회사(국내+해외),계열회사(국내+해외),KG케미칼,1783860,4.96,-,-,1783860.0,4.96,36000000.0,0.04955166666666667
41,비금융회사,KG이티에스,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,,-,36000000.0,
42,비금융회사,KG이티에스,동일인측,동일인측 합계,동일인측 합계,/,17979898,49.94,-,-,17979898.0,49.94,36000000.0,0.49944161111111113
43,비금융회사,KG이티에스,기타주주,동일인측이 아닌최다주주,동일인측이 아닌최다주주,-,-,-,-,-,,-,36000000.0,
44,비금융회사,KG이티에스,기타주주,기타,기타,/,18020102,50.06,-,-,18020102.0,50.06,36000000.0,0.5005583888888889
45,비금융회사,KG이티에스,총 계,총 계,총 계,/,36000000,100.00,-,-,36000000.0,100.00,36000000.0,1.0
46,비금융회사,KG동부제철,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,,-,100062282.0,
47,비금융회사,KG동부제철,동일인측,친족,혈족2~4촌,-,-,-,-,-,,-,100062282.0,
48,비금융회사,KG동부제철,동일인측,친족,혈족2~4촌,-,-,-,-,-,,-,100062282.0,
49,비금융회사,KG동부제철,동일인측,친족,혈족5~6촌,-,-,-,-,-,,-,100062282.0,
50,비금융회사,KG동부제철,동일인측,친족,혈족5~6촌,-,-,-,-,-,,-,100062282.0,
51,비금융회사,KG동부제철,동일인측,친족,인척 4촌 이내,-,-,-,-,-,,-,100062282.0,
52,비금융회사,KG동부제철,동일인측,친족,인척 4촌 이내,-,-,-,-,-,,-,100062282.0,
53,비금융회사,KG동부제철,동일인측,친족,친족 합계,/,-,-,-,-,,-,100062282.0,
54,비금융회사,KG동부제철,동일인측,비영리법인,비영리법인,-,-,-,-,-,,-,100062282.0,
55,비금융회사,KG동부제철,동일인측,비영리법인,비영리법인,-,-,-,-,-,,-,100062282.0,
56,비금융회사,KG동부제철,동일인측,등기된 임원,등기된 임원,백승엽,416,0.00,-,-,416.0,0.00,100062282.0,4.157410681479361e-06
57,비금융회사,KG동부제철,동일인측,등기된 임원,등기된 임원,위수복,266,0.00,-,-,266.0,0.00,100062282.0,2.658344329984399e-06
58,비금융회사,KG동부제철,동일인측,자기주식,자기주식,KG동부제철,6585,0.01,678,1.27,7263.0,0.01,100062282.0,7.258479273938605e-05
59,비금융회사,KG동부제철,동일인측,계열회사(국내+해외),계열회사(국내+해외),KG스틸,40000000,40.00,-,-,40000000.0,39.98,100062282.0,0.3997510270653232
60,비금융회사,KG동부제철,동일인측,계열회사(국내+해외),계열회사(국내+해외),-,-,-,-,-,,-,100062282.0,
61,비금융회사,KG동부제철,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,,-,100062282.0,
62,비금융회사,KG동부제철,동일인측,동일인측 합계,동일인측 합계,/,40007267,40.00,678,1.27,40007945.0,39.98,100062282.0,0.399830427613074
63,비금융회사,KG동부제철,기타주주,동일인측이 아닌최다주주,동일인측이 아닌최다주주,-,-,-,-,-,,-,100062282.0,
64,비금융회사,KG동부제철,기타주주,기타,기타,/,60001630,60.00,52707,98.73,60054337.0,60.02,100062282.0,0.6001695723869259
65,비금융회사,KG동부제철,총 계,총 계,총 계,/,100008897,100.00,53385,100.00,100062282.0,100.00,100062282.0,1.0
66,비금융회사,KG지엔에스,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,,-,5000000.0,
67,비금융회사,KG지엔에스,동일인측,친족,혈족2~4촌,-,-,-,-,-,,-,5000000.0,
68,비금융회사,KG지엔에스,동일인측,친족,혈족2~4촌,-,-,-,-,-,,-,5000000.0,
69,비금융회사,KG지엔에스,동일인측,친족,혈족5~6촌,-,-,-,-,-,,-,5000000.0,
70,비금융회사,KG지엔에스,동일인측,친족,혈족5~6촌,-,-,-,-,-,,-,5000000.0,
71,비금융회사,KG지엔에스,동일인측,친족,인척 4촌 이내,-,-,-,-,-,,-,5000000.0,
72,비금융회사,KG지엔에스,동일인측,친족,인척 4촌 이내,-,-,-,-,-,,-,5000000.0,
73,비금융회사,KG지엔에스,동일인측,친족,친족 합계,/,-,-,-,-,,-,5000000.0,
74,비금융회사,KG지엔에스,동일인측,비영리법인,비영리법인,-,-,-,-,-,,-,5000000.0,
75,비금융회사,KG지엔에스,동일인측,비영리법인,비영리법인,-,-,-,-,-,,-,5000000.0,
76,비금융회사,KG지엔에스,동일인측,등기된 임원,등기된 임원,-,-,-,-,-,,-,5000000.0,
77,비금융회사,KG지엔에스,동일인측,등기된 임원,등기된 임원,-,-,-,-,-,,-,5000000.0,
78,비금융회사,KG지엔에스,동일인측,자기주식,자기주식,-,-,-,-,-,,-,5000000.0,
79,비금융회사,KG지엔에스,동일인측,계열회사(국내+해외),계열회사(국내+해외),KG동부제철,5000000,100.00,-,-,5000000.0,100.00,5000000.0,1.0
80,비금융회사,KG지엔에스,동일인측,계열회사(국내+해외),계열회사(국내+해외),-,-,-,-,-,,-,5000000.0,
81,비금융회사,KG지엔에스,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,,-,5000000.0,
82,비금융회사,KG지엔에스,동일인측,동일인측 합계,동일인측 합계,/,5000000,100.00,-,-,5000000.0,100.00,5000000.0,1.0
83,비금융회사,KG지엔에스,기타주주,동일인측이 아닌최다주주,동일인측이 아닌최다주주,-,-,-,-,-,,-,5000000.0,
84,비금융회사,KG지엔에스,기타주주,기타,기타,/,-,-,-,-,,-,5000000.0,
85,비금융회사,KG지엔에스,총 계,총 계,총 계,/,5000000,100.00,-,-,5000000.0,100.00,5000000.0,1.0
86,비금융회사,KG동부이앤씨,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,,-,1000000.0,
87,비금융회사,KG동부이앤씨,동일인측,친족,혈족2~4촌,-,-,-,-,-,,-,1000000.0,
88,비금융회사,KG동부이앤씨,동일인측,친족,혈족2~4촌,-,-,-,-,-,,-,1000000.0,
89,비금융회사,KG동부이앤씨,동일인측,친족,혈족5~6촌,-,-,-,-,-,,-,1000000.0,
90,비금융회사,KG동부이앤씨,동일인측,친족,혈족5~6촌,-,-,-,-,-,,-,1000000.0,
91,비금융회사,KG동부이앤씨,동일인측,친족,인척 4촌 이내,-,-,-,-,-,,-,1000000.0,
92,비금융회사,KG동부이앤씨,동일인측,친족,인척 4촌 이내,-,-,-,-,-,,-,1000000.0,
93,비금융회사,KG동부이앤씨,동일인측,친족,친족 합계,/,-,-,-,-,,-,1000000.0,
94,비금융회사,KG동부이앤씨,동일인측,비영리법인,비영리법인,-,-,-,-,-,,-,1000000.0,
95,비금융회사,KG동부이앤씨,동일인측,비영리법인,비영리법인,-,-,-,-,-,,-,1000000.0,
96,비금융회사,KG동부이앤씨,동일인측,등기된 임원,등기된 임원,-,-,-,-,-,,-,1000000.0,
97,비금융회사,KG동부이앤씨,동일인측,등기된 임원,등기된 임원,-,-,-,-,-,,-,1000000.0,
98,비금융회사,KG동부이앤씨,동일인측,자기주식,자기주식,-,-,-,-,-,,-,1000000.0,
