,소속회사명1,소속회사명2,동일인과의 관계1,동일인과의 관계2,동일인과의 관계3,성명,보통주 주식수,보통주 지분율,우선주 주식수,우선주 지분율,합계 주식수,합계 지분율,divisor,shares
0,비금융회사,네이버,동일인측,동일인,동일인,이해진,6129725,3.72,-,-,6129725.0,3.72,164813395.0,0.03719191028132149
1,비금융회사,네이버,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,,-,164813395.0,
2,비금융회사,네이버,동일인측,친족,혈족2~4촌,-,-,-,-,-,,-,164813395.0,
3,비금융회사,네이버,동일인측,친족,혈족5~6촌,-,-,-,-,-,,-,164813395.0,
4,비금융회사,네이버,동일인측,친족,인척 4촌 이내,이경림,150,0.00,-,-,150.0,0.00,164813395.0,9.101201998781713e-07
5,비금융회사,네이버,동일인측,친족,인척 4촌 이내,이상림,150,0.00,-,-,150.0,0.00,164813395.0,9.101201998781713e-07
6,비금융회사,네이버,동일인측,친족,인척 4촌 이내,남서연,170,0.00,-,-,170.0,0.00,164813395.0,1.0314695598619274e-06
7,비금융회사,네이버,동일인측,친족,인척 4촌 이내,남현선,170,0.00,-,-,170.0,0.00,164813395.0,1.0314695598619274e-06
8,비금융회사,네이버,동일인측,친족,친족 합계,-,640,0.00,-,-,640.0,0.00,164813395.0,3.883179519480198e-06
9,비금융회사,네이버,동일인측,비영리법인,비영리법인,-,-,-,-,-,,-,164813395.0,
10,비금융회사,네이버,동일인측,등기된 임원,등기된 임원,권순호,1985,0.00,-,-,1985.0,0.00,164813395.0,1.2043923978387801e-05
11,비금융회사,네이버,동일인측,등기된 임원,등기된 임원,김광현,5000,0.00,-,-,5000.0,0.00,164813395.0,3.0337339995939044e-05
12,비금융회사,네이버,동일인측,등기된 임원,등기된 임원,김영은,5280,0.00,-,-,5280.0,0.00,164813395.0,3.203623103571163e-05
13,비금융회사,네이버,동일인측,등기된 임원,등기된 임원,신재성,100,0.00,-,-,100.0,0.00,164813395.0,6.067467999187809e-07
14,비금융회사,네이버,동일인측,등기된 임원,등기된 임원,이인희,12460,0.01,-,-,12460.0,0.01,164813395.0,7.56006512698801e-05
15,비금융회사,네이버,동일인측,등기된 임원,등기된 임원,이정화,5150,0.00,-,-,5150.0,0.00,164813395.0,3.124746019581722e-05
16,비금융회사,네이버,동일인측,등기된 임원,등기된 임원,이지호,5,0.00,-,-,5.0,0.00,164813395.0,3.0337339995939044e-08
17,비금융회사,네이버,동일인측,등기된 임원,등기된 임원,이희우,2910,0.00,-,-,2910.0,0.00,164813395.0,1.7656331877636523e-05
18,비금융회사,네이버,동일인측,등기된 임원,등기된 임원,채선주,8975,0.00,-,-,8975.0,0.00,164813395.0,5.445552529271058e-05
19,비금융회사,네이버,동일인측,등기된 임원,등기된 임원,한규흥,7500,0.00,-,-,7500.0,0.00,164813395.0,4.550600999390857e-05
20,비금융회사,네이버,동일인측,등기된 임원,등기된 임원,한성숙,7945,0.00,-,-,7945.0,0.00,164813395.0,4.820603325354714e-05
21,비금융회사,네이버,동일인측,등기된 임원,등기된 임원,한재현,271,0.00,-,-,271.0,0.00,164813395.0,1.6442838277798962e-06
22,비금융회사,네이버,동일인측,자기주식,자기주식,네이버,19365600,11.75,-,-,19365600.0,11.75,164813395.0,0.11750015828507143
23,비금융회사,네이버,동일인측,계열회사(국내+해외),계열회사(국내+해외),-,-,-,-,-,,-,164813395.0,
24,비금융회사,네이버,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,,-,164813395.0,
25,비금융회사,네이버,동일인측,동일인측 합계,동일인측 합계,-,25553546,15.05,-,-,25553546.0,15.05,164813395.0,0.15504532262077364
26,비금융회사,네이버,기타주주,동일인측이 아닌최다주주,동일인측이 아닌최다주주,-,-,-,-,-,,-,164813395.0,
27,비금융회사,네이버,기타주주,기타,기타,-,139259849,84.50,-,-,139259849.0,84.50,164813395.0,0.8449546773792264
28,비금융회사,네이버,총 계,총 계,총 계,-,164813395,100.00,-,-,164813395.0,100.00,164813395.0,1.0
29,비금융회사,네이버비즈니스플랫폼,동일인측,동일인,동일인,-,-,-,-,-,,-,1000000.0,
30,비금융회사,네이버비즈니스플랫폼,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,,-,1000000.0,
31,비금융회사,네이버비즈니스플랫폼,동일인측,친족,혈족2~4촌,-,-,-,-,-,,-,1000000.0,
32,비금융회사,네이버비즈니스플랫폼,동일인측,친족,혈족5~6촌,-,-,-,-,-,,-,1000000.0,
33,비금융회사,네이버비즈니스플랫폼,동일인측,친족,인척 4촌 이내,-,-,-,-,-,,-,1000000.0,
34,비금융회사,네이버비즈니스플랫폼,동일인측,친족,친족 합계,-,-,-,-,-,,-,1000000.0,
35,비금융회사,네이버비즈니스플랫폼,동일인측,비영리법인,비영리법인,-,-,-,-,-,,-,1000000.0,
36,비금융회사,네이버비즈니스플랫폼,동일인측,등기된 임원,등기된 임원,-,-,-,-,-,,-,1000000.0,
37,비금융회사,네이버비즈니스플랫폼,동일인측,자기주식,자기주식,-,-,-,-,-,,-,1000000.0,
38,비금융회사,네이버비즈니스플랫폼,동일인측,계열회사(국내+해외),계열회사(국내+해외),네이버,1000000,100.00,-,-,1000000.0,100.00,1000000.0,1.0
39,비금융회사,네이버비즈니스플랫폼,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,,-,1000000.0,
40,비금융회사,네이버비즈니스플랫폼,동일인측,동일인측 합계,동일인측 합계,-,1000000,100.00,-,-,1000000.0,100.00,1000000.0,1.0
41,비금융회사,네이버비즈니스플랫폼,기타주주,동일인측이 아닌최다주주,동일인측이 아닌최다주주,-,-,-,-,-,,-,1000000.0,
42,비금융회사,네이버비즈니스플랫폼,기타주주,기타,기타,-,-,-,-,-,,-,1000000.0,
43,비금융회사,네이버비즈니스플랫폼,총계,총계,총계,-,1000000,100.00,-,-,1000000.0,100.00,1000000.0,1.0
44,비금융회사,네이버아이앤에스,동일인측,동일인,동일인,-,-,-,-,-,,-,180000.0,
45,비금융회사,네이버아이앤에스,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,,-,180000.0,
46,비금융회사,네이버아이앤에스,동일인측,친족,혈족2~4촌,-,-,-,-,-,,-,180000.0,
47,비금융회사,네이버아이앤에스,동일인측,친족,혈족5~6촌,-,-,-,-,-,,-,180000.0,
48,비금융회사,네이버아이앤에스,동일인측,친족,인척 4촌 이내,-,-,-,-,-,,-,180000.0,
49,비금융회사,네이버아이앤에스,동일인측,친족,친족 합계,-,-,-,-,-,,-,180000.0,
50,비금융회사,네이버아이앤에스,동일인측,비영리법인,비영리법인,-,-,-,-,-,,-,180000.0,
51,비금융회사,네이버아이앤에스,동일인측,등기된 임원,등기된 임원,-,-,-,-,-,,-,180000.0,
52,비금융회사,네이버아이앤에스,동일인측,자기주식,자기주식,-,-,-,-,-,,-,180000.0,
53,비금융회사,네이버아이앤에스,동일인측,계열회사(국내+해외),계열회사(국내+해외),네이버,180000,100.00,-,-,180000.0,100.00,180000.0,1.0
54,비금융회사,네이버아이앤에스,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,,-,180000.0,
55,비금융회사,네이버아이앤에스,동일인측,동일인측 합계,동일인측 합계,-,180000,100.00,-,-,180000.0,100.00,180000.0,1.0
56,비금융회사,네이버아이앤에스,기타주주,동일인측이 아닌최다주주,동일인측이 아닌최다주주,-,-,-,-,-,,-,180000.0,
57,비금융회사,네이버아이앤에스,기타주주,기타,기타,-,-,-,-,-,,-,180000.0,
58,비금융회사,네이버아이앤에스,총계,총계,총계,-,180000,100.00,-,-,180000.0,100.00,180000.0,1.0
59,비금융회사,그린웹서비스,동일인측,동일인,동일인,-,-,-,-,-,,-,20000.0,
60,비금융회사,그린웹서비스,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,,-,20000.0,
61,비금융회사,그린웹서비스,동일인측,친족,혈족2~4촌,-,-,-,-,-,,-,20000.0,
62,비금융회사,그린웹서비스,동일인측,친족,혈족5~6촌,-,-,-,-,-,,-,20000.0,
63,비금융회사,그린웹서비스,동일인측,친족,인척 4촌 이내,-,-,-,-,-,,-,20000.0,
64,비금융회사,그린웹서비스,동일인측,친족,친족 합계,-,-,-,-,-,,-,20000.0,
65,비금융회사,그린웹서비스,동일인측,비영리법인,비영리법인,-,-,-,-,-,,-,20000.0,
66,비금융회사,그린웹서비스,동일인측,등기된 임원,등기된 임원,-,-,-,-,-,,-,20000.0,
67,비금융회사,그린웹서비스,동일인측,자기주식,자기주식,-,-,-,-,-,,-,20000.0,
68,비금융회사,그린웹서비스,동일인측,계열회사(국내+해외),계열회사(국내+해외),네이버아이앤에스,20000,100.00,-,-,20000.0,100.00,20000.0,1.0
69,비금융회사,그린웹서비스,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,,-,20000.0,
70,비금융회사,그린웹서비스,동일인측,동일인측 합계,동일인측 합계,-,20000,100.00,,,20000.0,100.00,20000.0,1.0
71,비금융회사,그린웹서비스,기타주주,동일인측이 아닌최다주주,동일인측이 아닌최다주주,-,-,-,-,-,,-,20000.0,
72,비금융회사,그린웹서비스,기타주주,기타,기타,-,-,-,-,-,,-,20000.0,
73,비금융회사,그린웹서비스,총계,총계,총계,-,20000,100.00,-,-,20000.0,100.00,20000.0,1.0
74,비금융회사,인컴즈,동일인측,동일인,동일인,-,-,-,-,-,,-,20000.0,
75,비금융회사,인컴즈,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,,-,20000.0,
76,비금융회사,인컴즈,동일인측,친족,혈족2~4촌,-,-,-,-,-,,-,20000.0,
77,비금융회사,인컴즈,동일인측,친족,혈족5~6촌,-,-,-,-,-,,-,20000.0,
78,비금융회사,인컴즈,동일인측,친족,인척 4촌 이내,-,-,-,-,-,,-,20000.0,
79,비금융회사,인컴즈,동일인측,친족,친족 합계,-,-,-,-,-,,-,20000.0,
80,비금융회사,인컴즈,동일인측,비영리법인,비영리법인,-,-,-,-,-,,-,20000.0,
81,비금융회사,인컴즈,동일인측,등기된 임원,등기된 임원,-,-,-,-,-,,-,20000.0,
82,비금융회사,인컴즈,동일인측,자기주식,자기주식,-,-,-,-,-,,-,20000.0,
83,비금융회사,인컴즈,동일인측,계열회사(국내+해외),계열회사(국내+해외),네이버아이앤에스,20000,100.00,-,-,20000.0,100.00,20000.0,1.0
84,비금융회사,인컴즈,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,,-,20000.0,
85,비금융회사,인컴즈,동일인측,동일인측 합계,동일인측 합계,-,20000,100.00,,,20000.0,100.00,20000.0,1.0
86,비금융회사,인컴즈,기타주주,동일인측이 아닌최다주주,동일인측이 아닌최다주주,-,-,-,-,-,,-,20000.0,
87,비금융회사,인컴즈,기타주주,기타,기타,-,-,-,-,-,,-,20000.0,
88,비금융회사,인컴즈,총계,총계,총계,-,20000,100.00,-,-,20000.0,100.00,20000.0,1.0
89,비금융회사,컴파트너스,동일인측,동일인,동일인,-,-,-,-,-,,-,20000.0,
90,비금융회사,컴파트너스,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,,-,20000.0,
91,비금융회사,컴파트너스,동일인측,친족,혈족2~4촌,-,-,-,-,-,,-,20000.0,
92,비금융회사,컴파트너스,동일인측,친족,혈족5~6촌,-,-,-,-,-,,-,20000.0,
93,비금융회사,컴파트너스,동일인측,친족,인척 4촌 이내,-,-,-,-,-,,-,20000.0,
94,비금융회사,컴파트너스,동일인측,친족,친족 합계,-,-,-,-,-,,-,20000.0,
95,비금융회사,컴파트너스,동일인측,비영리법인,비영리법인,-,-,-,-,-,,-,20000.0,
96,비금융회사,컴파트너스,동일인측,등기된 임원,등기된 임원,-,-,-,-,-,,-,20000.0,
97,비금융회사,컴파트너스,동일인측,자기주식,자기주식,-,-,-,-,-,,-,20000.0,
98,비금융회사,컴파트너스,동일인측,계열회사(국내+해외),계열회사(국내+해외),네이버아이앤에스,20000,100.00,-,-,20000.0,100.00,20000.0,1.0
99,비금융회사,컴파트너스,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,,-,20000.0,
100,비금융회사,컴파트너스,동일인측,동일인측 합계,동일인측 합계,-,20000,100.00,,,20000.0,100.00,20000.0,1.0
101,비금융회사,컴파트너스,기타주주,동일인측이 아닌최다주주,동일인측이 아닌최다주주,-,-,-,-,-,,-,20000.0,
102,비금융회사,컴파트너스,기타주주,기타,기타,-,-,-,-,-,,-,20000.0,
103,비금융회사,컴파트너스,총계,총계,총계,-,20000,100.00,-,-,20000.0,100.00,20000.0,1.0
104,비금융회사,엔테크서비스,동일인측,동일인,동일인,-,-,-,-,-,,-,126000.0,
105,비금융회사,엔테크서비스,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,,-,126000.0,
106,비금융회사,엔테크서비스,동일인측,친족,혈족2~4촌,-,-,-,-,-,,-,126000.0,
