,소속회사명1,소속회사명2,동일인과의 관계1,동일인과의 관계2,동일인과의 관계3,성명,보통주 주식수,보통주 지분율,우선주 주식수,우선주 지분율,합계 주식수,합계 지분율,divisor,shares
0,비 금 융 회 사,디씨알이,동 일 인 측,동일인,동일인,,,0.00%,,,0.0,0.00%,20029818.0,0.0
1,비 금 융 회 사,디씨알이,동 일 인 측,친 족,배우자/혈족1촌,,,0.00%,,,0.0,0.00%,20029818.0,0.0
2,비 금 융 회 사,디씨알이,동 일 인 측,친 족,배우자/혈족1촌,,,0.00%,,,0.0,0.00%,20029818.0,0.0
3,비 금 융 회 사,디씨알이,동 일 인 측,친 족,혈족2~4촌,,,0.00%,,,0.0,0.00%,20029818.0,0.0
4,비 금 융 회 사,디씨알이,동 일 인 측,친 족,혈족5~6촌,,,0.00%,,,0.0,0.00%,20029818.0,0.0
5,비 금 융 회 사,디씨알이,동 일 인 측,친 족,인척4촌이내,,,0.00%,,,0.0,0.00%,20029818.0,0.0
6,비 금 융 회 사,디씨알이,동 일 인 측,친 족,친족합계,,0.0,0.00%,,,0.0,0.00%,20029818.0,0.0
7,비 금 융 회 사,디씨알이,동 일 인 측,비영리법인,비영리법인,,,0.00%,,,0.0,0.00%,20029818.0,0.0
8,비 금 융 회 사,디씨알이,동 일 인 측,등기된 임원,등기된 임원,,,0.00%,,,0.0,0.00%,20029818.0,0.0
9,비 금 융 회 사,디씨알이,동 일 인 측,자기주식,자기주식,,,0.00%,,,0.0,0.00%,20029818.0,0.0
10,비 금 융 회 사,디씨알이,동 일 인 측,계열회사(국내+해외),계열회사(국내+해외),오씨아이,20029818.0,100.00%,,,20029818.0,100.00%,20029818.0,1.0
11,비 금 융 회 사,디씨알이,동 일 인 측,기타 동일인관련자,기타 동일인관련자,,,,,,0.0,0.00%,20029818.0,0.0
12,비 금 융 회 사,디씨알이,동 일 인 측,동일인측 합계,동일인측 합계,,20029818.0,100.00%,,,20029818.0,100.00%,20029818.0,1.0
13,비 금 융 회 사,디씨알이,기타주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,,,,,,0.0,0.00%,20029818.0,0.0
14,비 금 융 회 사,디씨알이,기타주주,기타,기타,,,,,,0.0,0.00%,20029818.0,0.0
15,비 금 융 회 사,디씨알이,총계,총계,총계,,20029818.0,100.00%,,,20029818.0,100.00%,20029818.0,1.0
16,비 금 융 회 사,유니드글로벌상사,동 일 인 측,동일인,동일인,,,0.00%,,,0.0,0.00%,280000.0,0.0
17,비 금 융 회 사,유니드글로벌상사,동 일 인 측,친 족,배우자/혈족1촌,,,0.00%,,,0.0,0.00%,280000.0,0.0
18,비 금 융 회 사,유니드글로벌상사,동 일 인 측,친 족,배우자/혈족1촌,,,0.00%,,,0.0,0.00%,280000.0,0.0
19,비 금 융 회 사,유니드글로벌상사,동 일 인 측,친 족,혈족2~4촌,이화영,180000.0,64.29%,,,180000.0,64.29%,280000.0,0.6428571428571429
20,비 금 융 회 사,유니드글로벌상사,동 일 인 측,친 족,혈족2~4촌,이우일,100000.0,35.71%,,,100000.0,35.71%,280000.0,0.35714285714285715
21,비 금 융 회 사,유니드글로벌상사,동 일 인 측,친 족,혈족5~6촌,,,0.00%,,,0.0,0.00%,280000.0,0.0
22,비 금 융 회 사,유니드글로벌상사,동 일 인 측,친 족,인척4촌이내,,,0.00%,,,0.0,0.00%,280000.0,0.0
23,비 금 융 회 사,유니드글로벌상사,동 일 인 측,친 족,친족합계,,280000.0,100.00%,,,280000.0,100.00%,280000.0,1.0
24,비 금 융 회 사,유니드글로벌상사,동 일 인 측,비영리법인,비영리법인,,,0.00%,,,0.0,0.00%,280000.0,0.0
25,비 금 융 회 사,유니드글로벌상사,동 일 인 측,등기된 임원,등기된 임원,,,0.00%,,,0.0,0.00%,280000.0,0.0
26,비 금 융 회 사,유니드글로벌상사,동 일 인 측,자기주식,자기주식,,,0.00%,,,0.0,0.00%,280000.0,0.0
27,비 금 융 회 사,유니드글로벌상사,동 일 인 측,계열회사(국내+해외),계열회사(국내+해외),,,0.00%,,,0.0,0.00%,280000.0,0.0
28,비 금 융 회 사,유니드글로벌상사,동 일 인 측,기타 동일인관련자,기타 동일인관련자,,,0.00%,,,0.0,0.00%,280000.0,0.0
29,비 금 융 회 사,유니드글로벌상사,동 일 인 측,동일인측 합계,동일인측 합계,,280000.0,100.00%,,,280000.0,100.00%,280000.0,1.0
30,비 금 융 회 사,유니드글로벌상사,기타주주,동일인측이 아닌 최다주주,동일인측이 아닌 최다주주,,,0.00%,,,0.0,0.00%,280000.0,0.0
31,비 금 융 회 사,유니드글로벌상사,기타주주,기타,기타,,,0.00%,,,0.0,0.00%,280000.0,0.0
32,비 금 융 회 사,유니드글로벌상사,총계,총계,총계,,280000.0,100.00%,,,280000.0,100.00%,280000.0,1.0
33,비 금 융 회 사,유니드,동 일 인 측,동일인,동일인,이우현,,0.00%,,,0.0,0.00%,8889843.0,0.0
34,비 금 융 회 사,유니드,동 일 인 측,친 족,배우자/혈족1촌,,,0.00%,,,0.0,0.00%,8889843.0,0.0
35,비 금 융 회 사,유니드,동 일 인 측,친 족,혈족2~4촌,이복영,50866.0,0.57%,,,50866.0,0.57%,8889843.0,0.005721810835129485
36,비 금 융 회 사,유니드,동 일 인 측,친 족,혈족2~4촌,이화영,630083.0,7.09%,,,630083.0,7.09%,8889843.0,0.07087672976901842
37,비 금 융 회 사,유니드,동 일 인 측,친 족,혈족2~4촌,이우일,391293.0,4.40%,,,391293.0,4.40%,8889843.0,0.04401573796072664
38,비 금 융 회 사,유니드,동 일 인 측,친 족,혈족2~4촌,이희현,100000.0,1.12%,,,100000.0,1.12%,8889843.0,0.01124879258272615
39,비 금 융 회 사,유니드,동 일 인 측,친 족,혈족2~4촌,이숙희,259808.0,2.92%,,,259808.0,2.92%,8889843.0,0.02922526303332916
40,비 금 융 회 사,유니드,동 일 인 측,친 족,혈족2~4촌,이정자,320924.0,3.61%,,,320924.0,3.61%,8889843.0,0.03610007510818807
41,비 금 융 회 사,유니드,동 일 인 측,친 족,혈족2~4촌,이주연,54000.0,0.61%,,,54000.0,0.61%,8889843.0,0.0060743479946721215
42,비 금 융 회 사,유니드,동 일 인 측,친 족,혈족5~6촌,,,0.00%,,,0.0,0.00%,8889843.0,0.0
43,비 금 융 회 사,유니드,동 일 인 측,친 족,인척4촌이내,이은영,65100.0,0.73%,,,65100.0,0.73%,8889843.0,0.007322963971354725
44,비 금 융 회 사,유니드,동 일 인 측,친 족,친족합계,,1872074.0,21.06%,,,1872074.0,21.06%,8889843.0,0.21058572125514477
45,비 금 융 회 사,유니드,동 일 인 측,비영리법인,비영리법인,,,0.00%,,,0.0,0.00%,8889843.0,0.0
46,비 금 융 회 사,유니드,동 일 인 측,등기된 임원,등기된 임원,조백인,1000.0,0.01%,,,1000.0,0.01%,8889843.0,0.00011248792582726152
