,소속회사명1,소속회사명2,동일인과의 관계1,동일인과의 관계2,동일인과의 관계3,성명,보통주 주식수,보통주 지분율,우선주 주식수,우선주 지분율,합계 주식수,합계 지분율,divisor,shares
0,비금융회사,대림산업,동일인측,동일인,동일인,이준용,-,-,-,-,,-,38600000.0,
1,비금융회사,대림산업,동일인측,친족,배우자/혈족1촌,이해창,12407,0.04,1000,0.03,13407.0,0.03,38600000.0,0.00034733160621761656
2,비금융회사,대림산업,동일인측,친족,배우자/혈족1촌,이진숙,29001,0.08,1000,0.03,30001.0,0.08,38600000.0,0.0007772279792746114
3,비금융회사,대림산업,동일인측,친족,배우자/혈족1촌,이윤영,21724,0.06,1000,0.03,22724.0,0.06,38600000.0,0.0005887046632124353
4,비금융회사,대림산업,동일인측,친족,혈족2~4촌,이두용,744,0.00,-,-,744.0,0.00,38600000.0,1.927461139896373e-05
5,비금융회사,대림산업,동일인측,친족,혈족2~4촌,이부용,49,0.00,-,-,49.0,0.00,38600000.0,1.2694300518134715e-06
6,비금융회사,대림산업,동일인측,친족,친족 합계,-,63925,0.18,3000,0.08,66925.0,0.17,38600000.0,0.0017338082901554404
7,비금융회사,대림산업,동일인측,비영리법인,비영리법인,(학)대림학원,439419,1.26,205197,5.40,644616.0,1.67,38600000.0,0.016699896373056994
8,비금융회사,대림산업,동일인측,계열회사,계열회사,대림코퍼레이션,7541162,21.67,25000,0.66,7566162.0,19.60,38600000.0,0.19601455958549222
9,비금융회사,대림산업,동일인측,동일인측 합계,동일인측 합계,-,8044506,23.12,233197,6.14,8277703.0,21.44,38600000.0,0.21444826424870467
10,비금융회사,대림산업,기타주주,기타,기타,-,26755494,76.88,3566803,93.86,30322297.0,78.56,38600000.0,0.7855517357512953
11,비금융회사,대림산업,총 계,총 계,총 계,-,34800000,100.00,3800000,100.00,38600000.0,100.00,38600000.0,1.0
12,비금융회사,대림코퍼레이션,동일인측,동일인,동일인,-,-,-,-,-,,-,10527893.0,
13,비금융회사,대림코퍼레이션,동일인측,친족,배우자/혈족1촌,이해욱,5501679,52.26,-,-,5501679.0,52.26,10527893.0,0.5225812040452918
14,비금융회사,대림코퍼레이션,동일인측,친족,배우자/혈족1촌,이해승,54628,0.52,-,-,54628.0,0.52,10527893.0,0.005188882523787048
15,비금융회사,대림코퍼레이션,동일인측,친족,혈족2~4촌,-,-,-,-,-,,-,10527893.0,
16,비금융회사,대림코퍼레이션,동일인측,친족,혈족5~6촌,-,-,-,-,-,,-,10527893.0,
17,비금융회사,대림코퍼레이션,동일인측,친족,인척 4촌 이내,-,-,-,-,-,,-,10527893.0,
18,비금융회사,대림코퍼레이션,동일인측,친족,친족 합계,/,5556307,52.78,-,-,5556307.0,52.78,10527893.0,0.5277700865690789
19,비금융회사,대림코퍼레이션,동일인측,비영리법인,비영리법인,재단법인 대림문화재단,652789,6.20,-,-,652789.0,6.20,10527893.0,0.06200566438127743
20,비금융회사,대림코퍼레이션,동일인측,비영리법인,비영리법인,학교법인 대림학원,285599,2.71,-,-,285599.0,2.71,10527893.0,0.027127840300048642
21,비금융회사,대림코퍼레이션,동일인측,비영리법인,비영리법인,재단법인 대림수암장학문화재단,61000,0.58,-,-,61000.0,0.58,10527893.0,0.005794131836256314
22,비금융회사,대림코퍼레이션,동일인측,등기된 임원,등기된 임원,-,-,-,-,-,,-,10527893.0,
23,비금융회사,대림코퍼레이션,동일인측,자기주식,자기주식,대림코퍼레이션,534005,5.07,,,534005.0,5.07,10527893.0,0.05072287493803366
24,비금융회사,대림코퍼레이션,동일인측,계열회사(국내+해외),계열회사(국내+해외),-,-,-,-,-,,-,10527893.0,
25,비금융회사,대림코퍼레이션,동일인측,기타 동일인관련자,기타 동일인관련자,-,-,-,-,-,,-,10527893.0,
26,비금융회사,대림코퍼레이션,동일인측,동일인측 합계,동일인측 합계,/,7089700,67.34,-,-,7089700.0,67.34,10527893.0,0.673420598024695
27,비금융회사,대림코퍼레이션,기타주주,동일인측이 아닌최다주주,동일인측이 아닌최다주주,-,-,-,-,-,,-,10527893.0,
28,비금융회사,대림코퍼레이션,기타주주,기타,기타,/,3438193,32.66,-,-,3438193.0,32.66,10527893.0,0.32657940197530505
29,비금융회사,대림코퍼레이션,총계,총계,총계,/,10527893,100.00,-,-,10527893.0,100.00,10527893.0,1.0
30,비금융회사,고려개발,동일인측,동일인,동일인,-,-,-,-,-,,-,17997219.0,
31,비금융회사,고려개발,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,,-,17997219.0,
32,비금융회사,고려개발,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,,-,17997219.0,
33,비금융회사,고려개발,동일인측,친족,혈족2~4촌,-,-,-,-,-,,-,17997219.0,
34,비금융회사,고려개발,동일인측,친족,혈족2~4촌,-,-,-,-,-,,-,17997219.0,
35,비금융회사,고려개발,동일인측,친족,혈족5~6촌,-,-,-,-,-,,-,17997219.0,
36,비금융회사,고려개발,동일인측,친족,혈족5~6촌,-,-,-,-,-,,-,17997219.0,
37,비금융회사,고려개발,동일인측,친족,인척 4촌 이내,-,-,-,-,-,,-,17997219.0,
38,비금융회사,고려개발,동일인측,친족,인척 4촌 이내,-,-,-,-,-,,-,17997219.0,
39,비금융회사,고려개발,동일인측,친족,친족 합계,-,-,-,-,-,,-,17997219.0,
40,비금융회사,고려개발,동일인측,비영리법인,비영리법인,(학)대림학원,27340,0.18,-,-,27340.0,0.15,17997219.0,0.0015191235934840822
41,비금융회사,고려개발,동일인측,등기된 임원,등기된 임원,-,-,-,-,-,,-,17997219.0,
42,비금융회사,고려개발,동일인측,자기주식,자기주식,고려개발,1761,0.01,-,-,1761.0,0.01,17997219.0,9.784845091900032e-05
43,비금융회사,고려개발,동일인측,계열회사,계열회사,대림산업,6706500,44.07,2777775,100.00,9484275.0,52.70,17997219.0,0.5269855859396944
44,비금융회사,고려개발,동일인측,계열회사,계열회사,켐텍,578291,3.80,-,-,578291.0,3.21,17997219.0,0.0321322422091991
45,비금융회사,고려개발,동일인측,동일인측 합계,동일인측 합계,-,7313892,48.06,2777775,100.00,10091667.0,56.07,17997219.0,0.5607348001932966
46,비금융회사,고려개발,기타주주,동일인측이 아닌최다주주,동일인측이 아닌최다주주,-,-,-,-,-,,-,17997219.0,
47,비금융회사,고려개발,기타주주,기타,기타,-,7905552,51.94,-,-,7905552.0,43.93,17997219.0,0.4392651998067035
48,비금융회사,고려개발,총 계,총 계,총 계,-,15219444,100.00,2777775,100.00,17997219.0,100.00,17997219.0,1.0
49,비금융회사,삼호,동일인측,동일인,동일인,이준용,13347,0.09,-,-,13347.0,0.09,15179766.0,0.0008792625657075346
50,비금융회사,삼호,동일인측,친족,배우자/혈족1촌,이해욱(子),126724,0.83,-,-,126724.0,0.83,15179766.0,0.008348218279517615
51,비금융회사,삼호,동일인측,친족,인척 4촌 이내,이해서,1188,0.01,-,-,1188.0,0.01,15179766.0,7.826207597666526e-05
52,비금융회사,삼호,동일인측,친족,친족 합계,친족 합계,127912,0.84,-,-,127912.0,0.84,15179766.0,0.008426480355494282
53,비금융회사,삼호,동일인측,비영리법인,비영리법인,(학)대림학원,118056,0.78,-,-,118056.0,0.78,15179766.0,0.007777194984428614
54,비금융회사,삼호,동일인측,자기주식,자기주식,삼호,371,0.00,-,-,371.0,0.00,15179766.0,2.444042945062526e-05
55,비금융회사,삼호,동일인측,계열회사(국내+해외),계열회사(국내+해외),대림산업,11071821,72.94,-,-,11071821.0,72.94,15179766.0,0.7293802157424562
56,비금융회사,삼호,동일인측,동일인측 합계,동일인측 합계,동일인측 합계,11331507,74.65,-,-,11331507.0,74.65,15179766.0,0.7464875940775372
57,비금융회사,삼호,기타주주,기타,기타,-,3848259,25.35,,,3848259.0,25.35,15179766.0,0.2535124059224628
58,비금융회사,삼호,총 계,총 계,총 계,-,15179766,100.00,-,-,15179766.0,100.00,15179766.0,1.0
59,비금융회사,대림자동차공업,동일인측,계열회사(국내+해외),계열회사(국내+해외),대림산업,11553660,59.02,-,-,11553660.0,59.02,19575780.0,0.5902017697379108
60,비금융회사,대림자동차공업,동일인측,동일인측 합계,동일인측 합계,/,11553660,59.02,-,-,11553660.0,59.02,19575780.0,0.5902017697379108
61,비금융회사,대림자동차공업,기타주주,기타,기타,/,8022120,40.98,-,-,8022120.0,40.98,19575780.0,0.40979823026208917
62,비금융회사,대림자동차공업,총 계,총 계,총 계,/,19575780,100.00,-,-,19575780.0,100.00,19575780.0,1.0
63,비금융회사,글래드호텔앤리조트,동일인측,계열회사(국내+해외),계열회사(국내+해외),대림산업,10000000,100.00,-,-,10000000.0,100.00,10000000.0,1.0
64,비금융회사,글래드호텔앤리조트,동일인측,동일인측 합계,동일인측 합계,/,10000000,100.00,-,-,10000000.0,100.00,10000000.0,1.0
65,비금융회사,글래드호텔앤리조트,총 계,총 계,총 계,/,10000000,100.00,-,-,10000000.0,100.00,10000000.0,1.0
66,비금융회사,대림씨엔에스,동일인측,동일인,동일인,이준용,-,-,-,-,,-,12731947.0,
67,비금융회사,대림씨엔에스,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,,-,12731947.0,
68,비금융회사,대림씨엔에스,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,,-,12731947.0,
69,비금융회사,대림씨엔에스,동일인측,친족,혈족2~4촌,이부용,351310,2.76,-,-,351310.0,2.76,12731947.0,0.027592794723383628
70,비금융회사,대림씨엔에스,동일인측,친족,혈족2~4촌,이선희,78000,0.61,-,-,78000.0,0.61,12731947.0,0.0061263214495002214
71,비금융회사,대림씨엔에스,동일인측,친족,혈족2~4촌,이해서,100000,0.79,-,-,100000.0,0.79,12731947.0,0.007854258268590028
72,비금융회사,대림씨엔에스,동일인측,친족,혈족5~6촌,-,-,-,-,-,,-,12731947.0,
73,비금융회사,대림씨엔에스,동일인측,친족,인척4촌이내,-,-,-,-,-,,-,12731947.0,
74,비금융회사,대림씨엔에스,동일인측,친족,친족 합계,/,529310,4.16,-,-,529310.0,4.16,12731947.0,0.041573374441473875
75,비금융회사,대림씨엔에스,동일인측,비영리법인,비영리법인,대림문화재단,179640,1.41,-,-,179640.0,1.41,12731947.0,0.014109389553695126
76,비금융회사,대림씨엔에스,동일인측,비영리법인,비영리법인,대림수암장학문화재단,115200,0.90,-,-,115200.0,0.90,12731947.0,0.009048105525415712
77,비금융회사,대림씨엔에스,동일인측,등기된 임원,등기된 임원,김용대,4250,0.03,-,-,4250.0,0.03,12731947.0,0.0003338059764150762
78,비금융회사,대림씨엔에스,동일인측,자기주식,자기주식,,-,-,-,-,,-,12731947.0,
