,소속회사명1,소속회사명2,동일인과의 관계1,동일인과의 관계2,동일인과의 관계3,성명,보통주 주식수,보통주 지분율,우선주 주식수,우선주 지분율,합계 주식수,합계 지분율,divisor,shares
0,비금융회사,대우건설,동일인측,동일인,동일인,-,-,-,-,-,,-,415622638.0,
1,비금융회사,대우건설,동일인측,친족,배우자/혈족1촌,-,-,-,-,-,,-,415622638.0,
2,비금융회사,대우건설,동일인측,친족,혈족2~4촌,-,-,-,-,-,,-,415622638.0,
3,비금융회사,대우건설,동일인측,친족,혈족5~6촌,-,-,-,-,-,,-,415622638.0,
4,비금융회사,대우건설,동일인측,친족,인척 4촌 이내,-,-,-,-,-,,-,415622638.0,
5,비금융회사,대우건설,동일인측,친족,친족 합계,-,-,-,-,-,,-,415622638.0,
6,비금융회사,대우건설,동일인측,비영리법인,비영리법인,-,-,-,-,-,,-,415622638.0,
7,비금융회사,대우건설,동일인측,등기된 임원,등기된 임원,김형,19387,0.00%,-,-,19387.0,0.00%,415622638.0,4.664567862157691e-05
8,비금융회사,대우건설,동일인측,등기된 임원,등기된 임원,이현석,986,0.00%,-,-,986.0,0.00%,415622638.0,2.372344309118215e-06
9,비금융회사,대우건설,동일인측,자기주식,자기주식,대우건설,4736918,1.14%,-,-,4736918.0,1.14%,415622638.0,0.011397160709999632
10,비금융회사,대우건설,동일인측,계열회사,계열회사,-,-,-,-,-,,-,415622638.0,
11,비금융회사,대우건설,동일인측,동일인측 합계,동일인측 합계,-,4757291,1.14%,-,-,4757219.0,1.14%,415622638.0,0.01144600549886313
12,비금융회사,대우건설,기타주주,동일인측이 아닌최다주주,동일인측이 아닌최다주주,케이디비인베스트먼트제일호유한회사,210931209,50.75%,-,-,210931209.0,50.75%,415622638.0,0.5075065449153903
13,비금융회사,대우건설,기타주주,기타,기타,-,199934138,48.11%,-,-,199934138.0,48.11%,415622638.0,0.4810472763516794
14,비금융회사,대우건설,총 계,총 계,총 계,-,415622638,100.00%,-,-,415622638.0,100.00%,415622638.0,1.0
