,소속회사명1,소속회사명2,동일인과의 관계1,동일인과의 관계2,동일인과의 관계3,성명,보통주 주식수,보통주 지분율,우선주 주식수,우선주 지분율,합계 주식수,합계 지분율,divisor,shares
0,비금융회사,대우조선해양,동일인측,등기된 임원,권민철,148,0.00%,-,-,148,0.0,등기된 임원,10000.0,0.0
1,비금융회사,대우조선해양,동일인측,등기된 임원,김훈주,307,0.00%,-,-,307,0.0,등기된 임원,10000.0,0.0
2,비금융회사,대우조선해양,동일인측,등기된 임원,유은진,15,0.00%,-,-,15,0.0,등기된 임원,10000.0,0.0
3,비금융회사,대우조선해양,동일인측,등기된 임원,이상엽,110,0.00%,-,-,110,0.0,등기된 임원,10000.0,0.0
4,비금융회사,대우조선해양,동일인측,등기된 임원,이정호,1,0.00%,-,-,1,0.0,등기된 임원,10000.0,0.0
5,비금융회사,대우조선해양,동일인측,등기된 임원,이호태,145,0.00%,-,-,145,0.0,등기된 임원,10000.0,0.0
6,비금융회사,대우조선해양,동일인측,등기된 임원,장성기,1,0.00%,-,-,1,0.0,등기된 임원,10000.0,0.0
7,비금융회사,대우조선해양,동일인측,등기된 임원,최용석,11,0.00%,-,-,11,0.0,등기된 임원,10000.0,0.0
8,비금융회사,대우조선해양,동일인측,자기주식,대우조선해양,16207,0.02%,-,-,16207,2.0,자기주식,10000.0,0.0002
9,비금융회사,대우조선해양,동일인측,동일인측 합계,/,16945,0.02%,-,-,16945,2.0,동일인측 합계,10000.0,0.0002
10,비금융회사,대우조선해양,기타주주,동일인측이 아닌최다주주,한국산업은행,59738211,55.72%,-,-,59738211,5572.0,동일인측이 아닌최다주주,10000.0,0.5572
11,비금융회사,대우조선해양,기타주주,기타,/,47450596,44.26%,-,-,47450596,4426.0,기타,10000.0,0.4426
12,비금융회사,대우조선해양,총 계,총 계,/,107205752,100.00%,-,-,107205752,10000.0,총 계,10000.0,1.0
13,비금융회사,대한조선,동일인측,동일인,대우조선해양,4243045,65.06%,-,-,4243045,6506.0,동일인,10000.0,0.6506
14,비금융회사,대한조선,동일인측,동일인측 합계,/,4243045,65.06%,-,-,4243045,6506.0,동일인측 합계,10000.0,0.6506
15,비금융회사,대한조선,기타주주,동일인측이 아닌 최다주주,-,-,-,-,-,-,,동일인측이 아닌 최다주주,10000.0,
16,비금융회사,대한조선,기타주주,기타,/,2278437,34.94%,-,-,2278437,3494.0,기타,10000.0,0.3494
17,비금융회사,대한조선,총 계,총 계,/,6521482,100.00%,-,-,6521482,10000.0,총 계,10000.0,1.0
18,비금융회사,디에스엠이정보시스템,동일인측,동일인,대우조선해양,40000,100.00%,-,-,40000,10000.0,동일인,10000.0,1.0
19,비금융회사,디에스엠이정보시스템,동일인측,동일인측 합계,/,40000,100.00%,-,-,40000,10000.0,동일인측 합계,10000.0,1.0
20,비금융회사,디에스엠이정보시스템,총 계,총 계,/,40000,100.00%,-,-,40000,10000.0,총 계,10000.0,1.0
21,비금융회사,삼우중공업,동일인측,동일인,대우조선해양,8382045,100.00%,-,-,8382045,10000.0,동일인,10000.0,1.0
22,비금융회사,삼우중공업,동일인측,동일인측 합계,/,8382045,100.00%,-,-,8382045,10000.0,동일인측 합계,10000.0,1.0
23,비금융회사,삼우중공업,총 계,총 계,/,8382045,100.00%,-,-,8382045,10000.0,총 계,10000.0,1.0
24,비금융회사,신한중공업,동일인측,동일인,대우조선해양,1374485,89.22%,-,-,1374485,8922.0,동일인,10000.0,0.8922
25,비금융회사,신한중공업,동일인측,동일인측 합계,/,1374485,89.22%,-,-,1374485,8922.0,동일인측 합계,10000.0,0.8922
26,비금융회사,신한중공업,기타주주,동일인측이 아닌 최다주주,-,-,-,-,-,-,,동일인측이 아닌 최다주주,10000.0,
27,비금융회사,신한중공업,기타주주,기타,참엔지니어링,95000,6.17%,-,-,95000,617.0,기타,10000.0,0.0617
28,비금융회사,신한중공업,기타주주,기타,중소기업진흥공단,70000,4.54%,-,-,70000,454.0,기타,10000.0,0.0454
29,비금융회사,신한중공업,기타주주,기타,청구조선공업,709,0.05%,-,-,709,5.0,기타,10000.0,0.0005
30,비금융회사,신한중공업,기타주주,기타,김경준,396,0.02%,-,-,396,2.0,기타,10000.0,0.0002
31,비금융회사,신한중공업,총 계,총 계,/,1540590,100.00%,,,1540590,10000.0,총 계,10000.0,1.0
